證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　　 其他非流動資產－其他,　　　　 其他流動負債－其他,　　　　 銀行長期借款,　　　 預付款項,　　　　 預付貨款,　　　　 預付款項合計,　　 非控制權益
1616,2015年09月30日,,,,                202093,,                 28941,,                127919,,                782945,,,                905612,                905612,,                              0,                              0,,                826754,                 96340,                923094,              2970604,,,                  6789,,                835885,,                 28660,                 86452,,                 34992,,                 11190,                 46182,              1003968,              3974572,,,,,              1550437,,                              0,,                 34780,,                 79679,,                108647,,                207656,              1981199,,,                              0,,                130000,,                 35622,                 21842,                 57464,                187464,              2168663,,,,              1941485,              1941485,,                  2480,                  2480,,,                -88915,                -88915,                -88915,,,                 35936,                 35936,                 85077,              1805909,              1805909,              3974572,              0,      4654499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,2015年06月30日,,,,                182313,,                 45804,,                 99837,,                738555,,,,                961625,,,                              0,,                746812,                 30216,                777028,              2805162,,,                  6789,,                846747,,                 27937,                 86452,,                 34116,,                 10856,                 44972,              1012897,              3818059,,,,,              1346942,,                              0,,                 34197,,                 59395,,                145541,,                191534,              1777609,,,                              0,,                130000,,                 35622,                 13785,                 49407,                179407,              1957016,,,,              1941485,              1941485,,                  2480,                  2480,,,                  6567,                  6567,                  6567,,,                 -4412,                 -4412,                 85077,              1861043,              1861043,              3818059,              0,      4654499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,2014年12月31日,,,,                121188,,                 10007,,                174692,,                740846,,,              1322622,              1322622,,                 98745,                 98745,,                223788,                 38550,                262338,              2730438,,,                  6789,,                875854,,                 29681,                162174,,                 36120,,                 11467,                 47587,              1122085,              3852523,,,,,              1693366,,                              0,,                 29182,,                 57404,,                203369,,                115333,              2098654,,,                  1366,,                130000,,                 37030,                 18422,                 55452,                186818,              2285472,,,,              1941485,              1941485,,                  2480,                  2480,,,               -306089,               -306089,               -306089,,,                 14252,                 14252,                 85077,              1567051,              1567051,              3852523,              0,      4654499,                121188,,                              0,              3852523,,,,              1693366,,                              0,,                 29182,,                 57404,,                203369,,                115333,              2098654,,,                  1366,,                130000,,                 37030,                 18422,                 55452,                186818,              2285472,,,,              1941485,              1941485,,                  2480,                  2480,,,               -306089,               -306089,               -306089,,,                 14252,                 14252,                 85077,              1567051,              1567051,              0,,,,,,,,,
1616,2014年09月30日,,,,                197906,,                 65570,,                 99086,,                878902,,,              1444293,              1444293,,                              0,                              0,,                165634,                 50635,                216269,              2902026,,,                  6789,,                971592,,                 29386,                152083,,                 44709,,                 10596,                 55305,              1215155,              4117181,,,,,              1846572,,                              0,,                 13755,,                 79156,,                254454,,                112399,              2306336,,,                    603,,                130000,,                 26957,                 19579,                 46536,                177139,              2483475,,,,              1941485,              1941485,,                  2480,                  2480,,,               -221520,               -221520,               -221520,,,                 -3662,                 -3662,                 85077,              1633706,              1633706,              4117181,              0,      4654499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,2014年06月30日,,,,                197080,,                 55649,,                 74014,,                908871,,,,              1450188,,,                              0,,                155008,                 65170,                220178,              2905980,,,                  6789,,                972358,,                 29077,                150038,,                 44083,,                 10905,                 54988,              1213250,              4119230,,,,,              1738106,,                 49990,,                  5263,,                 60903,,                351111,,                 91468,              2296841,,,                  2257,,                130000,,                 26957,                 19207,                 46164,                178421,              2475262,,,,              1941485,              1941485,,                  2480,                  2480,,,               -200237,               -200237,               -200237,,,                -14683,                -14683,                 85077,              1643968,              1643968,              4119230,              0,      4654499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,2014年03月31日,,,,,,                 70821,,                 59191,,              1032266,,,,              1117152,,,,,                167352,                 33299,                200651,              2665013,,,                  6789,,                986947,,                 30762,                147126,,                 45563,,                 13393,                 58956,              1230580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4654499,                184932,,                              0,              3895593,,,,              1372085,,                 49981,,                 45654,,                 98934,,                337517,,                149218,              2053389,,,                  7722,,                130000,,                 26958,                  2022,                 28980,                183503,              2236892,,,,              1941485,              1941485,,                  2480,                  2480,,,               -209063,               -209063,               -209063,,,                  8876,                  8876,                 85077,              1658701,              1658701,              0,,                 16801,,,,,,,
1616,2013年12月31日,,,,,,                 96472,,                141063,,                734755,,,              1033223,              1033223,,,                              0,,                 60228,                 43005,                103233,              2369174,,,                  6789,,                956498,,                 29729,                126125,,                 45300,,                 13319,                 58619,              1178154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4654499,                260428,,                    394,              3547328,,,,              1213381,,                 49906,,                      5,,                100957,,                159404,,                103202,              1626855,,,                              0,,                130000,,                 26960,                 15700,                 42660,                172660,              1799515,,,,              1941485,              1941485,,                  2480,                  2480,,,               -106478,               -106478,               -106478,,,                 -4597,                 -4597,                 85077,              1747813,              1747813,              0,,,,,,,,,
1616,2013年09月30日,,,,,,                 35414,,                145660,,                715842,,,              1009445,              1009445,,,,,                 64298,                 26471,                 90769,              2305329,,,                 16789,,                914739,,                 29295,                119246,,                 44991,,                 34281,                 79272,              1159341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4654499,                308199,,                              0,              3464670,,,,              1122505,,                 49978,,                  2319,,                 82051,,                198285,,                101185,              1556323,,,                              0,,                130000,,                 24022,                  1719,                 25741,                161967,              1718290,,,,              1941485,              1941485,,                  2480,                  2480,,,               -100955,               -100955,               -100955,,,                -11553,                -11553,                 85077,              1746380,              1746380,              0,,                  6226,,,,,,,
1616,2013年06月30日,,,,,,                 36987,,                101933,,                791850,,,,                916613,,,,,                 94931,                 75837,                170768,              2300208,,,                 18018,,                919979,,                 29729,                124911,,                 46150,,                 23657,                 69807,              1162444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4654499,                282057,,                              0,              3462652,,,,              1203284,,                              0,,                 11969,,                107028,,                103332,,                101036,              1526649,,,                              0,,                130000,,                 24022,                  2010,                 26032,                162258,              1688907,,,,              1941485,              1941485,,                  2480,                  2480,,,                -82481,                -82481,                -82481,,,                 -2662,                 -2662,                 85077,              1773745,              1773745,              0,,                  6226,,,,,,,
1616,2013年03月31日,,,,,,                 61741,,                 94421,,                667999,,,,              1086852,,,,,                136288,                 89802,                226090,              2376500,,,                 18018,,                923729,,                 29838,                100786,,                 46022,,                 11747,                 57769,              1130140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4654499,                239397,,                              0,              3506640,,,,              1289737,,                              0,,                    916,,                 42571,,                113173,,                 94743,              1541140,,,                              0,,                130000,,                 24022,                  2338,                 26360,                162587,              1703727,,,,              1941485,              1941485,,                  2480,                  2480,,,                -47409,                -47409,                -47409,,,                 -8566,                 -8566,                 85077,              1802913,              1802913,              0,,                  6227,,,,,,,
