證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
2012,2015年09月30日,,,,              1508968,,                 33769,,                410986,,              1495921,,                 50852,,                  2498,,              3041740,,                129510,,                115271,                115271,              6789515,,,                263607,,                  4692,,              3430540,,                 11378,                201580,,                  9583,,                 26726,                111096,,                  3549,                150954,              4062751,             10852266,,,,,              3592607,,                229736,,                304278,,                544780,,                363461,                  7679,,                 36939,,,                179752,,                303296,                483048,              5562528,,,                350940,,                455491,,                411387,                    750,                412137,              1218568,              6781096,,,,              2877740,              2877740,,                 44264,,                 28143,                430610,,                208789,                667542,,                223514,                288910,              3524150,                547020,              4071170,             10852266,              0,              0,     23830450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2015年06月30日,,,,              1695065,,                 41325,,                420725,,              1503064,,                 49929,,                    333,,              3106677,,                200333,,                129673,                129673,              7147124,,,                330756,,                  4692,,              3409277,,                 10100,                221679,,                 11741,,                 28981,                111728,,                  3948,                156398,              4132902,             11280026,,,,,              3764295,,                259819,,                362811,,                510574,,                489069,                 16846,,                 33600,,,                180730,,                367552,                548282,              5985296,,,                356847,,                457022,,                415956,                  1115,                417071,              1230940,              7216236,,,,              2877740,              2877740,,                 44264,,                 28143,                430610,,                123514,                582267,,                320903,                288910,              3536264,                527526,              4063790,             11280026,              0,              0,     23830450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2015年03月31日,,,,              1306833,,                 32484,,                411999,,              1487190,,                 52375,,                    297,,              3258446,,                214942,,                 91722,                 91722,              6856288,,,                348452,,                  4692,,              3413238,,                 11316,                207679,,                 12951,,                 36459,                115975,,                  3963,                169348,              4154725,             11011013,,,,,              3608134,,                239691,,                288296,,                571188,,                272275,                 17516,,                 29526,,,                184562,,                354582,                539144,              5565770,,,                347452,,                457305,,                417535,                    660,                418195,              1222952,              6788722,,,,              2877740,              2877740,,                 32348,,                 14160,                447853,,                247487,                709500,,                341595,                288910,              3672273,                550018,              4222291,             11011013,              0,              0,     23830450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2014年12月31日,,,,                902754,,                 30273,,                475374,,              1569801,,                 39232,,                  3946,,              3277053,,                188022,,                 25858,                 25858,              6512313,,,                309433,,                  4692,,              3466535,,                  8742,                201168,,                 10786,,                 36247,                120961,,                  3838,                171832,              4162402,             10674715,,,,,              3404648,,                309779,,                278312,,                496707,,                316586,                 16926,,                 42781,,,                159251,,                249384,                408635,              5274374,,,                354293,,                450243,,                420180,                  1364,                421544,              1226080,              6500454,,,,              2877740,              2877740,,                 32348,,                 14160,                447853,,                226359,                688372,,                319086,                288910,              3628636,                545625,              4174261,             10674715,              0,              0,     23830450,                902754,                  3946,             10674715,,,,              3404648,,                309779,,                278312,,                496707,,                316586,                 16926,,                 42781,,,                159251,,                249384,                408635,              5274374,,,                354293,,                450243,,                420180,                  1364,                421544,              1226080,              6500454,,,,              2877740,              2877740,,                 32348,,                 14160,                447853,,                226359,                688372,,                319086,                288910,              3628636,                545625,              4174261,,,,,,,
2012,2014年09月30日,,,,              1208922,,                 29884,,                472504,,              1640940,,                 33282,,                  4625,,              3316387,,                216014,,                 25468,                 25468,              6948026,,,                308526,,                  4692,,              3411265,,                  9790,                211981,,                  7268,,                 35027,                107609,,                  2149,                152053,              4098307,             11046333,,,,,              3902682,,                319772,,                240322,,                512390,,                279661,                 16120,,                 25085,,,                167036,,                298951,                465987,              5762019,,,                370970,,                451250,,                400020,                  5057,                405077,              1227297,              6989316,,,,              2877740,              2877740,,                 32348,,                 14160,                447853,,                170406,                632419,,                282256,                288910,              3535853,                521164,              4057017,             11046333,              0,              0,     23830450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2014年06月30日,,,,                994539,,                 29616,,                416662,,              1675561,,                 35515,,                    201,,              3364023,,                209077,,                 39562,                 39562,              6764756,,,                344369,,                  4692,,              3430777,,                 11899,                220594,,                  7568,,                 34828,                106518,,                  2202,                151116,              4163447,             10928203,,,,,              3745499,,                189765,,                278707,,                479796,,                480233,                 25659,,                 24206,,,                160392,,                271149,                431541,              5655406,,,                391850,,                445364,,                400224,                  1184,                401408,              1238622,              6894028,,,,              2877740,              2877740,,                 32348,,                 14160,                447853,,                125496,                587509,,                307696,                288910,              3516383,                517792,              4034175,             10928203,              0,              0,     23830450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2014年03月31日,,,,                966216,,                 31911,,                422590,,              1680879,,                 33288,,                    201,,              3359073,,                221313,,                              0,                              0,              6715471,,,                347090,,                  4692,,              3439648,,                 14181,                219061,,                  9039,,                 34848,                108419,,                  2298,                154604,              4179276,             10894747,,,,,              3698551,,                229779,,                241427,,                480856,,                247106,                 15806,,                 23593,,,                199097,,                283427,                482524,              5419642,,,                386352,,                463760,,                401740,                    610,                402350,              1252462,              6672104,,,,              2877740,              2877740,,                 20433,,                              0,                430610,,                303662,                734272,,                311290,                288910,              3654825,                567818,              4222643,             10894747,              0,              0,     23830450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2013年12月31日,,,,,,                 32668,,                454595,,              1708239,,                 32177,,,,              3235343,,                223970,,                              0,                              0,              6609475,,,                359795,,                  4692,,              3489672,,                 13440,                321275,,                  9813,,                 34292,                109839,,                  2387,                156331,              4345205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     23830450,                922282,                    201,             10954680,,,,              3660577,,                269680,,                229733,,                466496,,                293975,                 13685,,                 22434,,,                185379,,                265381,                450760,              5407340,,,                393594,,                555728,,                395226,                  1875,                397101,              1346423,              6753763,,,,              2877740,              2877740,,                 20433,,                              0,                430610,,                274849,                705459,,                342336,                288910,              3657058,                543859,              4200917,,,,,,,
2012,2013年09月30日,,,,,,                 30675,,                454522,,              1686991,,                 44531,,,,              3155826,,                203339,,                              0,                              0,              6948659,,,                347090,,                  4692,,              3498293,,                 15654,                255815,,                  8552,,                 34249,                108587,,                  2434,                153822,              4275366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     23830450,              1371102,                  1673,             11224025,,,,              4197414,,                259738,,                212221,,                470759,,                277324,                  2698,,                 25329,,,                175210,,                291018,                466228,              5911711,,,                333159,,                488836,,                419154,                  1767,                420921,              1242916,              7154627,,,,              2877740,              2877740,,                 20433,,                              0,                430610,,                201388,                631998,,                310712,                288910,              3551973,                517425,              4069398,,,,,,,
2012,2013年06月30日,,,,,,                 29362,,                385092,,              1792531,,                 28337,,,,              3195463,,                184097,,                              0,                              0,              7589027,,,                365238,,                  4692,,              3543710,,                 17832,                280592,,                 13491,,                 53135,                110910,,                  1857,                179393,              4391457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     23830450,              1969966,                  2728,             11980484,,,,              4623554,,                409031,,                231439,,                425460,,                326889,                 25504,,                 23231,,,                186915,,                329379,                516294,              6583552,,,                319288,,                515060,,                430340,                    120,                430460,              1264808,              7848360,,,,              2877740,              2877740,,                 20433,,                              0,                430610,,                195373,                625983,,                361307,                288910,              3596553,                535571,              4132124,,                  1451,                  2150,,,,
