證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－員工認股權,　　　　 待分配股票股利
8443,2015年09月30日,,,,                645458,,                671575,,                              0,,                 57641,,                    314,,                    783,,                              0,,                805294,,                 36322,,                  1150,              2218537,,,                311810,,                  4684,                 20480,,                 80490,                417464,              2636001,,,,,                              0,,                  2534,,                150027,,                166408,                  3964,,                 11360,,                561298,                895591,,,                 11357,,                  1146,,                 68369,                 80872,                976463,,,,                668000,                668000,,,                369445,                  3257,                372702,,                239827,,                369273,                609100,,,                  9736,                  9736,              1659538,                              0,              1659538,              2636001,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8443,2015年06月30日,,,,                547303,,                838907,,                              0,,                 37143,,                    314,,                    389,,,,                756435,,                 32712,,                  2350,              2215553,,,                298838,,                  5519,                 19052,,                109990,                433399,              2648952,,,,,,,                  1623,,                 69248,,                270861,                 10340,,                 11887,,                563957,                927916,,,                 10870,,                              0,,                 68245,                 79115,              1007031,,,,                668000,                668000,,,                369445,                  3257,                372702,,                239827,,                356470,                596297,,,                  4922,                  4922,              1641921,                              0,              1641921,              2648952,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8443,2015年03月31日,,,,                664026,,                648734,,                              0,,                 38933,,                    314,,                    469,,,,                771480,,                 32263,,                  2350,              2158569,,,                284906,,                  6525,                 18454,,                159204,                469089,              2627658,,,,,,,                  1704,,                103221,,                124536,                 15633,,                 11823,,                549692,                806609,,,                 11027,,                      7,,                 67881,                 78915,                885524,,,,                668000,                668000,,,                369445,                  3257,                372702,,                227139,,                467630,                694769,,,                  6663,                  6663,              1742134,                              0,              1742134,              2627658,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8443,2014年12月31日,,,,                640177,,                466098,,                    290,,                 37381,,                    314,,                  1568,,                              0,,                836967,,                 28838,,                              0,              2011633,,,                288578,,                  7537,                 18166,,                215542,                529823,              2541456,,,,,                              0,,                  1730,,                 24208,,                156470,                 10461,,                 12653,,                532065,                737587,,,                 10328,,                    188,,                 67919,                 78435,                816022,,,,                668000,                668000,,,                369445,                  3257,                372702,,                227139,,                449628,                676767,,,                  7965,                  7965,              1725434,                              0,              1725434,              2541456,              0,              0,              0,                640177,              2541456,,,,                              0,,                  1730,,                 24208,,                156470,                 10461,,                 12653,,                532065,                737587,,,                 10328,,                    188,,                 67919,                 78435,                816022,,,,                668000,                668000,,,                369445,                  3257,                372702,,                227139,,                449628,                676767,,,                  7965,                  7965,              1725434,                              0,              1725434,,,,,,,
8443,2014年09月30日,,,,                754914,,                414768,,                    434,,                 59182,,                    314,,                  1820,,                              0,,                820297,,                 51293,,                              0,              2103022,,,                288332,,                  8029,                 22121,,                263517,                581999,              2685021,,,,,                              0,,                  4153,,                184789,,                182604,                  5064,,                 12805,,                527898,                917313,,,                 10358,,                              0,,                 75818,                 86176,              1003489,,,,                668000,                668000,,,                369445,                  3257,                372702,,                227139,,                409658,                636797,,,                  4033,                  4033,              1681532,                              0,              1681532,              2685021,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8443,2014年06月30日,,,,                415231,,                413034,,                    902,,                 55335,,                    314,,                    769,,,,                807240,,                 35638,,                              0,              1728463,,,                294064,,                  8514,                 21800,,                327102,                651480,              2379943,,,,,,,                 10445,,                108976,,                247744,                 10957,,                 13286,,                499967,                891375,,,                 10742,,                              0,,                 76550,                 87292,                978667,,,,                605243,                605243,,,                181041,                  3257,                184298,,                227139,,                383647,                610786,,,                    949,                    949,              1401276,                              0,              1401276,              2379943,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8443,2014年03月31日,,,,                581234,,                358332,,                    695,,                 51250,,                              0,,                    472,,,,                642350,,                 37196,,                    300,              1671829,,,                299394,,                 10196,                 21811,,                266109,                597510,              2269339,,,,,,,                  2371,,                109495,,                133751,                 10102,,                 13162,,                450568,                719449,,,                 11233,,                              0,,                 77757,                 88990,                808439,,,,                605243,                605243,,,                181041,                  3257,                184298,,                219800,,                448791,                668591,,,                  2768,                  2768,              1460900,                              0,              1460900,              2269339,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8443,2013年12月31日,,,,,,                358054,,                    687,,                 70120,,                              0,,                    649,,                 11006,,                916214,,                 44202,,                 15450,              1766945,,,                339654,,                  7671,                 26577,,                198162,                572064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                350563,              2339009,,,,                 37000,,                  2175,,                 80071,,                187727,                  6462,,                 13331,,                415165,                741931,,,                 13781,,                              0,,                 78832,                 92613,                834544,,,,                605243,                605243,,,                181041,                  3257,                184298,,                219800,,                419292,                639092,,,                  2347,                  2347,              1430980,                 73485,              1504465,,                              0,,                              0,,,
8443,2013年09月30日,,,,,,                386633,,                  1279,,                 76559,,                              0,,                  2271,,                 11006,,                933535,,                 58206,,                 12250,              1783587,,,                343916,,                  8729,                 23244,,                181417,                557306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                300239,              2340893,,,,                 20000,,                  2704,,                198435,,                200206,                              0,,                 12474,,                372610,                806429,,,                 14529,,,,                 65475,                 80004,                886433,,,,                605243,                605243,,,                181041,                              0,                181041,,                219800,,                408431,                628231,,,                    824,                    824,              1415339,                 39121,              1454460,,                  1609,,,,,
8443,2013年06月30日,,,,,,                385391,,                    384,,                 78456,,                     24,,                  2898,,                              0,,                956279,,                 69138,,                 12600,              1836955,,,                360608,,                 10040,                 25881,,                211632,                608161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                331785,              2445116,,,,                 22700,,                  7887,,                 85366,,                394977,                 10881,,                 13646,,                393754,                929224,,,                 15204,,,,                 67633,                 82837,              1012061,,,,                605243,                605243,,,                181041,                              0,                181041,,                219800,,                386906,                606706,,,                  1784,                  1784,              1394774,                 38281,              1433055,,,,                     13,,,
