證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 其他預付款,　　　　 其他流動資產－其他,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 長期借款,　　　　 長期借款合計,　　　　　 累積盈虧,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　　 其他非流動負債－其他,　　 非控制權益,　　　　 債券換股權利證書,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－處分資產增益,　　　　 資本公積－認股權,　　　　 採用權益法之投資,　　　 庫藏股票
2497,2015年06月30日,,,,                544285,,                    251,,                              0,,                260621,,                  8416,,                697681,,                 32919,,                759777,,                 20874,,                    550,              2325374,,,                 30850,,                 24304,,                806415,,                 28549,                 51520,,                 64049,              1005687,              3331061,,,,,                224938,,                    881,,                455748,,                551375,                 38148,,                  9416,              1280506,,,                 37812,,                 63158,                 63158,                100970,              1381476,,,,              1187985,              1187985,,                216787,,                186701,,                350911,                537612,,                  7201,              1949585,              1949585,              3331061,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,2015年03月31日,,,,                428673,,,,                  2001,,                271500,,                  8388,,                618720,,                 41554,,                783000,,                 20905,,                    276,              2175017,,,                 30850,,                 24687,,                815772,,                 31438,                 58665,,                 70634,              1032046,              3207063,,,,,                149093,,                  1380,,                379232,,                185827,                105337,,                  7156,                828025,,,                 36378,,                 63158,                 63158,                 99536,                927561,,,,              1187985,              1187985,,                216787,,                133069,,                719073,                852142,,                 22588,              2279502,              2279502,              3207063,              0,              0,,                783000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,2014年12月31日,,,,                422088,,                              0,,                  6857,,                309691,,                  8356,,                611674,,                 60733,,                826698,,                 22719,,                              0,              2268816,,,                 30850,,                 26132,,                826127,,                 34194,                 53268,,                 51981,              1022552,              3291368,,,,,                124852,,                    150,,                525649,,                246504,                 81942,,                 21642,              1000739,,,                 37510,,                 63158,                 63158,                100668,              1101407,,,,              1187985,              1187985,,                216787,,                133069,,                623669,                756738,,                 28451,              2189961,              2189961,              3291368,              0,              0,,                826698,                422088,                309691,                 22719,                              0,              3291368,,,,                124852,,                    150,,                525649,,                246504,                 81942,,,                              0,                 21642,                 21642,              1000739,,,                 37510,,                 63158,                 63158,                100668,              1101407,,,,              1187985,              1187985,,                216787,,                133069,,                623669,                756738,,                 28451,              2189961,              2189961,              0,,,,,,,,,,,,,,,,,,
2497,2014年09月30日,,,,,,,,,,,,                  4164,,                565486,,                 43437,,                690514,,                 35458,,                    231,              2025818,,,                 30850,,                 27843,,                772327,,                 36317,                 46461,,                 55382,                969180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                690514,                372470,                314058,,,              2994998,,,,                121450,,                    899,,                507809,,                205647,                 53777,,,                              0,                 12741,                 12741,                902323,,,                 37191,,                 61010,                 61010,                 98201,              1000524,,,,              1187985,              1187985,,                216787,,                133069,,                446220,                579289,,                 10413,              1994474,              1994474,              0,,                              0,,,,,,,,,,,,,,,,
2497,2014年06月30日,,,,                585232,,                              0,,                              0,,                315873,,                  2722,,                473987,,                 34890,,                613123,,                 39962,,                    181,              2065970,,,                 30850,,                 28351,,                767786,,                 35520,                 43837,,                 50679,                957023,              3022993,,,,,                118370,,                    725,,                445440,,                415532,                 56868,,                 26150,              1063085,,,                 33939,,                 61010,                 61010,                 94949,              1158034,,,,              1187985,              1187985,,                216787,,                133069,,                330272,                463341,,                 -3154,              1864959,              1864959,              3022993,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,2014年03月31日,,,,                417066,,,,                              0,,                292903,,                  3397,,                594798,,                 28575,,                579625,,                 30268,,                 19414,              1966046,,,                 30850,,                 29342,,                781250,,                 36140,                 42469,,                 45758,                965809,              2931855,,,,,                152036,,                    991,,                453400,,                160583,                 43201,,                 13930,                824141,,,                 32779,,                 61010,                 61010,                 93789,                917930,,,,              1187985,              1187985,,                216787,,                 97365,,                504248,                601613,,                  7540,              2013925,              2013925,              2931855,              0,              0,,                579625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,2013年12月31日,,,,,,,,                              0,,,,                 11850,,                549747,,                 32530,,                638332,,                 14195,,                 15234,              1874363,,,                 25250,,                 30206,,                765403,,                 39301,                 43050,,                 43137,                946347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                638332,                469723,                142752,                 14195,                 15234,              2820710,,,,                150066,,                    222,,                469416,,                192824,                 18375,,,                 22572,                 11958,                 34530,                865433,,,                 22650,,                 60964,                 60964,                 83614,                949047,,,,              1187985,              1187985,,                216787,,                 97365,,                362441,                459806,,                  7085,              1871663,              1871663,              0,,                              0,                362441,,,,,,,,,,,,,,,
2497,2013年09月30日,,,,,,,,,,,,                 33312,,                516332,,                 41503,,                705375,,                 20185,,                 14291,              1799975,,,                 25250,,                 30264,,                741314,,                 38242,                 51005,,                 52015,                938090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                705375,                409852,                 59125,,,              2738065,,,,                128762,,                  9321,,                543571,,                191417,                  5920,,,                 22295,                 15576,                 37871,                916862,,,                 17278,,                 52340,                 52340,                 75192,                992054,,,,              1187985,              1187985,,                216787,,                 97365,,                240226,                337591,,                  3648,              1746011,              1746011,              0,,                  5574,,,,,,,,,,,,,,,,
2497,2013年06月30日,,,,,,,,,,,,                 42955,,                482138,,                 20251,,                700981,,                 21796,,                    267,              1722395,,,                 20250,,                 31895,,                733702,,                 31968,                 70609,,                 50068,                938492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                700981,                392216,                 61791,,                    267,              2660887,,,,                120816,,                 13898,,                539011,,                246143,                  4839,,,                 22645,                  8382,                 31027,                955734,,,                 14412,,                 52340,                 52340,                 78075,              1033809,,,,              1187985,              1187985,,                216787,,                 97365,,                115688,                213053,,                  9253,              1627078,              1627078,              0,,                 11323,,,,,,,,,,,,,,,,
2497,2013年03月31日,,,,,,,,,,,,                  4805,,                383449,,                 27907,,                618809,,                 22294,,                     91,              1408675,,,                 20250,,                  8016,,                712911,,                 35954,                 83171,,                 41893,                902195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                618809,                351320,                              0,,,              2310870,,,,                137677,,                  1430,,                283835,,                131018,                  7550,,,                 23437,                 12188,                 35625,                597135,,,                 11873,,                 52340,                 52340,                 80199,                677334,,,,              1187985,              1187985,,                216787,,                 88442,,                131256,                219698,,                  9066,              1633536,              1633536,,,                 15986,                131256,,,,,,,,,,,,,,,
