證券代號,年季,　 資產,　　 現金及約當現金,　　 存放央行及拆借金融同業,　　 透過損益按公允價值衡量之金融資產,　　 備供出售金融資產－淨額,　　 避險之衍生金融資產,　　 附賣回票券及債券投資,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 貼現及放款－淨額,　　 持有至到期日金融資產－淨額,　　 採用權益法之投資－淨額,　　 其他金融資產－淨額,　　　 以成本衡量之金融資產－淨額,　　　 無活絡市場之債務工具投資－淨額,　　　 其他什項金融資產－淨額,　　　 其他金融資產－淨額,　　 投資性不動產－淨額,　　　 投資性不動產－淨額,　　 不動產及設備－淨額,　　 無形資產－淨額,　　 遞延所得稅資產,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益 ,　　 負債,　　　 央行及金融同業存款,　　　 央行及同業融資,　　　 透過損益按公允價值衡量之金融負債,　　　 避險之衍生金融負債,　　　 附買回票券及債券負債,　　　 應付商業本票－淨額,　　　 應付款項,　　　　 應付款項合計,　　　 本期所得稅負債,　　　 存款及匯款,　　　 應付債券,　　　 其他借款,　　　　 其他借款合計,　　　 負債準備,　　　　 負債準備合計,　　　 其他金融負債,　　　　 其他金融負債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益 ,　　　 歸屬於母公司業主之權益 ,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現評價損益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總計,　　 負債及權益總計,　　 預收股款（股東權益項下）之約當發行股數（單位：股）,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　 共同控制下前手權益,　　 待註銷股本股數,　　　 當期所得稅資產合計,　　　 無活絡市場之債務商品投資－淨額,　　 資產總額,　 負債,　　 央行及金融同業存款,　　 透過損益按公允價值衡量之金融負債,　　 附買回票券及債券負債,　　 應付商業本票－淨額,　　 應付款項,　　　 應付款項合計,　　 當期所得稅負債,　　 存款及匯款,　　 應付債券,　　 其他借款,　　　 其他借款合計,　　 負債準備,　　　 負債準備合計,　　 其他金融負債,　　　 其他金融負債合計,　　 遞延所得稅負債,　　　 遞延所得稅負債合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益 ,　　 歸屬於母公司業主之權益 ,　　　 股本,　　　　 普通股股本,　　　　 特別股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現評價利益（損失）,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　 央行及同業融資,　　 避險之衍生金融負債,　　　 庫藏股,　　　　 待分配股票股利
2887,2015年09月30日,,             19869157,             56955665,            123454479,            287957879,                              0,              1201780,,            105243890,,                528362,            839774929,                  4078,             34474527,,              2682859,                              0,              9105994,             11788853,,                914966,             18133133,              2023059,              3224838,,             31852290,          1537401885,,,             61272836,                              0,             50188105,                              0,             77224749,              2463035,,             35123060,                577221,          1046213646,             75000000,,              8215987,,                784865,,             53593818,,                 68253,,              2818277,          1413543852,,,,             88580629,              7251368,                 18305,             95850302,             10219424,,              5466453,                465368,             11565729,             17497550,,                229367,                -72077,                157290,            123724566,                133467,            123858033,          1537401885,      1880000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2015年06月30日,,             14611542,             33355156,             93690542,            265753533,                              0,                  4998,,            103273640,,                177358,            826906987,                  2534,             33638198,,              2719359,                300000,              9166425,             12185784,,                917395,             18053012,              2049396,              3387988,,             14687871,          1422695934,,,             62262518,                              0,             23979538,                              0,             76835695,              1072984,,             21994695,              1029602,            984714922,             64100000,,              7788093,,                786496,,             54614842,,                 53863,,              2620086,          1301853334,,,,             88563905,              7251368,                 16363,             95831636,             10216066,,              5466453,                465368,              8397847,             14329668,,                 24085,                296816,                320901,            120698271,                144329,            120842600,          1422695934,      1672395,              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2015年03月31日,,             18044408,             33138519,             98410005,            270968706,                              0,                231025,,             93540474,,                181655,            820956845,                  2534,             33298705,,              2661099,                300000,              6357688,              9318787,,                919825,             18035876,              2002981,              3628343,,             18275164,          1420953852,,,             68915480,,             30627336,,             77301599,                879158,,             17600300,              1606806,            986386758,             55000000,,              7346268,,                791744,,             52507106,,                 53931,,              2941607,          1301958093,,,,             88525792,              7251368,                 37144,             95814304,             10648428,,              5315307,                465368,              6032167,             11812842,,                 72660,                518790,                591450,            118867024,                128735,            118995759,          1420953852,      3811342,              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2014年12月31日,,             23089267,             34496856,             83294027,            244249053,                              0,                273345,,            100310417,,                353421,            805752729,                  2540,             32660984,,              2608976,                300000,              9222228,             12131204,,                922355,             17958823,              2001997,              4154618,,             21301742,          1382953378,,,             56003848,                              0,             34921514,                              0,             69724492,                649389,,             22598658,              1699781,            965328658,             55000000,,              6235441,,                794014,,             52744269,,                 83945,,              2985066,          1268769075,,,,             88417902,              7251368,                111339,             95780609,             10640840,,              5315307,                465368,              1511461,              7292136,,                150908,                193921,                344829,            114058414,                125889,            114184303,          1382953378,     10789000,              0,                              0,                              0,              0,                353421,                300000,          1382953378,,             56003848,             34921514,             69724492,                649389,,             22598658,              1699781,            965328658,             55000000,,              6235441,,                794014,,             52744269,,                 83945,,              2985066,          1268769075,,,,             88417902,              7251368,                111339,             95780609,             10640840,,              5315307,                465368,              1511461,              7292136,,                150908,                193921,                344829,            114058414,                              0,                125889,            114184303,,,,
2887,2014年09月30日,,             59526258,            141312886,            102494954,            296890830,                 28649,              1125030,,            123504574,,                970025,          1993151155,            184787432,                 78932,,              7802824,              3667062,             82357037,             93826923,,             11839185,             41495889,             21946807,              7250308,,             12939788,          3093169625,,,            207837472,                456750,             28303142,                 37977,             75076798,              1509926,,             53727139,              2467506,          2332644050,            103262373,,              5777214,,              4563628,,             49371448,,              6649081,,              5388314,          2877072818,,,,             88374052,              7251368,                 51529,             95676949,             10628649,,              5315307,                465368,             12927176,             18707851,,                102984,                677643,                780627,            125794076,             90302731,            216096807,          3093169625,      4385000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2014年06月30日,,             53505258,            134625141,            106452360,            281299974,                 40385,                354313,,            118490290,,              1258290,          1959204680,            184543904,                 73126,,              7358548,              3643951,             93916395,            104918894,,             11767838,             41653161,             22004736,              7209506,,             18927477,          3046329333,,,            207698778,                447675,             25939845,                  2292,             63850250,                460647,,             57451099,              4534809,          2294497695,            108179189,,              4556117,,              4513774,,             52675015,,              6638806,,              5017710,          2836463701,,,,             80356314,              7251368,                 33770,             95628460,             10615976,,              5315307,                465368,              9035319,             14815994,,                 -2303,                930215,                927912,            121988342,             87877290,            209865632,          3046329333,      3073000,              0,              7987008,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2014年03月31日,,             56896180,            131776393,            107600621,            249108164,                 51396,              4287435,,            102561716,,              1666652,          1922855355,            182950862,                 84340,,              7277489,              3854999,             79683776,             90816264,,             11766507,             41680022,             21976403,              7827986,,             17514463,          2951420759,,,            190153959,,             27336808,,             43136083,                269553,,             48240389,              4966653,          2276269314,             90306757,,              2871286,,              4455401,,             44332548,,              7127608,,              4882676,          2744349035,,,,             75281584,              7251368,              1579951,             84112903,              9609921,,              3939770,                465368,             18579121,             22984259,,                 83370,                894203,                977573,            117684656,             89387068,            207071724,          2951420759,    132178420,              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2013年12月31日,,             61516953,            124152449,            102817889,            251947289,                 62494,              9470428,,            107590190,,,          1845715026,            228942921,                221229,,              7334016,,             36062303,             47507842,,             11808520,             41530667,             21563628,              7809571,,              6569720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     16505200,              0,,,              0,              1759870,              4111523,          2870986686,,            176662165,             16237369,             37932722,                              0,,             46370940,              4248028,          2250576346,             90322818,,              2287315,,              4422703,,             32803503,,              6711208,,              4422327,          2672997444,,,,             75116532,              7251368,                180170,             82548070,              9478327,,              3939770,                465368,             13755369,             18160507,,                 68688,                875995,                944683,            111131587,                              0,             86857655,            197989242,                              0,                              0,                              0,                              0
2887,2013年09月30日,,             42264749,            155591539,            109192125,            267311585,                 70694,             13207394,,             98913744,,,          1833354170,            188370831,                244044,,              7485566,,             24541842,             36127211,,             11581896,             41605650,             21595386,              8000235,,              5673814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      6153221,              0,,,              0,              1690803,              4099803,          2834795870,,            174604110,             14217662,             62846494,                              0,,             49688946,              4127281,          2200574430,             90249966,,              1631776,,              4299116,,             27936803,,              6495000,,              4349467,          2641021051,,,,             75055000,              7251368,                 68272,             82374640,              9461716,,              3939770,                465368,             11507328,             15912466,,                 30551,                602492,                633043,            108381865,,             85392954,            193774819,                              0,                              0,                              0,
2887,2013年06月30日,,             56582504,            141565296,             90680427,            228224328,                 82629,              6936868,,             98137437,,,          1822578268,            188438984,                243235,,              8108074,,             15454246,             27668792,,             11606932,             41661573,             21644880,              8485925,,              8924019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1623794,              4106472,          2755085891,,            155606337,             16917216,             33873788,                              0,,             56573168,              3813721,          2170854589,             90308743,,                646950,,              4314536,,             23152621,,              6455021,,              3892856,          2566409546,,,,             68915233,              7251368,                              0,             82306368,              9443781,,              3939770,                465368,              8236802,             12641940,,                 53917,                264471,                318388,            104710477,,             83965868,            188676345,                              0,                              0,                              0,              6139767
