證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 其他金融負債－流動,　　　 投資性不動產淨額,　　　　 投資性不動產淨額
2109,2015年09月30日,,,,              1302689,,                 99616,,                  5057,,                 48157,,                831989,,                 74755,,,              1352261,              1352261,,                423085,                 63364,                486449,              4200973,,,                 17840,,                299427,                299427,,              3863003,                 34932,,,                 69214,                 83759,,                  3895,                156868,              4372070,              8573043,,,,,                594976,,                 61267,,                434449,,                486433,                 90481,,,                              0,                              0,,                 88714,                 88714,                 63580,                152294,              1819900,,,              1184072,,                232775,,                282783,                    216,                  3028,                286027,              1702874,              3522774,,,,              3258325,              3258325,,                135427,,                448921,,                216084,                              0,              4058757,                991512,              5050269,              8573043,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2015年06月30日,,,,              1535317,,                 95360,,                  4996,,                 54414,,                902063,,                 79240,,,              1333182,              1333182,,                172047,                 59776,                231823,              4236395,,,                 17840,,                347348,                347348,,              3814464,                 35582,,,                 69543,                 80965,,                  4061,                154569,              4369803,              8606198,,,,,                493331,,                 52876,,                465302,,                817584,                111834,,,                              0,                              0,,                 86552,                 86552,                 80708,                167260,              2108187,,,              1085688,,                203202,,                287292,                    216,                  3028,                290536,              1579426,              3687613,,,,              3258325,              3258325,,                135427,,                442036,,                130264,                              0,              3966052,                952533,              4918585,              8606198,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2015年03月31日,,,,              1600110,,                118941,,                  5397,,                 64228,,                970540,,                119241,,,              1441948,              1441948,,                134110,                 75952,                210062,              4530467,,,                 17840,,                356046,                356046,,              3876840,                 33250,,,                 24975,                 82643,,                  4395,                112013,              4395989,              8926456,,,,,                514222,,                 94934,,                577963,,                418967,                125614,,,                              0,                              0,,                 87025,                 87025,                 83021,                170046,              1901746,,,              1133225,,                213466,,                296406,                    166,                  3028,                299600,              1646291,              3548037,,,,              3258325,              3258325,,                135427,,                792605,,                194509,                              0,              4380866,                997553,              5378419,              8926456,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2014年12月31日,,,,              1667308,,                136590,,                  4258,,                149648,,                928757,,                 97428,,,              1543862,              1543862,,                 79455,                 74032,                153487,              4681338,,,                 17840,,                359555,                359555,,              3933661,                 32206,,,                 23669,                 83954,,                  2406,                110029,              4453291,              9134629,,,,,                527317,,                114744,,                626667,,                544029,                 86921,,,                              0,                              0,,                 87402,                 87402,                 80873,                168275,              2067953,,,              1236614,,                217311,,                298226,                    166,                  3028,                301420,              1755345,              3823298,,,,              3368015,              3368015,,                139677,,                875258,,                214027,                243555,              4353422,                957909,              5311331,              9134629,     10969000,              0,     10969000,              1667308,              9134629,,,,                527317,,                114744,,                626667,,                544029,                 86921,,,                              0,                              0,,                 87402,                 87402,                 80873,                168275,              2067953,,,              1236614,,                217311,,                298226,                    166,                  3028,                301420,              1755345,              3823298,,,,              3368015,              3368015,,                139677,,                875258,,                214027,                243555,              4353422,                957909,              5311331,,,,,
2109,2014年09月30日,,,,              1625670,,                 83669,,                              0,,                 74768,,                877504,,                 95113,,,              1393357,              1393357,,                 49812,                 85684,                135496,              4285577,,,                 17840,,                342369,                342369,,              3921182,                 28339,,,                 60623,                 76516,,                  1713,                138852,              4448582,              8734159,,,,,                565613,,                 65107,,                607751,,                295442,                 70718,,,                634223,                634223,,                 43039,                 43039,                 85079,                762341,              2366972,,,              1067742,,                142398,,                302748,                    166,                  3028,                305942,              1516082,              3883054,,,,              3368015,              3368015,,                139677,,                317434,,                124410,                              0,              3949536,                901569,              4851105,              8734159,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2014年06月30日,,,,              1639299,,                 46038,,                              0,,                113298,,                926525,,                 98212,,,              1289416,              1289416,,                120659,                 44291,                164950,              4277738,,,                 17840,,                137897,                137897,,              3828702,                 30332,,,                 61496,                 75173,,                  1689,                138358,              4153129,              8430867,,,,,                661687,,                105330,,                538852,,                340207,                 83995,,,                654145,                654145,,                 42740,                 42740,                 92768,                789653,              2519724,,,                812069,,                142398,,                306793,                    166,                  3028,                309987,              1264454,              3784178,,,,              3368015,              3368015,,                139677,,                208440,,                 77875,                              0,              3794007,                852682,              4646689,              8430867,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2014年03月31日,,,,              1156844,,                206751,,                 50137,,                 35356,,                913021,,                 85202,,,              1331909,              1331909,,                426487,                 52341,                478828,              4258048,,,                 17840,,                              0,                              0,,              4016094,                 41572,,,                 66056,                 99112,,                 17289,                182457,              4257963,              8516011,,,,,                741791,,                189444,,                485756,,                258159,                127219,,,                535950,                535950,,                681420,                681420,                 97530,              1314900,              3117269,,,                179900,,                142398,,                311192,                    166,                  3028,                314386,                636684,              3753953,,,,              3368015,              3368015,,                139677,,                242615,,                121912,                              0,              3872219,                889839,              4762058,              8516011,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,2013年12月31日,,,,,,                207441,,                 10537,,                 49080,,                853645,,                 22442,,,              1341170,              1341170,,                471939,                 77390,                549329,              4596241,,,                 17840,,                              0,                              0,,              4003210,                 53542,,,                 49341,                100141,,                 18073,                167555,              4242147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1562597,              8838388,,,,                826768,,                218433,,                582942,,                330285,                 97979,,,                549584,                549584,,                676847,                676847,                 82025,              1308456,              3364863,,,                426582,,                142398,,                314426,                    166,                  3028,                317620,                886600,              4251463,,,,              3368015,              3368015,,                139677,,                177814,,                 79224,                              0,              3764730,                822195,              4586925,,                              0,                 82025,,
2109,2013年09月30日,,,,,,                139661,,                 35774,,                 69461,,                796384,,                 36388,,,              1307512,              1307512,,                440262,                 95032,                535294,              3695193,,,                 35240,,                              0,                              0,,              3991531,                 50683,,,                 11491,                 99013,,                 19352,                129856,              4207310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                774719,              7902503,,,,              1042819,,                232864,,                602981,,                245771,                 47224,,,                              0,                              0,,                609761,                609761,                 77326,                687087,              2858746,,,                514196,,                146863,,                319984,                    130,                  3028,                323142,                984201,              3842947,,,,              3923567,              3923567,,                  9177,,               -772589,,                 88419,,              3248574,                810982,              4059556,,,,,
2109,2013年06月30日,,,,,,                 87799,,                              0,,                 54927,,                841076,,                 89416,,,              1321577,              1321577,,                302280,                 67855,                370135,              3923604,,,                 35240,,                              0,                              0,,              4078838,                 39056,,,                  8113,                100786,,                 19911,                128810,              4281944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1158674,              8205548,,,,              1143954,,                271940,,                652036,,                240631,                 47631,,,                              0,                              0,,                558148,                558148,                 68192,                626340,              2982532,,,                778087,,                149774,,                323376,                    130,                  3028,                326534,              1254395,              4236927,,,,              3923567,              3923567,,                  9177,,               -881121,,                128938,,              3180561,                788060,              3968621,,,,,
