證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　 庫藏股票,　　　 當期所得稅負債
8201,2015年09月30日,,,,                551884,,                              0,,                  1255,,                 73705,,                 37171,,                109635,,                  3605,,                 82677,,                109444,                 23112,                132556,                992488,,,                344536,,                172860,,                 24492,,                301293,,                 65458,                  6000,,                  4821,,                  8041,,                  2217,                 15079,                929718,              1922206,,,,,                              0,,                    319,,                123387,,                 81819,,                  1714,,                 72545,                279784,,,                 16752,,                143069,                  6723,                149792,                166544,                446328,,,,                890947,                890947,,                635323,,,               -114424,               -114424,,                 64032,              1475878,                              0,              1475878,              1922206,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,2015年06月30日,,,,                497311,,                              0,,                    475,,                 68963,,                 94255,,                 34860,,                  3401,,                 99221,,                345835,                 22026,                367861,              1166347,,,                301249,,                176400,,                 24874,,                300202,,                 69650,                 12293,,                  5610,,                  8041,,                  4071,                 17722,                902390,              2068737,,,,,                192731,,                              0,,                101819,,                 85473,,                  2421,,                 16007,                398451,,,                 15269,,                142521,                  8121,                150642,                165911,                564362,,,,                890947,                890947,,                635323,,,                -87061,                -87061,,                 65166,              1504375,                              0,              1504375,              2068737,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,2015年03月31日,,,,                447676,,                              0,,                  1519,,                 93351,,                 46440,,                 13116,,                  2883,,                159508,,                665171,                 19810,                684981,              1449474,,,                291385,,                176400,,                 25814,,                302462,,                 79618,                 12293,,                  5626,,                  8041,,                  2161,                 15828,                903800,              2353274,,,,,                364958,,                    182,,                 87484,,                111004,,                  2792,,                 58389,                624809,,,                 16456,,                142525,                  8520,                151045,                167501,                792310,,,,                890947,                890947,,                914593,,,               -307361,               -307361,,                 62785,              1560964,                              0,              1560964,              2353274,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,2014年12月31日,,,,                292402,,                  1026,,                    871,,                 76695,,                 26670,,                 27455,,                  2640,,                333483,,              1804112,                 22876,              1826988,              2588230,,,                322898,,                155400,,                 28763,,                305445,,                 81249,                 12293,,                  5909,,                  8017,,                 22086,                 36012,                942060,              3530290,,,,,              1366675,,                              0,,                196256,,                172698,,                  3628,,                 19296,              1758553,,,                 17823,,                148006,                  8641,                156647,                174470,              1933023,,,,                890947,                890947,,                914593,,,               -279270,               -279270,,                 70997,              1597267,                              0,              1597267,              3530290,              0,              0,              0,                292402,                  2640,              3530290,,,,              1366675,,                              0,,                196256,,                172698,,                  3628,,                 19296,              1758553,,,                 17823,,                148006,                  8641,                156647,                174470,              1933023,,,,                890947,                890947,,                914593,,,               -279270,               -279270,,                 70997,              1597267,                              0,              1597267,,,,
8201,2014年09月30日,,,,                262732,,                              0,,                  2937,,                109919,,                 24619,,                 38481,,                  2003,,                219410,,              2363600,                 22821,              2386421,              3046522,,,                288042,,                155400,,                 29303,,                314025,,                 93305,                 62835,,                  6827,,                  7945,,                  3179,                 17951,                960861,              4007383,,,,,              1876377,,                    640,,                 81378,,                 87126,,                  3834,,                 18547,              2067902,,,                 13857,,                171569,                  3929,                175498,                189355,              2257257,,,,                890947,                890947,,                914593,,,               -111514,               -111514,,                 56100,              1750126,                              0,              1750126,              4007383,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,2014年06月30日,,,,                293992,,                              0,,                    959,,                125904,,                 16992,,                 32170,,                  2856,,                284394,,              2355950,                 33459,              2389409,              3146676,,,                284088,,                150000,,                 32330,,                317826,,                 97014,                 62835,,                  6585,,                  7945,,                  7401,                 21931,                966024,              4112700,,,,,              1893132,,                    781,,                161136,,                 82823,,                  3599,,                 26305,              2167776,,,                 11560,,                171319,                  2830,                174149,                185709,              2353485,,,,                890947,                890947,,                914593,,,                -93273,                -93273,,                 46948,              1759215,                              0,              1759215,              4112700,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,2014年03月31日,,,,                394681,,                              0,,                  2064,,                163228,,                 32765,,                 35282,,                  3362,,                199613,,              2259230,                 24554,              2283784,              3114779,,,                287742,,                150000,,                 37256,,                322346,,                101073,                 62836,,                  7230,,                  7945,,                  2205,                 17380,                978633,              4093412,,,,,              1599559,,                    631,,                342450,,                 86526,,                  3631,,                 27363,              2060160,,,                 13715,,                170764,                  3266,                174030,                187745,              2247905,,,,                890947,                890947,,              1465927,,,               -566877,               -566877,,                 55510,              1845507,                              0,              1845507,              4093412,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8201,2013年12月31日,,,,,,                              0,,                  1171,,                103950,,                  5347,,                 32363,,,,                514413,,              1084504,                 66011,              1150515,              2506657,,,                280116,,                150000,,                 40586,,                327427,,                127389,                 69458,,                  7844,,                  8872,,                  1473,                 18189,              1013165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                695846,                  3052,              3519822,,,,                873954,,                    704,,                380106,,                155807,,                  5022,,                 58023,              1473616,,,                 12437,,                170554,                  2936,                173490,                185927,              1659543,,,,                890947,                890947,,              1465927,,,               -551334,               -551334,,                 54739,              1860279,                              0,              1860279,                              0,                              0,                              0,
8201,2013年09月30日,,,,,,,,                  1626,,                236967,,                  8932,,                 39015,,,,                256303,,              1487549,                 48079,              1535628,              2923259,,,                409713,,                150000,,                 51305,,                335141,,                310112,                 87661,,                  9150,,                  8812,,                  1129,                 19091,              1363023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                843034,                  1754,              4286282,,,,              1512314,,                    326,,                204948,,                162496,,                  4948,,                 27405,              1912437,,,                  8491,,                180795,                  3887,                184682,                193173,              2105610,,,,                890947,                890947,,              1465927,,,               -226860,               -226860,,                 50658,              2180672,                              0,              2180672,,,,
8201,2013年06月30日,,,,,,,,                  1602,,                145070,,                 11492,,                 26597,,,,                223330,,              1255903,                 39598,              1295501,              2784373,,,                392474,,                150000,,                 56861,,                343399,,                244985,                 93161,,                 11593,,                  8812,,                 66635,                 87040,              1367920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1079203,                  1578,              4152293,,,,              1392790,,                    214,,                103932,,                145737,,                  4286,,                 19802,              1666761,,,                  8497,,                194563,                  3646,                198209,                206706,              1873467,,,,                890947,                890947,,              1465927,,,               -132790,               -132790,,                 54742,              2278826,                              0,              2278826,,,,
