證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
2359,2015年09月30日,,,,              2003918,,                 75591,,                              0,,                 62182,,              1327318,,                 14092,,                              0,,                343070,,                146772,,                 41530,              4014473,,,                  2718,,                145876,,                 10370,,                474094,,              1056492,,                     11,                 28185,,                125336,              1843082,              5857555,,,,,                 54870,,                              0,,                  8838,,                460371,,                172422,                 80732,,                  5749,,                198441,                981423,,,                  8076,,                 20880,                 28956,              1010379,,,,              1714711,              1714711,,                 32683,                  8247,                  4968,                  9473,                 28613,                 83984,,                275582,                              0,,              2225597,              2501179,,,                 66424,,                              0,                 66424,                  6042,              4360256,                486920,              4847176,              5857555,              0,              0,        100432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,2015年06月30日,,,,              1846887,,                103347,,                              0,,                 71682,,              1349507,,                 17194,,                              0,,                238494,,                172135,,                 41530,              3840776,,,                  3908,,                143183,,                 10029,,                421780,,              1116702,,                     30,                 30592,,                124628,              1850852,              5691628,,,,,                 46335,,                              0,,                  4249,,                401114,,                338346,                 75093,,                  6536,,                117836,                989509,,,                  8076,,                 21620,                 29696,              1019205,,,,              1714711,              1714711,,                 32683,                  8981,                  4968,                  9473,                 28613,                 84718,,                275582,                              0,,              2122763,              2398345,,,                 20084,,                              0,                 20084,                  6042,              4211816,                460607,              4672423,              5691628,              0,              0,        100432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,2015年03月31日,,,,              1733746,,                100901,,                              0,,                 75381,,              1346847,,                 14330,,                     30,,                248369,,                245330,,                 41530,              3806464,,,                  8170,,                149087,,                  9593,,                429818,,              1119634,,                     58,                 37886,,                122371,              1876617,              5683081,,,,,                 34785,,                              0,,                  8640,,                424093,,                152875,                 88390,,                  6844,,                 92899,                808526,,,                  8076,,                 22076,                 30152,                838678,,,,              1714711,              1714711,,                 32683,                  8981,                  4968,                  9473,                 28613,                 84718,,                241649,                              0,,              2310628,              2552277,,,                 37429,,                              0,                 37429,                  6042,              4383093,                461310,              4844403,              5683081,              0,              0,        100432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,2014年12月31日,,,,              1655218,,                203095,,                              0,,                 53524,,              1399336,,                 14798,,                  5663,,                296517,,                325591,,                 44749,              3998491,,,                 11461,,                149507,,                  9575,,                426074,,              1122537,,                     86,                 29050,,                176117,              1924407,              5922898,,,,,                164625,,                              0,,                  7359,,                528522,,                187650,                 83099,,                  8450,,                147636,              1127341,,,                 10837,,                 23483,                 34320,              1161661,,,,              1714711,              1714711,,                 32683,                              0,                 13835,                  9473,                 28613,                 84604,,                241649,                              0,,              2223739,              2465388,,,                 49323,,                              0,                 49323,                  6042,              4307984,                453253,              4761237,              5922898,              0,              0,        100432,              1655218,                              0,                  5663,              5922898,,,,                164625,,                  7359,,                528522,,                187650,                 83099,,                  8450,,                147636,              1127341,,,                 10837,,                 23483,                 34320,              1161661,,,,              1714711,              1714711,,                 32683,                 13835,                  9473,                 28613,                 84604,,                241649,                              0,,              2223739,              2465388,,,                 49323,,                              0,                 49323,                  6042,              4307984,                453253,              4761237,,
2359,2014年09月30日,,,,              1536255,,                121969,,                163229,,                 68548,,              1247336,,                 26887,,                  5663,,                274794,,                164453,,                 44249,              3653383,,,                 12204,,                147258,,                  8709,,                415991,,              1131403,,                    110,                 22928,,                127838,              1866441,              5519824,,,,,                121463,,                 10349,,                  4094,,                407382,,                173178,                 62651,,                  8416,,                101031,                888564,,,                              0,,                 25114,                 25114,                913678,,,,              1714711,              1714711,,                 32683,                              0,                  4887,                  9473,                 28613,                 75656,,                241649,                              0,,              2127329,              2368978,,,                 13833,,                 -3528,                 10305,                  6042,              4163608,                442538,              4606146,              5519824,              0,              0,        100432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,2014年06月30日,,,,              1384929,,                171151,,                235690,,                 42931,,              1190744,,                 22005,,                  5663,,                251697,,                200440,,                 44249,              3549499,,,                147034,,                143908,,                  8878,,                412596,,              1134502,,                    133,                 23110,,                178712,              2048873,              5598372,,,,,                 34805,,                 49421,,                     57,,                487803,,                167489,                 71652,,                  8227,,                118605,                938059,,,                              0,,                 26083,                 26083,                964142,,,,              1824160,              1824160,,                 32683,                              0,                  4887,                  9473,                 28613,                 75656,,                241649,                              0,,              2002404,              2244053,,,                -13290,,                 89093,                 75803,                  6106,              4213566,                420664,              4634230,              5598372,              0,              0,        106843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,2014年03月31日,,,,              1342660,,                208355,,                277019,,                 28228,,              1246784,,                 23827,,                  5705,,                219165,,                199421,,                 42222,              3593386,,,                141518,,                124267,,                  9589,,                414432,,              1137425,,                    162,                 19777,,                111443,              1958613,              5551999,,,,,                128830,,                  1936,,                    793,,                397189,,                149693,                 89706,,                 14974,,                 92746,                875867,,,                              0,,                 26799,                 26799,                902666,,,,              1824160,              1824160,,                 32683,                              0,                  4887,                  9473,                 28613,                 75656,,                232966,                159081,,              1857066,              2249113,,,                  8535,,                 83577,                 92112,                  6106,              4234935,                414398,              4649333,              5551999,              0,              0,        106843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,2013年12月31日,,,,,,                147486,,,,                 34779,,              1095687,,                 17926,,,,                225449,,                359766,,                 44190,              3473754,,,                139141,,                123382,,                  9891,,                427275,,              1135818,,                    189,                 32149,,                 98908,              1966753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        106843,              1483192,                 59600,                  5679,              5440507,,,,                 88164,,                  6352,,                420318,,                176288,                 62602,,                 13888,,                126164,                893776,,,                  8398,,                 27012,                 35410,                929186,,,,              1824160,              1824160,,                 32683,                  4887,                  9473,                 28613,                 75656,,                232966,                159081,,              1730860,              2122907,,,                  9669,,                 81200,                 90869,                  6106,              4107486,                403835,              4511321,,
2359,2013年09月30日,,,,,,                149332,,,,                 53634,,              1086224,,                 29686,,,,                286849,,                230266,,                 52222,              3493943,,,                150693,,                124070,,                 23077,,                434082,,              1131606,,                    212,                 19407,,                 86786,              1969933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        106843,              1605730,                              0,                              0,              5463876,,,,                 76340,,                 12305,,                576158,,                165401,                 50232,,                 14679,,                118371,              1013486,,,                              0,,                 28097,                 28097,              1041583,,,,              1824160,              1824160,,                 32683,                  4887,                  9473,                 28613,                 75656,,                232966,                159081,,              1710015,              2102062,,,                 -7347,,                 46823,                 39476,                  6106,              4035248,                387045,              4422293,,                              0
2359,2013年06月30日,,,,,,                135351,,,,                 54672,,              1091300,,                 22187,,,,                316999,,                120493,,                127079,              3482175,,,                163721,,                124646,,                 23467,,                438283,,              1134547,,                    248,                 19353,,                101612,              2005877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        110148,              1608415,                              0,                  5679,              5488052,,,,                159416,,                  7210,,                508211,,                149985,                 46121,,                 15072,,                 93617,                979632,,,                              0,,                 28336,                 28336,              1007968,,,,              1880577,              1880577,,                 32683,                  4968,                  9473,                 28613,                 75737,,                232966,                159081,,              1685250,              2077297,,,                  6486,,                 59849,                 66335,                  6139,              4093807,                386277,              4480084,,                              0
