證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 當期所得稅資產合計,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 長期借款,　　　　 長期借款合計
2488,2015年09月30日,,,,                757809,,                372646,,                  1241,,                286021,,                 11491,,                              0,,                391997,,                 88792,              1909997,,,                445303,,                167437,,                  2054,                    980,,                  3659,                    671,                 48451,,                    342,                 53123,                668897,              2578894,,,,,                 49305,,                              0,,                    636,,                  2277,,                390439,,                103685,                 11873,,,                 40960,                 40960,                599175,,,                146037,,                 86268,                  1837,                 88105,                234142,                833317,,,,                799994,                799994,,,                 33594,                 33594,,                316217,                199263,,                327323,                842803,,,                 55251,                 55251,              1731642,                 13935,              1745577,              2578894,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,2015年06月30日,,,,                724394,,                397065,,                              0,,                234745,,                 14264,,,,                305787,,                 98941,              1775196,,,                440219,,                167437,,                  2368,                    924,,                  3329,                    636,                 46949,,                    353,                 51267,                662215,              2437411,,,,,                 18000,,                  5000,,                    571,,                    288,,                279104,,                229105,                 11752,,,                 36440,                 36440,                580260,,,                127552,,                 87359,                  1837,                 89196,                216748,                797008,,,,                799994,                799994,,,                 33594,                 33594,,                316217,                199263,,                259713,                775193,,,                 19958,                 19958,              1628739,                 11664,              1640403,              2437411,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,2015年03月31日,,,,                797275,,                385048,,                     14,,                167296,,                  6186,,,,                303869,,                 86485,              1746173,,,                443309,,                167437,,                  2531,                    869,,                  3078,                    654,                 47927,,                    489,                 52148,                666294,              2412467,,,,,                 63210,,                 30000,,                    607,,                  1165,,                255855,,                 88360,                  8179,,,                 20545,                 20545,                467921,,,                119952,,                 87950,                  1837,                 89787,                209739,                677660,,,,                799994,                799994,,,                 33594,                 33594,,                298110,                199263,,                361849,                859222,,,                 29766,                 29766,              1722576,                 12231,              1734807,              2412467,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,2014年12月31日,,,,              1045776,,                307268,,                    417,,                254121,,                 17891,,                              0,,                277864,,                 74649,              1977986,,,                450747,,                167437,,                  2895,                    803,,                     63,                    664,                 48745,,                    637,                 50109,                671991,              2649977,,,,,                310170,,                              0,,                              0,,                  2748,,                296148,,                107653,                  7830,,,                 23511,                 23511,                748060,,,                115720,,                 88341,                  1837,                 90178,                205898,                953958,,,,                799994,                799994,,,                 33594,                 33594,,                298110,                199263,,                315506,                812879,,,                 37063,                 37063,              1683530,                 12489,              1696019,              2649977,              0,              0,              0,              1045776,              2649977,,,,                310170,,                              0,,                  2748,,                296148,,                107653,                  7830,,,                 23511,                 23511,                748060,,,                115720,,                 88341,                  1837,                 90178,                205898,                953958,,,,                799994,                799994,,,                 33594,                 33594,,                298110,                199263,,                315506,                812879,,,                 37063,                 37063,              1683530,                 12489,              1696019,,,,,,,,,,,
2488,2014年09月30日,,,,                820627,,                398628,,                    136,,                205735,,                 29960,,                  3595,,                320745,,                 60337,              1839763,,,                450112,,                167437,,                  3262,                    926,,                    335,                    642,                 47705,,                    797,                 49479,                671216,              2510979,,,,,                246016,,                 30000,,                              0,,                    605,,                304947,,                105588,                    296,,,                 19826,                 19826,                707278,,,                104969,,                 82906,                  1836,                 84742,                189711,                896989,,,,                799994,                799994,,,                 33594,                 33594,,                298110,                199263,,                255215,                752588,,,                 16354,                 16354,              1602530,                 11460,              1613990,              2510979,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,2014年06月30日,,,,                828898,,                403660,,                              0,,                221032,,                  8885,,,,                234291,,                 50300,              1747066,,,                450623,,                167437,,                  3617,                  1269,,                  1519,                    629,                 46704,,                  1041,                 49893,                672839,              2419905,,,,,                183311,,                              0,,                              0,,                    630,,                194360,,                261736,                 18629,,,                 24656,                 24656,                683322,,,                 95591,,                 83484,                  1049,                 84533,                180124,                863446,,,,                799994,                799994,,,                 33594,                 33594,,                298110,                199263,,                214350,                711723,,,                    342,                    342,              1545653,                 10806,              1556459,              2419905,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,2014年03月31日,,,,                890021,,                436932,,                              0,,                182748,,                 10833,,,,                319239,,                 48306,              1888079,,,                456385,,                167437,,                    475,                    377,,                  4746,                    640,                 47880,,                  1307,                 54573,                679247,              2567326,,,,,                297083,,                              0,,                              0,,                  1995,,                239205,,                 94779,                 39626,,,                 24342,                 24342,                697030,,,                 93338,,                 83073,                  1049,                 84122,                177460,                874490,,,,                799994,                799994,,,                 33594,                 33594,,                270704,                199263,,                367843,                837810,,,                 10707,                 10707,              1682105,                 10731,              1692836,              2567326,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,2013年12月31日,,,,,,                275151,,                    417,,                393909,,                 10338,,,,                287522,,                 52489,              1878004,,,                465957,,                167437,,                    431,                    377,,                  4843,                    628,                 48483,,                  1551,                 55505,                689707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                858178,              2567711,,,,                259347,,                  5000,,                  1696,,                269388,,                127624,                 37932,,,                 38046,                 38046,                739033,,,                 91178,,                 85664,                    599,                 86263,                177441,                916474,,,,                799994,                799994,,,                 33594,                 33594,,                270704,                199263,,                325994,                795961,,,                 10986,                 10986,              1640535,                 10702,              1651237,                              0,,                              0,,                              0,,                              0,,                              0,,
2488,2013年09月30日,,,,,,                234939,,                              0,,                448669,,                 27100,,,,                397082,,                 37741,              1776812,,,                464988,,                167437,,                    530,                  5099,,                  1031,                    624,                 47891,,                  1742,                 51288,                698497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                631281,              2475309,,,,                205162,,                              0,,                    876,,                396767,,                122408,                 18902,,,                 29504,                 29504,                774839,,,                 90150,,                 87695,                    599,                 88294,                178444,                953283,,,,                799994,                799994,,,                 33594,                 33594,,                270704,                199263,,                206583,                676550,,,                  1625,                  1625,              1511763,                 10263,              1522026,                              0,,                              0,,                  9155,,                  1220,,                              0,,
2488,2013年06月30日,,,,,,                310601,,                              0,,                278232,,                 17340,,,,                293273,,                 41180,              1701118,,,                466850,,                167437,,                    629,                  5712,,                    405,                    724,                 48823,,                  1977,                 51929,                701845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                760492,              2402963,,,,                189000,,                              0,,                  4447,,                385469,,                146637,                 12596,,,                 31180,                 31180,                772352,,,                 83866,,                 87310,                    853,                 88163,                172029,                944381,,,,                799994,                799994,,,                 33594,                 33594,,                270704,                199263,,                135931,                605898,,,                  8455,                  8455,              1447941,                 10641,              1458582,,,                              0,,                  9288,,                  3023,,                              0,,
