證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 現金及約當現金合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 按攤銷後成本衡量之金融資產－流動,　　　　 按攤銷後成本衡量之金融資產－流動淨額,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 應收建造合約款－關係人,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 預付款項,　　　　 預付款項合計,　　　 待分配予業主之非流動資產（或處分群組）淨額,　　　　 待分配予業主之非流動資產（或處分群組）淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期應付票據及款項－關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 待分配股票股利,　　　　 存出保證金,　　　　 預付退休金－非流動,　　　 應付票據,　　　　 應付票據合計,　　　　 銀行存款,　　　　 其他非流動負債－其他,　　　　　 其他非流動資產－其他,　　　　 零用金／週轉金,　　　　 應收帳款－關係人,　　　　 其他應收款－其他,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 土地成本,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　 模具設備淨額,　　　　　 模具設備淨額,　　　　 專利權淨額,　　　　　 專利權,　　　　　 累計減損－專利權,　　　　　 專利權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 累計減損－電腦軟體,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 銀行借款,　　　　 應付票據,　　　　 銀行長期借款,　　　　 遞延所得稅負債－其他,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－處分資產增益,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計
2231,2015年09月30日,,,,                871504,,                              0,                              0,,                 11427,,                959578,,                 11456,,                379375,,                 35439,              2268779,,,                876761,,                 59348,                  2083,,,                  6002,                  6002,                 19645,,                 63422,                 89069,              1027261,              3296040,,,,,                              0,,                176627,,                  7033,,                579763,                114646,                694409,                 79681,,,                 22056,                              0,                 22056,                 20329,                 42385,              1000135,,,                              0,,                  1871,,                 18131,,                    850,                    128,                    978,                 20980,              1021115,,,,                724861,                108606,                833467,,                234678,,              1107011,,                 66665,              2241821,                 33104,              2274925,              3296040,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2015年06月30日,,,,                781224,,,,,                  6293,,                829068,,                  5361,,                357089,,                 34494,              2013529,,,                864402,,                 56399,                  2066,,,                  6002,                  6002,                 19027,,                 52337,                 77366,              1000233,              3013762,,,,,                 24695,,                166137,,                  7195,,                437066,                111927,                548993,                 81773,,,                 25750,                 60000,                 85750,                 27712,                113462,                942255,,,                              0,,                  2010,,                 13542,,                    963,                    125,                  1088,                 16640,                958895,,,,                724424,                108606,                833030,,                245797,,                902268,,                 44261,              2025356,                 29511,              2054867,              3013762,,              0,              0,,                              0,,                357089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2015年03月31日,,,,                625832,,,                      6,,                  6893,,                696705,,                  6963,,                370269,,                 83892,              1790560,,,                848093,,                 57356,                  2072,,,,                 13263,                 19453,,                 19882,                 52598,                960119,              2750679,,,,,                 25223,,                149139,,                  8278,,,,                 98311,                129066,,,                 27854,                 20000,                 47854,                 27858,                 75712,                485729,,,                              0,,                  2292,,                 14951,,                  1077,                     18,                  1095,                 18338,                504067,,,,                724166,,                724166,,                243811,,              1195635,,                 51140,              2214752,                 31860,              2246612,              2750679,              0,              0,              0,,,,                370269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2014年12月31日,,,,                465660,,                     37,                     37,,                  5589,,                608506,,                 22740,,                327495,,                 75656,              1505683,,,                852418,,                 58066,                  2503,,,                  7129,                  7129,                 19794,,                  7756,                 34679,                947666,              2453349,,,,,                 25286,,                129867,,                  7594,,                              0,                133723,                133723,                100134,,,                 29550,                              0,                 29550,                 15782,                 45332,                441936,,,                              0,,                  2572,,                 15898,,                  1233,                      9,                  1242,                 19712,                461648,,,,                723953,                              0,                723953,,                242184,,                937794,,                 55760,              1959691,                 32010,              1991701,              2453349,              0,              0,              0,,                     37,,                327495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2014年09月30日,,,,                237896,,                     70,                     70,,                  6426,,                665745,,                  8599,,                332878,,                 33118,              1284732,,,                804112,,                 51693,                    988,,,                  7026,                  7026,                 19330,,                 39571,                 65927,                922720,              2207452,,,,,                 24248,,                125630,,                  9687,,                              0,                 97706,                 97706,                 53143,,,                              0,                110000,                110000,                 14356,                124356,                434770,,,                 84366,,                  2713,,                  9153,,                    740,                      6,                    746,                 96978,                531748,,,,                717380,                              0,                717380,,                193030,,                693451,,                 41017,              1644878,                 30826,              1675704,              2207452,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2014年06月30日,,,,                517698,,,,,                  3480,,                560169,,                 10802,,                298122,,                 29303,              1419675,,,                750906,,                 47391,                  1474,,,                  6812,                  6812,                 18996,,                 43442,                 69250,                869021,              2288696,,,,,                 71985,,                117660,,                  8491,,                374822,                 81021,                455843,                 57932,,,                              0,                              0,                              0,                 11164,                 11164,                723075,,,                 96280,,                  2987,,                  7104,,                    928,                      9,                    937,                107308,                830383,,,,                624011,                 92034,                716045,,                182019,,                497635,,                 31010,              1426709,                 31604,              1458313,              2288696,,              0,              0,,                    101,,                298122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2014年03月31日,,,,                465559,,,                    510,,                  4597,,                479430,,                 10769,,                311978,,                 25953,              1298796,,,                752131,,                 46052,                  1493,,,,                  6899,                 19497,,                 18169,                 44565,                844241,              2143037,,,,,                 72985,,                113783,,                 10692,,,,                 86581,                 65294,,,                              0,                              0,                              0,                 10265,                 10265,                359600,,,                173337,,                              0,,                  8527,,                  1834,                     12,                  1846,                183710,                543310,,,,                616166,,                616166,,                112207,,                799715,,                 37960,              1566048,                 33679,              1599727,              2143037,              0,              0,              0,,,,                311978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2013年12月31日,,,,,,,                    200,,                  6052,,                424252,,                  8821,,                288320,,                 21780,              1175146,,,                733470,,                 44986,                  1499,,,,                  6887,                 19723,,                 17590,                 44200,                824155,,,,,,,,,,,,,,,,,,,,,,,,,                210434,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,                288320,                425721,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                153740,,                342820,,                 79468,,                  2820,,                154622,                              0,              1999301,,,,                 95250,,                121648,,                 10843,,                 74338,                 42789,,,                              0,                              0,                              0,                              0,                              0,                 14523,                 14523,                359391,,,                210434,,                              0,,                  8604,,                  2083,                      6,                  2089,                221127,                580518,,,,                612306,                612306,,                 77984,,                657798,,                 38336,              1386424,                 32359,              1418783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2013年09月30日,,,,,,,                              0,,                  2352,,                313382,,                  7470,,                288633,,                 21341,              1116132,,,                739953,,                 43875,                  4081,,,                              0,                              0,                 19526,,                 11673,                 31199,                819108,,,,,,,                102911,,                  9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                288633,                482954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              1935240,,,,                170973,,                102911,,                  9868,,                 76119,                 23342,,,,,,,                              0,                 21646,                 21646,                405209,,,                240287,,                 26500,,                  6779,,                    412,                      6,                    418,                273984,                679193,,,,                605890,                605890,,                 43744,,                540957,,                 32738,              1223329,                 32718,              1256047,,                    350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2013年06月30日,,,,,,                              0,                              0,,                  3840,,                314939,,                  7076,,                267307,,                 16609,              1120858,,,                750058,,                 43606,                  4101,,,                              0,                              0,                 19898,,                  8508,                 28406,                826171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                267307,                511087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              1947029,,,,                 66443,,                 90702,,                  8006,,                304165,                 27250,,,,,,,                250000,                 18160,                268160,                764726,,,                              0,,                              0,,                  7565,,                    412,                      6,                    418,                  7983,                772709,,,,                605890,                605890,,                 34126,,                465118,,                 36576,              1141710,                 32610,              1174320,,,                242356,                 61809,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
