證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 無活絡市場之債券投資－流動淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　　 預付設備款,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 重估增值,　　　　　 重估增值合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
9924,2015年09月30日,,,,              1269402,,                187000,,                              0,,                 28424,,              1825085,,                              0,,                810183,,                 10850,                 88584,                 99434,              4219528,,,                338746,,                 87617,,                438238,,              1742780,,                124805,                 67176,,,                 37313,                 46203,,                 54693,                138209,              2937571,              7157099,,,,,                              0,,                 11832,,                328734,,                861737,,                457097,                 28200,                 85866,,                 15675,                 15675,              1789141,,,                117899,,                264773,                264773,                382672,              2171813,,,,              1884521,              1884521,,,                567114,                567114,,                749806,                 48991,,              1296135,              2094932,,,                167293,,                155977,                323270,              4869837,                115449,              4985286,              7157099,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9924,2015年06月30日,,,,              1233286,,                    892,,,,                 29380,,              1600162,,                              0,,                803867,,                 16274,                 92426,                108700,              3776287,,,                358005,,                 87617,,                762012,,              1718503,,                172119,                 64635,,,                 38905,                 44740,,                 54341,                137986,              3300877,              7077164,,,,,                 91275,,                  8348,,                257529,,                816968,,                723956,                 24434,                 66261,,                 19748,                 19748,              2008519,,,                161997,,                270604,                270604,                432601,              2441120,,,,              1884521,              1884521,,,                567114,                567114,,                749806,                 48991,,              1024694,              1823491,,,                 72892,,                175236,                248128,              4523254,                112790,              4636044,              7077164,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9924,2015年03月31日,,,,              1046598,,                  2382,,,,                 28469,,              1549388,,                              0,,                817104,,                 35870,                120664,                156534,              3600475,,,                355740,,                 99802,,                755721,,              1738179,,                173013,                 69727,,,                 41611,                 45664,,                 49292,                136567,              3328749,              6929224,,,,,                 93031,,                 17632,,                229450,,                791016,,                336176,                 26891,                127081,,                 23818,                 23818,              1645095,,,                141044,,                276700,                276700,                417744,              2062839,,,,              1884521,              1884521,,,                567114,                567114,,                699015,                 48991,,              1276532,              2024538,,,                106416,,                172971,                279387,              4755560,                110825,              4866385,              6929224,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9924,2014年12月31日,,,,              1000962,,                              0,,                              0,,                 24415,,              1575916,,                              0,,                830318,,                 42503,                 83782,                126285,              3557896,,,                333081,,                110057,,                753433,,              1765981,,                175948,                 70117,,,                 37223,                 46419,,                 42889,                126531,              3335148,              6893044,,,,,                 93649,,                 36041,,                249739,,                847741,,                403652,                 26297,                 88926,,                 22935,                 22935,              1768980,,,                142655,,                282308,                282308,                424963,              2193943,,,,              1884521,              1884521,,,                567114,                567114,,                699015,                 48991,,              1110266,              1858272,,,                131499,,                150312,                281811,              4591718,                107383,              4699101,              6893044,              0,              0,              0,,                              0,              1000962,                              0,              6893044,,,,                 93649,,                 36041,,                249739,,                847741,,                403652,                 26297,                 88926,,                 22935,                 22935,              1768980,,,                142655,,                282308,                282308,                424963,              2193943,,,,              1884521,              1884521,,,                567114,                567114,,                699015,                 48991,,              1110266,              1858272,,,                131499,,                150312,                281811,              4591718,                107383,              4699101,,,,,,,,,,,,
9924,2014年09月30日,,,,                810178,,                  2795,,                213552,,                 40651,,              1559289,,                    843,,                760430,,                 23399,                 94914,                118313,              3506051,,,                370468,,                114616,,                718003,,              1640165,,                153940,                 56919,,,                 25410,                 45354,,                 41114,                111878,              3165989,              6672040,,,,,                182907,,                 34184,,                266828,,                813965,,                351672,                 25858,                 59538,,                 15813,                 15813,              1750765,,,                132926,,                263085,                263085,                396011,              2146776,,,,              1884521,              1884521,,,                567114,                567114,,                699015,                 48991,,                993662,              1741668,,,                 61516,,                187699,                249215,              4442518,                 82746,              4525264,              6672040,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9924,2014年06月30日,,,,              1024584,,                145246,,,,                 27673,,              1412184,,                    828,,                719691,,                 50264,                 76286,                126550,              3456756,,,                382175,,                128437,,                670665,,              1403790,,                153223,                 61019,,,                 34360,                 44326,,                169581,                248267,              3108536,              6565292,,,,,                133284,,                 53099,,                240628,,                687768,,                671809,                 23153,                 74388,,                 15500,                 15500,              1899629,,,                117488,,                268526,                268526,                386014,              2285643,,,,              1884521,              1884521,,,                567114,                567114,,                699015,                 48991,,                804608,              1552614,,,                 -1196,,                199406,                198210,              4202459,                 77190,              4279649,              6565292,              0,              0,              0,,                 60960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9924,2014年03月31日,,,,                980360,,                237282,,,,                 25520,,              1220299,,                    845,,                744784,,                 41382,                 66900,                108282,              3317372,,,                381419,,                131920,,                706151,,              1235994,,                 76515,                 58675,,,                 33436,                 45388,,                223806,                302630,              2954264,              6271636,,,,,                135661,,                 62611,,                216420,,                610323,,                233156,                 25256,                 60704,,                  8082,                  8082,              1352213,,,                126116,,                274422,                274422,                400538,              1752751,,,,              1884521,              1884521,,,                567114,                567114,,                640915,                 48991,,              1101555,              1791461,,,                 39160,,                198650,                237810,              4480906,                 37979,              4518885,              6271636,              0,              0,              0,,                 60960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9924,2013年12月31日,,,,,,                278352,,,,                 20754,,              1171353,,                 20883,,                818478,,                 23887,                 74506,                 98393,              3286942,,,                328927,,                133567,,                700987,,              1271743,,                 77429,                 59263,,,                 30609,                 45874,,                201841,                278324,              2911200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                878729,                 60960,              6198142,,,,                 90059,,                      6,,                228470,,                653849,,                317576,                 21147,                 47308,,                 10251,                 10251,              1368666,,,                132017,,                278918,                278918,                410935,              1779601,,,,              1884521,              1884521,,,                567114,                567114,,                640915,                 48991,,              1049431,              1739337,,,                 46099,,                146158,                192257,              4383229,                 35312,              4418541,                              0,,,,,,,,,,,
9924,2013年09月30日,,,,,,                238464,,,,                 20941,,                800221,,                447227,,                680797,,                 99555,                 82896,                182451,              3231431,,,                326284,,                170553,,                661474,,              1282526,,                 78729,                 64237,,,                 29780,                 45264,,                 23412,                 98456,              2743219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                861330,                 60960,              5974650,,,,                 98747,,                    196,,                236857,,                642656,,                244603,                  4659,                 34743,,                 22302,                 22302,              1284763,,,                121721,,                262383,                262383,                384104,              1668867,,,,              1884521,              1884521,,,                567114,                567114,,                640915,                 48991,,                983114,              1673020,,,                  6544,,                143515,                150059,              4274714,                 31069,              4305783,                              0,,,,,,,,,,,
9924,2013年06月30日,,,,,,                230853,,,,                 26151,,                765603,,                532508,,                709972,,                 74231,                 75769,                150000,              3093609,,,                545882,,                177198,,                490787,,              1231012,,                 80366,                 63630,,,                 19738,                 46072,,                102901,                168711,              2818546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                678522,                 60960,              5912155,,,,                              0,,                 16291,,                277386,,                610836,,                510713,                 57465,                 42108,,                 23112,                 23112,              1537911,,,                 81838,,                263908,                263908,                345746,              1883657,,,,              1884521,              1884521,,,                567114,                567114,,                640915,                 48991,,                625942,              1315848,,,                 21419,,                212067,                233486,              4000969,                 27529,              4028498,,,,,,,,,,,,
9924,2013年03月31日,,,,,,                241932,,,,                 16140,,                537485,,                451561,,                646752,,                 56932,                 73488,                130420,              2809385,,,                548610,,                166293,,                501919,,              1166381,,                 78530,                 61701,,,                 18110,                 45449,,                 89644,                153203,              2737597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                785095,                 60960,              5546982,,,,                              0,,                 15707,,                228573,,                463513,,                198498,                  1610,                 40984,,                 18891,                 18891,                967776,,,                 81893,,                271891,                271891,                353784,              1321560,,,,              1884521,              1884521,,,                567114,                567114,,                602270,                 48991,,                873884,              1525145,,,                    846,,                214795,                215641,              4192421,                 33001,              4225422,,,,,,,,,,,,
