證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計
1232,2015年09月30日,,,,              1503910,,                 14365,,                              0,,                145046,,                690573,,                 75810,,                  7204,,              1179964,,                207135,,                  1950,              3825957,,,                  1275,,                563926,,                  1027,                 30146,,                 16468,                 16468,                612842,              4438799,,,,,                171650,,                              0,,                307847,,                 36776,,                275388,                 56809,,                 19414,                867884,,,                  9195,,                 90158,                    970,                 91128,                100323,                968207,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                876624,                    222,,                930533,              1807379,,,                              0,                              0,              3430912,                 39680,              3470592,              4438799,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,2015年06月30日,,,,              1570282,,                  3572,,                              0,,                171541,,                592835,,                 73140,,                  4313,,              1649573,,                195794,,                  1950,              4263000,,,                  1275,,                544174,,                  1297,                 27442,,                 12387,                 12387,                586575,              4849575,,,,,                 25137,,                              0,,                288908,,                 37441,,              1039881,                 98106,,                 67420,              1556893,,,                  7435,,                 90291,                    970,                 91261,                 98696,              1655589,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                876624,                    222,,                656165,              1533011,,,                              0,                              0,              3156544,                 37442,              3193986,              4849575,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,2015年03月31日,,,,              1006790,,                              0,,                              0,,                133771,,                690990,,                 77844,,                 10643,,              2120874,,                190180,,                  1950,              4233042,,,                  1275,,                540742,,                  1271,                 28939,,                 18294,                 18294,                590521,              4823563,,,,,                 79820,,                 19997,,                288038,,                 90849,,                203404,                192372,,                 27471,                904354,,,                  6776,,                 90452,                    970,                 91422,                 98198,              1002552,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                777880,                  5146,,              1373147,              2156173,,,                              0,                              0,              3779706,                 41305,              3821011,              4823563,              0,              0,              0,,                  2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,2014年12月31日,,,,                981164,,                 24124,,                 17109,,                188425,,                660438,,                161859,,                 15847,,              2064385,,                173509,,                  1950,              4288810,,,                  1275,,                555047,,                  1277,                 30555,,                 19546,                 19546,                607700,              4896510,,,,,                345906,,                 10997,,                308043,,                 40589,,                328281,                140491,,                 40586,              1214893,,,                 10489,,                 93149,                  1150,                 94299,                104788,              1319681,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                777880,                  5146,,              1131194,              1914220,,,                   -222,                   -222,              3537531,                 39298,              3576829,              4896510,              0,              0,              0,,                              0,                981164,              4896510,,,,                345906,,                 10997,,                308043,,                 40589,,                328281,                140491,,                 40586,              1214893,,,                 10489,,                 93149,                  1150,                 94299,                104788,              1319681,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                777880,                  5146,,              1131194,              1914220,,,                   -222,                   -222,              3537531,                 39298,              3576829,,,,
1232,2014年09月30日,,,,                255524,,                 18021,,                 15924,,                164624,,                812093,,                 80224,,                  7550,,              1846732,,                184055,,                  1950,              3386697,,,                  1275,,                556516,,                  1554,                 37032,,                 26227,                 26227,                622604,              4009301,,,,,                 16000,,                 35992,,                264657,,                 78660,,                252677,                 66716,,                 20819,                735521,,,                  9706,,                 98021,                    750,                 98771,                108477,                843998,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                777880,                  5146,,                725375,              1508401,,,                 -2967,                 -2967,              3128967,                 36336,              3165303,              4009301,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,2014年06月30日,,,,                337366,,                              0,,                 16954,,                133589,,                815624,,                 75696,,                  3514,,              2590711,,                153581,,                  1950,              4128985,,,                  1275,,                553866,,                  1853,                 31950,,                 20670,                 20670,                609614,              4738599,,,,,                  1138,,                259943,,                307610,,                 52884,,                858992,                101734,,                 31180,              1618080,,,                  6643,,                 98181,                    750,                 98931,                105574,              1723654,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                777880,                  5146,,                576148,              1359174,,,                 -1937,                 -1937,              2980770,                 34175,              3014945,              4738599,              0,              0,              0,,                  4599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,2014年03月31日,,,,                661951,,                 10674,,                 12654,,                210448,,                708216,,                 85563,,                  8198,,              1872187,,                135058,,                  1950,              3706899,,,                  1275,,                569205,,                  2160,                 27457,,                 11441,                 11441,                611538,              4318437,,,,,                  5142,,                  9999,,                254905,,                 34011,,                203814,                145733,,                 72518,                726122,,,                  6756,,                108364,                    750,                109114,                115870,                841992,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                707193,                 40076,,              1072845,              1820114,,,                 -6237,                 -6237,              3437410,                 39035,              3476445,              4318437,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,2013年12月31日,,,,,,                 14841,,                 13745,,                202220,,                649819,,                 98992,,                 18154,,              1102850,,                123454,,                  2450,              3572009,,,                  1275,,                595736,,                  2471,                 28401,,                 12057,                 12057,                639940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1345484,              4211949,,,,                121233,,                              0,,                350861,,                 30162,,                289266,                 85622,,                 31106,                908250,,,                  7548,,                108471,                    800,                109271,                116819,              1025069,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                707193,                 40076,,                783779,              1531048,,,                 -5146,                 -5146,              3149435,                 37445,              3186880,,                              0,,
1232,2013年09月30日,,,,,,                              0,,                 17196,,                226361,,                592943,,                 88912,,                 13938,,              2196663,,                147386,,                  2450,              3566889,,,                  1275,,                619741,,                  2031,                 22492,,                 19179,                 19179,                664718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                281040,              4231607,,,,                540909,,                              0,,                266525,,                 31504,,                201968,                 48149,,                 47060,              1141983,,,                  5546,,                 78152,                    750,                 78902,                 84448,              1226431,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                707193,                 40076,,                600734,              1348003,,,                 -1695,                 -1695,              2969841,                 35335,              3005176,,                  5868,,
1232,2013年06月30日,,,,,,                 15988,,                 18104,,                270502,,                586982,,                 62161,,                 33675,,              2412089,,                141004,,                  2450,              3742477,,,                  1275,,                646578,,                  1726,                 21396,,                 10841,                 10841,                681816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                199522,              4424293,,,,                 36075,,                214965,,                356988,,                 52436,,                644188,                 73469,,                 58388,              1436509,,,                  8061,,                 78315,                    750,                 79065,                 87126,              1523635,,,,              1599749,              1599749,,,                    154,                 23630,                 23784,,                707193,                 40076,,                496821,              1244090,,,                   -787,                   -787,              2866836,                 33822,              2900658,,                              0,,
