證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
1533,2015年09月30日,,,,              1015430,,                 75191,,                 18433,,                604510,,                 19807,,              1090186,,                 55260,              2878817,,,                287167,,                979375,,                 22728,                154230,,                 76230,              1519730,              4398547,,,,,                823377,,                160000,,                 30881,,                231802,,                112463,                 55273,,                 48821,              1462617,,,                429000,,                119505,,                 98345,                 98345,                646850,              2109467,,,,                947572,                947572,,,                270462,                              0,                    666,                271128,,                281479,                  5153,,                683205,                969837,,,                 93535,,                  7020,,                              0,                100555,                              0,              2289092,                    -12,              2289080,              4398547,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,2015年06月30日,,,,                813086,,                276211,,                 14859,,                571458,,                 22709,,              1076516,,                 55376,              2830215,,,                260317,,                970021,,                 17265,                156176,,                 69886,              1473665,              4303880,,,,,                806382,,                160000,,                 34933,,                244512,,                153241,                 63296,,                 53751,              1516115,,,                429000,,                105160,,                 98163,                 98163,                632323,              2148438,,,,                947572,                947572,,,                270462,                              0,                    666,                271128,,                281479,                  5153,,                608086,                894718,,,                 31513,,                 10521,,                              0,                 42034,                              0,              2155452,                    -10,              2155442,              4303880,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,2015年03月31日,,,,                911244,,                271244,,                 17187,,                502302,,                 17789,,              1092935,,                 50101,              2862802,,,                226803,,                980799,,                 18543,                158200,,                 73449,              1457794,              4320596,,,,,                807703,,                160000,,                 32412,,                225453,,                111232,                 73952,,                 41258,              1452010,,,                447000,,                104826,,                 97991,                 97991,                649817,              2101827,,,,                947572,                947572,,,                270462,                              0,                    666,                271128,,                258681,                 14867,,                642072,                915620,,,                 46012,,                 38448,,                              0,                 84460,                              0,              2218780,                    -11,              2218769,              4320596,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,2014年12月31日,,,,              1027229,,                167819,,                 23252,,                545737,,                 21748,,              1041849,,                 38603,              2866237,,,                281605,,              1004110,,                 26078,                156353,,                 62039,              1530185,              4396422,,,,,                806798,,                160000,,                 22030,,                262089,,                129642,                 68913,,                 37827,              1487299,,,                447000,,                107741,,                 97799,                 97799,                652540,              2139839,,,,                964152,                964152,,,                275194,                              0,                    677,                275871,,                258681,                 14867,,                629933,                903481,,,                 47988,,                 95002,,                              0,                142990,                 29900,              2256594,                    -11,              2256583,              4396422,              0,              0,      1658000,,                              0,              1027229,              4396422,,,,                806798,,                160000,,                 22030,,                262089,,                129642,                 68913,,                 37827,              1487299,,,                447000,,                107741,,                 97799,                 97799,                652540,              2139839,,,,                964152,                964152,,,                275194,                              0,                    677,                275871,,                258681,                 14867,,                629933,                903481,,,                 47988,,                 95002,,                              0,                142990,                 29900,              2256594,                    -11,              2256583,,,,
1533,2014年09月30日,,,,              1007728,,                150639,,                 17457,,                519718,,                 20967,,              1057614,,                 47171,              2821294,,,                136057,,              1003235,,                 13851,                153247,,                 56563,              1362953,              4184247,,,,,                752860,,                210000,,                 30622,,                251027,,                111652,                 62522,,                 23547,              1442230,,,                465000,,                 97088,,                 95025,                 95025,                657113,              2099343,,,,                964152,                964152,,,                275194,                              0,                    677,                275871,,                258681,                 14867,,                573544,                847092,,,                 18840,,                  8859,,                              0,                 27699,                 29900,              2084914,                    -10,              2084904,              4184247,              0,              0,      1658000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,2014年06月30日,,,,                948674,,                261039,,                  6200,,                512065,,                 17857,,              1032822,,                 43845,              2822502,,,                127566,,              1001622,,                 15260,                149282,,                 63054,              1356784,              4179286,,,,,                674520,,                170000,,                 42902,,                290117,,                255032,                 79799,,                 12542,              1525172,,,                426000,,                 91600,,                 94833,                 94833,                612433,              2137605,,,,                964152,                964152,,,                275194,                              0,                    677,                275871,,                258681,                 14867,,                534946,                808494,,,                 10495,,                 12578,,                              0,                 23073,                 29900,              2041690,                     -9,              2041681,              4179286,              0,              0,      1658000,,                    260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,2014年03月31日,,,,              1007742,,                229718,,                 16431,,                506913,,                 14861,,                935911,,                 37004,              2748580,,,                101441,,              1017856,,                 17008,                128376,,                 70385,              1335066,              4083646,,,,,                709205,,                140000,,                 34225,,                236912,,                 96575,                 90902,,                 16415,              1324234,,,                426000,,                101762,,                 94641,                 94641,                622403,              1946637,,,,                964152,                964152,,,                275194,                              0,                    677,                275871,,                238653,                 20000,,                647184,                905837,,,                 34605,,                -13547,,                              0,                 21058,                 29900,              2137018,                     -9,              2137009,              4083646,              0,              0,      1658000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,2013年12月31日,,,,,,                269681,,                 14687,,                504888,,                 16838,,                936836,,                 32603,              2661601,,,                 71440,,              1015830,,                 19032,                129599,,                 70683,              1306584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1658000,,,                886068,              3968185,,,,                704260,,                140000,,                 48645,,                241971,,                110883,                 77313,,                 18342,              1341414,,,                426000,,                 91291,,                 94449,                 94449,                611740,              1953154,,,,                964152,                964152,,,                275194,                              0,                    677,                275871,,                238653,                 20000,,                561129,                819782,,,                  3328,,                -18195,,                              0,                -14867,                 29900,              2015038,                     -7,              2015031,,                              0,,                              0
1533,2013年09月30日,,,,,,                 73952,,                 15320,,                467145,,                 16335,,                946144,,                 43618,              2556952,,,                 63397,,              1013904,,                 27085,                122130,,                 72457,              1298973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1658000,,,                994438,              3855925,,,,                706171,,                180000,,                 38656,,                222581,,                 87626,                 50810,,                164104,              1449948,,,                282000,,                 87369,,                 91537,                 91537,                460906,              1910854,,,,                964152,                964152,,,                275194,,                    677,                275871,,                238653,                 20000,,                505845,                764498,,,                 -3933,,                -25605,,                              0,                -29538,                 29900,              1945083,                    -12,              1945071,,                              0,,                              0
1533,2013年06月30日,,,,,,                124043,,                 10893,,                454943,,                 22060,,                940592,,                 44773,              2496736,,,                 45083,,              1025123,,                 29442,                122994,,                 64985,              1287627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1658000,,,                899432,              3784363,,,,                706645,,                100000,,                 58353,,                192241,,                129291,                 40775,,                 87092,              1314397,,,                408000,,                 84100,,                 92400,                 92400,                584500,              1898897,,,,                964152,                964152,,,                275194,,                    677,                275871,,                238653,                 20000,,                440528,                699181,,,                  5111,,                -28957,,                              0,                -23846,                 29900,              1885458,                      8,              1885466,,,,                              0
