證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他流動負債－其他,　　　　 其他非流動負債－其他,　　　　 預收股本,　　　　 法定盈餘公積,　　　　 應計退休金負債（應付退休金費用）,　　　 應收建造合約款,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 特別盈餘公積,　　　　 債券換股權利證書,　　　　 待分配股票股利
3383,2015年09月30日,,,,                477449,,                 31441,,                 10000,,                              0,,                 87006,,                831005,,                 64175,,                 14129,,              1269343,,                 95186,,                 41463,                 41463,              2921197,,,                 90621,,                 42435,,              5975870,,                 15012,                197777,,                 58517,                  2753,                 12991,,                297773,                162242,,                  2917,                537193,              6858908,              9780105,,,,,                696284,,                              0,,                 12444,,                342032,,                246430,                              0,,,                    598,,                315867,                316465,              1613655,,,                586433,,              2230333,,                  2471,,                122357,                  4579,                126936,              2946173,              4559828,,,,              3422604,              3422604,,,              2437476,                              0,                  2079,                 77833,                 22800,                 27201,              2567389,,,               -898319,               -898319,,,                 37056,,                -21373,                 15683,                355307,              4752050,                468227,              5220277,              9780105,              0,              0,     31747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2015年06月30日,,,,                629463,,                 68867,,                 12000,,                              0,,                112209,,                910248,,                 93512,,                 11243,,              1374758,,                 94113,,                 30654,                 30654,              3337067,,,                 90621,,                 37080,,              6144850,,                 14851,                188834,,                 87162,                  2829,                 12991,,                301029,                157017,,                  3475,                564503,              7040739,             10377806,,,,,                612055,,                              0,,                  8400,,                428690,,                260299,                              0,,,                    351,,                426879,                427230,              1736674,,,                584583,,              2135000,,                  2471,,                118416,                  4301,                122717,              2844771,              4581445,,,,              3425255,              3425255,,,              2437476,                              0,                  2079,                 76883,                 22800,                 24551,              2563789,,,               -502474,               -502474,,,                 12227,,                -27260,                -15033,                146254,              5325283,                471078,              5796361,             10377806,              0,              0,      9702000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2015年03月31日,,,,                717766,,                 44856,,                 47390,,                              0,,                 96676,,                899914,,                147686,,                 21360,,              1512502,,                107063,,                 37068,                 37068,              3632281,,,                 90621,,                 35186,,              6413570,,                 17116,                186115,,                 76670,                  2834,                 12991,,                261956,                160166,,                  4104,                518721,              7261329,             10893610,,,,,                586009,,,,                 17177,,                413310,,                265489,                              0,,,                    510,,              1659282,              1659792,              2941777,,,                582733,,              1042183,,                  2470,,                120791,                  4363,                125154,              1752540,              4694317,,,,              3425255,              3425255,,,              3050749,                              0,                              0,                 75933,                 22800,                 26630,              3176112,,,               -810179,               -810179,,,                 19997,,                -33147,                -13150,                 72090,              5705948,                493345,              6199293,             10893610,              0,              0,      3630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2014年12月31日,,,,                817820,,                 42240,,                 44812,,                              0,,                131064,,                911875,,                169449,,                 19660,,              1500275,,                120900,,                200304,                200304,              3958399,,,                 90621,,                 35769,,              6676618,,                 19842,                177394,,                 60303,                  3348,                 12991,,                240725,                162724,,                  4773,                484864,              7485108,             11443507,,,,,                574596,,                              0,,                 11488,,                446127,,                315481,                              0,,,                    623,,              1244459,              1245082,              2592774,,,                580883,,              1714884,,                  4667,,                122721,                  4412,                127133,              2427567,              5020341,,,,              3427625,              3427625,,,              3050748,                              0,                  2079,                 74788,                 22800,                 22181,              3172596,,,               -613273,               -613273,,,                 24173,,                -39034,                -14861,                 72090,              5899997,                523169,              6423166,             11443507,              0,              0,      3630000,                817820,                 12991,             11443507,,,,                574596,,                              0,,                 11488,,                446127,,                315481,                              0,,,                    623,,              1244459,              1245082,              2592774,,,                580883,,              1714884,,                  4667,,                122721,                  4412,                127133,              2427567,              5020341,,,,              3427625,              3427625,,,              3050747,                              0,                  2079,                 74789,                 22800,                 22181,              3172596,,,               -613273,               -613273,,,                 24173,,                -39034,                -14861,                 72090,              5899997,                523169,              6423166,,,,,,,,,,,
3383,2014年09月30日,,,,                805178,,                    300,,                  8000,,                              0,,                210882,,              1010746,,                180181,,                 19849,,              1297118,,                114130,,                 32902,                 32902,              3679286,,,                    621,,                 39036,,              6801663,,                 16763,                175193,,                100233,                  4358,                 10643,,                206665,                158901,,                  5442,                486242,              7519518,             11198804,,,,,                308199,,                              0,,                 10000,,                482265,,                316274,                              0,,,                  1112,,              1217318,              1218430,              2335168,,,                579033,,              1715206,,                              0,,                119837,                  4240,                124077,              2418316,              4753484,,,,              3551945,              3551945,,,              3161819,                  9718,                  2079,                 73065,                 22800,                 22181,              3291662,,,               -276694,               -276694,,,                 13553,,                -45967,                -32414,                613778,              5920721,                524599,              6445320,             11198804,              0,              0,     16062000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2014年06月30日,,,,              1176270,,                              0,,                 18047,,                              0,,                188690,,              1055377,,                144933,,                 13466,,              1085285,,                 94880,,                 85514,                 85514,              3862462,,,                    621,,                 37302,,              7000841,,                 19118,                178286,,                 69076,                  3954,                 10643,,                  6450,                155188,,                  2513,                247824,              7483992,             11346454,,,,,                520343,,                              0,,                147410,,                378976,,                256389,                              0,,,                  1191,,              1470028,              1471219,              2774337,,,                    384,,              2461232,,                              0,,                117036,                  4162,                121198,              2582814,              5357151,,,,              3311985,              3311985,,,              2981323,                  9718,                  2079,                 71527,                 35030,                 10429,              3110106,,,               -333156,               -333156,,,                    615,,                              0,                    615,                613778,              5475772,                513531,              5989303,             11346454,              0,              0,     16062000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2014年03月31日,,,,              1113716,,                              0,,                 13999,,                 14701,,                125590,,                999561,,                 81045,,                  7810,,              1168042,,                113255,,                 78031,                 78031,              3715750,,,                    621,,                 33002,,              7265777,,                 20461,                184948,,                 36229,                  9299,                 10643,,                  6450,                158848,,                  3143,                224612,              7729421,             11445171,,,,,                761031,,,,                158906,,                307218,,                213365,                 12700,,,                  1772,,              1468171,              1469943,              2923163,,,                    382,,              2448795,,                    619,,                119797,                  4244,                124041,              2573837,              5497000,,,,              3311985,              3311985,,,              2981322,                  9718,                              0,                 69989,                 35030,                 12508,              3108567,,,               -393776,               -393776,,,                  8143,,                              0,                  8143,                613778,              5421141,                527030,              5948171,             11445171,              0,              0,     16062000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2013年12月31日,,,,,,                              0,,                 16951,,                 83690,,                133124,,                625062,,                205783,,                 33087,,              1240364,,                125141,,                 80239,                 80239,              3509567,,,                    621,,                 29776,,              7471351,,                 22947,                196498,,                 68561,                  6903,,,                  6450,                160435,,                  3606,                256598,              7977791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     16062000,                966126,                 10643,             11487358,,,,                524929,,                  3593,,                260709,,                269422,,                290791,                 12759,,,                  1695,,              1544438,              1546133,              2908336,,,                              0,,              3108694,,                  1092,,                120994,                  4167,                125161,              3234947,              6143283,,,,              2911985,              2911985,,,              2789900,                  9718,                              0,                 67792,                 45671,                  7414,              2920495,,,               -436477,               -436477,,,                 13640,,                              0,                 13640,                613778,              4795865,                548210,              5344075,                              0,                              0,                              0,                              0,                              0,,,,,,
3383,2013年09月30日,,,,,,                              0,,                 14047,,                              0,,                112637,,                642113,,                326920,,                 45512,,              1217455,,                126105,,                312132,                312132,              3839196,,,                    621,,                 34951,,              7458685,,                 23052,                204181,,                141092,                 23464,,,                  6450,                158245,,                  4077,                342680,              8064170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         27000,     16062000,              1042275,                  9352,             11903366,,,,              1344464,,                  3711,,                190382,,                385833,,                276183,                              0,,,                  9221,,              1395825,              1410778,              3611351,,,                              0,,              2803420,,                              0,,                119342,                  4135,                127854,              2931274,              6542625,,,,              2911715,              2911985,,,              2789900,                  9718,                              0,                 67226,                 45671,                  7414,              2919929,,,               -454415,               -454415,,,                  5057,,                              0,                  5057,                613778,              4768778,                591963,              5360741,                  5732,                  4377,                    270,                              0,,,,,,,
3383,2013年06月30日,,,,,,,,                 23533,,                              0,,                223653,,                510531,,                229414,,                 62773,,              1330364,,                113921,,                 62790,                 62790,              4032086,,,                              0,,                 32550,,              7478239,,                 25406,                199255,,                138235,                 23349,,,                 65050,                160984,,                  4334,                401304,              8136754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     16062000,              1475107,                  9352,             12168840,,,,                844405,,                  3518,,                232324,,                456839,,                263155,                              0,,,                 58532,,              1267319,              1325851,              3126092,,,                131739,,              3397201,,                  1562,,                 18273,                  4197,                 26846,              3557348,              6683440,,,,              2911715,              2911715,,,              2789900,                  9718,                              0,                 64471,                 45671,                  7414,              2917174,,,               -337068,               -337068,,,                  9286,,,                  9286,                613778,              4887329,                598071,              5485400,,,                              0,                              0,                  4376,,,,,,
