證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計
2406,2015年09月30日,,,,              2303671,,              1583741,,              4025678,,                              0,,                270083,,                              0,,              2659557,,                552311,,                220622,                 74859,                295481,             11690522,,,                362357,,                  7167,,                 39992,,                              0,,              5459720,,                  1889,                179844,,,                537111,,                488331,              1025442,              7076411,             18766933,,,,,              1992590,,                279672,,                     42,,                  9274,,                              0,,                609002,,                              0,,                448794,                311075,,,                391629,                715999,              1107628,              1118524,              2226152,              5876601,,,              2369868,,              2434623,,                 35790,,                 45038,                 19212,                 64250,              4904531,             10781132,,,,              3108278,              3108278,,              2357710,,                122534,                 23784,,               -186312,                -39994,,                -54627,              5371367,              2614434,              7985801,             18766933,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,2015年06月30日,,,,              2521084,,              1133139,,              3482169,,                              0,,                177145,,                              0,,              2866416,,                727887,,                203782,                 79654,                283436,             11191276,,,                582952,,                 30867,,                 38359,,                 21952,,              5421298,,                  2174,                181679,,,                 90872,,                 96305,                187177,              6466458,             17657734,,,,,              1918105,,                 99879,,                 58386,,                 11360,,                              0,,                709466,,                              0,,                911021,                246074,,,                771972,                589052,              1361024,                862612,              2223636,              6177927,,,              1567597,,              2487872,,,,                 44677,                 18245,                 62922,              4118391,             10296318,,,,              3082866,              3082866,,              2314273,,                122534,                 23784,,               -320656,               -174338,,                -43478,              5179323,              2182093,              7361416,             17657734,,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,2015年03月31日,,,,              1946900,,              1262733,,              2634411,,                              0,,                313034,,                              0,,              2754116,,                699777,,                431199,                 77711,                508910,             10119881,,,                701315,,                 30401,,                 38359,,                 23101,,              5566325,,                  2462,                169717,,,                 90677,,                 87203,                177880,              6709560,             16829441,,,,,              1473196,,                 99874,,                 98026,,                  7328,,                              0,,                593959,,                              0,,                460100,                332742,,,                405981,                358767,                764748,                608114,              1372862,              4438087,,,              1942716,,              2604862,,,,                 44453,                 27972,                 72425,              4620003,              9058090,,,,              3073964,              3073964,,              2300497,,                122534,                 23784,,               -130118,                 16200,,                -36364,              5354297,              2417054,              7771351,             16829441,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,2014年12月31日,,,,              2027249,,                785005,,              2922445,,                  1214,,                116626,,                              0,,              2801494,,                440457,,                435910,                 60556,                496466,              9590956,,,                675649,,                 47920,,                 38359,,                 23070,,              5537138,,                  2793,                153079,,,                 80637,,                345608,                426245,              6904253,             16495209,,,,,              1628022,,                 99932,,                 90630,,                 15153,,                              0,,                617067,,                  1985,,                446208,                223778,,,                405592,                247725,                653317,                349904,              1003221,              4125996,,,              1955586,,              2607687,,                              0,,                 43951,                 27243,                 71194,              4634467,              8760463,,,,              3073964,              3073964,,              2300497,,                122534,                 23784,,                -26174,                120144,,                -17790,              5476815,              2257931,              7734746,             16495209,              0,              0,              0,,                              0,,                              0,              2027249,             16495209,,,,              1628022,,                 99932,,                 90630,,                 15153,,                              0,,                617067,,                  1985,,                446208,                223778,,,                405592,                247725,                653317,                349904,              1003221,              4125996,,,              1955586,,              2607687,,                 43951,                 27243,                 71194,              4634467,              8760463,,,,              3073964,              3073964,,              2300497,,                122534,                 23784,,                -26174,                120144,,                -17790,              5476815,              2257931,              7734746,,,,,,,,,
2406,2014年09月30日,,,,              2808867,,                431454,,              2752179,,                  1318,,                125051,,                 22552,,              2151987,,                611768,,                418953,                 69995,                488948,              9394124,,,                676288,,                 47766,,                 41106,,                 22812,,              4934773,,                  2446,                177208,,,                 79294,,                358631,                437925,              6340324,             15734448,,,,,              1331651,,                 99852,,                 95570,,                 19681,,                     45,,              1192123,,                  1525,,                381027,                151656,,,                405204,                134283,                539487,                 59533,                599020,              3872150,,,              1939069,,              2238519,,                              0,,                 57161,                 42519,                 99680,              4277268,              8149418,,,,              3073964,              3073964,,              2300497,,                122534,                 23784,,                 54184,                200502,,                -14209,              5560754,              2024276,              7585030,             15734448,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,2014年06月30日,,,,              1664588,,                321962,,              3068186,,                    205,,                116596,,                 22085,,              1631805,,                343993,,                411287,                 74932,                486219,              7657120,,,                758560,,                108697,,                 41106,,                 22284,,              4820285,,                  3014,                178864,,,                 78891,,                356561,                435452,              6368262,             14025382,,,,,              2026781,,                 99836,,                112995,,                 37197,,                     90,,                820033,,                  4262,,                579572,                103172,,,                              0,                220215,                220215,                 29402,                249617,              4033555,,,                852825,,              1708584,,,,                 56640,                 41798,                 98438,              2659847,              6693402,,,,              3057925,              3057925,,              2126231,,                122534,                 23784,,                230213,                376531,,                 42027,              5602714,              1729266,              7331980,             14025382,,              0,              0,,                    768,,                    713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,2014年03月31日,,,,              1549811,,                215603,,              2497095,,                  1873,,                102175,,                 22540,,              1470528,,                274963,,                419572,                106504,                526076,              6660858,,,                521608,,                118686,,                 41106,,                 22617,,              4882624,,                  4159,                180302,,,                 65088,,                394279,                459367,              6230469,             12891327,,,,,              1431434,,                 99832,,                    773,,                 56454,,                     30,,                925982,,                  2252,,                412325,                178358,,,                              0,                199298,                199298,                 12556,                211854,              3319294,,,                541625,,              1708616,,,,                 56115,                  1923,                 58038,              2308279,              5627573,,,,              3019886,              3019886,,              2067681,,                122534,                 23784,,                218086,                364404,,                 56221,              5508192,              1755562,              7263754,             12891327,              0,              0,              0,,                    194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,2013年12月31日,,,,,,                 72988,,              2457719,,                  1343,,                 47737,,                 21799,,              1010553,,                255247,,                 11246,                105566,                116812,              5790206,,,                391010,,                 72473,,                 41106,,                 23293,,              4704401,,                  3627,                175212,,,                445767,,                435696,                881463,              6292585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1806008,             12082791,,,,              1445389,,                 99825,,                160105,,                101499,,                     75,,                848007,,                  4133,,                358763,                121268,,,                281924,                191707,                473631,                 15324,                488955,              3628019,,,                795160,,              1360647,,                 55559,                  2098,                 57657,              2213464,              5841483,,,,              2919652,              2919652,,              1658500,,                122534,                 23784,,                -41410,                104908,,                  4899,              4687959,              1553349,              6241308,,,,,,,,,
2406,2013年09月30日,,,,,,                 58724,,              1906664,,                  4115,,                 61565,,                 22711,,                996312,,                188318,,                119810,                 58613,                178423,              5099021,,,                439841,,                 72083,,                 58848,,                 24956,,              4077877,,                  4689,                175614,,,                386720,,                962041,              1348761,              6202669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                    704,              1681485,             11301690,,,,              1243688,,                179799,,                 83370,,                 46338,,                    120,,                629242,,                  4092,,                262944,                 91044,,,                790670,                423603,              1214273,                 11851,              1226124,              3766761,,,                794399,,                708216,,                 58817,                  2098,                 60915,              1563530,              5330291,,,,              2919652,              2919652,,              1221844,,                122534,                 23784,,                346636,                492954,,                 14000,              4648450,              1322949,              5971399,                              0,,,,,,,,
2406,2013年06月30日,,,,,,                 18946,,              2024820,,                  2193,,                 15697,,                 23234,,                904408,,                208490,,                  8548,                 26379,                 34927,              5524496,,,                456700,,                 43273,,                 49221,,                 25945,,              3909604,,                  5583,                159980,,,                 49790,,                593771,                643561,              5362148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,                              0,              2291781,             10886644,,,,                720000,,                179742,,                 52780,,                 18869,,                              0,,                563868,,                  3877,,                380711,                 35737,,,                122043,                435446,                557489,                 17759,                575248,              2530832,,,              1457710,,                748772,,                 58346,                  2110,                 60456,              2266938,              4797770,,,,              2919652,              2919652,,              1222984,,                122534,                 23784,,                516173,                662491,,                 -8407,              4796720,              1292154,              6088874,,,                 68281,,,,,,
