證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收租賃款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計
2453,2015年09月30日,,,,                430878,,                 70353,,                123513,,                  4398,,                977547,                              0,                977547,,                 13537,,                341203,,                140339,,                 26085,                 26085,              2127853,,,                  1415,,                  3635,,                 77566,,                139191,,                494197,,,                 23240,                 23240,                 34571,,,                  8935,                  8935,                782750,              2910603,,,,,                142713,,                 10189,,                736616,,                 94242,                  6254,,,                  9332,                 12974,                 22306,              1012320,,,                 16844,                 16844,,                130748,                  6536,                    516,                137800,                154644,              1166964,,,,              1000000,              1000000,,                    511,,                221635,                 17619,,                465223,                704477,,                 12082,                              0,              1717070,                 26569,              1743639,              2910603,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,2015年03月31日,,,,                327482,,                337472,,                105740,,                  6103,,                844148,                     18,                844166,,                  7918,,                360891,,                 76414,,                 19980,                 19980,              2086166,,,                  1580,,                  3611,,                 67180,,                140524,,                504239,,,                 12825,                 12825,                 34287,,,                  7526,                  7526,                771772,              2857938,,,,,                117432,,                    595,,                698079,,                 84962,                 18594,,,                 12836,                 12194,                 25030,                944692,,,                 15689,                 15689,,                130677,                  6725,                  1426,                138828,                154517,              1099209,,,,              1000000,              1000000,,                    511,,                211917,                 17619,,                497053,                726589,,                  6710,                              0,              1733810,                 24919,              1758729,              2857938,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,2014年12月31日,,,,                437254,,                135946,,                125279,,                 10850,,              1452622,                     18,              1452640,,                 13478,,                372284,,                119520,,                 22473,                 22473,              2689724,,,                  1580,,                  3617,,                 79907,,                144784,,                505779,,,                 11950,                 11950,                 32718,,,                  7529,                  7529,                787864,              3477588,,,,,                158087,,                    378,,              1120760,,                235956,                 11204,,,                 27945,                 10631,                 38576,              1564961,,,                 16392,                 16392,,                130002,                  6623,                  1447,                138072,                154464,              1719425,,,,              1000000,              1000000,,                    511,,                211917,                 17619,,                492087,                721623,,                  9587,                              0,              1731721,                 26442,              1758163,              3477588,              0,              0,              0,                437254,                125279,                 79907,              3477588,,,,                158087,,                    378,,              1120760,,                235956,                 11204,,,                 27945,                 10631,                 38576,              1564961,,,                 16392,                 16392,,                130002,                  6623,                  1447,                138072,                154464,              1719425,,,,              1000000,              1000000,,                    511,,                211917,                 17619,,                492087,                721623,,                  9587,                              0,              1731721,                 26442,              1758163,,
2453,2014年09月30日,,,,                326686,,                255954,,                135201,,                  3338,,              1012522,                      9,              1012531,,                  8630,,                276571,,                121024,,                 25358,                 25358,              2165293,,,                  1580,,                  3598,,                 68554,,                147228,,                442163,,,                 11746,                 11746,                 31927,,,                  6695,                  6695,                713491,              2878784,,,,,                169785,,                     77,,                671460,,                106909,                  8894,,,                 26070,                 10933,                 37003,                994128,,,                 15744,                 15744,,                119046,                  8177,                  1384,                128607,                144351,              1138479,,,,              1000000,              1000000,,                    511,,                211917,                 17619,,                484454,                713990,,                 -1389,                              0,              1713112,                 27193,              1740305,              2878784,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,2014年06月30日,,,,,,                220490,,,,                  5562,,              1175777,                              0,              1175777,,                  7507,,                361941,,                114842,,                 18886,                 18886,              2312653,,,                  1580,,                  3590,,,,                147917,,                451391,,,                 11740,                 11740,                 30172,,,                  7265,                  7265,                728062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                264081,                143567,                 74407,              3040715,,,,                121070,,                    527,,                846713,,                163364,                 20557,,,                 14998,                 10440,                 25438,              1177669,,,                 15781,                 15781,,                119612,                  7991,                  1358,                128961,                144742,              1322411,,,,              1000000,              1000000,,                    511,,                211917,                 17619,,                470148,                699684,,                 -4995,                              0,              1695200,                 23104,              1718304,,
2453,2014年03月31日,,,,                320604,,                424098,,                153003,,                 18896,,                584919,                      9,                584928,,                  7442,,                392429,,                144199,,                 16404,                 16404,              2062003,,,                  1580,,                  3599,,                 50245,,                149233,,                452436,,,                 12282,                 12282,                 25588,,,                  9387,                  9387,                704350,              2766353,,,,,                 54963,,                    235,,                718480,,                 73586,                 22479,,,                  8671,                 14380,                 23051,                892794,,,                 16831,                 16831,,                119232,                  8234,                    934,                128400,                145231,              1038025,,,,              1000000,              1000000,,                    511,,                202436,                 17619,,                486204,                706259,,                   -501,                              0,              1706269,                 22059,              1728328,              2766353,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,2013年12月31日,,,,,,                 74914,,,,                 29675,,              1484034,                     39,              1484073,,                  9976,,                361586,,                150755,,                 17664,                 17664,              2615808,,,                  1580,,                  3589,,,,                150545,,                455433,,,                 12361,                 12361,                 25861,,,                  6389,                  6389,                727380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                341361,                145804,                 71622,              3343188,,,,                 72400,,                  4405,,              1048830,,                203928,                 20775,,,                121609,                  9444,                131053,              1481391,,,                 16875,                 16875,,                118667,                 10373,                  1095,                130135,                147010,              1628401,,,,              1000000,              1000000,,                    511,,                202436,                 17619,,                474515,                694570,,                 -4998,                              0,              1690083,                 24704,              1714787,,
2453,2013年09月30日,,,,,,                224992,,,,                 10151,,                903233,                    957,                904190,,                  9208,,                434156,,                111673,,                 33815,                 33815,              2113387,,,                  1580,,                  4792,,,,                151948,,                408614,,,                 12546,                 12546,                 15922,,,                 43635,                 43635,                720507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                269645,                115557,                 81470,              2833894,,,,                167877,,                  7665,,                659824,,                 87600,                 17459,,,                 51630,                 11033,                 62663,              1003088,,,                  5513,                  5513,,                118780,                 12618,                  6182,                137580,                143093,              1146181,,,,              1000000,              1000000,,                              0,,                202436,                 17619,,                454315,                674370,,                 -7361,                              0,              1667009,                 20704,              1687713,,
2453,2013年06月30日,,,,,,                 72286,,,,                  3948,,              1241622,                  1059,              1242681,,                  3060,,                446702,,                150168,,                 27460,                 27460,              2308495,,,                  1580,,                  4798,,,,                156294,,                406468,,,                 12935,                 12935,                 16016,,,                 46426,                 46426,                733562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                258968,                103222,                 89045,              3042057,,,,                172516,,                  8938,,                771635,,                147637,                 13602,,,                 83332,                 23921,                107253,              1221581,,,                  6534,                  6534,,                118714,                 12249,                  9364,                140327,                146861,              1368442,,,,              1000000,              1000000,,                              0,,                202436,                 17619,,                440444,                660499,,                 -5233,                              0,              1655266,                 18349,              1673615,,
2453,2013年03月31日,,,,,,                314557,,,,                 12198,,                675814,                  1011,                676825,,                  3145,,                468372,,                144892,,                 30425,                 30425,              2031180,,,                  1486,,                  4795,,,,                155253,,                388514,,,                 13106,                 13106,                 15541,,,                  6584,                  6584,                674582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                285967,                 94799,                 89303,              2705762,,,,                 63869,,                  1623,,                645283,,                 67711,                 10903,,,                 52522,                 49301,                101823,                891212,,,                  6317,                  6317,,                119348,                 14372,                  4520,                138240,                144557,              1035769,,,,              1000000,              1000000,,                              0,,                194349,                 17619,,                449293,                661261,,                 -9834,                              0,              1651427,                 18566,              1669993,,
