證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 長期借款,　　　　 長期借款合計,　　　　 應付股利,　　　　 待分配股票股利,　　　 遞延所得稅資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額
4960,2015年09月30日,,,,              3635379,,                  2011,,                228057,,              3425144,,                              0,,                 54305,,                      5,,              1924782,,                 48846,,              1451111,                  9311,              1460422,             10778951,,,              6424096,,                  8056,,                 49149,                 57205,,                484454,                  5144,,                306333,                795931,              7277232,             18056183,,,,,              2498833,,                              0,,                              0,,              1706950,,                 25644,                520444,                546088,                  1086,                103795,,                     30,,,                 13961,,                              0,                 49524,                 63485,              4920267,,,                              0,,                148643,,                     75,                     75,                148718,              5068985,,,,              5157285,              5157285,,                400487,,                980245,                 36849,,              5933484,              6950578,,,                250952,                250952,             12759302,                227896,             12987198,             18056183,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4960,2015年06月30日,,,,              3552222,,                  3877,,                 50818,,              3686246,,                              0,,                 44571,,                      5,,              1908543,,                 39739,,                885609,                  7501,                893110,             10179131,,,              6359109,,                  8056,,                 52641,                 60697,,                359270,                  2911,,                294941,                657122,              7076928,             17256059,,,,,              1206557,,                              0,,                              0,,              1496587,,                 77803,                476068,              1843192,                    327,                164852,,                136288,,,                  5145,,,                 22140,                 27285,              4875088,,,                              0,,                 67579,,                     70,                     70,                 67649,              4942737,,,,              5157285,              5157285,,                405273,,                980245,                 36849,,              5614629,              6631723,,,                 81187,                 81187,             12275468,                 37854,             12313322,             17256059,              0,              0,              1289321,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4960,2015年03月31日,,,,              3490869,,,,                 66063,,              4201867,,                              0,,                 36758,,                      5,,              2178103,,                 40196,,                543995,                    809,                544804,             10558665,,,              6505718,,                  8056,,                 50461,                 58517,,                306124,                    678,,                280208,                587010,              7151245,             17709910,,,,,              1117633,,                              0,,                  2221,,              1870225,,                 70448,                436256,                506704,                  2707,                384388,,                252100,,,                 14913,,,                 13286,                 28199,              4164177,,,                              0,,                 24437,,                     65,                     65,                 24502,              4188679,,,,              5157285,              5157285,,                405273,,                755389,                 36849,,              6952577,              7744815,,,                136350,                136350,             13443723,                 77508,             13521231,             17709910,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4960,2014年12月31日,,,,              3923598,,                              0,,                 66063,,              4581261,,                              0,,                 36707,,                      9,,              2129542,,                 41013,,                152760,                  1109,                153869,             10932062,,,              6665963,,                  8056,,                 50298,                 58354,,                251653,                 54093,,                  4496,                310242,              7034559,             17966621,,,,,              1575730,,                300000,,                  4961,,              1667832,,                 60589,                633228,                693817,                  3025,                291000,,                167560,,,                 16920,,                              0,                 37290,                 54210,              4758135,,,                              0,,                 67450,,                     65,                     65,                 67515,              4825650,,,,              5157285,              5157285,,                405273,,                755389,                 36849,,              6532965,              7325203,,,                173069,                173069,             13060830,                 80141,             13140971,             17966621,              0,              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4960,2014年09月30日,,,,              3583074,,                              0,,                 65675,,                441299,,              4134471,,                 45461,,                     14,,              1956498,,                 47145,,                246700,                  1856,                248556,             10522193,,,              6584271,,                  8056,,                 49783,                 57839,,                252523,                 52372,,                  3425,                308320,              6950430,             17472623,,,,,              1391657,,                              0,,                 50681,,              1634769,,                 42097,                489460,                531557,                  4189,                283386,,                144404,,,                 10028,,                998533,                 33317,              1041878,              5082521,,,                              0,,                 45282,,                     60,                     60,                 45342,              5127863,,,,              5157285,              5157285,,                405273,,                755389,                 36849,,              5844699,              6636937,,,                 64682,                 64682,             12264177,                 80583,             12344760,             17472623,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4960,2014年06月30日,,,,              4039471,,                 10403,,                 65675,,                481174,,              4156845,,                 43265,,                      9,,              2134049,,                 56895,,                340523,                    667,                341190,             11328976,,,              6713413,,                  8056,,                 50811,                 58867,,                133731,                    264,,                 10497,                144492,              6916772,             18245748,,,,,              2056282,,                              0,,                              0,,              2272909,,                 86469,                426732,                758786,                  3068,                294382,,                108754,,,                 13233,,,                 10974,                 24207,              5518388,,,                998133,,                 27021,,                     60,                     60,              1025214,              6543602,,,,              4911700,              5157285,,                405273,,                755389,                 36849,,              5275863,              6068101,,,                -10921,                -10921,             11619738,                 82408,             11702146,             18245748,              0,              0,                245585,                245585,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4960,2014年03月31日,,,,              3694915,,,,                319785,,                417330,,              4006860,,                 51078,,                  1524,,              2051828,,                 50299,,                334341,                    424,                334765,             10928384,,,              6889636,,                  8056,,                 40715,                 48771,,                133076,                    268,,                  3423,                136767,              7075174,             18003558,,,,,              2345406,,                              0,,                  9480,,              2233678,,                 72175,                377694,                449869,                  2352,                246843,,                162132,,,                 15278,,,                  4558,                 19836,              5469596,,,                997733,,                  4126,,                     60,                     60,              1001919,              6471515,,,,              4911700,              4911700,,                601741,,                510760,                 36849,,              5355805,              5903414,,,                 29331,                 29331,             11446186,                 85857,             11532043,             18003558,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4960,2013年12月31日,,,,,,,,                 69688,,                342718,,              4067006,,                 28450,,                     79,,              1980205,,                 45472,,                326309,                  1110,                327419,              8593678,,,              7107746,,                  8056,,                 41651,                 49707,,                 95982,                    271,,                  6134,                102387,              7259840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1732641,             15853518,,,,              1988794,,                              0,,                 54909,,              1802356,,                 59934,                515546,                575480,                  3996,                203246,,                165850,,,                 10354,                 11845,                 22199,              4816830,,,                 22970,,                     97,                     97,                 23067,              4839897,,,,              4911700,              4911700,,                601741,,                510760,                 36849,,              4823735,              5371344,,,                 39929,                 39929,             10924714,                 88907,             11013621,,,,,,,,,,,
4960,2013年09月30日,,,,,,                 37954,,                 69000,,                372946,,              4427754,,                 43350,,                              0,,              2121930,,                 46068,,                531089,                    315,                531404,              9223601,,,              7189971,,                  8056,,                 43196,                 51252,,                139274,                    266,,                  6494,                146034,              7387257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1573195,             16610858,,,,              3094587,,                419724,,                              0,,              1548889,,                 52057,                448323,                500380,                  4040,                164245,,                142826,,,                 14760,                 28715,                243475,              6128918,,,                  2232,,                     60,                     60,                  2292,              6131210,,,,              4911700,              4911700,,                601741,,                510760,                 36849,,              4310545,              4858154,,,                 15152,                 15152,             10386747,                 92901,             10479648,,                 10752,,                200000,,                              0,,,,,
4960,2013年06月30日,,,,,,                              0,,                 73000,,                453824,,              5138252,,                 24905,,                              0,,              2577555,,                 25190,,                278969,                    473,                279442,             10092806,,,              7374854,,                  8056,,                 44503,                 52559,,                104358,                     25,,                  3486,                107869,              7535282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1520638,             17628088,,,,              2590735,,                649586,,                 14562,,              2431882,,                 77296,                415761,              1352605,                 18599,                141492,,                163401,,,                  5796,                  8287,                410616,              7773550,,,                  8919,,                     30,                     30,                  8949,              7782499,,,,              4911700,              4911700,,                601741,,                510760,                 36849,,              3657187,              4204796,,,                 31311,                 31311,              9749548,                 96041,              9845589,,                     72,,                396533,,                              0,                859548,                              0,,,
