證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 應付設備款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 現金及約當現金合計,　　　　 應收帳款,　　　　 應收帳款－關係人,　　　　　 製成品,　　　　 備供出售金融資產－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 應付設備款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產,　　　　 待出售非流動資產（淨額）,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　　 特別股股本
3561,2015年09月30日,,,,                639539,,                 69681,,              1134712,,                261710,,,                834655,                834655,,                353171,                353171,,                 99814,                 61461,                161275,              3454743,,,                749811,,                 66995,,                979542,                979542,,              6156173,                171665,,,                 56500,,              1136726,              1193226,              9317412,             12772155,,,,,                612822,                612822,,                     72,,                600505,,                339239,,                305701,                 50025,                355726,,,              3575452,              3575452,              3575452,              5483816,,,                              0,                              0,,                  3829,                  3829,                  3829,              5487645,,,,              3713594,              3713594,,              5648907,,                 15202,                  1791,,               -337976,               -320983,,             -1757124,                    300,              7284094,                    416,              7284510,             12772155,              0,              0,         30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2015年06月30日,,,,                159166,,                 81761,,              1131905,,                141379,,,                834203,                834203,,                409587,                409587,,,                198411,                198411,              2956412,,,                852555,,                 66995,,              1069388,              1069388,,              6234814,                157177,,,                148000,,              1136053,              1284053,              9664982,             12621394,,,,,                222278,                222278,,,,                541907,,                272764,,                307417,                 96668,                404085,,,              3752009,              3752009,              3752009,              5193043,,,                              0,                              0,,                  3825,                  3825,                  3825,              5196868,,,,              3715094,              3715094,,              5650253,,,,,,               -343729,,             -1596590,                    900,              7424128,                    398,              7424526,             12621394,              0,              0,         90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2015年03月31日,,,,                635586,,                 94485,,                992249,,                 96578,,,              1089759,              1089759,,                391781,                391781,,                 87006,                 82231,                169237,              3469675,,,              1033996,,                 66995,,              1129647,              1129647,,              6260597,                138314,,,                209990,,              1162164,              1372154,             10001703,             13471378,,,,,                479861,                479861,,                              0,,                617251,,                204227,,                214633,                 38370,                253003,,,              1107440,              1107440,              1107440,              2661782,,,              2771042,              2771042,,,,              2774868,              5436650,,,,              3715094,              3715094,,              5651424,,,                  1791,,                 -6153,                 -4362,,             -1327837,                              0,              8034319,                    409,              8034728,             13471378,              0,              0,              0,,                  3826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2014年12月31日,,,,              1058565,,                 29527,,              1025056,,                201625,,,                783906,                783906,,                448031,                448031,,                 62384,                 91832,                154216,              3700926,,,              1208879,,                 66995,,                712319,                712319,,              6305578,                138321,,,                233000,,              1596666,              1829666,             10261758,             13962684,,,,,                515572,                515572,,                              0,,                426332,,                203948,,                249046,                106210,                355256,,,                712440,                712440,                712440,              2213548,,,              3382515,              3382515,,                  3827,                  3827,              3386342,              5599890,,,,              3715844,              3715844,,              5651424,,                              0,                  1791,,                152020,                153811,,             -1157953,                    750,              8362376,                    418,              8362794,             13962684,              0,              0,         75000,,                  3827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2014年09月30日,,,,                802101,,                  7586,,                870928,,                116662,,,                844173,                844173,,                489173,                489173,,                316858,                 49712,                366570,              3497193,,,                994647,,                 66995,,                181590,                181590,,              6185275,                137878,,,                              0,,              2210952,              2210952,              9777337,             13274530,,,,,                131661,                131661,,                              0,,                705799,,                129184,,                256011,                130097,                386108,,,                812440,                812440,                812440,              2165192,,,              2968988,              2968988,,                  3829,                  3829,              2972817,              5138009,,,,              3715844,              3715844,,              5651424,,                              0,                  1791,,                147552,                149343,,             -1379745,                    750,              8136116,                    405,              8136521,             13274530,              0,              0,         75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2014年06月30日,,,,                710709,,                              0,,              1698150,,                 26162,,,                640300,                640300,,                334625,                334625,,,                318951,                318951,              3728897,,,              1182646,,                 50084,,                152406,                152406,,              6717963,                318049,,,                              0,,              1203079,              1203079,              9624227,             13353124,,,,,                371006,                371006,,,,                558646,,                183695,,                241949,                 37019,                278968,,,                887440,                887440,                887440,              2279755,,,              2660461,              2660461,,                  3793,                  3793,              2664254,              4944009,,,,              3715844,              3715844,,              5651424,,,,,,                239995,,             -1197800,                    750,              8408713,                    402,              8409115,             13353124,              0,              0,         75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2014年03月31日,,,,                693876,,                  6983,,              1568047,,                 15269,,,                846801,                846801,,                132826,                132826,,                297845,                 28666,                326511,              3590313,,,              1165158,,                 50084,,                168994,                168994,,              6585976,                137617,,,                              0,,              1650792,              1650792,              9758621,             13348934,,,,,                943463,                943463,,                    779,,                644981,,                186313,,                207906,                 15430,                223336,,,                967440,                967440,                967440,              2966312,,,              2076934,              2076934,,,,              2080727,              5047039,,,,              3715844,              3715844,,              6001271,,,                  1791,,               -196921,               -195130,,             -1220502,                              0,              8301483,                    412,              8301895,             13348934,              0,              0,              0,,                  3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2013年12月31日,,,,,,                 10066,,              1304492,,                 18001,,,                672229,                672229,,                190923,                190923,,                 42723,                101759,                144482,              3014802,,,              1108321,,                 50084,,                184872,                184872,,              6616972,                137506,,,                              0,,              1647660,              1647660,              9745415,,,,,,,,,,                671395,,                145221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         80000,,,                674609,              1304492,                 18001,                672229,              1108321,             12760217,,,,                273556,                273556,,                    519,,                671395,,                145221,,                235560,                 30259,                265819,,,              1072440,              1072440,              1072440,              2428950,,,              3247407,              3247407,,                  3793,              3251200,              5680150,,,,              3216944,              3216944,,              5495972,,                  1791,,               -349160,               -347369,,             -1285088,                    800,              7079659,                    408,              7080067,,,,,,,
3561,2013年09月30日,,,,,,                 10749,,              1287145,,                  8561,,,                608325,                608325,,                223772,                223772,,,                132755,                132755,              3017448,,,                863485,,                 60084,,                337209,                337209,,              6757786,                255996,,,,,              1486997,              1486997,              9761557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         40000,,,                746141,,,,,             12779005,,,,                526560,                526560,,                              0,,                999194,,                 99500,,                190014,                 17176,                207190,,,              1105804,              1105804,              1105804,              2938248,,,              3017880,              3017880,,                              0,              3017880,              5956128,,,,              3201894,              3201894,,              5473839,,,,,               -344845,,             -1508018,                    400,              6822470,                    407,              6822877,,,,,,,
3561,2013年06月30日,,,,,,                 11445,,                836032,,                 17328,,,                443294,                443294,,                222359,                222359,,,                127384,                127384,              2815717,,,                843811,,                 60084,,                363480,                363480,,              6867491,                256172,,,,,              1529285,              1529285,              9920323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        145000,,,                644643,,,,,             12736040,,,,                              0,                              0,,                              0,,                687900,,                 20031,,                142506,                 23538,                166044,,,              1068580,              1068580,              1068580,              1942555,,,              4063353,              4063353,,,              4063353,              6005908,,,,              3203694,              3203694,,              5474525,,,,,               -416692,,             -1530361,                  1450,              6729716,                    416,              6730132,,                513232,                513232,,                              0,                              0,
3561,2013年03月31日,,,,,,                 10685,,                890280,,                 15483,,,                557131,                557131,,                239115,                239115,,,                127837,                127837,              2469274,,,                859113,,                 60084,,              1018053,              1018053,,              7049263,                260281,,,,,              1531047,              1531047,             10777841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         30000,,,                628743,,,,,             13247115,,,,                349076,                349076,,                    489,,                642413,,                  6866,,                184042,                 15687,                199729,,,                819721,                819721,                819721,              2018294,,,              4348826,              4348826,,,              4348826,              6367120,,,,              3203694,              3203694,,              7291915,,,,,             -2092832,,             -1522903,                    300,              6879574,                    421,              6879995,,,,,                              0,                              0,
3561,2012年12月31日,,,,                685288,,                 10906,,                651368,,                 27089,,,                414136,                414136,,                265631,                265631,,,                106922,                106922,              2161340,,,                757462,,                 60084,,                962754,                962754,,              7297831,                298839,,,,,              1531047,              1531047,             10908017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,             13069357,,,,                172133,                172133,,                  1009,,                382893,,                  3307,,                158388,                 24506,                182894,,,                886683,                886683,                886683,              1628919,,,              4389053,              4389053,,,              4389053,              6017972,,,,              2890394,              3170394,,              7261720,,,,,             -1794042,,             -1587101,                              0,              7050971,                    414,              7051385,,,,,                              0,                              0,                280000
3561,2012年09月30日,,,,                884385,,                 23790,,                790060,,                 14068,,,                595054,                595054,,                276462,                276462,,,                116171,                116171,              2699990,,,                867857,,                120775,,              1246080,              1246080,,              7476479,                315989,,,,,              1566984,              1566984,             11594164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,             14294154,,,,                              0,                              0,,                              0,,                370319,,                 45587,,                164406,                 99958,                264364,,,                885965,                885965,                885965,              1566235,,,              4829156,              4829156,,,              4829156,              6395391,,,,              2890394,              3170394,,              7261720,,,,,             -1056023,,             -1477754,                              0,              7898337,                    426,              7898763,,,,,,,                280000
3561,2012年06月30日,,,,                792989,,                 10359,,              1293669,,                 39971,,,                531382,                531382,,                369573,                369573,,,                115510,                115510,              3153453,,,              1014322,,                840967,,                583661,                583661,,              7565374,                243840,,,,,              1637628,              1637628,             11885792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,             15039245,,,,                937791,                937791,,                    642,,                664413,,                104467,,                142391,                 79235,                221626,,,                750708,                750708,                750708,              2679647,,,              5139939,              5139939,,,              5139939,              7819586,,,,              2390394,              2670394,,              6465901,,,,,               -588260,,             -1328820,                              0,              7219215,                    444,              7219659,,,                              0,,,,                280000
3561,2012年03月31日,,,,                802914,,                 10494,,              1307399,,                  2795,,,                556922,                556922,,                383159,                383159,,,                115682,                115682,              3179365,,,              1123623,,                770597,,                910992,                910992,,              7798913,                189101,,,,,              1703395,              1703395,             12496621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,             15675986,,,,                959752,                959752,,                              0,,                466162,,                 91401,,                250649,                166265,                416914,,,                692575,                692575,                692575,              2626804,,,              5291316,              5291316,,,              5291316,              7918120,,,,              2370394,              2670394,,              6907677,,,,,               -624142,,             -1196514,                              0,              7757415,                    451,              7757866,,,,,,,                300000
3561,2012年01月01日,,,,                992531,,                  9974,,                698604,,                  3876,,,                552821,                552821,,                437663,                437663,,,                115296,                115296,              2810765,,,              1018694,,                770597,,                912905,                912905,,              7958982,                201465,,,,,              1703394,              1703394,             12566037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,             15376802,,,,                919717,                919717,,                              0,,                219636,,                  6061,,                272867,                296473,                569340,,,                689909,                689909,                689909,              2404663,,,              5113367,              5113367,,,              5113367,              7518030,,,,              2370394,              2670394,,              6907677,,,,,               -419546,,             -1300374,                              0,              7858151,                    621,              7858772,,,,,                              0,                              0,                300000
