證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　 非控制權益
9911,2015年09月30日,,,,              1033656,,                122543,,                289600,,                155604,,                499293,,                482361,,                 81033,,                 13237,              2677327,,,                 93169,,                 25078,,              1089037,,              1396344,,                283845,,                 90633,                 63872,,                  7212,                  3978,,                  2938,                 76276,,                 27130,                117534,              3159512,              5836839,,,,,                              0,,                  1474,,                775917,,                365699,                 44018,,,                 50000,                 67091,                117091,              1304199,,,                 20000,,                120841,,                213908,                    733,                 20841,                235482,                376323,              1680522,,,,              2764015,              2764015,,,                 49120,                 49120,,                277622,                115799,,                881132,              1274553,,,                117351,,                -21691,                 95660,                 27031,              4156317,              4156317,              5836839,              0,              0,      2891165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911,2015年06月30日,,,,                960756,,                360696,,                284773,,                175819,,                496847,,                367543,,                 87858,,                 93923,              2828215,,,                124409,,                 25078,,                986672,,              1383759,,                285061,,                 90251,                 64496,,                  8382,                  3881,,                  2938,                 73955,,                 28674,                117830,              3077556,              5905771,,,,,                 12220,,                  1604,,                660205,,                721359,                 60483,,,                 57500,                 60104,                117604,              1573475,,,                 20000,,                105076,,                214062,                    733,                 21822,                236617,                361693,              1935168,,,,              2764015,              2764015,,,,                 49120,,                277622,                115799,,                731948,              1125369,,,                 49580,,                  9550,                 59130,                 27031,              3970603,              3970603,              5905771,              0,              0,      2891165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911,2015年03月31日,,,,              1154287,,                100025,,                361286,,                223405,,                474250,,                381761,,                 97496,,                 73958,              2866468,,,                120157,,                 25078,,              1003895,,              1393875,,                286278,,                 94448,                 65108,,                  6094,                  3881,,                  2938,                 75382,,                 21013,                109308,              3098147,              5964615,,,,,                    904,,                  1910,,                777145,,                314881,                 88691,,,                 65000,                 53232,                118232,              1301763,,,                 40000,,                107590,,                214253,                    733,                 22543,                237529,                385119,              1686882,,,,              2764015,              2764015,,,,                 49120,,                223731,                115799,,              1084705,              1424235,,,                 62096,,                  5298,                 67394,                 27031,              4277733,              4277733,              5964615,              0,              0,      2891165,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911,2014年12月31日,,,,              1022059,,                 35032,,                339864,,                273778,,                740496,,                410607,,                 70382,,                 69313,              2961531,,,                114049,,                 25078,,              1019804,,              1410114,,                286751,,                 90169,                 64557,,                  3159,                  3881,,                  2938,                 76718,,                 22534,                109230,              3119752,              6081283,,,,,                              0,,                  1740,,                872650,,                464694,                 65805,,,                 70000,                 52687,                122687,              1527576,,,                 42500,,                110033,,                214452,                    674,                 21121,                236247,                388780,              1916356,,,,              2764015,              2764015,,,                 49120,                 49120,,                223731,                115799,,                969357,              1308887,,,                 70746,,                   -810,                 69936,                 27031,              4164927,              4164927,              6081283,              0,              0,      2891165,,                              0,              1022059,                339864,              6081283,,,,                              0,,                  1740,,                872650,,                464694,                 65805,,,                 70000,                 52687,                122687,              1527576,,,                 42500,,                110033,,                214452,                    674,                 21121,                236247,                388780,              1916356,,,,              2764015,              2764015,,                 49120,,                223731,                115799,,                969357,              1308887,,,                 70746,,                   -810,                 69936,                 27031,              4164927,              4164927,,,
9911,2014年09月30日,,,,                870820,,                 18760,,                368578,,                136670,,                480548,,                401726,,                 61272,,                 16487,              2354861,,,                114686,,                 25078,,              1039586,,              1410354,,                287935,,                 90914,                 65688,,                  2036,                  5736,,                  2938,                 75001,,                 21527,                107238,              3141479,              5496340,,,,,                              0,,                  4668,,                662154,,                347596,                 36126,,,                 50000,                 38142,                 88142,              1138686,,,                 70000,,                102623,,                216525,                  1405,                 24805,                242735,                415358,              1554044,,,,              2764015,              2764015,,,                 49120,                 49120,,                223731,                115799,,                785181,              1124711,,,                 31654,,                   -173,                 31481,                 27031,              3942296,              3942296,              5496340,              0,              0,      2891165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911,2014年06月30日,,,,                927866,,                              0,,                457423,,                167699,,                443500,,                370893,,                 70138,,                 13581,              2451100,,,                273866,,                 25078,,              1006149,,              1405985,,                288899,,                 91634,                 66203,,                  3912,                  6278,,                  2938,                 73531,,                 22337,                108996,              3266810,              5717910,,,,,                 70000,,                  2369,,                614698,,                670788,                 50082,,,                 50000,                 34425,                 84425,              1492362,,,                 97500,,                 96289,,                216843,                  4565,                 26204,                247612,                441401,              1933763,,,,              2764015,              2764015,,,,                 49120,,                223731,                115799,,                651615,                991145,,,                  6946,,                    -48,                  6898,                 27031,              3784147,              3784147,              5717910,              0,              0,      2891165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911,2014年03月31日,,,,              1241385,,                              0,,                111899,,                206521,,                433647,,                414715,,                112946,,                 14462,              2535575,,,                279857,,                 25078,,              1005923,,              1420088,,                260157,,                 91771,                 66921,,                  3306,                  6295,,                  2938,                 75441,,                 23610,                111590,              3261385,              5796960,,,,,                  1822,,                  4193,,                758682,,                372529,                 81501,,,                 30000,                 34818,                 64818,              1283545,,,                145000,,                102082,,                217169,                  4578,                 28487,                250234,                497316,              1780861,,,,              2764015,              2764015,,,,                 49120,,                175957,                115799,,                913965,              1205721,,,                 28291,,                 -4017,                 24274,                 27031,              4016099,              4016099,              5796960,              0,              0,      2891165,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911,2013年12月31日,,,,,,                              0,,,,                159117,,                713212,,                429898,,                 90672,,                 19529,              2525800,,,                371349,,                 36478,,                940831,,              1435945,,                261920,,                 93101,                 66947,,                  3522,                  6252,,                  2938,                 76672,,                 25194,                114578,              3321149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2891165,,,                777748,                335624,              5846949,,,,                              0,,                  2522,,                873174,,                426246,                 65119,,,                 30000,                 35017,                 65017,              1432078,,,                152500,,                 99418,,                217536,                  8913,                 27695,                254144,                506062,              1938140,,,,              2764015,              2764015,,                 49120,,                175957,                115799,,                808395,              1100151,,,                 19095,,                  3459,                 22554,                 27031,              3908809,              3908809,,                 49120,
9911,2013年09月30日,,,,,,                              0,,,,                122874,,                425293,,                382407,,                 57837,,                 19152,              2134211,,,                101619,,                 36478,,                846677,,              1435326,,                348206,,                 93261,                 69693,,                  6485,                  7061,,                  2938,                 75707,,                 24989,                117180,              3048440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2891165,,,                913855,                212793,              5182651,,,,                  2279,,                  1498,,                641135,,                291201,                 39957,,,                 30000,                 24320,                 54320,              1030390,,,                160000,,                 91834,,                218642,                 14989,                 24656,                258287,                510121,              1540511,,,,              2764015,              2764015,,                 47959,,                175957,                115799,,                594920,                886676,,,                -16240,,                -13239,                -29479,                 27031,              3642140,              3642140,,                 47959,
9911,2013年06月30日,,,,,,,,,,                163526,,                401822,,                348186,,                 79300,,                 15316,              2156301,,,                101247,,                 36478,,                873777,,              1443159,,                350538,,                 92679,                 69801,,                 10444,                  6100,,                  2938,                 77264,,                 23698,                120444,              3088123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2891165,,,                725408,                422743,              5244424,,,,                              0,,                  3841,,                572777,,                474789,                 52805,,,                 36667,                 24005,                 60672,              1164884,,,                167500,,                 95062,,                218279,                 19300,                 23119,                260698,                523260,              1688144,,,,              2764015,              2764015,,                 47959,,                175957,                115799,,                494973,                786729,,,                 -1780,,                -13612,                -15392,                 27031,              3556280,              3556280,,,
