證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　 短期借款,　　　　 短期借款合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計
2059,2015年09月30日,,,,              5723461,,                 27377,                 27377,,                987394,,                 11569,,,                369035,                369035,,                 20184,                 20184,              7139020,,,              1430378,,,                  1844,                  1844,                 17734,,                 65227,                    246,                 65473,              1515429,              8654449,,,,,                181109,,                 68469,,                406304,                406304,                200490,,,                              0,                              0,                 27244,                 27244,                883616,,,                              0,,                118920,,                 41192,                 41192,                160112,              1043728,,,,                952971,                952971,,                796691,,                986023,                  6221,,              4855307,              5847551,,,                 13508,                 13508,                              0,              7610721,                              0,              7610721,              8654449,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2015年06月30日,,,,              5796361,,                 25653,                 25653,,                904557,,                 12819,,,                407812,                407812,,                 18132,                 18132,              7165334,,,              1428250,,,                  2196,                  2196,                 17299,,                 60943,                    214,                 61157,              1508902,              8674236,,,,,                186025,,                 69431,,                335125,              1192799,                237059,,,                              0,                              0,                 30637,                 30637,              1715951,,,                              0,,                 71911,,                 41106,                 41106,                113017,              1828968,,,,                952971,                952971,,                796691,,                986023,                  6221,,              4094034,              5086278,,,                  9328,                  9328,                              0,              6845268,                              0,              6845268,              8674236,              0,              0,              0,                857674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2015年03月31日,,,,              5453692,,                 22592,                 22592,,                976667,,                 12556,,,                421955,                421955,,                 18500,                 18500,              6905962,,,              1454053,,,                  2506,                  2506,                 16791,,                 58201,                    234,                 58435,              1531785,              8437747,,,,,                194482,,                 83306,,                305823,                305823,                304637,,,                              0,                              0,                 36362,                 36362,                924610,,,                              0,,                 69894,,                 40952,                 40952,                110846,              1035456,,,,                952971,                952971,,                796691,,                805143,                  6221,,              4831224,              5642588,,,                 10041,                 10041,                              0,              7402291,                              0,              7402291,              8437747,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2014年12月31日,,,,              5396781,,                 26910,                 26910,,              1024128,,                 16870,,,                387711,                387711,,                 19924,                 19924,              6872324,,,              1481941,,,                  1947,                  1947,                 16062,,                 41070,                    236,                 41306,              1541256,              8413580,,,,,                196203,,                 80610,,                403699,                403699,                227294,,,                 60000,                 60000,                 25173,                 85173,                992979,,,                290000,,                 81532,,                 40876,                 40876,                412408,              1405387,,,,                952971,                952971,,                796691,,                805143,                  6221,,              4435630,              5246994,,,                 11537,                 11537,                              0,              7008193,                              0,              7008193,              8413580,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2014年09月30日,,,,              4763406,,                 24833,                 24833,,                872420,,                 17170,,,                353550,                353550,,                 18117,                 18117,              6049496,,,              1474360,,,                  1760,                  1760,                 14963,,                 71352,                    333,                 71685,              1562768,              7612264,,,,,                192000,,                 74554,,                350984,                350984,                149970,,,                 60000,                 60000,                 27920,                 87920,                855428,,,                290000,,                 59304,,                 38884,                 38884,                388188,              1243616,,,,                952971,                952971,,                796691,,                805143,                  6221,,              3801949,              4613313,,,                  5673,                  5673,                              0,              6368648,                              0,              6368648,              7612264,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2014年06月30日,,,,              5042276,,                 24217,                 24217,,                859979,,                 13770,,,                350014,                350014,,                 16803,                 16803,              6307059,,,              1489057,,,                  2058,                  2058,                 15961,,                 57833,                    262,                 58095,              1565171,              7872230,,,,,                193487,,                 59414,,                305068,              1019796,                181724,,,                 60000,                 60000,                 19590,                 79590,              1534011,,,                320000,,                 50704,,                 38878,                 38878,                409582,              1943593,,,,                952971,                952971,,                796691,,                805143,                  6221,,              3364367,              4175731,,,                  3244,                  3244,                              0,              5928637,                              0,              5928637,              7872230,              0,              0,              0,                714728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2014年03月31日,,,,              4794428,,                 21012,                 21012,,                856962,,                  3041,,,                385547,                385547,,                 27597,                 27597,              6088587,,,              1516492,,,                  2476,                  2476,                 14656,,                 36488,                  1089,                 37577,              1571201,              7659788,,,,,                167005,,                 72587,,                270384,                270384,                255307,,,                 60000,                 60000,                 35189,                 95189,                860472,,,                320000,,                 62465,,                 38873,                 38873,                421338,              1281810,,,,                952971,                952971,,                796691,,                665544,                  6221,,              3950599,              4622364,,,                  5952,                  5952,                              0,              6377978,                              0,              6377978,              7659788,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,2013年12月31日,,,,,,                 29532,                 29532,,                810223,,                  2021,,,                380504,                380504,,                 28784,                 28784,              5612441,,,              1533682,,,                  3160,                  3160,                 12727,,                 41941,                    212,                 42153,              1591722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              4360812,,                    565,              7204163,,,,                169095,,                 63390,,                331636,                331636,                193981,,,                 60000,                 60000,                 38585,                 98585,                856687,,,                 17555,,                350000,,                 50586,,                 38639,                 38639,                456780,              1313467,,,,                951881,                951881,,                780589,,                665544,                  6221,,              3482471,              4154236,,,                  3990,                  3990,                              0,              5890696,                              0,              5890696,                              0,,                              0,,,,,,
2059,2013年09月30日,,,,,,                 21344,                 21344,,                680592,,                  2439,,,                418576,                418576,,                 23301,                 23301,              5095978,,,              1552236,,,                  3845,                  3845,                 14949,,                 44654,                    231,                 44885,              1615915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              3945234,,                  4492,              6711893,,,,                162084,,                 74314,,                285384,                285384,                140849,,,                 60000,                 60000,                 39796,                 99796,                762427,,,                102361,,                350000,,                 47506,,                 28859,                 28859,                528726,              1291153,,,,                946577,                946577,,                703697,,                665544,                  6221,,              3096667,              3768432,,,                  2034,                  2034,                              0,              5420740,                              0,              5420740,,,,,,,,,
2059,2013年06月30日,,,,,,                 21765,                 21765,,                784430,,                  3631,,,                422305,                422305,,                 23606,                 23606,              5362127,,,              1572966,,,                  3974,                  3974,                  7458,,                 34448,                  3211,                 37659,              1622057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              4095393,,                 10997,              6984184,,,,                166412,,                 65743,,                251284,                812266,                160054,,,                 60000,                 60000,                 35699,                 95699,              1300174,,,                204150,,                380000,,                 49041,,                 28859,                 28859,                662050,              1962224,,,,                940218,                940218,,                611708,,                665544,                  6221,,              2795029,              3466794,,,                  3240,                  3240,                              0,              5021960,                              0,              5021960,                560982,,,,,,,,
