證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 其他長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫存現金,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他應付款－其他
2013,2015年09月30日,,,,                335148,,                259745,,                211035,,              2101436,,                380077,              5598922,,                146754,,                 40337,,              1157150,,                412555,,                155495,                 32776,                188271,             10831430,,,                155355,,                735123,,              2270222,,                231095,,                  5182,                283613,,                 11625,                 27363,                              0,,                  7057,                343322,,                  4250,                393617,              4074207,             14905637,,,,,              3411227,,              2749028,,                 85461,,              1982632,,                 66836,                956261,,                283841,                 13145,,                573708,,                 17866,                 17866,             10140005,,,                 99951,                 99951,,                 43883,,                147686,                107324,                255010,                398844,             10538849,,,,              2000000,              2000000,,              1202828,,                569350,                158453,,                420995,              1148798,,                151324,                136162,              4366788,                              0,              4366788,             14905637,              0,              0,      6804767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2015年06月30日,,,,                299825,,                325139,,                161115,,              2178862,,                345655,              5457496,,                251584,,                 43627,,                883803,,                365470,,                249099,                 21559,                270658,             10583234,,,                149262,,                726394,,              2236642,,                233043,,                  3077,                283520,,                 13783,                 21357,,,                  7334,                343404,,                  4431,                390309,              4022247,             14605481,,,,,              3160463,,              2499340,,                 35255,,              1937800,,                 70032,              1026494,,                405452,                 12721,,                574321,,                 10576,                 10576,              9732454,,,                199985,                199985,,                 43011,,                151097,                108325,                259422,                502418,             10234872,,,,              2000000,              2000000,,              1197384,,                569350,                158453,,                375830,              1103633,,                205754,                136162,              4370609,                              0,              4370609,             14605481,              0,              0,      6804767,                299825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2015年03月31日,,,,                323227,,                345535,,                107181,,              2050129,,                512478,              4893421,,                150806,,                 43578,,                834604,,                349880,,                292975,                 15548,                308523,              9919362,,,                151393,,                811305,,              2207957,,                220492,,                  4113,                289608,,                 61890,                  8528,,,                  5958,                347827,,                  4981,                429184,              4114052,             14033414,,,,,              2888112,,              2179445,,                 75381,,              1951227,,                 73652,                966224,,                243043,                 12123,,                573840,,                 36673,                 36673,              8999720,,,                199955,                199955,,                 42495,,                156153,                117039,                273192,                515642,              9515362,,,,              2000000,              2000000,,              1197384,,                543782,                158453,,                509103,              1211338,,                245492,                136162,              4518052,                              0,              4518052,             14033414,              0,              0,      6804767,                323227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2014年12月31日,,,,                412542,,                352114,,                108617,,              2060469,,                211112,              4436108,,                143570,,                 43570,,              1049404,,                343456,,                498913,                 14294,                513207,              9674169,,,                152834,,                757769,,              2136176,,                222439,,                  4030,                290334,,                              0,                  9111,                              0,,                  5971,                351699,,                  5625,                372406,              3935988,             13610157,,,,,              2491679,,              2029030,,                118746,,              2003840,,                 38342,                900548,,                357014,                  8691,,                582371,,                 43475,                 43475,              8573736,,,                199921,                199921,,                 45290,,                169296,                120797,                290093,                535304,              9109040,,,,              2000000,              2000000,,              1197384,,                543782,                158453,,                477420,              1179655,,                260240,                136162,              4501117,                              0,              4501117,             13610157,              0,              0,      6804767,                412542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2014年09月30日,,,,                430233,,                342929,,                 70067,,              1795197,,                 91103,              4587928,,                139764,,                 43587,,              1196217,,                350979,,                543223,                 89096,                632319,              9680323,,,                148091,,                660401,,              2152912,,                224387,,                  5359,                299770,,                  1487,                 12514,                  9365,,                  5873,                352388,,                  5667,                387294,              3878214,             13558537,,,,,              3062299,,              1599066,,                 83627,,              1875033,,                 43511,              1048874,,                287469,                 15409,,                606242,,                 14235,                 14235,              8635765,,,                199875,                199875,,                 36096,,                176295,                119953,                296248,                532219,              9167984,,,,              2000000,              2000000,,              1197373,,                543782,                158453,,                400814,              1103049,,                226293,                136162,              4390553,                              0,              4390553,             13558537,              0,              0,      6804767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2014年06月30日,,,,                260542,,                349094,,                 93612,,              1933867,,                228878,              4628954,,                204177,,                 40340,,              1142988,,                417725,,                581398,                 27913,                609311,              9909488,,,                144400,,                626613,,              2179653,,                268229,,                  6714,                300619,,                 16184,                 13260,,,                  5803,                369142,,                  6317,                410706,              3936934,             13846422,,,,,              2440394,,              1929394,,                123294,,              1856092,,                 89874,              1312914,,                615201,                 14695,,                613268,,                 12381,                 12381,              9007507,,,                199979,                199979,,                 36063,,                190962,                118893,                309855,                545897,              9553404,,,,              2000000,              2000000,,              1187166,,                543782,                158453,,                339964,              1042199,,                199815,                136162,              4293018,                              0,              4293018,             13846422,              0,              0,      6804767,                260542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2014年03月31日,,,,                481797,,                351078,,                 56830,,              2062034,,                239849,              4638338,,                160850,,                 42254,,                921107,,                491049,,                542144,                 47247,                589391,             10034577,,,                147071,,                681989,,              2223589,,                271179,,                  8182,                309149,,                  3160,                 10482,,,                  5848,                374177,,                  6053,                399720,              4040879,             14075456,,,,,              1822807,,              2249417,,                 62666,,              1850967,,                278221,              1625765,,                386552,                 12681,,                619422,,                 41545,                 41545,              8950043,,,                199942,                199942,,                 43733,,                205363,                120920,                326283,                569958,              9520001,,,,              2000000,              2000000,,              1187166,,                500229,                158453,,                633362,              1292044,,                212407,                136162,              4555455,                              0,              4555455,             14075456,              0,              0,      6804767,                481797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2013年12月31日,,,,,,                362097,,                 77369,,              2205279,,                352938,              4559843,,                153569,,,,                856769,,                433528,,                530351,                 30544,                560895,             10159235,,,                147641,,                670565,,              2244061,,                273521,,                  8045,                313880,,                  9450,                 16815,,,                  5849,                377839,,                  6945,                416898,              4074611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6804767,                554757,                554757,                 42191,             14233846,,,,              1603534,,              2529107,,                120748,,              1941683,,                175478,              1564375,,                534360,                  9115,,                632341,,                 12212,                 12212,              9122953,,,                199855,                199855,,                 44005,,                211572,                145625,                357197,                601057,              9724010,,,,              2000000,              2000000,,              1187166,,                500229,                158453,,                570711,              1229393,,                229439,                136162,              4509836,                              0,              4509836,
2013,2013年09月30日,,,,,,                353034,,                 28986,,              2099835,,                249170,              4748735,,                139712,,,,              1027643,,                517011,,                441442,                 28571,                470013,             10094708,,,                134248,,                641218,,              2261645,,                245473,,                  9873,                356606,,                  7402,                  5346,                              0,,                  5797,                379399,,                  7790,                405734,              4054797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6804767,                422148,                422148,                 38421,             14149505,,,,              2668327,,              1929152,,                 69696,,              1968077,,                207331,              1232115,,                405420,                    935,,                666690,,                 32771,                 32771,              9180514,,,                199882,                199882,,                 45561,,                174866,                147108,                321974,                567417,              9747931,,,,              2000000,              2000000,,              1187166,,                500229,                158453,,                500904,              1159586,,                190984,                136162,              4401574,                              0,              4401574,
2013,2013年06月30日,,,,,,                311215,,                126673,,              2450058,,                409131,              4576487,,                204698,,,,                919782,,                470145,,                312863,                 92264,                405127,             10107394,,,                152216,,                610693,,              2278073,,                248133,,                 11246,                374799,,                  4533,                  5779,,,                  5814,                383784,,                  8738,                408648,              4083808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6804767,                225255,                225255,                  8823,             14191202,,,,              2017311,,              1879060,,                 79149,,              2069023,,                334347,              1566293,,                786822,                 27205,,                753076,,                 19096,                 19096,              9531382,,,                              0,                              0,,                 48165,,                180278,                155596,                335874,                384039,              9915421,,,,              2000000,              2000000,,              1172876,,                500229,                158453,,                412631,              1071313,,                167754,                136162,              4275781,                              0,              4275781,
