證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 員工福利負債準備－非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　　 待分配股票股利,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 員工福利負債準備－非流動,　　　　 待分配股票股利,　　　　　 一年或一營業週期內到期長期借款
1210,2015年09月30日,,,,              4405308,,                205443,,              1079765,,              4940060,,                 89040,,              5934656,,                756801,,              1176169,,                 11048,,                742441,              1958533,              2700974,             21299264,,,              1280250,,                110320,,              2408815,,             12819417,,                916333,,                148681,                148681,,                126301,                233761,,              1179301,             19223179,             40522443,,,,,              6347586,,                968786,,                    518,,                347390,,                  4766,,              4448313,,                 97663,,              1565535,                129631,,,                382751,              1636870,              2019621,             15929809,,,              4458529,,                 13957,                 13957,,                172696,,                 99019,                 89930,                188949,              4834131,             20763940,,,,              7363944,              7363944,,              2430782,,              2854589,,              1398058,                306199,             13741174,              6017329,             19758503,             40522443,              0,     52894691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,2015年06月30日,,,,              4058556,,                 53212,,                919032,,              4645401,,                 61389,,              6203611,,                781796,,              1697945,,                 11048,,                674537,              1962215,              2636752,             21068742,,,              1341000,,                108838,,              2364035,,             12613868,,                909033,,                145363,                145363,,                 47599,                168832,,              1171090,             18869658,             39938400,,,,,              6277846,,                460786,,                 21660,,                395959,,                  9533,,              4601869,,                 95684,,              2168968,                170237,,,                364328,              1584039,              1948367,             16150909,,,              4293890,,                 13957,                 13957,,                140357,,                 95762,                 87843,                183605,              4631809,             20782718,,,,              7363944,              7363944,,              2377966,,              2511625,,              1249958,                306199,             13197294,              5958388,             19155682,             39938400,              0,     52894691,,                              0,,              1171090,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,2015年03月31日,,,,              3703528,,                 47233,,                935054,,              4259202,,                106674,,              7692563,,                785866,,              2017602,,,,                843669,              1885599,              2729268,             22276990,,,              1559883,,                109944,,              2404312,,             12634789,,                920180,,                146455,                146455,,                 56011,                199657,,              1169108,             19200339,             41477329,,,,,              6186127,,              1213761,,                 18787,,                325076,,,,              4933324,,                101312,,              1450380,                271653,,,                260192,              1575605,              1835797,             16336217,,,              4624121,,,                 13957,,                137537,,                 92368,                151133,                243501,              5019116,             21355333,,,,              7363944,              7363944,,              2377966,,              3150312,,              1557414,                306199,             14143437,              5978559,             20121996,             41477329,              0,     52894691,,                              0,,,,              1448344,                 42994,,              1658974,,                276133,,              1281281,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,2014年12月31日,,,,              3825014,,                126803,,              1092853,,              4837885,,                115874,,              7839628,,                807077,,              1037010,,                              0,,                648361,              1963220,              2611581,             22293725,,,              1253422,,                109250,,              2472614,,             13384162,,                293911,,                147462,                147462,,                 52418,                208674,,              1179499,             19101412,             41395137,,,,,              5314276,,              1018798,,                    170,,                517127,,                              0,,              5214309,,                165939,,              1655669,                225828,,,                260372,              2016923,              2277295,             16389411,,,              4671872,,                 13957,                 13957,,                156035,,                 67758,                151705,                219463,              5061327,             21450738,,,,              7363944,              7363944,,              2377966,,              2992074,,              1370880,                306199,             13798665,              6145734,             19944399,             41395137,              0,     52894691,,                              0,,              1179499,                              0,              1448344,                 42994,,              1500736,,                396064,,                974816,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,2014年09月30日,,,,              3449809,,                 79396,,              1039864,,              5073789,,                129786,,              7678782,,                786777,,              1731986,,                              0,,              1112009,              1653213,              2765222,             22735411,,,              1312415,,                108955,,              2199953,,             12694182,,                294779,,                145548,                145548,,                 51579,                239885,,              1076342,             18123638,             40859049,,,,,              7335812,,              1102821,,                    330,,                472354,,                              0,,              5174043,,                 70260,,              1286003,                104353,,,                250000,              1571149,              1821149,             17367125,,,              3327278,,                 20834,                 20834,,                137707,,                 63230,                174592,                237822,              3723641,             21090766,,,,              7363944,              7363944,,              2377847,,              2999495,,              1128065,                306199,             13563152,              6205131,             19768283,             40859049,              0,     52894691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,2014年06月30日,,,,              4013614,,                 25424,,              1128920,,              4775404,,                106238,,              7726025,,                604774,,              1860396,,                              0,,                497244,              1563543,              2060787,             22323981,,,              1789275,,                108821,,              2117926,,             12095959,,                298383,,                144849,                144849,,                 31829,                247650,,              1053781,             17888473,             40212454,,,,,              5245449,,              1570000,,                 11453,,                430775,,                              0,,              4700861,,                 72997,,              1843922,                178844,,,                175000,              1398656,              1573656,             15627957,,,              4730630,,                 21561,                 21561,,                129616,,                 59673,                351092,                410765,              5292572,             20920529,,,,              5664572,              7363944,,              2337200,,              2503297,,              1241482,                306199,             13139724,              6152201,             19291925,             40212454,              0,     40688225,,                 22399,,              1053781,              1699372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,2014年03月31日,,,,              4026127,,                 52591,,              1044288,,              3898351,,                 90690,,              7420829,,                540971,,              1838105,,,,                568771,              1467998,              2036769,             20971573,,,              1463700,,                109800,,              2171762,,             12031555,,                299250,,                146238,                146238,,                 31704,                254393,,              1093562,             17601964,             38573537,,,,,              5305399,,              1130000,,                    160,,                477809,,,,              4131451,,                146535,,              1197693,                282392,,,                175000,              1469666,              1644666,             14316105,,,              4222043,,,                 35078,,                134208,,                 60050,                388510,                448560,              4839889,             19155994,,,,              5664572,              5664572,,              2320974,,              4455152,,              1014679,                306199,             13149178,              6268365,             19417543,             38573537,              0,     40688225,,                 22852,,,,              1268774,                 42994,,              3143384,,                 68475,,                946204,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,2013年12月31日,,,,,,                 58529,,              1068071,,              4098720,,                209434,,              8035975,,                592932,,                703697,,,,                740558,              1412145,              2152703,             21218382,,,              1346410,,                109640,,              2188704,,             11815875,,                300117,,                139989,                139989,,                 23269,                239938,,              1075682,             17239624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     40688225,,                 28543,,,,,,,,,,,,              0,              4231886,,                 37892,             38458006,,,,              5690808,,                669923,,                              0,,                321721,,              4853165,,                112794,,              1357862,                246013,,,                175000,              1556270,              1731270,             14983556,,,              4057458,,                 35160,,                133710,,                 58165,                401681,                459846,              4686174,             19669730,,,,              5664572,              5664572,,              2320974,,              4098205,,                842959,                306199,             12620511,              6167765,             18788276,                 35160,                              0,
1210,2013年09月30日,,,,,,                 21124,,              1021027,,              4576995,,                234715,,              6692757,,                562502,,              2411991,,,,                929975,              1379765,              2309740,             22002753,,,              1270051,,                109584,,                745420,,             11580767,,                300985,,                139566,                139566,,                 38379,                196157,,                963319,             15344228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     40688225,,                 29570,,,,,,,,,,,,              0,              4101737,,                 40595,             37346981,,,,              5015605,,                310000,,                 20769,,                310249,,              5403951,,                 68292,,              2159776,                210444,,,                252941,              1370859,              1623800,             15122886,,,              4668736,,                 92550,,                 26643,,                 58538,                103949,                162487,              4950416,             20073302,,,,              5664572,              5664572,,              2374875,,              2902966,,              1002015,                306199,             11638229,              5635450,             17273679,,,
1210,2013年06月30日,,,,,,                380743,,              1237857,,              4499133,,                224507,,              6891483,,                587573,,              1276338,,,,                467694,              1743747,              2211441,             21422220,,,              1256967,,                110520,,                784745,,             11538424,,                301852,,                140340,                140340,,                 32881,                200994,,              1006301,             15373024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     40688225,,                 25039,,,,,,,,,,,,              0,              4049047,,                 39059,             36795244,,,,              4822340,,              1050000,,                    208,,                264455,,              4552597,,                 66849,,              2100103,                187356,,,                253285,              1277022,              1530307,             14574215,,,              4971168,,                 92486,,                 31466,,                 60577,                 60773,                121350,              5216470,             19790685,,,,              5664572,              5664572,,              2326642,,              2571063,,              1091424,                306199,             11347502,              5657057,             17004559,                 92486,                              0,
