證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 存出保證金,　　　　　 其他應付款－其他,　　　　　 淨確定福利負債-非流動,　　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－認股權,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益－母公司,　　　　　　 備供出售金融資產未實現損益合計,　　　　 現金及約當現金合計,　　　 避險之衍生金融資產－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－母公司,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　 待註銷股本股數
3029,2015年09月30日,,,,                252014,,                209894,,                  5593,,                246166,,                131276,,              1191478,,                464027,,                 18408,              2518856,,,                 48033,,                 51725,,                  3836,,                 10707,,                              0,,                309456,,                  3004,                 16724,,                  4184,                447669,              2966525,,,,,                 51530,,                              0,,                812154,,                 92760,                 23864,,                 80773,                 80773,              1061081,,,                 29042,,                    327,,                  8364,                 37733,              1098814,,,,              1211933,              1211933,,                417806,,                 99152,,                157812,                256964,,                -23826,              1862877,                  4834,              1867711,              2966525,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,2015年06月30日,,,,                346413,,                215465,,                  4446,,                239059,,                157004,,              1073460,,                523435,,                 12275,              2571557,,,                 54354,,                 49645,,                  3836,,                 10708,,                              0,,                308752,,                  2618,                 19651,,                  3200,                452764,              3024321,,,,,                 48000,,                              0,,                915022,,                127053,                 17160,,                 64530,                 64530,              1171765,,,                 81417,,                      4,,                  8404,                 89825,              1261590,,,,              1134771,              1182143,,                395063,,                 99152,,                 97536,                196688,,                -16106,              1757788,                  4943,              1762731,              3024321,              0,              0,,                  2618,                  2618,                  3200,                127053,                  8404,                 47372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,2015年03月31日,,,,                111132,,                441048,,                  3719,,                240157,,                 46090,,              1098924,,                427627,,                 22359,              2391056,,,                 64258,,                 50241,,                  3836,,                 10708,,                  7425,,                308157,,                  2961,                 18329,,                  2202,                468117,              2859173,,,,,                 46600,,                  2944,,                746131,,                 78785,                 25867,,                 79328,                 79328,                979655,,,                409600,,                    233,,                 13137,                422970,              1402625,,,,                947442,                947442,,                251611,,                 87965,,                169678,                257643,,                 -5606,              1451090,                  5458,              1456548,              2859173,              0,              0,,                  2961,                  2961,                  2202,                 78785,                 13137,,,                              0,,                185410,                185410,                 25343,                  2975,                 37883,                118474,                 51204,,                 -5606,                 -5606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,2014年12月31日,,,,                162005,,                337519,,                              0,,                246213,,                121003,,              1476562,,                555655,,                  5028,              2903985,,,                 56545,,                 50734,,                  1836,,                 19204,,                  7578,,                309571,,                  3221,                 22010,,                  2131,                472830,              3376815,,,,,                224600,,                  3568,,              1126382,,                111014,                 18929,,                 67515,                 67515,              1552008,,,                407496,,                     88,,                 13311,                420895,              1972903,,,,                947442,                947442,,                251611,,                 87965,,                118474,                206439,,                 -7213,              1398279,                  5633,              1403912,              3376815,              0,              0,,                  3221,                  3221,                  2131,                111014,                 13311,                              0,,                              0,,                185410,                185410,                 25343,                  2975,                 37883,                  6604,                111870,,                 -7213,                 -7213,                162005,                              0,                246213,                 19204,              3376815,,,,                224600,,                  3568,,              1126382,,                111014,                111014,                 18929,,                 67515,                 67515,              1552008,,,                407496,,                     88,,                 13311,                 13311,                420895,              1972903,,,,                947442,                947442,,,                185410,                185410,                 25343,                  2975,                 37883,                251611,,                 87965,,                  6604,                111870,                118474,                206439,,,                 -7213,                 -7213,                 -7213,                              0,              1398279,                              0,                  5633,              1403912,              0
3029,2014年09月30日,,,,                240260,,                465298,,                              0,,                240620,,                 51923,,                993747,,                604446,,                  6206,              2602500,,,                 52436,,                 49145,,                  5393,,                  6704,,                 10273,,                313411,,                  3690,                 20172,,                  2108,                463332,              3065832,,,,,                 40600,,                  4361,,                985220,,                137860,                  8265,,                 76196,                 76196,              1252502,,,                445383,,                  1017,,                  9385,                455785,              1708287,,,,                947442,                947442,,                249928,,                 87965,,                 76163,                164128,,                 -6854,              1354644,                  2901,              1357545,              3065832,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,2014年06月30日,,,,                196598,,                333420,,                              0,,                298660,,                 94609,,                924231,,                563844,,                 21044,              2432406,,,                 56743,,                 47907,,                  5643,,                  6704,,                 10571,,                311611,,                  3377,                 16940,,                  1637,                461133,              2893539,,,,,                 23400,,                  3214,,                828177,,                173205,                  8365,,                 60273,                 60273,              1096634,,,                452138,,                  1383,,                  9436,                462957,              1559591,,,,                947442,                947442,,                250238,,                 87965,,                 50681,                138646,,                 -2385,              1333941,                      7,              1333948,              2893539,              0,              0,,                  3377,                  3377,                  1637,                173205,                  9436,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,2014年03月31日,,,,                180657,,                274793,,                              0,,                335090,,                143709,,                808908,,                397205,,                 18606,              2158968,,,                 61581,,                 48795,,                  5643,,                  6700,,                  9509,,                312172,,                  4290,                 16677,,                  1637,                581222,              2740190,,,,,                538400,,                     14,,                690129,,                 78607,                 13648,,                 54793,                 54793,              1375591,,,                              0,,                              0,,                  9531,                  9531,              1385122,,,,                947442,                947442,,                217242,,                 79727,,                107231,                186958,,                  2997,              1354639,                    429,              1355068,              2740190,              0,              0,,                  4290,                  4290,                  1637,                 78607,                  9531,,,                114218,,                194884,                194884,                 21814,                    544,                              0,                 89209,                 18022,,                  2997,                  2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,2013年12月31日,,,,,,                278647,,,,,,                129638,,              1120892,,                438911,,                 21472,              2472168,,,                 68712,,                 48982,,                  5393,,,,                              0,,                313344,,                  4798,                 14999,,                  1055,                484545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  4798,                  4798,                  1055,,,,,                 20562,,,,,,,,,,,,                143689,                    839,                338080,                  6700,              2956713,,,,                575923,,                              0,,                789038,,                184902,                184902,                  9472,,                 44711,                 44711,              1604046,,,                              0,,                    143,,                  9792,                  9792,                  9935,              1613981,,,,                947442,                947442,,,                194884,                194884,                 21814,                    544,                              0,                217242,,                 79727,,                  6833,                 82376,                 89209,                168936,,,                  8408,                  8408,                  8408,                              0,              1342028,                              0,                    704,              1342732,              0
3029,2013年09月30日,,,,,,                110393,,,,,,                 88312,,                918237,,                411296,,                 15974,              2086696,,,                 75970,,                 48186,,                 10393,,,,                              0,,                314798,,                  4946,                 16393,,                    964,                499154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  4946,                  4946,                    964,,,,,                 21204,,,,,,,,,,,,                154974,                              0,                387510,                  6300,              2585850,,,,                432910,,                              0,,                698909,,                100253,                100253,                  3378,,                 40632,                 40632,              1276082,,,                              0,,                    364,,                  7414,                  7414,                  7778,              1283860,,,,                947442,                947442,,,,,,,,                217213,,                 79727,,,,                 51204,                130931,,,,,                  5529,,              1301115,,                    875,              1301990,              0
3029,2013年06月30日,,,,,,                125725,,,,,,                133098,,                936657,,                355548,,                 16166,              2162608,,,                 76270,,                 48666,,                 10393,,,,                              0,,                314348,,                  5956,                 15620,,                    574,                498937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  5956,                  5956,                    574,,,,,                 20810,,,,,,,,,,,,                163298,                  1416,                430700,                  6300,              2661545,,,,                495500,,                              0,,                670457,,                151815,                151815,                  4513,,                 44550,                 44550,              1366835,,,                              0,,                              0,,                  7459,                  7459,                  7459,              1374294,,,,                947442,                947442,,,,,,,,                217362,,                 79727,,,,                 34858,                114585,,,,,                  7039,,              1286428,,                    823,              1287251,              0
