證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 應付票據,　　　　 應付票據合計,　　 非控制權益,　　　 應收票據淨額,　　　　 應收票據淨額
8427,2015年09月30日,,,,              2369943,,                              0,,                 49389,,                 80999,,                 62862,,              1818391,,                219341,              4600925,,,              1811885,,,                 27393,                 27393,                              0,,                196431,,                 14277,                210708,              2049986,              6650911,,,,,                830067,,                109001,,                853647,,                175172,                 65210,,                  6395,              2039492,,,                160964,,                  5771,                  5771,                166735,              2206227,,,,              1062850,              1062850,,              2239965,,                138209,,                517876,                656085,,                578749,                 92965,              4444684,              4444684,              6650911,              0,      2024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,2015年06月30日,,,,              2106642,,                251827,,                 98386,,                212234,,                 18641,,                897815,,                 89894,              3705458,,,              1815788,,,                 26883,                 26883,                 15469,,                190066,,                  9931,                199997,              2058137,              5763595,,,,,                 88169,,                 27272,,                583080,,                330653,                              0,,                 71069,              1100243,,,                278950,,                  5744,                  5744,                284694,              1384937,,,,              1062850,              1062850,,              2239965,,                138209,,                560098,                698307,,                377536,,              4378658,              4378658,              5763595,              0,              0,,                 30019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,2015年03月31日,,,,              3257661,,                  8954,,,,                835057,,                  4394,,                426459,,                233228,              4765753,,,              1908421,,,                 28106,                 28106,                 18968,,                194137,,                  6741,                200878,              2156373,              6922126,,,,,                709471,,                 81040,,                805320,,                247280,                 93421,,                  9876,              1946408,,,                298002,,                  5826,                  5826,                303828,              2250236,,,,              1062850,              1062850,,              2293108,,                138209,,                729840,                868049,,                447883,,              4671890,              4671890,              6922126,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,2014年12月31日,,,,              1254648,,                  8281,,                 13646,,              1148953,,                 61321,,              1838772,,                351043,              4676664,,,              1990623,,,                 29166,                 29166,                 19416,,                197355,,                  6301,                203656,              2242861,              6919525,,,,,                869307,,                 95741,,              1155792,,                260463,                 30500,,                 13496,              2425299,,,                191107,,                  5881,                  5881,                196988,              2622287,,,,              1062850,              1062850,,              2293108,,                138209,,                317098,                455307,,                485973,                              0,              4297238,              4297238,              6919525,              0,              0,,                              0,              1268294,                              0,              6919525,,,,                869307,,                 95741,,              1155792,,                260463,                 30500,,                 13496,              2425299,,,                191107,,                  5881,                  5881,                196988,              2622287,,,,              1062850,              1062850,,              2293108,,                138209,,                317098,                455307,,                485973,                              0,              4297238,              4297238,              0,,,,,
8427,2014年09月30日,,,,              1259973,,                 37252,,                 18975,,                 80100,,                  8149,,              1980365,,                242248,              3627062,,,              1984383,,,                 29088,                 29088,                 21003,,                192559,,                  8630,                201189,              2235663,              5862725,,,,,                452311,,                 71262,,              1051913,,                205194,                              0,,                  7063,              1787743,,,                115460,,                  5699,                  5699,                121159,              1908902,,,,              1080000,              1080000,,              2330109,,                138209,,                130087,                268296,,                356659,                 81241,              3953823,              3953823,              5862725,              0,      1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,2014年06月30日,,,,              1782396,,                 21732,,                101492,,                224327,,                 38127,,                986227,,                135203,              3344183,,,              1997988,,,                 29136,                 29136,                 20867,,                189054,,                  8359,                197413,              2245404,              5589587,,,,,                355213,,                 91944,,                553858,,                414969,                              0,,                  7895,              1423879,,,                153821,,                  5557,                  5557,                159378,              1583257,,,,              1080000,              1080000,,              2330109,,                138209,,                202267,                340476,,                255745,,              4006330,              4006330,              5589587,              0,              0,,                 54679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,2014年03月31日,,,,              1350085,,                 43812,,,,              1299986,,                146088,,              1051972,,                287432,              4235066,,,              2101798,,,                 30462,                 30462,                 21989,,                193870,,                  9895,                203765,              2358014,              6593080,,,,,              1055085,,                 69670,,                439525,,                373699,                              0,,                 21119,              1959098,,,                207165,,                  5660,                  5660,                212825,              2171923,,,,              1080000,              1080000,,              2384109,,                115083,,                508642,                623725,,                333323,,              4421157,              4421157,              6593080,              0,              0,,                 55691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8427,2013年12月31日,,,,,,                195995,,,,                912226,,                 22767,,              2091738,,                407044,              4819438,,,              2163980,,,                     67,                     67,                 23408,,                195946,,                 33376,                229322,              2416777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1133761,                 55907,              7236215,,,,              1649486,,                              0,,                605948,,                251161,                              0,,                 37682,              2544277,,,                219786,,                  5681,                  5681,                225467,              2769744,,,,              1080000,              1080000,,              2384109,,                115083,,                543764,                658847,,                343515,                              0,              4466471,              4466471,              0,,,,,
8427,2013年09月30日,,,,,,                 83695,,,,                129514,,                  6911,,              1838068,,                215094,              3067763,,,              2130573,,,,                     74,                 26665,,                193821,,                 54145,                247966,              2405278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                751108,                 43373,              5473041,,,,                              0,,                              0,,                786425,,                280471,,,                 19183,              1086079,,,                130301,,                  5582,                  5582,                135883,              1221962,,,,              1080000,              1080000,,              2384109,,                115083,,                398807,                513890,,                273080,                              0,              4251079,              4251079,              0,,,,,
8427,2013年06月30日,,,,,,                 31906,,,,                191978,,                  8996,,                882529,,                 97269,              3166407,,,              2162659,,,,                     84,                              0,,                197342,,                 41246,                238588,              2401331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1953729,                              0,              5567738,,,,                              0,,                              0,,                387536,,                636124,                 18920,,                  4505,              1047085,,,                112096,,                  5646,                  5646,                117742,              1164827,,,,              1080000,              1080000,,              2384109,,                115083,,                497157,                612240,,                326562,,              4402911,              4402911,              0,,,,,
