證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 一年或一營業週期內到期長期借款,　　　 負債準備-流動,　　　　 員工福利負債準備－流動,　　　　 負債準備－流動合計,　　　 與待出售非流動資產直接相關之負債,　　　　 存入保證金,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）
2302,2015年09月30日,,,,                 77090,,                    907,,                  4903,,                167998,,                105606,,                 72153,,                130508,,                 10530,,                 12126,                 12126,                581821,,,                  1936,,                475775,,                949841,                  2810,,                 12976,,                 37456,                 50432,              1480794,              2062615,,,,,                107500,,                108330,,                 32427,,,                  2768,                  4945,                  7713,                255970,,,                  2835,,                 62679,,                 11170,                  3069,                 14239,                 79753,                335723,,,,              1663029,              1663029,,                      9,,                 14201,                  2366,,                  6414,                  6414,                 22981,,                 40873,                              0,              1726892,                              0,              1726892,              2062615,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,2015年06月30日,,,,                 62201,,                    969,,                  4850,,                263060,,                121786,,                 53481,,                151270,,                 14360,,                 12415,                 12415,                684392,,,                  1936,,                474931,,                950898,                  2635,,                 12753,,                  7385,                 20138,              1450538,              2134930,,,,,                101500,,                133858,,                118282,,,                  2752,                 12022,                 14774,                368414,,,                  3534,,                 62679,,                 10821,                  3063,                 13884,                 80097,                448511,,,,              1613029,              1663029,,                      9,,                 14201,                  2366,,                -11602,                -11602,                  4965,,                 18416,                              0,              1686419,                              0,              1686419,              2134930,              0,              0,              0,                 50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,2015年03月31日,,,,                 49847,,                  1014,,                  4700,,                261252,,                120854,,                 59840,,                139398,,                 12750,,                 12160,                 12160,                661815,,,                  1936,,                466974,,                952439,                  2676,,                 13024,,                 15349,                 28373,              1452398,              2114213,,,,,                101500,,                130312,,                 40775,,,                  2735,                  9780,                 12515,                285102,,,                  4228,,                 62679,,                 10803,                  1123,                 11926,                 78833,                363935,,,,              1613029,              1613029,,                      9,,                  2238,                  2366,,                105313,                105313,                109917,,                 27323,                              0,              1750278,                              0,              1750278,              2114213,              0,              0,              0,,,                 27323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,2014年12月31日,,,,                 56399,,                              0,,                  4700,,                299967,,                134592,,                 60817,,                120041,,                 15002,,                 10784,                 10784,                702302,,,                  1936,,                443754,,                663510,                  3612,,                 13224,,                331197,                344421,              1457233,              2159535,,,,,                111500,,                126795,,                 57492,,,                  2719,                  7623,                 10342,                306129,,,                  4918,,                 62679,,                 11532,                  1123,                 12655,                 80252,                386381,,,,              1613029,              1613029,,                      9,,                  2238,                  2366,,                121306,                121306,                125910,,                 34206,                              0,              1773154,                              0,              1773154,              2159535,              0,              0,              0,                              0,,                 34206,                 56399,              2159535,,,,                111500,,                126795,,                 57492,,,                  2719,                  7623,                 10342,                306129,,,                  4918,,                 62679,,                 11532,                  1123,                 12655,                 80252,                386381,,,,              1613029,                              0,              1613029,,                      9,,                  2238,                  2366,,                121306,                121306,                125910,,,                 34206,                 34206,                              0,              1773154,                              0,              1773154,,,,,,,,
2302,2014年09月30日,,,,                 53837,,                              0,,                              0,,                  8800,,                138308,,                 77239,,                128513,,                 10797,,                 16162,                 16162,                433656,,,                  1936,,                385703,,                784110,                 11859,,                 12782,,                382952,                395734,              1579342,              2012998,,,,,                111500,,                140012,,                 54609,,,                  2701,                  5316,                  8017,                314138,,,                  5599,,                 71061,,                 12703,                     12,                 12715,                 89375,                403513,,,,              1613029,              1613029,,                      9,,                  2238,                  2366,,                -14920,                -14920,                -10316,,                  6763,                              0,              1609485,                              0,              1609485,              2012998,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,2014年06月30日,,,,                 64675,,                              0,,                              0,,                  3138,,                102852,,                 77896,,                144406,,                  7768,,                 16716,                 16716,                417451,,,                  1936,,                387255,,                784110,                 12897,,                 12632,,                384620,                397252,              1583450,              2000901,,,,,                120000,,                139994,,                 60841,,,                              0,                  7551,                  7551,                328386,,,                              0,,                 72167,,                 12823,                     43,                 12866,                 85033,                413419,,,,              1613029,              1613029,,                      9,,                  2238,                  2366,,                -24864,                -24864,                -20260,,                 -5296,                              0,              1587482,                              0,              1587482,              2000901,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,2014年03月31日,,,,                108980,,                  5018,,                              0,,                  3916,,                104234,,                100905,,                142313,,                  9668,,                 16259,                 16259,                491293,,,                  1936,,                395267,,                784110,                  3479,,                 12955,,                384278,                397233,              1582025,              2073318,,,,,                120000,,                156059,,                 96026,,,                              0,                  8168,                  8168,                380253,,,                              0,,                 62679,,                 19511,                     32,                 19543,                 82222,                462475,,,,              1600029,              1600029,,                      9,,                              0,                              0,,                  2984,                  2984,                  2984,,                  7821,                              0,              1610843,                              0,              1610843,              2073318,              0,              0,              0,,,                  7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,2013年12月31日,,,,,,,,                              0,,                  3556,,                118280,,                 16434,,                175228,,                 13604,,                 14859,                 14859,                469898,,,                  1936,,                390526,,                784110,                  3404,,                 90055,,                378603,                468658,              1648634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                127937,              2118532,,,,                120000,,                189181,,                105326,,,                              0,                  2491,                  2491,                416998,,,                              0,,                 62679,,                 18803,                              0,                 18803,                 81482,                498480,,,,              1600029,                              0,              1600029,,                      9,,                              0,                              0,,                 22380,                 22380,                 22380,,,                 -2366,                 -2366,                              0,              1620052,                              0,              1620052,,,,,,,,
2302,2013年09月30日,,,,,,,,,,                  3127,,                117389,,                 36921,,                160563,,                 21546,,                  8464,                  8464,                401563,,,                  1936,,                972070,,                267607,                 11645,,                 91400,,                287795,                379195,              1632453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 53553,              2034016,,,,                100000,,                170250,,                 96336,,,                              0,                  5317,                  5317,                371903,,,                              0,,                 70934,,                 19876,                     10,                 19886,                 90820,                462723,,,,              1600029,                              0,              1600029,,                      9,,                              0,                              0,,                -19488,                -19488,                -19488,,,                 -9257,                 -9257,                              0,              1571293,                              0,              1571293,                              0,,,,,,,
2302,2013年06月30日,,,,,,,,,,                  4706,,                115648,,                 45631,,                170638,,                 13672,,                  9587,                  9587,                468159,,,                  1936,,                969782,,                267607,                 11699,,                 94541,,                258643,                353184,              1604208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                108277,              2072367,,,,                100000,,                115123,,                100265,,,,,                  1237,                387213,,,,,                 70934,,                 20226,,                 20248,                 91182,                478395,,,,              1600029,                              0,              1600029,,                      9,,                              0,                              0,,                 -2531,                 -2531,                 -2531,,,                 -3535,                 -3535,                              0,              1593972,                              0,              1593972,,,                 70588,                 70588,                              0,                     22,,
