證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　 待分配股票股利,　　　 庫藏股票
1558,2015年09月30日,,,,              1712664,,                              0,,              1871626,,                 32588,,,                469204,                469204,,                 26005,,                108829,              4220916,,,                 19096,,                    200,                    200,,              1441594,,                 39320,                 27723,,                  5143,,                  4485,,                206120,                215748,              1743681,              5964597,,,,,                400000,,                 30000,,                     75,                     75,,                 40299,,                721822,,                194388,                194388,                124543,,                 19775,              1530902,,,                156314,,                 56962,                 56962,                213276,              1744178,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                559523,                              0,,              1606103,              2165626,,,                 33554,                 33554,                 33554,                  2168,              4189883,                 30536,              4220419,              5964597,              0,         17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2015年06月30日,,,,              1527415,,                              0,,              1625286,,                 50820,,,                536665,                536665,,                 26840,,                 72466,              3839492,,,,,                    200,                    200,,              1480206,,                 33829,                 28119,,                  5241,,                  4485,,                196147,                205873,              1748227,              5587719,,,,,,,,,                     30,                     30,,                 79625,,                616980,,                734422,                734422,                110159,,                 35438,              1576654,,,                125674,,                 62081,                 62081,                187755,              1764409,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                559523,                              0,,              1233751,              1793274,,,                  8638,                  8638,                  8638,,              3794783,                 28527,              3823310,              5587719,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2015年03月31日,,,,              1603665,,                  1941,,              1254950,,                 44691,,,                660701,                660701,,                 32587,,                 53850,              3652385,,,,,                  1654,                  1654,,              1500627,,                 35932,                 29879,,                  5254,,                  4485,,                201454,                211193,              1779285,              5431670,,,,,,,,,                              0,                              0,,                 89416,,                592978,,                179203,                179203,                174675,,                 25233,              1061505,,,                116245,,                 63336,                 63336,                179581,              1241086,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                476588,                  3475,,              1664833,              2144896,,,                 15374,                 15374,                 15374,,              4153141,                 37443,              4190584,              5431670,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2014年12月31日,,,,              1587267,,                 67992,,              1423242,,                 58465,,,                526529,                526529,,                 36488,,                 82385,              3782368,,,                              0,,                  1668,                  1668,,              1431470,,                 29976,                 28846,,                  5266,,                  4485,,                198778,                208529,              1700489,              5482857,,,,,                              0,,                              0,,                  1470,                  1470,,                 92598,,                682309,,                250235,                250235,                136853,,                 29117,              1192582,,,                147061,,                 65404,                 65404,                212465,              1405047,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                476588,                  3475,,              1548942,              2029005,,,                 20591,                 20591,                 20591,                              0,              4042467,                 35343,              4077810,              5482857,              0,              0,              0,              1587267,                  1668,                  1668,,                              0,              5482857,,,,                              0,,                              0,,                  1470,                  1470,,                 92598,,                682309,,                250235,                250235,                136853,,                 29117,              1192582,,,                147061,,                 65404,                              0,                 65404,                212465,              1405047,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                476588,                  3475,,              1548942,              2029005,,,                 20591,                 20591,                 20591,              4042467,                 35343,              4077810,,,,
1558,2014年09月30日,,,,                949717,,                  9112,,              1898256,,                 31791,,,                588098,                588098,,                 24398,,                 92728,              3594100,,,                              0,,                    210,                    210,,              1441609,,                 20184,                 27575,,                  2057,,                  3558,,                222869,                228484,              1718062,              5312162,,,,,                              0,,                              0,,                  1980,                  1980,,                110256,,                810739,,                241343,                241343,                 94115,,                 16989,              1275422,,,                130870,,                 89611,                 89611,                220481,              1495903,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                476588,                  3475,,              1311421,              1791484,,,                 -1640,                 -1640,                 -1640,                              0,              3782715,                 33544,              3816259,              5312162,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2014年06月30日,,,,              1609786,,                206198,,              1202013,,                 31449,,,                598775,                598775,,                 21296,,                 98484,              3768001,,,,,                    210,                    210,,              1369262,,                 21633,                 32839,,                  3265,,                  2628,,                188487,                194380,              1618324,              5386325,,,,,,,,,                    120,                    120,,                 94341,,                684670,,                768453,                768453,                101177,,                 32767,              1681528,,,                114650,,                 90181,                 90181,                204831,              1886359,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                476588,                  3475,,              1016261,              1496324,,,                -20615,                -20615,                -20615,,              3468580,                 31386,              3499966,              5386325,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2014年03月31日,,,,              1821069,,                115344,,                961933,,                 34728,,,                518585,                518585,,                 21766,,                 56471,              3529896,,,,,                    850,                    850,,              1290593,,                 23115,                 29408,,                  3249,,                  2628,,                185955,                191832,              1535798,              5065694,,,,,,,,,                  2441,                  2441,,                 83278,,                541405,,                193448,                193448,                127537,,                 22709,                970818,,,                108708,,                 89885,                 89885,                198593,              1169411,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                405775,                 73367,,              1394997,              1874139,,,                 -9618,                 -9618,                 -9618,,              3857392,                 38891,              3896283,              5065694,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2013年12月31日,,,,,,                  2423,,              1191800,,                 23118,,,                546499,                546499,,                 19851,,                 44910,              3992907,,,                    630,,,,,              1148443,,                 19543,                 28136,,                  3259,,                  2628,,                173619,                179506,              1378003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2164306,                  1745,                  1745,,                              0,              5370910,,,,                280000,,                100000,,                    304,                    304,,                 93208,,                598201,,                223963,                223963,                104735,,                 20672,              1421083,,,                106119,,                 89670,                  1947,                 91617,                197736,              1618819,,,,                605526,                605526,,,              1308533,              1308533,,                    314,                 78498,              1387345,,                405775,                 73367,,              1246398,              1725540,,,                 -3475,                 -3475,                 -3475,              3714936,                 37155,              3752091,,,,
1558,2013年09月30日,,,,,,                  8740,,              1594870,,                 24722,,,                478720,                478720,,                 18384,,                 77692,              3174615,,,                    630,,,,,              1135639,,                 22328,                 25716,,                  3264,,                  2628,,                169330,                175222,              1361249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                971487,                  1714,                  1714,,,              4535864,,,,                270000,,                110000,,                    138,                    138,,                107688,,                747265,,                180549,                180549,                 90654,,                 23925,              1530219,,,                 98842,,                105750,                  1929,                107679,                206521,              1736740,,,,                542526,                542526,,,                567149,                567149,,                    314,                 35028,                602491,,                405775,                 73367,,              1108738,              1587880,,,                 33111,                 33111,                 33111,              2766008,                 33116,              2799124,,                              0,,
1558,2013年06月30日,,,,,,                113853,,                986609,,                 15244,,,                657347,                657347,,                 19137,,                 56621,              2904223,,,                    630,,,,,              1059855,,                 24926,                 25884,,                  3327,,                  2628,,                175434,                181389,              1293877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1053815,                  1193,                  1193,,,              4198100,,,,                              0,,                              0,,                  4354,                  4354,,                 97986,,                693363,,                544937,                544937,                 96121,,                 17312,              1454073,,,                 89840,,                105467,                  1958,                107425,                197265,              1651338,,,,                516692,                542526,,,                567149,                567149,,                    314,                 35028,                602491,,                405775,                 73367,,                862510,              1341652,,,                 30583,                 30583,                 30583,              2517252,                 29510,              2546762,,                  1597,                 25834,
