證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 其他預付款,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付設備款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 應付股利,　　　　 待分配股票股利,　　　　 遞延所得稅負債－所得稅,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計
1340,2015年09月30日,,,,              2889998,,              1820841,,              1225113,,                 15191,,                 56621,,                  2299,                 15787,                 18086,              6025850,,,                170900,                  2005,,                 41441,                 86997,                128438,                301343,              6327193,,,,,                 62112,,                421588,,                163273,                 48403,                695376,,,                  7492,                  7492,                702868,,,,              1148932,              1148932,,              2540814,,              1528968,,                405611,              5624325,              5624325,              6327193,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,2015年06月30日,,,,              2491968,,              1950852,,              1158582,,                              0,,                 49838,,                  2209,                  7957,                 10166,              5661406,,,                170397,                  2221,,                 39816,                 84137,                123953,                296571,              5957977,,,,,                 59676,,                377938,,                323716,                 46679,                808009,,,                  7199,                  7199,                815208,,,,                883794,              1148932,,              2540814,,              1264814,,                188209,              5142769,              5142769,              5957977,              0,              0,                  2253,                193099,                128364,                265138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,2015年03月31日,,,,              2406317,,              1981820,,                924901,,,,                 50768,,                  2241,                 15132,                 17373,              5381179,,,                176818,                  2566,,                 40384,                 85899,                126283,                305667,              5686846,,,,,                 60528,,                281518,,                131680,                 35378,                509104,,,                  7301,                  7301,                516405,,,,                883794,                883794,,              2540814,,              1484795,,                261038,              5170441,              5170441,              5686846,              0,              0,                    216,,                131464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,2014年12月31日,,,,              2069900,,              1997210,,              1303841,,                              0,,                 16354,,                  2262,                  8179,                 10441,              5397746,,,                185573,                  2994,,                 26094,                 87282,                113376,                301943,              5699689,,,,,                 61104,,                350629,,                160809,                 54872,                627414,,,                  7371,                  7371,                634785,,,,                883794,                883794,,              2540814,,              1331392,,                308904,              5064904,              5064904,              5699689,              0,              0,                    218,                 16340,                144251,                              0,              2069900,              1997210,,                              0,              5699689,,,,                 61104,,                350629,,                    218,                160591,                160809,                 54872,                627414,,,                  7371,                  7371,                634785,,,,                883794,                883794,,              2540814,,              1331392,,                308904,              5064904,                              0,              5064904,              0,,,,,,,,,,,,,,,,,,,,,,
1340,2014年09月30日,,,,              3305652,,                453055,,              1168375,,                              0,,                 40815,,                  2192,                 14802,                 16994,              4984891,,,                179927,                  3022,,                  9893,                 85122,                 95015,                277964,              5262855,,,,,                 81411,,                349290,,                136354,                 50421,                617476,,,                  7142,                  7142,                624618,,,,                883794,                883794,,              2540814,,              1058590,,                155039,              4638237,              4638237,              5262855,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,2014年06月30日,,,,              3730600,,                              0,,              1109747,,                    162,,                 34304,,                  2137,                  7217,                  9354,              4884167,,,                180916,                  3091,,                  9646,                 83534,                 93180,                277187,              5161354,,,,,                 79382,,                320646,,                428266,                 44898,                873192,,,                  6964,                  6964,                880156,,,,                803449,                883794,,              2540814,,                814321,,                 42269,              4281198,              4281198,              5161354,              0,              0,                              0,                321380,                106886,                 80345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,2014年03月31日,,,,              3741470,,                              0,,                837413,,,,                 29301,,                  2177,                 14700,                 16877,              4625061,,,                188518,                  3186,,                  9825,                 85623,                 95448,                287152,              4912213,,,,,                 80850,,                240870,,                 93636,                 31352,                446708,,,                  7093,                  7093,                453801,,,,                803449,                803449,,              2540814,,                988798,,                125351,              4458412,              4458412,              4912213,              0,              0,                              0,,                 93636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,2013年12月31日,,,,,,,,              1141767,,,,                 19843,,                  2178,                  7356,                  9534,              3522741,,,                197398,                  3130,,                  9833,                 87181,                 97014,                297542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              2315336,                              0,,                 36261,              3820283,,,,                107888,,                345182,,                              0,                116856,                116856,                 46012,                615938,,,                              0,                              0,                615938,,,,                722449,                722449,,              1547754,,                798861,,                135281,              3204345,                              0,              3204345,              0,,,,,,,,,,,,,,,,,,,,,,
1340,2013年09月30日,,,,,,,,                958671,,                     85,,                 33192,,                  2518,                 14427,                 16945,              3140163,,,                203115,                  2934,,                  9619,                 85413,                131385,                337434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              2131270,                              0,,                              0,              3477597,,,,                120225,,                293417,,                    227,                 83788,                 84015,                 42928,                540585,,,                              0,                              0,                540585,,,,                722449,                722449,,              1547754,,                592628,,                 74181,              2937012,                              0,              2937012,              0,,                 36353,,,,,,,,,,,,,,,,,,,,
1340,2013年06月30日,,,,,,,,                934565,,                     85,,                 22976,,                  2554,                  7316,                  9870,              2923881,,,                209708,                  2828,,                  9754,                 86928,                134356,                346892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              1956385,,,                              0,              3270773,,,,                121437,,                270772,,                    229,                 70082,                 70311,                 34991,                497511,,,                              0,                              0,                497511,,,,                722449,                722449,,              1547754,,                388725,,                114334,              2773262,                              0,              2773262,              0,,                 37674,                              0,                              0,,,,,,,,,,,,,,,,,,
1340,2013年03月31日,,,,,,,,                858787,,                  2444,,                 31768,,                  2515,                 14409,                 16924,              2731416,,,                189621,                  2632,,                  9606,                 85911,                133414,                325667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              1821493,,,                              0,              3057083,,,,                119595,,                248022,,,                 80624,                 80624,                 33478,                481719,,,                              0,                              0,                481719,,,,                722449,                722449,,              1547754,,                231700,,                 73461,              2575364,                              0,              2575364,,,                 37897,,,                              0,,              1539842,              1539842,                  7912,,                 97482,                134218,                231700,,                 73461,                 73461,,,,,,
1340,2012年12月31日,,,,                844063,,,,                902640,,,,                 28855,,                  2440,                 20426,                 22866,              1800965,,,                192605,                  2398,,                  9320,                 83648,                130505,                325508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,                              0,              2126473,,,,                112772,,                 77292,,                  7816,                 82526,                 90342,                 35476,                315882,,,,,                315882,,,,                600000,                600000,,              1076461,,                 97482,,                 17509,              1791452,                 19139,              1810591,,,                 37537,,,,,,,,,,,,,,,,                  2541,,,,
1340,2012年09月30日,,,,                979166,,,,                803856,,                    150,,                 13260,,                  2389,                 17759,                 20148,              1834695,,,                208865,                  3517,,                  9124,                 93078,                102202,                314584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,              2149279,,,,                113594,,                325826,,                  1633,                 59025,                 60658,                 33840,                533918,,,,,                533918,,,,                              0,                              0,,                              0,,                              0,,              1598238,              1598238,                 17123,              1615361,,,                              0,,,,,,,,,,,,,,,,                  3471,,                 14644,,
