證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 應付股利,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　 非控制權益
6108,2015年09月30日,,,,              1683232,,                 12995,,                 26154,,              2595236,,                418724,,                 13664,,                830984,,              2015310,                116608,              2131918,              7712907,,,                 17351,,              4311857,,                 89432,                 36902,,,                152636,,                 81157,                233793,              4689335,             12402242,,,,,              3648926,,                349829,,                              0,,                187838,,                948748,,                284587,                667641,                952228,                 14767,,,                              0,                464949,                464949,                 87558,                552507,              6654843,,,              1798267,,                460450,,,                  1869,                 57186,                 59055,              2317772,              8972615,,,,              1598993,              1598993,,                418929,,                419688,,                521643,                941331,,                470374,                              0,              3429627,              3429627,             12402242,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,2015年06月30日,,,,              2015703,,                  8314,,                 29966,,              2353271,,                389046,,,,                791555,,              1443647,                124919,              1568566,              7156421,,,                 17351,,              4247175,,                 85431,                 36283,,,                253422,,                 97718,                351140,              4737380,             11893801,,,,,              3498143,,                299853,,                    172,,                201226,,                785853,,                303101,                673037,              1152027,                  2051,,,                              0,                421427,                421427,                 81802,                503229,              6442554,,,              1599481,,                460541,,,                  5436,                 57684,                 63120,              2123142,              8565696,,,,              1598993,              1598993,,                418929,,                419688,,                653149,              1072837,,                237346,                              0,              3328105,              3328105,             11893801,              0,              0,              0,                175889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,2015年03月31日,,,,              1796499,,                  8882,,                 26796,,              2509023,,                415435,,,,                811798,,              1211635,                147938,              1359573,              6928006,,,                 17351,,              4195260,,                 88138,                 36500,,,                270787,,                 75202,                345989,              4683238,             11611244,,,,,              2709240,,                299884,,                    861,,                170948,,                880293,,                304210,                703641,              1007851,                  5042,,,                              0,                478339,                478339,                 79153,                557492,              5631611,,,              1835417,,                461018,,,                  9004,                 58305,                 67309,              2363744,              7995355,,,,              1598993,              1598993,,                418929,,                386630,,                922300,              1308930,,                289037,                              0,              3615889,              3615889,             11611244,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,2014年12月31日,,,,              1398869,,                 10774,,                 34461,,              2956875,,                124487,,                              0,,                799303,,                774112,                 80949,                855061,              6179830,,,                 17351,,              4428825,,                 89701,                 36646,,,                 64351,,                 42494,                106845,              4679368,             10859198,,,,,              2129091,,                299778,,                  9899,,                173859,,              1008766,,                210233,                612451,                822684,                 11728,,,                  2492,                479620,                482112,                 73644,                555756,              5011561,,,              1606986,,                461024,,,                  9625,                 58885,                 68510,              2136520,              7148081,,,,              1598993,              1598993,,                418929,,                386630,,                969471,              1356101,,                337094,                              0,              3711117,              3711117,             10859198,              0,              0,              0,                              0,              1398869,             10859198,,,,              2129091,,                299778,,                  9899,,                173859,,              1008766,,                210233,                612451,                822684,                 11728,,,                  2492,                479620,                482112,                 73644,                555756,              5011561,,,              1606986,,                461024,,,                  9625,                 58885,                 68510,              2136520,              7148081,,,,              1598993,              1598993,,                418929,,                386630,,                969471,              1356101,,                337094,                              0,              3711117,              3711117,,,,,,
6108,2014年09月30日,,,,              1339174,,                 11320,,                 25210,,              3061866,,                133696,,                              0,,                849225,,              1120222,                 85337,              1205559,              6626050,,,                 17351,,              4271739,,                141028,                 25136,,,                122843,,                 46935,                169778,              4625032,             11251082,,,,,              3179012,,                299888,,                 10787,,                167038,,                928642,,                140863,                656467,                797330,                 18985,,,                 49881,                380729,                430610,                131976,                562586,              5964268,,,              1253398,,                391183,,,                              0,                 81896,                 81896,              1726477,              7690745,,,,              1598993,              1598993,,                418929,,                386630,,                941530,              1328160,,                214255,                              0,              3560337,              3560337,             11251082,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,2014年06月30日,,,,              1446228,,                 25864,,                 30673,,              2789544,,                143283,,,,                779303,,              1093328,                 63237,              1156565,              6371460,,,                 21689,,              4273867,,                139609,                 25136,,,                124579,,                 48093,                172672,              4632973,             11004433,,,,,              3230972,,                279750,,                 20011,,                155629,,                868507,,                146665,                634287,                924861,                 34319,,,                 66934,                432527,                499461,                 97856,                597317,              6111366,,,              1108480,,                390990,,,                              0,                 83355,                 83355,              1582825,              7694191,,,,              1598993,              1598993,,                418929,,                386630,,                797552,              1184182,,                108138,                              0,              3310242,              3310242,             11004433,              0,              0,              0,                143909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,2014年03月31日,,,,              1357511,,                 15486,,                 18456,,              2659110,,                181751,,,,                914889,,              1019503,                 99680,              1119183,              6266386,,,                 21689,,              4447547,,                143618,                 25136,,,                123659,,                 42655,                166314,              4804304,             11070690,,,,,              3092118,,                229830,,                 30451,,                137215,,              1045660,,                206796,                613295,                820091,                 74626,,,                 66863,                396629,                463492,                104927,                568419,              5998410,,,              1132871,,                391176,,,                              0,                 83611,                 83611,              1607658,              7606068,,,,              1598993,              1598993,,                418929,,                370822,,                885876,              1256698,,                190002,                              0,              3464622,              3464622,             11070690,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6108,2013年12月31日,,,,,,                 39702,,                 27029,,              2588823,,                164334,,,,                828376,,                697776,                100373,                798149,              6122051,,,                 21689,,              4501876,,                141622,                 25136,,,                 98569,,                 28932,                127501,              4817824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1675638,             10939875,,,,              3090470,,                279892,,                  3668,,                131730,,              1009509,,                241572,                597963,                839535,                 71661,,,                 66793,                381917,                448710,                101762,                550472,              5976937,,,              1136131,,                390869,,,                              0,                 83110,                 83110,              1610110,              7587047,,,,              1598993,              1598993,,                418929,,                370822,,                779853,              1150675,,                184231,                              0,              3352828,              3352828,,,,,,
6108,2013年09月30日,,,,,,                 43025,,                 48928,,              2560149,,                137470,,,,                759441,,                538554,                141403,                679957,              6112651,,,                 21689,,              4525542,,                140234,                 21819,,,                  6494,,                 35051,                 41545,              4750829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1883681,             10863480,,,,              2848009,,                219882,,                 16025,,                159042,,                935193,,                300043,                570304,                870347,                 44352,,,                303768,                262581,                566349,                130301,                696650,              5789500,,,              1309902,,                376720,,,,,                 65065,              1751687,              7541187,,,,              1598993,              1598993,,                418929,,                370822,,                788305,              1159127,,                145244,,              3322293,              3322293,,,,,,
6108,2013年06月30日,,,,,,                 33319,,                 44568,,              2638764,,                229786,,,,                742663,,                 40470,                140140,                180610,              6260158,,,                 21689,,              4480563,,                143435,                 21921,,,                  6504,,                 44244,                 50748,              4718356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              2390448,             10978514,,,,              2893723,,                269844,,                 16633,,                175526,,                919584,,                317531,                611757,              1153147,                 37925,,,                345532,                152581,                498113,                106813,                604926,              6071308,,,              1157307,,                376976,,,,,                 65520,              1599803,              7671111,,,,              1598993,              1598993,,                418929,,                370822,,                724673,              1095495,,                193986,,              3307403,              3307403,                223859,,,,,
