證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
8341,2015年09月30日,,,,                389326,,                143097,,                 49855,,                248007,,                  1159,,                 67036,,                 33288,,                 10613,                942381,,,              1345192,,                426829,                  8198,,                229717,              2009936,              2952317,,,,,                              0,,                 30971,,                 40328,,                 28286,,                149221,                 42794,,                245671,                537271,,,                124867,,                 13701,,                176290,                314858,                852129,,,,              1115000,              1115000,,,                452500,                452500,,                 83616,,                415299,                498915,,,                 33773,,                              0,                 33773,              2100188,              2100188,              2952317,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8341,2015年06月30日,,,,                413948,,                248472,,                 59143,,                244307,,                  1259,,                 61776,,                 41383,,                 10508,              1080796,,,              1332049,,                437049,                  8198,,                222783,              2000079,              3080875,,,,,                              0,,                 26986,,                 35819,,                 34376,,                403982,                 44196,,                255220,                800579,,,                143928,,                 10625,,                173897,                328450,              1129029,,,,              1115000,              1115000,,,                452500,                452500,,                 83616,,                281698,                365314,,,                 19032,,                              0,                 19032,              1951846,              1951846,              3080875,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8341,2015年03月31日,,,,                349718,,                146663,,                 58635,,                253013,,                    942,,                 50649,,                 42265,,                 61919,                963804,,,              1338276,,                447470,                  8197,,                218686,              2012629,              2976433,,,,,                 36944,,                 26985,,                 31393,,                 28814,,                137906,                 67144,,                227863,                557049,,,                165093,,                  8589,,                174616,                348298,                905347,,,,              1115000,              1115000,,,                452500,                452500,,                 53196,,                426460,                479656,,,                 23930,,                              0,                 23930,              2071086,              2071086,              2976433,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8341,2014年12月31日,,,,                393977,,                100427,,                 69805,,                182949,,                    473,,                 39437,,                 40763,,                 63104,                890935,,,              1352856,,                457294,                  8197,,                216670,              2035017,              2925952,,,,,                 43155,,                 27986,,                 28595,,                 19725,,                165681,                 45343,,                366132,                696617,,,                582704,,                  6313,,                175466,                764483,              1461100,,,,              1000000,              1000000,,,                 50000,                 50000,,                 53196,,                334536,                387732,,,                 27120,,                              0,                 27120,              1464852,              1464852,              2925952,              0,              0,              0,                393977,              2925952,,,,                 43155,,                 27986,,                 28595,,                 19725,,                165681,                 45343,,                366132,                696617,,,                582704,,                  6313,,                175466,                764483,              1461100,,,,              1000000,              1000000,,,                 50000,                 50000,,                 53196,,                334536,                387732,,,                 27120,,                              0,                 27120,              1464852,                              0,              1464852
8341,2014年09月30日,,,,                286814,,                 23332,,                 56815,,                234398,,                    506,,                 33109,,                 54934,,                100745,                790653,,,              1340663,,                464010,                  9760,,                169993,              1984426,              2775079,,,,,                 50008,,                 21989,,                 27109,,                 38402,,                103943,                 26568,,                269266,                537285,,,                700088,,                  4543,,                158309,                862940,              1400225,,,,              1000000,              1000000,,,                 50000,                 50000,,                 53196,,                254995,                308191,,,                 16663,,                              0,                 16663,              1374854,              1374854,              2775079,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8341,2014年06月30日,,,,                294233,,                198050,,                 47918,,                194889,,                    383,,                 12257,,                 26807,,                103729,                878266,,,              1357933,,                470707,                  8284,,                179329,              2016253,              2894519,,,,,                 21917,,                              0,,                 28047,,                 38521,,                315068,                 28983,,                262435,                694971,,,                749123,,                  2172,,                167107,                918402,              1613373,,,,              1000000,              1000000,,,                 50000,                 50000,,                 53196,,                167979,                221175,,,                  9971,,                              0,                  9971,              1281146,              1281146,              2894519,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8341,2014年03月31日,,,,                113788,,                222022,,                 32012,,                259385,,                    170,,                  5246,,                 18849,,                 14855,                666327,,,              1384588,,                477884,                  8183,,                198510,              2069165,              2735492,,,,,                              0,,                              0,,                 21736,,                 32309,,                109399,                 40062,,                226294,                429800,,,                711224,,                              0,,                163145,                874369,              1304169,,,,              1000000,              1000000,,,                 50000,                 50000,,                 26793,,                340076,                366869,,,                 14454,,                              0,                 14454,              1431323,              1431323,              2735492,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8341,2013年12月31日,,,,,,                182840,,                 27458,,                186931,,                              0,,                 28728,,                 11520,,                  9673,                590509,,,              1372285,,                484794,                  8153,,                205946,              2071178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                143359,              2661687,,,,                              0,,                 16992,,                 19381,,                 24988,,                115346,                 27613,,                208069,                412389,,,                726765,,                              0,,                165168,                891933,              1304322,,,,              1000000,              1000000,,,                 50000,                 50000,,                 26793,,                264610,                291403,,,                 15962,,                              0,                 15962,              1357365,                              0,              1357365
8341,2013年09月30日,,,,,,                117030,,                 23661,,                210780,,                    576,,                  1611,,                 46361,,                 56583,                537965,,,              1381057,,                489433,                  7743,,                180671,              2058904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 81363,              2596869,,,,                              0,,                 33978,,                 20081,,                 44110,,                 69321,                 25139,,                212021,                404650,,,                757932,,                              0,,                169809,                927741,              1332391,,,,              1000000,              1000000,,,                 50000,                 50000,,                 26793,,                173246,                200039,,,                 14439,,,                 14439,              1264478,                              0,              1264478
8341,2013年06月30日,,,,,,                 86530,,                 21628,,                216975,,                              0,,                 16801,,                 21508,,                 24583,                485202,,,              1406518,,                493432,                  7743,,                228546,              2136239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 97177,              2621441,,,,                              0,,                 56940,,                 22606,,                 30532,,                152858,                 15353,,                218416,                496705,,,                761875,,                              0,,                152628,                914503,              1411208,,,,              1000000,              1000000,,,                 50000,                 50000,,                 26793,,                118730,                145523,,,                 14710,,,                 14710,              1210233,                              0,              1210233
8341,2013年01月01日,,,,,,                 90578,,                 15208,,                 82223,,                              0,,                 60436,,                  8805,,                 63460,                446427,,,              1359371,,                497702,                  7727,,                255782,              2120582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                125717,              2567009,,,,                              0,,                 35986,,                 21951,,                 14969,,                 85397,                 11024,,                 75000,                244327,,,                974681,,                              0,,                190651,              1165332,              1409659,,,,              1000000,              1000000,,,                 50000,                 50000,,                 17868,,                 89113,                106981,,,                              0,,                              0,                              0,              1156981,                    369,              1157350
