證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－限制員工權利股票,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 存貨,　　　　 存貨合計,　　　　 待分配股票股利,　　　 應付帳款,　　　　 應付帳款合計
4994,2015年09月30日,,,,              1699358,,                              0,,                128585,,                    849,,                115355,,                  8330,,                    355,              1952832,,,                 64843,,                 60013,                  3391,,                 31284,                159531,              2112363,,,,,                    882,,                259674,                  2852,,                 86947,                350355,,,                 54197,                 54197,                404552,,,,              1106410,              1106410,,,                406205,                 30940,                437145,,                133934,                 27743,,                 30520,                192197,,,                -26582,,                 -1359,                -27941,              1707811,              1707811,              2112363,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994,2015年06月30日,,,,              1694728,,                              0,,                133030,,                    511,,                 83075,,                 20465,,,              1931809,,,                 41449,,                 57681,                  1024,,                 40198,                140352,              2072161,,,,,                  1572,,                258960,                 19941,,                 94352,                374825,,,                 52188,                 52188,                427013,,,,                884870,              1106440,,,                406205,                 31190,                437395,,                133934,                 27743,,                -17531,                144146,,,                -37303,,                 -5530,                -42833,              1645148,              1645148,              2072161,              0,              0,              0,                221570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994,2015年03月31日,,,,              1644911,,                              0,,                133360,,                  2258,,                117336,,                 17245,,,              1915110,,,                 39739,,                 55643,                    228,,                 43793,                139403,              2054513,,,,,                  1689,,                 95031,                 12113,,                110643,                219476,,,                 55744,                 55744,                275220,,,,                884875,                884875,,,                406185,                 31411,                437596,,                 98790,                 16607,,                384308,                499705,,,                -31719,,                -11164,                -42883,              1779293,              1779293,              2054513,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994,2014年12月31日,,,,              1655401,,                              0,,                192347,,                  3092,,                117990,,                 22233,,                              0,              1991063,,,                 42417,,                 49776,                    127,,                 42092,                134412,              2125475,,,,,                  1709,,                156831,                 47163,,                106229,                311932,,,                 61895,                 61895,                373827,,,,                884880,                884880,,,                406185,                 31406,                437591,,                 98790,                 16607,,                361083,                476480,,,                -27743,,                -19560,                -47303,              1751648,              1751648,              2125475,              0,              0,              0,                              0,              1655401,                117990,              2125475,,,,                  1709,,                156831,                 47163,,                106229,                311932,,,                 61895,                 61895,                373827,,,,                884880,                884880,,,                406185,                 31406,                437591,,                 98790,                 16607,,                361083,                476480,,,                -27743,,                -19560,                -47303,              1751648,              1751648,,,,,
4994,2014年09月30日,,,,              1595589,,                              0,,                215269,,                  4750,,                115844,,                 12328,,                              0,              1943780,,,                 43288,,                 18763,                  3473,,                 39327,                104851,              2048631,,,,,                  5466,,                151571,                 33605,,                110404,                301046,,,                 68452,                 68452,                369498,,,,                883700,                883700,,,                406105,                 16200,                422305,,                 98790,                 16607,,                290583,                405980,,,                -22819,,                -10033,                -32852,              1679133,              1679133,              2048631,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994,2014年06月30日,,,,              1628674,,                              0,,                143677,,                  3223,,                 83707,,                  9065,,,              1868346,,,                 35708,,                 21594,                  3638,,                 33886,                 94826,              1963172,,,,,                  1920,,                194202,                 24157,,                104962,                325241,,,                 60760,                 60760,                386001,,,,                706960,                883700,,,                406105,                 16200,                422305,,                 98790,                 16607,,                184326,                299723,,,                -14224,,                -14333,                -28557,              1577171,              1577171,              1963172,              0,              0,              0,                176740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994,2014年03月31日,,,,              1543557,,                              0,,                164834,,                    594,,                 85144,,                  8766,,,              1802895,,,                 37660,,                 15335,                  3607,,                 11011,                 67613,              1870508,,,,,                  2155,,                 83812,                  9726,,                114155,                209848,,,                 68376,                 68376,                278224,,,,                705960,                705960,,,                406105,                              0,                406105,,                 69305,                  6441,,                418706,                494452,,,                -14233,,                              0,                -14233,              1592284,              1592284,              1870508,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4994,2013年12月31日,,,,,,                      4,,                198448,,                  4324,,,,                  4495,,,              1710567,,,                 39498,,                 22559,                  3637,,                 10924,                 76618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1418895,                 84401,              1787185,,,,                  2150,,                126796,                    244,,                134228,                263418,,,                 57712,                 57712,                321130,,,,                705960,                705960,,,                406105,                              0,                406105,,                 69305,                  6441,,                294851,                370597,,,                -16607,,                              0,                -16607,              1466055,              1466055,,,,,
4994,2013年09月30日,,,,,,                              0,,                195511,,                  3936,,,,                  7342,,,              1537170,,,                 37879,,                 30335,                    772,,                 11123,                 80109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1244788,                 85593,              1617279,,,,                  4593,,                113629,                              0,,                143732,                261954,,,                 61804,                 61804,                323758,,,,                705960,                705960,,,                406105,                              0,                406105,,                 69305,                  6441,,                118815,                194561,,,                -13105,,                              0,                -13105,              1293521,              1293521,,,,,
4994,2013年06月30日,,,,,,                              0,,                 98198,,                  3215,,,,                  8790,,                    305,              1480104,,,                 40098,,                 32647,                    772,,                 11148,                 84665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1317134,                 52458,              1564769,,,,                  2937,,                137344,                              0,,                117704,                257985,,,                 68338,                 68338,                326323,,,,                470640,                705960,,,                406105,                              0,                406105,,                 69305,                  6441,,                 63582,                139328,,,                -12947,,                              0,                -12947,              1238446,              1238446,,                      4,                235320,,
