證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計
6165,2015年09月30日,,,,                161581,,                 32180,,                 51090,,                  3793,,                 47035,,                  2658,,                  2768,,                  4730,                305835,,,                 75135,,                122374,,                    506,                  9116,,                 10985,                218116,                523951,,,,,                              0,,                     37,,                  6418,,                 21482,                              0,                              0,,                  9939,                 37876,,,                  5937,,                    400,                  6337,                 44213,,,,                496824,                496824,,,                -20640,                -20640,,                  3554,                479738,                479738,                523951,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6165,2015年03月31日,,,,                139337,,                 41539,,,,                  5272,,                 72783,,                  6401,,                 40792,,                  3363,                309487,,,                145853,,                134695,,                    779,                  7721,,                 25141,                314189,                623676,,,,,                 20176,,                     46,,                 44434,,                 80106,,                              0,,                  9107,                153869,,,                  9623,,                  3678,                 13301,                167170,,,,                950091,                950091,,,               -480775,               -480775,,                -12810,                456506,                456506,                623676,              0,              0,              0,,                -12810,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6165,2014年12月31日,,,,                171366,,                 31293,,                              0,,                  2886,,                 90639,,                  5342,,                 36067,,                  4634,                342227,,,                231967,,                 61645,,                    861,                  7721,,                 26242,                328436,                670663,,,,,                 20366,,                     96,,                 50483,,                 46912,                 36824,                      3,,                  3918,                158602,,,                 10018,,                 11342,                 21360,                179962,,,,                950091,                950091,,,               -453267,               -453267,,                 -6123,                490701,                490701,                670663,              0,              0,              0,,,,,                171366,                670663,,,,                 20366,,                     96,,                 50483,,                 83736,                      3,,                  3918,                158602,,,                 10018,,                 11342,                 21360,                179962,,,,                950091,                950091,,                              0,,,               -453267,               -453267,,,                 -6123,,                              0,,                              0,                 -6123,                490701,                490701,,,,
6165,2014年09月30日,,,,                150223,,                              0,,                              0,,                 49663,,                 95009,,                  6125,,                 39140,,                  4555,                344715,,,                257672,,                 59941,,                    542,                  7721,,                 23560,                349436,                694151,,,,,                 19820,,                     40,,                 50728,,                 51086,                 35572,                  3920,,                  4389,                165555,,,                  9880,,                 11407,                 21287,                186842,,,,                950091,                950091,,,               -440988,               -440988,,                 -1794,                507309,                507309,                694151,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6165,2014年06月30日,,,,,,                              0,,,,                143543,,                108808,,                 28968,,                 35616,,                  4722,                455056,,,                260211,,                 58112,,                    727,                  7721,,                 23328,                350099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                133399,                805155,,,,                 30000,,                    267,,                 59838,,                 93525,                  8027,,                  4135,                195792,,,                  9608,,                 11607,                 21215,                217007,,,,                950091,                950091,,                              0,,,               -359143,               -359143,,,                 -2800,,                              0,,                              0,                 -2800,                588148,                588148,,                              0,,                              0
6165,2014年03月31日,,,,                131076,,                              0,,,,                138091,,                105369,,                 12363,,                 49411,,                  2972,                439282,,,                269904,,                 59198,,                  1007,                  7721,,                 24169,                361999,                801281,,,,,                 46663,,                     84,,                 61444,,                 62593,,                  7733,,                  2318,                180835,,,                  9871,,                 11454,                 21325,                202160,,,,                950091,                950091,,,               -348662,               -348662,,                 -2308,                599121,                599121,                801281,              0,              0,              0,,                 -2308,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6165,2013年12月31日,,,,,,                              0,,,,                103765,,                114751,,                 25588,,                 58154,,                  5740,                435315,,,                278531,,                 59442,,                  1113,                  7721,,                 26141,                372948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                127317,                808263,,,,                 16734,,                     87,,                 57700,,                 75835,                  9102,,                  1691,                161149,,,                  9812,,                 12085,                 21897,                183046,,,,                950091,                950091,,                              0,,,               -322364,               -322364,,,                 -2510,,                              0,,                              0,                 -2510,                625217,                625217,,                              0,,                              0
6165,2013年09月30日,,,,,,                              0,,,,                123057,,                142474,,                 13540,,                 67022,,                  7119,                498315,,,                283044,,                 56349,,                  1700,                  7721,,                 23305,                372119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                145103,                870434,,,,                 56417,,                  1099,,                 80927,,                 52354,                 10687,,                  2737,                204221,,,                  8447,,                 13570,                 22017,                226238,,,,                950091,                950091,,                              0,,,               -301636,               -301636,,,                 -4259,,                              0,,                              0,                 -4259,                644196,                644196,,                              0,,                              0
6165,2013年06月30日,,,,,,                              0,,,,                 92894,,                139717,,                 16903,,                 85364,,                 12622,                519966,,,                290545,,                 57754,,                  1979,                  7721,,                 27559,                385558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                172466,                905524,,,,                 75174,,                    210,,                 73046,,                 51822,                 13230,,                  2963,                216445,,,                  8631,,                 13546,                 22177,                238622,,,,                950091,                950091,,                              0,,,               -283251,               -283251,,,                     62,,                              0,,                              0,                     62,                666902,                666902,,                              0,,                              0
6165,2013年03月31日,,,,,,,,,,                 93834,,                168055,,                 13659,,                 76043,,                 22482,                522291,,,                294696,,                 56737,,                  1162,                  7716,,                 32430,                392741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                148218,                915032,,,,                 68163,,                    997,,                 84011,,                 46236,                 15386,,                  2732,                217525,,,                  8709,,                 13095,                 21804,                239329,,,,                950091,                950091,,                  9526,,,               -283292,               -283292,,,                   -622,,,,                              0,                   -622,                675703,                675703,,,,                  9526
