證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 避險之衍生金融資產－非流動,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 避險之衍生金融負債－非流動,　　　　 避險之衍生金融負債－流動,　　　　 現金及約當現金合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 避險之衍生金融負債－非流動,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 預付投資款,　　　 避險之衍生金融負債－流動
1513,2015年09月30日,,,,              1125504,,                 97523,,                 78557,                  7941,,                 71872,,                 35201,,              1777944,,                 93888,                862467,,                 57471,,                119030,,                  4281,,,              3440767,,                336117,              3776884,,                769288,,                 55954,,                392030,              9325835,,                              0,,                460725,,                842253,,              3387234,,                561515,,                 80952,                 84070,,                116187,,                373741,                489928,              5906677,             15232512,,,,,              2123484,,                199961,,                  8894,,                              0,,                817376,,                  8998,              1852529,,                589840,                    211,                 42433,,,                206039,                 16566,                222605,              5866331,,,                793234,,                336020,,                546692,                546692,              1675946,              7542277,,,,              4200000,              4200000,,                390643,,                934417,                858678,,                818866,              2611961,,                341973,                116880,              7427697,                262538,              7690235,             15232512,              0,              0,      9038678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2015年06月30日,,,,              1100624,,                111966,,                 87670,                  3989,,                 77857,,                 41787,,              1273411,,                151142,                850705,,                 63777,,                187915,,                  3352,,,              3218331,,                315035,              3533366,,                755071,,                 70970,,                387035,              8700637,,                              0,,                464099,,                827943,,              3334055,,                563219,,                 81875,                 87386,,                105330,,                363533,                468863,              5827440,             14528077,,,,,                942834,,                349957,,                 11769,,                              0,,                915096,,                 33499,              2071663,,                966606,                    184,                 62558,,,                191275,                 14696,                205971,              5560137,,,                793076,,                332503,,                546159,                546159,              1671738,              7231875,,,,              4200000,              4200000,,                390643,,                934417,                858678,,                501100,              2294195,,                274638,                116880,              7042596,                253606,              7296202,             14528077,              0,              0,      9038676,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2015年03月31日,,,,              1166433,,                134333,,                 92774,                  5440,,                 74952,,                 19406,,              1295512,,                212273,                764068,,                 51640,,                138990,,                  5647,,,              2975225,,                313968,              3289193,,                708200,,                 54766,,                382799,              8396426,,                              0,,                483069,,                922624,,              3408546,,                564922,,                 85324,                 89063,,                117648,,                362905,                480553,              6034101,             14430527,,,,,              1395974,,                179940,,                  8052,,                              0,,                809686,,                 14925,              1871474,,                396801,                    140,                140847,,,                133914,                 13624,                147538,              4965609,,,                793038,,                332503,,                547623,                547623,              1673164,              6638773,,,,              4200000,              4200000,,                379796,,                866326,                858678,,                967488,              2692492,,                378311,                116880,              7533719,                258035,              7791754,             14430527,              0,              0,      9038676,,                    232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2014年12月31日,,,,                955095,,                155029,,                 81838,                  7337,,                 75756,,                 22238,,              1320493,,                266694,                867966,,                 80963,,                142026,,                  5420,,,              2584268,,                310377,              2894645,,                710854,,                 54766,,                399481,              8040601,,                  2647,,                483069,,                911436,,              3453785,,                566548,,                 89260,                 92266,,                145570,,                375177,                520747,              6119758,             14160359,,,,,                841542,,                229896,,                 10445,,                  2551,,                813025,,                 45070,              2033454,,                591981,                     86,                107526,,,                134523,                 11928,                146451,              4822027,,,                778186,,                332503,,                546412,                546412,              1657101,              6479128,,,,              4200000,              4200000,,                379796,,                866326,                858678,,                845266,              2570270,,                384405,                116880,              7417591,                263640,              7681231,             14160359,              0,              0,      9038678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2014年09月30日,,,,                942484,,                210287,,                110277,                  4614,,                 59825,,                  2477,,              1213571,,                321317,                997460,,                 79319,,                169034,,                  5919,,,              2834686,,                306586,              3141272,,                951446,,                 54766,,                392274,              8656342,,                  1819,,                487100,,                909403,,              3428617,,                568250,,                 89422,                 86772,,                139246,,                365507,                504753,              6076136,             14732478,,,,,              1029028,,                 59480,,                 10261,,                              0,,                849906,,                 70267,              2029657,,              1462624,                 10038,                 39208,,,                107278,                 13528,                120806,              5681275,,,                709901,,                334365,,                650011,                650011,              1694277,              7375552,,,,              4200000,              4200000,,                379796,,                866326,                858678,,                568618,              2293622,,                342433,                116880,              7098971,                257955,              7356926,             14732478,              0,              0,      9038678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2014年06月30日,,,,              1754090,,                175985,,                114699,                  4245,,                 57435,,                  1479,,              1146704,,                340960,                795469,,                 84285,,                165222,,                  4243,,,              2766286,,                102112,              2868398,,                811381,,                 54766,,                473743,              8853104,,                    492,,                487100,,                949667,,              3452225,,                569951,,                 90316,                 87418,,                124170,,                421385,                545555,              6182724,             15035828,,,,,              1215459,,                 29000,,                 11256,,                              0,,                966651,,                 46418,              2337510,,                757434,                              0,                 67842,,,                115050,                 12473,                127523,              5559093,,,                749682,,                332503,,                645919,                645919,              1728155,              7287248,,,,              4800000,              4800000,,                379796,,                866326,                858678,,                433534,              2158538,,                285455,                129793,              7493996,                254584,              7748580,             15035828,              0,              0,     10329917,                     51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2014年03月31日,,,,                824168,,                190206,,                266396,                  7570,,                 69273,,                  5196,,                991852,,                350703,                565336,,                 56244,,                240993,,                  4631,,,              2883410,,                101713,              2985123,,                917202,,                 54766,,                485268,              8014927,,                  1036,,                506250,,                963856,,              3501626,,                571652,,                 74874,                 89153,,                168241,,                421497,                589738,              6298185,             14313112,,,,,                786060,,                              0,,                 11254,,                              0,,                716237,,                 23895,              2555775,,                294533,                 25224,                 98358,,,                104670,                 62771,                167441,              4678777,,,                614873,,                332503,,                550048,                550048,              1497424,              6176201,,,,              4800000,              4800000,,                371532,,                807520,                881605,,                691432,              2380557,,                454764,                129793,              7877060,                259851,              8136911,             14313112,              0,              0,     10329917,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,2013年12月31日,,,,,,                256182,,                246099,                  3048,,                 59745,,                              0,,              1191227,,                381656,                615728,,                 56029,,                239458,,,,,              2527055,,                101683,              2628738,,                995682,,                 54766,,                589546,              7946882,,                  1095,,                506250,,                977662,,              3472697,,                573354,,                 78228,                 82914,,                143199,,                424024,                567223,              6333284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10329917,,,                536538,,                 88380,                  4060,,                 73861,             14280166,,,,                664182,,                 49993,,                 12260,,                  7893,,                719334,,                 26308,              2647612,,                513160,                    964,                 56199,,,                 72522,                 62764,                135286,              4833191,,                     32,,                499923,,                332503,,                553030,                553030,              1385488,              6218679,,,,              4800000,              4800000,,                371532,,                807520,                881605,,                596779,              2285904,,                471607,                129793,              7799250,                262237,              8061487,,,,,,,,,
1513,2013年09月30日,,,,,,                249592,,                245961,                    878,,                 75037,,                              0,,              1472282,,                302810,                742423,,                 57671,,                338780,,,,,              2748910,,                 99905,              2848815,,                990858,,                 54766,,                569928,              8607305,,                  2104,,                511500,,                815643,,              3355051,,                574733,,                 79881,                 89945,,                173854,,                466343,                640197,              6141506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10329917,,,                559736,,                 95190,                  2578,,                 72452,             14748811,,,,              1235876,,                139974,,                 17981,,                              0,,                703881,,                 33983,              3005025,,                427932,                    470,                 10919,,,                 82871,                 68871,                151742,              5727783,,                    200,,                499878,,                332503,,                565274,                565274,              1397855,              7125638,,,,              4800000,              4800000,,                374116,,                807520,                881605,,                338983,              2028108,,                291836,                129793,              7364267,                258906,              7623173,,,,,,,,,
1513,2013年06月30日,,,,,,                237591,,                184193,                    592,,                 65555,,                              0,,              1418665,,                301152,                874605,,                 53264,,                317078,,,,,              3218451,,                 99412,              3317863,,              1048717,,                 54766,,                425713,              9002253,,                  4539,,                496500,,                841067,,              3336814,,                576426,,                 83713,                 82435,,                163159,,                486105,                649264,              6070758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10329917,,,                572986,,                127950,                  1563,,                              0,             15073011,,,,                524877,,                169956,,                 13907,,                              0,,              1066814,,                 33753,              3028383,,                926171,                    494,                 45638,,,                118200,                 66705,                184905,              5994898,,                              0,,                664739,,                332503,,                564933,                564933,              1562175,              7557073,,,,              4800000,              4800000,,                374116,,                807520,                881605,,                251652,              1940777,,                264096,                129793,              7249196,                266742,              7515938,,,,,,,,,
1513,2013年03月31日,,,,                776041,,                280351,,                184526,,,                 72399,,                  4788,,              1033802,,                300910,                836745,,                 55106,,                238617,,,,,              3049047,,                 74133,              3123180,,                990294,,                 54766,,                230234,              8183978,,                  3872,,                503535,,                835798,,              3329575,,                578118,,                 85389,                 85591,,                184771,,                396665,                581436,              6003314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     10329917,,,,,,                  2219,,,             14187292,,,,                594584,,                 99998,,                 28737,,,,                795522,,                 18945,              3151834,,                341286,                    494,                 74493,,,                 97922,                 17593,                115515,              5221408,,                              0,,                278904,,                332503,,                579178,                579178,              1190585,              6411993,,,,              4800000,              4800000,,                361203,,                752920,                858678,,                663443,              2275041,,                198316,                129793,              7504767,                270532,              7775299,,                              0,,                              0,,                              0,                              0,,
