證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 待分配股票股利
8210,2015年09月30日,,,,              1617088,,                              0,,                              0,,                855526,,                  1811,,                 41114,,                  1109,,                 23564,,                400643,,                 64939,,                  7574,              3013368,,,              1225115,,                 11720,                 75302,,                 96837,              1408974,              4422342,,,,,                231480,,                    195,,                736227,,                  6057,,                417748,                    559,                 16435,,                 62102,              1470803,,,                161805,,                 81083,,                 97752,                340640,              1811443,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                408404,                 65573,,                766556,              1240533,,,                124897,                124897,                 12540,              2610899,              2610899,              4422342,              0,              0,        400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210,2015年06月30日,,,,              1681154,,                              0,,                              0,,                722070,,                  1363,,                 36956,,                      3,,                  3106,,                452439,,                 54293,,                  7221,              2958605,,,              1204783,,                 12287,                 69870,,                 89200,              1376140,              4334745,,,,,                154412,,                    266,,                604411,,                  7213,,                823166,                    509,                 43671,,                 54198,              1687846,,,                154001,,                 60703,,                 35474,                250178,              1938024,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                408404,                 65573,,                632491,              1106468,,,                 44784,                 44784,                 12540,              2396721,              2396721,              4334745,              0,              0,        400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210,2015年03月31日,,,,              1701949,,                              0,,                      9,,                668872,,                  2432,,                 37423,,                    647,,                  1646,,                585331,,                 66213,,                  5292,              3069814,,,              1210410,,                 13137,                 84836,,                103310,              1411693,              4481507,,,,,                249516,,                    369,,                710039,,                 12985,,                442099,                    268,                129309,,                 16747,              1561332,,,                157247,,                 64292,,                 35358,                256897,              1818229,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                354277,                 65573,,                932431,              1352281,,,                 65528,                 65528,                 12540,              2663278,              2663278,              4481507,              0,              0,        400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210,2014年12月31日,,,,              1597947,,                 63625,,                    455,,                744903,,                  3252,,                 62278,,                      3,,                  1456,,                599103,,                 52261,,                  1281,              3126564,,,              1243760,,                 12719,                 90413,,                103853,              1450745,              4577309,,,,,                221550,,                    492,,                877210,,                 20320,,                451790,                    341,                122810,,                 21043,              1715556,,,                160613,,                 66948,,                 35240,                262801,              1978357,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                354277,                 65573,,                844851,              1264701,,,                 88782,                 88782,                 12540,              2598952,              2598952,              4577309,              0,              0,        400000,              1597947,                  1456,              4577309,,,,                221550,,                    492,,                877210,,                 20320,,                451790,                    341,                122810,,                 21043,              1715556,,,                160613,,                 66948,,                 35240,                262801,              1978357,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                354277,                 65573,,                844851,              1264701,,,                 88782,                 88782,                 12540,              2598952,              2598952,,,,,
8210,2014年09月30日,,,,              1605672,,                              0,,                              0,,                637527,,                  2489,,                 87105,,                    320,,                  2154,,                552078,,                 63840,,                  8576,              2959761,,,              1215073,,                 13573,                 63317,,                115591,              1407554,              4367315,,,,,                506124,,                    123,,                666489,,                 16549,,                372973,                    154,                 65384,,                 41285,              1669081,,,                155867,,                 71809,,                 35713,                263389,              1932470,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                354277,                 65573,,                729935,              1149785,,,                 39591,                 39591,                 12540,              2434845,              2434845,              4367315,              0,              0,        400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210,2014年06月30日,,,,              1653017,,                              0,,                              0,,                684849,,                  1148,,                 96302,,                  1521,,                  2016,,                683887,,                 24467,,                  6970,              3154177,,,              1201045,,                 13052,                 70142,,                103022,              1387261,              4541438,,,,,                265843,,                    246,,                880204,,                  8662,,                721189,                    171,                 80626,,                 30748,              1987689,,,                154503,,                 59777,,                 35593,                249873,              2237562,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                354277,                 65573,,                634465,              1054315,,,                  4092,                  4092,                 12540,              2303876,              2303876,              4541438,              0,              0,        400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210,2014年03月31日,,,,              1463026,,                              0,,                    451,,                590126,,                  2118,,                 82780,,                  1618,,                  6640,,                531570,,                 41500,,                  8533,              2728362,,,              1101142,,                  9911,                 60612,,                217981,              1389646,              4118008,,,,,                176726,,                    369,,                749641,,                 17795,,                362297,                    244,                 85131,,                 26548,              1418751,,,                159094,,                 64655,,                 35494,                259243,              1677994,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                320094,                 65573,,                773381,              1159048,,,                 35497,                 35497,                 12540,              2440014,              2440014,              4118008,              0,              0,        400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8210,2013年12月31日,,,,,,                              0,,                              0,,                556685,,                  1989,,                 79234,,                  1696,,,,                377276,,                 38550,,                  2940,              2479302,,,              1107108,,                  8687,                 43945,,                218612,              1378352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        400000,              1412215,                  8717,              3857654,,,,                199727,,                              0,,                648842,,                 15654,,                358222,                    574,                 49470,,                 21451,              1293940,,,                157107,,                 63830,,                 35403,                256340,              1550280,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                320094,                 65573,,                637011,              1022678,,,                 39227,                 39227,                 12540,              2307374,              2307374,,                              0,,                              0,
8210,2013年09月30日,,,,,,,,                  3105,,                566204,,                  2492,,                 57972,,                  5160,,,,                429738,,                 44240,,                  3878,              2592819,,,              1018847,,                  9530,                 40906,,                199750,              1269033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        210000,              1471661,                  8369,              3861852,,,,                109629,,                    123,,                685663,,                 14227,,                360477,                    209,                 39851,,                215158,              1425337,,,                155346,,                 53398,,                 32971,                241715,              1667052,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                320094,                 65573,,                549760,                935427,,,                  7939,                  7939,                  6575,              2194800,              2194800,,,,,
8210,2013年06月30日,,,,,,,,                 18182,,                567894,,                  4253,,                 55342,,                  4951,,,,                385581,,                 39038,,                  5147,              2888390,,,                785459,,                  7902,                 37957,,                213940,              1045258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1803368,                  4631,              3933648,,,,                 51000,,                    246,,                672397,,                 38590,,                683091,                  2088,                 54740,,                205822,              1707974,,,                              0,,                 55167,,                 32908,                 88075,              1796049,,,,              1201260,              1201260,,,                 42127,                 14622,                 56749,,                320094,                 65573,,                468743,                854410,,,                 25180,                 25180,                              0,              2137599,              2137599,,                      3,,,
