證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 備抵存貨跌價,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 水電設備淨額,　　　　　 水電設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 出租資產－機器設備淨額,　　　　　 出租資產－機器設備淨額,　　　　 出租資產－其他淨額,　　　　　 出租資產－其他淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　　　 預收貨款,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預付投資款,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 待分配股票股利,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計
1457,2015年09月30日,,,,                205851,,                170791,,                      3,,                 94495,,                427136,,                562538,,,                962542,                 88660,                 79970,                 60735,                135922,              1055985,              1055985,,                 40761,,                 82813,                 10298,                 93111,              2650671,,,                 11585,,                140842,                140842,,                127084,                127084,,,              4478450,,                929341,,                611484,,                108043,,                 20926,,                 21814,,                 35877,,                 17346,,                  7066,                 18273,              6248620,,              2818325,                 62617,,,                  2784,                 37932,,                 60190,                100906,              9509979,             12160650,,,,,              1628324,,                191369,,                230489,,                193306,                  3476,,,                263145,,                562013,                562013,                 15588,                840746,              3087710,,,              2177113,,                235875,,,                215000,                215000,                 31293,                 20357,                              0,                266650,              2679638,              5767348,,,,              3351640,              3351640,,                306284,,                505168,,                137658,                282628,              4018122,              2375180,              6393302,             12160650,              0,              0,     72362089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,2015年06月30日,,,,                318091,,                101080,,                      3,,                 94495,,                352405,,                457427,,,                898858,                123421,                 76968,                 61585,                107792,              1053040,              1053040,,                 38131,,                173745,                 11172,                184917,              2620606,,,                 13612,,                140842,                140842,,                126818,                126818,,,              4461113,,                938887,,                642156,,                116057,,                 22124,,                 22073,,                 36193,,                 18174,,                  6320,                 12540,              6275637,,              2804338,                 62616,,,                  2784,                 36713,,                 38583,                 78080,              9501943,             12122549,,,,,              1532710,,                342319,,                215043,,                273677,                  3063,,,                262746,,                260692,                260692,                  6242,                529680,              2896492,,,              2555994,,                235781,,,,,                 31293,                 21793,                  1126,                 54212,              2845987,              5742479,,,,              3351640,              3351640,,                318001,,                470520,,                119707,                282628,              3977240,              2402830,              6380070,             12122549,              0,              0,     72362089,,                 21017,                262746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,2015年03月31日,,,,                247997,,                 88129,,,,                 94495,,                 43908,,                662287,,,                303952,                 37010,                 51424,                 11149,                 27802,                375733,                375733,,                 22004,,                139980,                  8322,                148302,              1682855,,,                 13930,,                126971,                126971,,                243509,                243509,,,              2359999,,                579972,,                303151,,                 81844,,                 16717,,                 17607,,                 36848,,                 14590,,,                 15200,              3425928,,              2712730,                 59068,,,                  2784,                 37510,,                 24691,                 64985,              6647121,              8329976,,,,,                688455,,                111631,,                 77233,,                 60027,                  3809,,,                  9614,,                219182,                219182,                  6513,                235309,              1176464,,,              2426354,,                  1527,,,,,                 30777,                 22586,                  1300,                 54663,              2482544,              3659008,,,,              3351640,              3351640,,                296293,,                265563,,                127041,                282628,              3757909,                913059,              4670968,              8329976,              0,              0,     72362089,,,                  9614,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,2014年12月31日,,,,                205091,,                132019,,                              0,,                 94495,,                106526,,                668023,,,                285839,                 23537,                 71891,                 12584,                 34733,                359118,                359118,,                 18574,,                113375,                  7537,                120912,              1704758,,,                 15240,,                126971,                126971,,                 97225,                 97225,,,              2344599,,                529201,,                321067,,                 83641,,                 18354,,                 18171,,                 53033,,                 13573,,                              0,                103598,              3485237,,              2925384,                 59068,,,                  2784,                 38142,,                 31038,                 71964,              6781089,              8485847,,,,,                655192,,                143398,,                 51401,,                 84325,                  4557,,,                 17825,,                207382,                207382,                 13907,                239114,              1177987,,,              2661956,,                  1432,,,                              0,                              0,                 34293,                 32642,                 15105,                 82040,              2745428,              3923415,,,,              3351640,              3351640,,                296293,,                158095,,                129947,                282628,              3653347,                909085,              4562432,              8485847,              0,              0,     72362089,,                              0,                 17825,                              0,                205091,              8485847,,,,                655192,,                143398,,                 51401,,                 84325,                  4557,,,                 17825,                 17825,,                              0,                207382,                207382,                 13907,                239114,              1177987,,,              2661956,,                  1432,,                 34293,                 32642,                 15105,                 82040,              2745428,              3923415,,,,              3351640,              3351640,,                296293,,                158095,,                129947,                282628,              3653347,                909085,              4562432,,,,,,,,,,,,,,
1457,2014年09月30日,,,,                188043,,                124603,,                              0,,                 94495,,                167974,,                557902,,,                344246,                 29899,                 77805,                 16028,                 34733,                433245,                433245,,                 24964,,                 60927,                  5871,                 66798,              1658024,,,                 16412,,                126971,                126971,,                 96904,                 96904,,,              2769599,,                673024,,                283406,,                 84079,,                 10300,,                 19248,,                 48565,,                 13203,,                              0,                144948,              4046372,,              2442620,                 58436,,,                  2859,                 37225,,                 25057,                 65141,              6852856,              8510880,,,,,                763382,,                160548,,                 52137,,                 81120,                  2452,,,                  8140,,                205446,                205446,                 21001,                234587,              1294226,,,              2542927,,                  1339,,,                              0,                              0,                 35371,                 25437,                 15130,                 75938,              2620204,              3914430,,,,              3351640,              3351640,,                296293,,                154393,,                117498,                282645,              3637179,                959271,              4596450,              8510880,              0,              0,     72362089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,2014年06月30日,,,,                216639,,                 49846,,                              0,,                 94495,,                152136,,                652716,,,                396807,                 40216,                 74938,                 15789,                 34733,                493017,                493017,,                 34629,,                 40262,                 20759,                 61021,              1754499,,,                 17791,,                126971,                126971,,                 97077,                 97077,,,              2769599,,                677869,,                309508,,                 85351,,                 16250,,                 14552,,                 49802,,                 14326,,                              0,                101496,              4038753,,              2448987,                 58559,,,                  2859,                 35956,,                 21026,                 59841,              6847979,              8602478,,,,,              1121369,,                184118,,                 61334,,                147659,                  1641,,,                  7386,,                324398,                324398,                 48865,                380649,              1896770,,,              2061008,,                    855,,,,,                 39571,                 31088,                 15157,                 85816,              2147679,              4044449,,,,              3351640,              3351640,,                296293,,                131822,,                107109,                281849,              3605015,                953014,              4558029,              8602478,              0,              0,     69355500,,                              0,                  7386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,2014年03月31日,,,,                212507,,                101546,,,,                 94495,,                 89686,,                578983,,,                486439,                 39788,                 69703,                 17505,                 34413,                579022,                579022,,                 28152,,                 89058,                 22036,                111094,              1795485,,,                 21170,,                178695,                178695,,                              0,                              0,,,              3183305,,                880835,,                373713,,                 97935,,                 11802,,                 22564,,                    259,,                    223,,,                 97239,              4667875,,              1827163,                 59090,,,                  2859,                 37150,,                 18709,                 58718,              6812711,              8608196,,,,,              1282011,,                183207,,                 53982,,                 94858,                              0,,,                  2934,,                337229,                364486,                 16046,                383466,              1997524,,,              1988792,,                    181,,,,,                 41671,                 24005,                 15181,                 80857,              2069830,              4067354,,,,              3178746,              3178746,,                299037,,                245787,,                118899,                261884,              3580585,                960257,              4540842,              8608196,              0,              0,     64781032,,,                  2934,                 27257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,2013年12月31日,,,,,,                 27099,,,,                 94495,,                 66781,,                584541,,,                432341,                 33278,                 74920,                 13337,                 31700,                522176,                522176,,                 56788,,                175142,                  9617,                184759,              1679998,,,                 18343,,                178695,                178695,,                508603,                508603,,,              2360667,,                657188,,                306801,,                 45097,,                  9674,,                 17646,,                    294,,                    236,,,                236063,              3633666,,              1782096,                 53623,,,                  2784,                 38056,,                 36380,                 77220,              6252246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     64781032,,,,,                143359,              7932244,,,,              1064040,,                282308,,                 47881,,                104931,                              0,,,                 15455,                 15455,,                 26915,                334753,                361668,                 29565,                406688,              1905848,,,              2074877,,                              0,,                 21975,                 27077,                 15204,                 64256,              2139133,              4044981,,,,              3178746,              3178746,,                299037,,                232292,,                119779,                259482,              3570372,                316891,              3887263,,,,,,,,,,,,,,
1457,2013年09月30日,,,,,,                 44985,,,,                 94495,,                 60052,,                555455,,,                490193,                 35977,                 81815,                 12737,                 31700,                589022,                589022,,                 18602,,                146329,                 17520,                163849,              1675151,,,                 44953,,                178695,                178695,,                              0,                              0,,,              2342875,,                553365,,                301829,,                 46362,,                 10446,,                 18303,,,,,,,                452706,              3725886,,              1695761,                 53622,,,                  2784,                 37531,,                 39236,                259551,              5958468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     64781032,,                 37916,,,                110775,              7633619,,,,                852491,,                222033,,                 66302,,                 77829,                              0,,,,                 30065,,                 26572,                270027,                296599,                 23016,                349680,              1568335,,,              2218957,,                              0,,                 22507,                 28514,                 15231,                 66252,              2285209,              3853544,,,,              3178746,              3178746,,                299037,,                131837,,                113769,                259482,              3463907,                316168,              3780075,                180000,,,,,,,,,,,,,
1457,2013年06月30日,,,,,,                 32653,,,,                 94495,,                105964,,                573952,,,                487367,                 32046,                 77835,                 13431,                 31700,                578979,                578979,,                 33802,,                 55529,                 33122,                 88651,              1645913,,,                 39397,,                178695,                178695,,                              0,                              0,,,              2598892,,                906332,,                342322,,                 55697,,                  9335,,                 18985,,,,,,,                333357,              4264920,,              1704596,                 53622,,,                  2784,                 38182,,                 14291,                 55257,              6296487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     64781032,,,,,                137417,              7942400,,,,                818217,,                259929,,                 67286,,                 63151,                              0,,,                 24441,                 24441,,                 26236,                299309,                325545,                199554,                549540,              1758568,,,              2337523,,                              0,,                 22254,                105797,                 15256,                143307,              2480830,              4239398,,,,              3178746,              3178746,,                298881,,                 56149,,                112726,                259482,              3387020,                315982,              3703002,,,                    445,                    445,                              0,,,,,,,,,
