證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　 非控制權益
1474,2015年09月30日,,,,                366894,,                 32633,,                  6414,,                107566,,                  5024,,                536043,,                  1137,,                 42302,,                937590,,                 41151,,                 14394,              2091148,,,                 22740,,              1049884,,                204153,,                 22994,                 46472,,                 74329,              1420572,              3511720,,,,,                600580,,                169823,,                              0,,                119881,,                  2538,,                280600,,                  4721,,                248774,                 13268,,                125595,              1565780,,,                 12500,,                 83592,,                 15213,                111305,              1677085,,,,              1298970,              1298970,,                  5887,                              0,                              0,                  5887,,                159635,                182752,,                161447,                503834,,,                 25613,,                    331,                 25944,                              0,              1834635,              1834635,              3511720,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,2015年06月30日,,,,                505043,,                 10630,,                  6265,,                109443,,                  1574,,                578974,,                  2825,,                 32028,,                917895,,                 51404,,                 15209,              2231290,,,                 22740,,              1037703,,                200907,,                 22700,                 47116,,                 72730,              1403896,              3635186,,,,,                716552,,                169918,,                              0,,                 94544,,                  4444,,                327838,,                  7133,,                278680,                 12470,,                126610,              1738189,,,                 18750,,                 80324,,                 14356,                113430,              1851619,,,,              1298970,              1298970,,                  5887,                              0,                              0,                  5887,,                159635,                182752,,                125515,                467902,,,                 10626,,                    182,                 10808,                              0,              1783567,              1783567,              3635186,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,2015年03月31日,,,,                443170,,                  1477,,                  6081,,                128714,,                  5016,,                522859,,                 16136,,                 38714,,                889868,,                 92103,,                 13452,              2157590,,,                 22740,,              1059045,,                205172,,                 32222,                 48916,,                 79394,              1447489,              3605079,,,,,                682865,,                169798,,                              0,,                103786,,                 16659,,                339675,,                  4641,,                209384,                 13554,,                 81302,              1621664,,,                 85000,,                 81447,,                 15479,                181926,              1803590,,,,              1298970,              1298970,,                  5887,                              0,                              0,                  5887,,                153942,                182752,,                143813,                480507,,,                 16127,,                     -2,                 16125,                              0,              1801489,              1801489,              3605079,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,2014年12月31日,,,,                370830,,                  2486,,                              0,,                163530,,                    993,,                533287,,                  7355,,                  6880,,                850204,,                 52997,,                 12379,              2000941,,,                 22740,,              1080013,,                208958,,                 33160,                 47555,,                 58294,              1450720,              3451661,,,,,                564006,,                169914,,                              0,,                107297,,                  3895,,                339446,,                  7505,,                222734,                  7490,,                102340,              1524627,,,                 41250,,                 83979,,                 15408,                140637,              1665264,,,,              1298970,              1298970,,                  5887,                              0,                              0,                  5887,,                153942,                182752,,                124478,                461172,,,                 20368,,                              0,                 20368,                              0,              1786397,              1786397,              3451661,              0,              0,              0,,                              0,                370830,              3451661,,,,                564006,,                169914,,                              0,,                107297,,                  3895,,                339446,,                  7505,,                222734,                  7490,,                102340,              1524627,,,                 41250,,                 83979,,                 15408,                140637,              1665264,,,,              1298970,              1298970,,                  5887,                              0,                              0,                  5887,,                153942,                182752,,                124478,                461172,,,                 20368,                 20368,                              0,              1786397,              1786397,,
1474,2014年09月30日,,,,                397845,,                  2448,,                              0,,                105768,,                  1236,,                472136,,                  1284,,                 51154,,                881666,,                 27171,,                 11140,              1951848,,,                 22129,,              1055065,,                206835,,                 32876,                 49735,,                 60014,              1426654,              3378502,,,,,                610651,,                169784,,                              0,,                 90005,,                  3113,,                298786,,                  2105,,                211044,                    881,,                 97175,              1483544,,,                 57500,,                 79935,,                 17431,                154866,              1638410,,,,              1298970,              1298970,,                  5887,                              0,                              0,                  5887,,                153944,                182752,,                 89796,                426492,,,                  8743,,                              0,                  8743,                              0,              1740092,              1740092,              3378502,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,2014年06月30日,,,,                400644,,                  1444,,                              0,,                 87247,,                    783,,                402804,,                    724,,                 33925,,                898284,,                 29389,,                 14916,              1870160,,,                 22129,,              1052765,,                204746,,                 32497,                 52090,,                 59659,              1423886,              3294046,,,,,                603557,,                169916,,                              0,,                 77802,,                  4122,,                204194,,                  3107,,                245185,                  6394,,                102010,              1416287,,,                 63750,,                 77698,,                 18448,                159896,              1576183,,,,              1337880,              1337880,,                  8793,                              0,                              0,                  8793,,                153944,                182752,,                 78489,                415185,,,                 -2179,,                              0,                 -2179,                 41816,              1717863,              1717863,              3294046,              0,              0,      3891000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,2014年03月31日,,,,                354575,,                              0,,                              0,,                 94530,,                    235,,                487077,,                  1381,,                 42756,,                960500,,                 38642,,                 14856,              1994552,,,                 22129,,              1077635,,                209483,,                 33641,                 52127,,                 57242,              1452257,              3446809,,,,,                665105,,                169753,,                              0,,                108663,,                  3668,,                299472,,                    216,,                186584,                 11758,,                 89412,              1534631,,,                 57500,,                 79095,,                 19015,                155610,              1690241,,,,              1337880,              1337880,,                  8793,                              0,                              0,                  8793,,                146814,                182752,,                117501,                447067,,,                  4644,,                              0,                  4644,                 41816,              1756568,              1756568,              3446809,              0,              0,      3891000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,2013年12月31日,,,,,,                  3438,,,,                115510,,                    493,,                488061,,                    427,,                 23243,,                908924,,                 36193,,                 13866,              1993495,,,                 22129,,              1097864,,                212392,,                 34397,                 50433,,                 57186,              1474401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3891000,,                              0,                403340,              3467896,,,,                692017,,                149851,,                    128,,                 69593,,                  1802,,                294508,,                  3166,,                237320,                  7310,,                 88768,              1544463,,,                 71250,,                 80028,,                 19592,                170870,              1715333,,,,              1337880,              1337880,,                  8793,                              0,                              0,                  8793,,                146814,                182752,,                112056,                441622,,,                  6084,                  6084,                 41816,              1752563,              1752563,,
1474,2013年09月30日,,,,,,                  6000,,,,                119984,,                    125,,                504255,,                    457,,                 99497,,                942903,,                 60325,,                 17691,              2089605,,,                 22129,,                925741,,                209639,,                 35024,                 50213,,                 74072,              1318941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3891000,,                  2123,                338368,              3408546,,,,                625038,,                189733,,                              0,,                 75452,,                  3220,,                314865,,                  4069,,                207102,                     88,,                103385,              1522952,,,                 85000,,                 74844,,                 18316,                178160,              1701112,,,,              1337880,              1337880,,                  8793,                              0,                              0,                  8793,,                146814,                182752,,                 70771,                400337,,,                  2240,                  2240,                 41816,              1707434,              1707434,,
1474,2013年06月30日,,,,,,                  8955,,,,                132322,,                              0,,                472582,,                  5363,,                 85889,,                884091,,                 27454,,                 15871,              1999877,,,                 23454,,                938137,,                213561,,                 36820,                 54078,,                 69523,              1339017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      5147402,,                  3444,                367350,              3338894,,,,                490214,,                159898,,                              0,,                 69766,,                  6495,,                401063,,                  3706,,                220749,                  5633,,                 85464,              1442988,,,                 98750,,                 77464,,                 18349,                194563,              1637551,,,,              1378744,              1378744,,                  1106,                              0,                              0,                  1106,,                146814,                182752,,                 56147,                385713,,,                  4975,                  4975,                 69195,              1701343,              1701343,,
