證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 除役、復原及修復成本之長期負債準備,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 庫存現金,　　　　 備供出售金融資產－流動,　　　　 無活絡市場之債券投資－流動,　　　　 應收票據,　　　　 其他流動資產－其他,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　 其他應付款,　　　　 其他應付款合計,　　　　 其他長期負債準備,　　　　 除役、復原及修復成本之長期負債準備,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 預付設備款,　　　　 預付投資款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計
3579,2015年09月30日,,,,                490094,,                 47065,,                    511,,                411872,,                167714,,              2400594,,                165022,,                  8891,,              2473037,,              1047424,,                              0,,                  6496,              7218720,,,                183138,,                              0,,                222564,,             11670693,,                 13962,                385669,,              3470701,             15946727,             23165447,,,,,              5538095,,                 26923,,              4217597,,              1756353,                              0,,                 27277,,,              2603247,              2603247,                 50423,              2653670,             14219915,,,                248814,,                 75805,,                145365,,                 84784,                 59443,                144227,                614211,             14834126,,,,              1155973,              1155973,,              1128201,,                638467,                 20700,,                785353,              1444520,,,                 64364,,               -250331,               -185967,              3542727,                              0,              4788594,              8331321,             23165447,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,2015年06月30日,,,,                907870,,                  1612,,                    957,,                371034,,                102576,,              1939933,,                171601,,                 13491,,              2487358,,                969749,,                              0,,                  6391,              6972572,,,                277312,,                              0,,                220937,,             11941060,,                 14760,                387935,,              3519922,             16361926,             23334498,,,,,              4807631,,                  4343,,              4070007,,              1577515,                              0,,                 24048,,,,              3112891,                 39461,              3152352,             13635896,,,                425886,,                 75463,,                129044,,                 84682,                 61600,                146282,                776675,             14412571,,,,              1155973,              1155973,,              1126987,,                638467,                 20700,,                971492,              1630659,,,                 35333,,               -174841,               -139508,              3774111,                              0,              5147816,              8921927,             23334498,              0,              0,              0,,                              0,,                              0,                 75463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,2015年03月31日,,,,              1145012,,                    382,,                  1412,,                402961,,                 38654,,              2523914,,                463087,,                 19012,,              2638022,,              2463960,,                              0,,                  6253,              9702669,,,                344586,,                              0,,                220419,,             12347883,,                 15610,                382585,,              2143452,             15454535,             25157204,,,,,              5206264,,                 15583,,              4122925,,              1573694,                 17499,,                 29025,,,              2374206,              2374206,                 89269,              2463475,             13428731,,,              1944717,,                 75121,,                128789,,                 84658,                 65120,                149778,              2298405,             15727136,,,,              1155973,              1155973,,              1126692,,                638467,                 72525,,              1113105,              1824097,,,                 45845,,               -127278,                -81433,              4025329,                              0,              5404739,              9430068,             25157204,              0,              0,              0,,                              0,,                    266,                 75121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,2014年12月31日,,,,                953867,,                  3008,,                  1444,,                308878,,                 31283,,              3381638,,                456010,,                 18368,,              2788482,,              2680041,,                              0,,                  7629,             10630648,,,                383596,,                              0,,                226231,,             12775690,,                 15990,                388848,,              2128555,             15918910,             26549558,,,,,              6004613,,                 23527,,              4023444,,              1298747,                 17499,,                 23858,,,              2680753,              2680753,                 90532,              2771285,             14162973,,,              2099543,,                 74779,,                139130,,                 84571,                 50544,                135115,              2448567,             16611540,,,,              1155973,              1155973,,              1127132,,                638467,                 72525,,              1219538,              1930530,,,                 61756,,                -82155,                -20399,              4193236,                              0,              5744782,              9938018,             26549558,              0,              0,              0,,                              0,,                              0,                 74779,                953867,                308878,                 18368,             26549558,,,,              6004613,,                              0,,                 23527,,              4023444,              1298747,                 17499,,                 23858,,,              2680753,              2680753,                 90532,              2771285,             14162973,,,              2099543,,                 74779,,                139130,,                 84571,                 50544,                135115,              2448567,             16611540,,,,              1155973,                              0,              1155973,,              1127132,,                638467,                 72525,,              1219538,              1930530,,,                 61756,,                -82155,                -20399,                              0,              4193236,                              0,              5744782,              9938018,,,,,,,,,,,,,,,,,,,,,,
3579,2014年09月30日,,,,              1002807,,                 12237,,                  1900,,                281330,,                 31892,,              3176882,,                596217,,                 38577,,              3126518,,              2485322,,                              0,,                 10854,             10764536,,,                357074,,                 35000,,                223032,,             13249780,,                 15711,                382023,,              2604870,             16867490,             27632026,,,,,              5992721,,                 22102,,              3930287,,              1285122,                 19306,,                 23115,,,              2185554,              2185554,                124666,              2310220,             13582873,,,              2767582,,                 74443,,                115649,,                 79786,                 42683,                122469,              3080143,             16663016,,,,              1155973,              1155973,,              1119171,,                638467,                 72525,,              1538631,              2249623,,,                 14265,,                -94899,                -80634,              4444133,                              0,              6524877,             10969010,             27632026,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,2014年06月30日,,,,              1140873,,                              0,,                  2321,,                217241,,                 51482,,              2768236,,                483291,,                 35460,,              3005801,,              2492943,,                              0,,                  7957,             10205605,,,                396183,,                 35000,,                206150,,             13570614,,                 13449,                385229,,              2576217,             17182842,             27388447,,,,,              5299890,,                  2495,,              3759274,,              1094036,                 33772,,                 22019,,,,              1772663,                156121,              1928784,             12144887,,,              3396803,,                 74107,,                107936,,                 79660,                 14681,                 94341,              3673187,             15818074,,,,              1155973,              1155973,,              1119096,,                638467,                134032,,              1632454,              2404953,,,                 -8890,,                -66314,                -75204,              4604818,                              0,              6965555,             11570373,             27388447,              0,              0,              0,,                              0,,                  4617,                 74107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,2014年03月31日,,,,              1935323,,                  1698,,                  3063,,                237831,,                 61883,,              2388219,,                 61563,,                 27730,,              2156771,,              2463797,,                              0,,                  4832,              9342710,,,                408717,,                              0,,                210451,,             14019755,,                 13610,                395028,,              2574598,             17622159,             26964869,,,,,              5092178,,                  3742,,              3479260,,                940119,                 76125,,                 21180,,,              2134473,              2134473,                194262,              2328735,             12041118,,,              2884269,,                 73771,,                112446,,                 79634,                 38377,                118011,              3188497,             15229615,,,,              1155973,              1155973,,              1115956,,                638467,                134032,,              1681672,              2454171,,,                 12265,,                -55650,                -43385,              4682715,                              0,              7052539,             11735254,             26964869,              0,              0,              0,,                 99779,,                              0,                 73771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,2013年12月31日,,,,,,                              0,,                              0,,,,                 46846,,              2637465,,                 56167,,,,              2118595,,              2228599,,                109784,,                  4283,              9432348,,,                413316,,,,                210977,,             14399754,,                 14288,                385704,,              2755285,             18179324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,              1704992,                498239,                 27378,             27611672,,,,              5226413,,                548442,,                              0,,              3969367,              1297779,                 30929,,                 20562,,,              1876237,              1876237,                254904,              2131141,             13224633,,,              2676807,,                 73435,,                118172,,                 79649,                 64111,                143760,              3012174,             16236807,,,,              1155973,                              0,              1155973,,              1100070,,                638467,                134032,,              1727412,              2499911,,,                   -524,,                -72001,                -72525,                              0,              4683429,                              0,              6691436,             11374865,,,,,,,,,,,,,,,,,,,,,,
3579,2013年09月30日,,,,,,                              0,,                              0,,,,                 35316,,              2428084,,                139375,,,,              2349335,,              2165198,,                              0,,                  1324,              9663203,,,                450887,,                  8561,,                327913,,             15108617,,                 13868,                368428,,              2991980,             19270254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,              2059877,                450610,                 34084,             28933457,,,,              5351606,,                598696,,                  1247,,              3686804,,                 18086,,                 20179,,,              2376298,              2376298,                347154,              2723452,             13986841,,,              3064167,,                 73105,,                 98248,,                102584,                 83910,                186494,              3422014,             17408855,,,,              1155973,,              1155973,,              1046789,,                638467,                134032,,              1910235,              2682734,,,                -14586,,                -37166,                -51752,,              4833744,                              0,              6690858,             11524602,              2059877,                              0,                450610,                 35316,                  1324,,                 13868,,              1586771,                 73105,,,,,,,,,,,,
3579,2013年06月30日,,,,              2516981,,,,,,,,                  9415,,              2854343,,                102764,,,,              2426310,,              1911426,,,,                 14369,              9946592,,,                467652,,                  8356,,                326072,,             15538162,,                 14432,                394027,,              3313975,             20062676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,                 94084,                 16900,             30009268,,,,              5990115,,                399187,,                              0,,              3230663,,                              0,,,,,              2525923,              2525923,                385932,              2911855,             13956792,,,              3807928,,                 72775,,                 93679,,                102576,                140384,                242960,              4217342,             18174134,,,,              1155973,                              0,              1155973,,              1099326,,                638467,                134032,,              2054274,              2826773,,,                 -4476,,                -25166,                -29642,,              5052430,,              6782704,             11835134,,,,,,,,,              1424972,,,,                              0,                              0,                              0,,,,,,,
