證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－土地增值稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付款－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他應付款項－關係人,　　　　 待分配股票股利,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　 庫藏股票
1467,2015年06月30日,,,,              1176368,,                  2271,,                 54259,,              1051650,,                 67364,,                 12554,,,              1617289,              1617289,,                286567,,                 17883,                  7261,                 25144,              4293466,,,                 24303,,                  1886,,              2149026,,                  7929,,,                270390,                270390,                 37652,,,                 49025,                119932,                168957,              2660143,              6953609,,,,,                822273,,                139867,,                 60261,,                683266,,                493414,                 28254,,,                 18955,,                157724,                 12957,                189636,              2416971,,,              1535887,,                 71388,                 71388,,                 57766,                  1784,                 59550,              1666825,              4083796,,,,              2102622,              2102622,,                137621,,                359533,,,               -291002,               -291002,               -291002,              2308774,                561039,              2869813,              6953609,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,2015年03月31日,,,,              1395411,,                  2351,,                 62425,,                783470,,                140584,,                  6713,,,              1411591,              1411591,,                234446,,                 13009,                 14713,                 27722,              4064713,,,                 23813,,                  7298,,              2192997,,                  7950,,,                274730,                274730,                 40734,,,                189126,                115056,                304182,              2851704,              6916417,,,,,                816599,,                 99901,,                 61661,,                594588,,                371891,                 29423,,,                 50657,,                 50894,                 21362,                122913,              2096976,,,              1668288,,                 71388,                 71388,,                 61779,                  1784,                 63563,              1803239,              3900215,,,,              2102622,              2102622,,                137442,,                461509,,,               -256632,               -256632,               -256632,              2444941,                571261,              3016202,              6916417,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,2014年12月31日,,,,              1583517,,                  2369,,                 59443,,              1081996,,                 85056,,                 10094,,,              1438823,              1438823,,                149350,,                  5922,                  8939,                 14861,              4425509,,,                 25213,,                  8841,,              2158810,,                  7971,,,                278221,                278221,                 45550,,,                174486,                116417,                290903,              2815509,              7241018,,,,,                848082,,                189706,,                 79998,,                601409,,                416261,                 31536,,,                 47071,,                 51773,                  6262,                105106,              2272098,,,              1700587,,                 71388,                 71388,,                 63666,                  1784,                 65450,              1837425,              4109523,,,,              2102622,              2102622,,                137442,,                453267,,,               -161333,               -161333,               -161333,              2531998,                599497,              3131495,              7241018,              0,              0,              0,              1583517,                 10094,              7241018,,,,                848082,,                189706,,                 79998,,                601409,,                416261,                 31536,,,                 47071,                 47071,,                 51773,                 51773,                  6262,                105106,              2272098,,,              1700587,              1700587,,                 71388,                 71388,,                 63666,                  1784,                 65450,              1837425,              4109523,,,,              2102622,              2102622,,                137442,,                453267,,,               -161333,               -161333,               -161333,              2531998,                599497,              3131495,,,,,,,,,,
1467,2014年09月30日,,,,,,                  2252,,                 48629,,              1116372,,                157679,,,,,              1572314,              1572314,,                264497,,                 29414,                 14362,                 43776,              4412666,,,                  6775,,                    825,,              2103450,,                  7992,,,                274363,                274363,                 57352,,,                124993,                 76191,                201184,              2651941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1187603,                 19544,              7064607,,,,                636249,,                379514,,                 92726,,                707784,,                447228,,,,                 41367,                 41367,,                              0,                              0,                 18983,                 60350,              2323851,,,              1574970,              1574970,,                 70723,                 70723,,                 72708,                    584,                 73292,              1718985,              4042836,,,,              2102622,              2102622,,                136608,,                429857,,,               -237120,               -237120,               -237120,              2431967,                589804,              3021771,,                              0,                              0,,,,,,,
1467,2014年06月30日,,,,              1176408,,                  2579,,                 49395,,                791994,,                228488,,                 14441,,,              1624478,              1624478,,                243419,,                 59333,                  8132,                 67465,              4198667,,,                  5925,,                    827,,              2102549,,                  8013,,,                270554,                270554,                 57113,,,                111068,                 75310,                186378,              2631359,              6830026,,,,,                711931,,                379425,,                100538,,                604487,,                411275,                  6946,,,                 60939,,                              0,                 25202,                 86141,              2300743,,,              1429631,,                 70753,                 70753,,                 75095,                    584,                 75679,              1576063,              3876806,,,,              2102622,              2102622,,                136879,,                356797,,,               -229165,               -229165,               -229165,              2367133,                586087,              2953220,              6830026,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,2014年03月31日,,,,              1234365,,                  2628,,                 32489,,                781980,,                138251,,                 15492,,,              1529590,              1529590,,                245517,,                 62601,                  5262,                 67863,              4048175,,,                  5925,,                  1476,,              2124413,,                  8034,,,                276787,                276787,                 57256,,,                 90880,                 77312,                168192,              2642083,              6690258,,,,,              1023591,,                329741,,                 90095,,                726863,,                311165,                 22901,,,                 42091,,                              0,                 24726,                 66817,              2571173,,,              1569191,,                 70723,                 70723,,                 77468,                    608,                 78076,              1717990,              4289163,,,,              1682098,              1682098,,                 61184,,                352267,,,               -177403,               -177403,               -177403,              1918146,                482949,              2401095,              6690258,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,2013年12月31日,,,,,,                  2651,,                 50642,,                802046,,                198845,,,,,              1312215,              1312215,,                154637,,                 90837,                  5209,                 96046,              3756258,,,                  5925,,                  1666,,              2072734,,                  8055,,,                274695,                274695,                 57156,,,                 86910,                 29938,                116848,              2537079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1104688,                 34488,              6293337,,,,              1008155,,                279646,,                 85811,,                560376,,                376683,                 14869,,,                 39890,                 39890,,                 49149,                 49149,                  7005,                 96044,              2421584,,,              1348298,              1348298,,                 70753,                 70753,,                 79625,                    607,                 80232,              1499283,              3920867,,,,              1682098,              1682098,,                 61184,,                333695,,,               -202734,               -202734,               -202734,              1874243,                498227,              2372470,,,,,,,,,,
1467,2013年09月30日,,,,,,                  2590,,                 54461,,              1259770,,                181231,,,,,              1457007,              1457007,,                136421,,                 98206,                  7104,                105310,              4400820,,,                  5425,,                  2302,,              2034468,,                  8076,,,                257934,                257934,                 69752,,,                 83243,                 29654,                112897,              2490854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1173432,                 30598,              6891674,,,,              1215996,,                219785,,                 91430,,                891277,,                394227,,,,                 40776,                 40776,,                              0,                              0,                 23758,                 64534,              2877249,,,              1418940,              1418940,,                 68902,                 68902,,                101420,                    586,                131579,              1619421,              4496670,,,,              1682098,              1682098,,                 60649,,                317633,,,               -195462,               -195462,               -195462,              1864918,                530086,              2395004,,                 29573,                 29573,,,,,,,
1467,2013年06月30日,,,,,,                  2690,,                 73198,,                773457,,                246678,,,,,              1519576,              1519576,,                135395,,                100981,                  6118,                107099,              3929716,,,                  5425,,                  1456,,              2014019,,                  8097,,,                298245,                298245,                 72824,,,                 77484,                 30122,                107606,              2507672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1037262,                 34361,              6437388,,,,              1015128,,                229687,,                 93517,,                729232,,                398861,,,,                 44842,                 44842,,                              0,                              0,                 18678,                 63520,              2529945,,,              1322972,              1322972,,                 68902,                 68902,,                101315,                    766,                132851,              1524725,              4054670,,,,              1682098,              1682098,,                 60649,,                248176,,,               -151485,               -151485,               -151485,              1839438,                543280,              2382718,,                 30770,                 30770,,,,,,,
1467,2013年03月31日,,,,,,                  2262,,                 41024,,                865290,,                152518,,,,,              1441032,              1441032,,                152067,,                103056,                  4953,                108009,              3949185,,,                  3925,,                  2200,,              2025673,,                  8118,,,                317696,                317696,                 76061,,,                 83128,                 30654,                113782,              2547455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1150682,                 36301,              6496640,,,,                918348,,                289614,,                 78129,,                721268,,                289990,,,,                 69540,                 69540,,                 24451,                 24451,                 14816,                108807,              2406156,,,              1327912,              1327912,,                 69502,                 69502,,                100561,                    584,                101145,              1498559,              3904715,,,,              1682098,              1682098,,                 60649,,                278942,,,                 16983,                 16983,                 16983,              2038672,                553253,              2591925,,,,,,,,,,
