證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額
1227,2015年09月30日,,,,              2138827,,                358147,,              1478458,,                 18127,,              4637788,,                356061,,                 69084,,              3298027,,                     16,,              2195187,,                 20071,             14569793,,,                118505,,              3771421,,                257502,,                 41376,,                137257,                178633,,                     36,                211286,,                199690,,                117913,                317603,              4854986,             19424779,,,,,              1282914,,                 39986,,                472415,,              1544521,,              2166510,                191377,,                 20660,,                    250,                136328,                136578,              5854961,,,                174101,,,                              0,                              0,                192912,                116212,                309124,                483225,              6338186,,,,              7926972,              7926972,,                 63153,                 63153,,              1899483,,              2592817,              4492300,,                427973,                 21182,             12889216,                197377,             13086593,             19424779,              0,              0,      5777436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,2015年06月30日,,,,              2358627,,                550479,,              1670101,,                 37730,,              3816353,,                298061,,                 69116,,              3333945,,                     15,,              1691801,,                 16053,             13842281,,,                118347,,              3680153,,                258218,,                 67795,,                121636,                189431,,                     35,                238663,,                196139,,                 99618,                295757,              4780604,             18622885,,,,,              1440530,,                 89915,,                107318,,              1032494,,              3000936,                228795,,                 24034,,                    372,                100918,                101290,              6025312,,,                132500,,,                              0,                              0,                196375,                125443,                321818,                454318,              6479630,,,,              7206338,              7926972,,,                 54749,,              1899483,,              1746333,              3645816,,                347250,                 21182,             11953605,                189650,             12143255,             18622885,              0,              0,      5252215,                720634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,2015年03月31日,,,,              3034689,,                450958,,              1077659,,                 33005,,              4431644,,                222202,,                 31584,,              3157217,,                     15,,              1358977,,                  7741,             13805691,,,                119470,,              3700908,,                258934,,                    558,,                 11016,                 11574,,                     36,                245651,,                199081,,                 86882,                285963,              4622536,             18428227,,,,,              1276407,,                 69977,,                277962,,              1129636,,              1719254,                473411,,                 13364,,                    507,                 87351,                 87858,              5047869,,,                161062,,,                              0,                              0,                197337,                 58791,                256128,                417190,              5465059,,,,              7206338,              7206338,,,                 51331,,              1691898,,              3452660,              5144558,,                427671,                 21182,             12808716,                154452,             12963168,             18428227,              0,              0,      5252215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,2014年12月31日,,,,              1991558,,                496999,,              1026935,,                 41730,,              4286758,,                156956,,                 31665,,              3847264,,                     16,,              1612855,,                  8841,             13501577,,,                124396,,              3691574,,                259651,,                    558,,                  6946,                  7504,,                     36,                249018,,                203160,,                104433,                307593,              4639772,             18141349,,,,,              1336892,,                 99959,,                210823,,              1679757,,              1911768,                256131,,                 19404,,                    531,                144455,                144986,              5659720,,,                134299,,,                    126,                    126,                197119,                 46898,                244143,                378442,              6038162,,,,              7206338,              7206338,,                 51331,                 51331,,              1691898,,              2540559,              4232457,,                486538,                 21182,             11955482,                147705,             12103187,             18141349,              0,              0,      5252215,                              0,              1991558,              1026935,                 31665,             18141349,,,,              1336892,,                 99959,,                210823,,              1679757,,              1911768,                256131,,                 19404,,                    531,                144455,                144986,              5659720,,,                134299,,,                    126,                    126,                197119,                 46898,                244143,                378442,              6038162,,,,              7206338,              7206338,,                 51331,                 51331,,              1691898,,              2540559,              4232457,,                486538,                 21182,             11955482,                147705,             12103187,,,,,
1227,2014年09月30日,,,,              1778229,,                661783,,                938523,,                 39117,,              3820250,,                249598,,                 31500,,              3087047,,                      7,,              1306716,,                 14131,             11926901,,,                133109,,              3439709,,                260367,,                    558,,                  7998,                  8556,,                      4,                238041,,                195242,,                175102,                370344,              4450130,             16377031,,,,,              1256352,,                 69972,,                203303,,              1164624,,              1793792,                 98978,,                 17894,,                    574,                 64104,                 64678,              4669593,,,                 94666,,,                    250,                    250,                167047,                 38806,                206103,                300769,              4970362,,,,              7206338,              7206338,,                 51331,                 51331,,              1691898,,              2053908,              3745806,,                286077,                 21182,             11268370,                138299,             11406669,             16377031,              0,              0,      5252215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,2014年06月30日,,,,              2257300,,                676633,,                951833,,                 23278,,              3288228,,                104503,,                 31500,,              3478901,,                      6,,              1056389,,                157469,             12026040,,,                134760,,              3230697,,                261083,,                    558,,                 10100,                 10658,,                      4,                292493,,                192695,,                290882,                483577,              4413272,             16439312,,,,,              1223741,,                 69970,,                292295,,              1087237,,              2538442,                209962,,                 16010,,                    643,                 74121,                 74764,              5512421,,,                 76570,,,                    372,                    372,                166720,                 39619,                206711,                283281,              5795702,,,,              6611319,              7206338,,,                 43621,,              1691898,,              1353082,              3044980,,                233132,                 21182,             10506889,                136721,             10643610,             16439312,              0,              0,      4818546,                595019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,2014年03月31日,,,,              1999282,,                754225,,                892934,,                 70590,,              3387531,,                145752,,                              0,,              3126979,,                      7,,                844476,,                 22579,             11244355,,,                127664,,              3120094,,                261800,,                    558,,                  6675,                  7233,,                      4,                271448,,                197664,,                353661,                551325,              4339568,             15583923,,,,,                865574,,                 69968,,                114985,,                971043,,              1478351,                250016,,                 11990,,                    709,                 75268,                 75977,              3837904,,,                 93832,,,                    507,                    507,                166260,                 42416,                209183,                303015,              4140919,,,,              6611319,              6611319,,,                 43620,,              1505940,,              2865267,              4371207,,                296535,                 21182,             11301499,                141505,             11443004,             15583923,              0,              0,      4818546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,2013年12月31日,,,,,,                757337,,,,                 29248,,              3757062,,                171707,,,,              3489168,,                  1967,,              1206108,,                164858,             11644056,,,                145091,,              3085188,,                262516,,                    558,,                  4730,                  5288,,                      4,                263652,,                196128,,                300501,                496629,              4258368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4818546,,              1359032,                707548,                     21,             15902424,,,,              1241691,,                 69969,,                  1652,,              1266651,,              1831650,                128044,,                 24359,,                    758,                207221,                207979,              4771995,,,                 83634,,,                    657,                    657,                167046,                 34848,                202551,                286185,              5058180,,,,              6611319,              6611319,,                 43620,                 43620,,              1505940,,              2326179,              3832119,,                239947,                 21182,             10705823,                138421,             10844244,,,,,
1227,2013年09月30日,,,,,,                374464,,,,                 20391,,              3626335,,                 61460,,,,              3132571,,                  3087,,              1686391,,                 14787,             11384544,,,                158126,,              2743628,,                263232,,                    558,,                  7397,                  7955,,                      2,                240075,,                193980,,                281150,                475130,              3888148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4818546,,                999673,              1465385,                              0,             15272692,,,,              1693343,,                 69941,,                  6469,,              1204615,,              1480545,                 32103,,                 11970,,                    787,                167111,                167898,              4666884,,,                 70694,,,                    824,                    824,                136302,                 18074,                155200,                225894,              4892778,,,,              6611319,              6611319,,                 43620,                 43620,,              1505940,,              1929279,              3435219,,                174382,                 21182,             10243358,                136556,             10379914,,,,,
1227,2013年06月30日,,,,,,                512346,,,,                 28368,,              3015376,,                 47982,,,,              3019048,,                  1162,,              1140158,,                 14685,             11116190,,,                160384,,              2461605,,                263948,,                    558,,                 10926,                 11484,,                     38,                236898,,                196846,,                325303,                522149,              3656506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4190040,,              1810116,              1526949,                              0,             14772696,,,,                986243,,                 39982,,                 12800,,                811905,,              2421721,                180747,,                 10319,,                    790,                 80924,                 81714,              4545431,,,                 76744,,,                  1015,                  1015,                135972,                 16582,                153569,                230313,              4775744,,,,              5748973,              6611319,,                 35240,                 35240,,              1505940,,              1527500,              3033440,,                204762,                 21182,              9863579,                133373,              9996952,                862346,,,,
