證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 債券換股權利證書,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 債券換股權利證書,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　 避險之衍生金融負債－非流動,　　 共同控制下前手權益,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人
2481,2015年09月30日,,,,                926487,,                  3480,,                108205,,                487166,,              4347673,,                623801,,              2302572,,                432464,,                141308,              9373156,,,                453504,,                288613,,                 17256,,              7965049,,                688927,                788864,,                124111,                531874,                397712,                639925,,                 84793,              1778415,             11980628,             21353784,,,,,              1540754,,                 30578,,                 86379,,              1389628,,              1351347,                125353,,,                221093,              1606153,              1827246,                 70086,                121018,              2018350,              6542389,,,                              0,,                              0,,              4562597,,                200035,,,              1255686,              1255686,                589889,                136217,                 27167,              2008959,              6771591,             13313980,,,,              3889914,                              0,              3889914,,              2439964,,                302317,                209894,,                303653,                815864,,                148045,                  8691,              7285096,                754708,              8039804,             21353784,              0,        851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2015年06月30日,,,,              1089121,,                  7569,,                211795,,                539011,,              5455091,,                111020,,              2997831,,                436599,,                172869,             11020906,,,                161530,,                258824,,                              0,,             10492079,,                680041,                843061,,                252078,                562530,,                634274,,                 86743,              1535625,             13971160,             24992066,,,,,              2414460,,                  4833,,                482468,,              2665459,,              1332477,                142744,,,                220394,              1397339,              1617733,                368936,                 97759,              2084428,              9126869,,,                              0,,                              0,,              4428145,,                150021,,,              1346185,              1346185,                569339,                135412,                116972,              2167908,              6746074,             15872943,,,,              3881580,                  8334,              3889914,,              2551964,,                302317,                209894,,                145330,                657541,,                 33003,                              0,              7132422,              1986701,              9119123,             24992066,        833331,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2015年03月31日,,,,              1056301,,                251161,,                              0,,                836247,,              4660346,,                114195,,              2988425,,                449983,,                312446,             10669104,,,                174466,,                265541,,                              0,,             10608657,,                690051,                830024,,                231931,                519291,,                646914,,                105192,              1503328,             14072067,             24741171,,,,,              2036922,,                              0,,                441197,,              2434018,,              1023151,                164994,,,,              1489231,              1489231,                332332,                 89845,              1911408,              8011690,,,                    424,,                229767,,              4859634,,                162339,,,              1378310,              1378310,                580091,                134611,                168391,              2261403,              7513567,             15525257,,,,              3833355,                 48225,              3881580,,              2626837,,                385465,                209894,,                -15269,                580090,,                 82490,                              0,              7170997,              2044917,              9215914,             24741171,      4822535,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2014年12月31日,,,,                962341,,                  8569,,                 85904,,                796159,,              5203012,,                118369,,              2689769,,                390483,,                281656,             10536262,,,                189109,,                267681,,                 19460,,             10978639,,                715615,                823263,,                258744,                540139,                              0,                657798,,                104607,              1561288,             14555055,             25091317,,,,,              1477048,,                 23505,,                548880,,              2573453,,              1166060,                141703,,,                              0,              1005266,              1005266,                327061,                 70407,              1402734,              7333383,,,                    447,,                286435,,              5561679,,                196671,,,              1596656,              1596656,                588261,                133776,                 27650,              2346343,              8391575,             15724958,,,,              3847162,                  1193,              3848355,,              2644883,,                385465,                209894,,                -83148,                512211,,                196879,                 24249,              7178079,              2188280,              9366359,             25091317,        119331,      1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2014年09月30日,,,,              1100132,,                 10213,,                 34538,,                538939,,              4995357,,                100463,,              2683979,,                453134,,                255887,             10172642,,,                200463,,                247111,,                 21782,,             10986515,,                713010,                832278,,                364132,                555320,                              0,                641217,,                104619,              1665288,             14666447,             24839089,,,,,              2066572,,                 11176,,                791792,,              2463280,,              1146599,                161485,,,                              0,              1089185,              1089185,                308342,                 67994,              1465521,              8106425,,,                  1340,,                285918,,              5457033,,                172469,,,              1654602,              1654602,                560147,                140747,                 27215,              2382711,              8299471,             16405896,,,,              3856757,                 20405,              3877162,,              2543364,,                385465,                209894,,                -10280,                585079,,                139567,                 74363,              7070809,              1362384,              8433193,             24839089,      2040462,      4500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2014年06月30日,,,,                872259,,                 16543,,                 38488,,                393278,,              4895738,,                 89647,,              2487442,,                463191,,                217071,              9473657,,,                207041,,                243833,,                 20985,,             10858826,,                708003,                831441,,                449920,                568041,,                629625,,                113457,              1761043,             14631172,             24104829,,,,,              1571141,,                              0,,                554476,,              2695735,,              1150426,                150642,,,                              0,                815659,                815659,                212852,                 85327,              1113838,              7236258,,,                    688,,                308232,,              5699264,,                159286,,,              1696568,              1696568,                548084,                140003,                 28323,              2412978,              8580448,             15816706,,,,              3827269,                 29488,              3856757,,              2538455,,                385465,                209894,,               -104213,                491146,,                108992,                 74363,              6920987,              1367136,              8288123,             24104829,      2948802,      4500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2014年03月31日,,,,              1462158,,                203985,,                              0,,                723695,,              4244004,,                 90326,,              2587507,,                571500,,                168000,             10051175,,,                230749,,                384522,,                 21856,,             11131885,,                725779,                813011,,                171471,                376430,,                645115,,                119572,              1312588,             14620390,             24671565,,,,,              1634797,,                  6173,,                482245,,              2520889,,              1200868,                141288,,,,                923610,                923610,                162163,                127364,              1213137,              7199397,,,                  1713,,                341048,,              6425036,,                176643,,,              1704782,              1704782,                560156,                139243,                 28704,              2432885,              9377325,             16576722,,,,              3719356,                107913,              3827269,,              2530066,,                385465,                209894,,               -120752,                474607,,                194644,                 74363,              6952223,              1142620,              8094843,             24671565,     10791217,      4500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2013年12月31日,,,,,,                168706,,,,                740928,,              4222821,,                 68457,,              2202542,,                592972,,                140676,              9306393,,,                207652,,                377601,,                 20747,,             10927612,,                714447,                790235,,                103885,                419885,,                650644,,                146015,              1320429,             14358723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4500000,              1169291,                              0,             23665116,,,,              1954155,,                  9358,,                319606,,              1971708,,              1044425,                107219,,,                344389,                344389,                 84236,                 36517,                465142,              5871613,,,                  3494,,                465404,,              6928002,,                178858,,,              1534347,              1534347,                564268,                138487,                 27869,              2264971,              9840729,             15712342,,,,              3719356,                              0,              3719356,,              2510895,,                385465,                209894,,               -193100,                402259,,                176253,                 74363,              6734400,              1218374,              7952774,              0,                              0,,,
2481,2013年09月30日,,,,,,                487376,,,,                798631,,              3977987,,                 94071,,              2177594,,                631249,,                 39064,              9526525,,,                175551,,                375155,,                 21201,,             11013323,,                761273,                752278,,                286618,                416688,,                643183,,                146275,              1492764,             14591545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4500000,              1216360,                104193,             24118070,,,,              1872137,,                  5062,,                369300,,              2027017,,              1024160,                 97803,,,                303134,                303134,                 96091,                 59204,                458429,              5853908,,,                  6619,,                463446,,              7258912,,                154952,,,              1511711,              1511711,                541814,                127622,                 26585,              2207732,             10091661,             15945569,,,,              3719356,                              0,              3719356,,              2512145,,                385465,                209894,,                -64751,                530608,,                 73022,                 74363,              6760768,              1411733,              8172501,              0,,,,
2481,2013年06月30日,,,,,,                224769,,,,                650746,,              4047419,,                 89990,,              2274717,,                739377,,                 50902,              9374456,,,                174415,,                400837,,                 24866,,             10813188,,                719748,                708708,,                293867,                402690,,                646216,,                145964,              1488737,             14330499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4500000,              1178645,                117891,             23704955,,,,              1581212,,                 13850,,                 38296,,              1999024,,              1034729,                 72705,,,                843533,              1037263,                 67116,                 84486,              1188865,              5928681,,,                  7424,,                461487,,              6836505,,                167640,,,              1457036,              1457036,                540131,                127093,                 25722,              2149982,              9623038,             15551719,,,,              3719356,                              0,              3719356,,              2501787,,                385465,                209894,,                -78524,                516835,,                 81562,                 74363,              6745177,              1408059,              8153236,              0,                193730,,,
