證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
2419,2015年09月30日,,,,              2527866,,                192231,,                 14496,,                802488,,                 24537,,                      1,,              1649397,,                396269,,                 55618,              5662903,,,                              0,,                 35946,,                965409,,                              0,,                 50469,                 68516,,                239918,              1360258,              7023161,,,,,                849829,,                              0,,                  3533,,              1322732,,                287620,                 37480,,                176074,,                329926,              3007194,,,                              0,,                              0,,                547481,,                 45071,,                 12195,,                 46014,                650761,              3657955,,,,              2339112,                              0,              2339112,,                539749,,                110161,                              0,,                 82563,                192724,,                 44310,                 97778,              3018117,                347089,              3365206,              7023161,              0,      8109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2015年06月30日,,,,              2346272,,                 74537,,                 20900,,              1093815,,                 19841,,                              0,,              1498123,,                579983,,                 73719,              5707190,,,                              0,,                 42550,,                967779,,                              0,,                 51390,                 64686,,                242495,              1368900,              7076090,,,,,                406265,,                 34559,,                  4441,,              1395489,,                593487,                 44191,,                160152,,                417317,              3055901,,,                              0,,                              0,,                563480,,                 40338,,                  2681,,                 46621,                653120,              3709021,,,,              2339112,                              0,              2339112,,                539732,,                110161,                              0,,                  7804,                117965,,                 27603,                              0,              3024412,                342657,              3367069,              7076090,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2015年03月31日,,,,              2163255,,                 66167,,                 23148,,              1345770,,                  1172,,                              0,,              1596706,,                569099,,                 95660,              5860977,,,                      4,,                 42550,,              1001898,,                              0,,                 54312,                 64386,,                218158,              1381308,              7242285,,,,,                606548,,                    118,,                    935,,              1267753,,                338874,                 51082,,                147738,,                175468,              2588516,,,                              0,,                 38344,,              1018438,,                 41999,,                  2403,,                 38305,              1139489,              3728005,,,,              2321373,                 14589,              2335962,,                538354,,                 96565,                              0,,                 91435,                188000,,                 38135,                              0,              3100451,                413829,              3514280,              7242285,      1458887,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2014年12月31日,,,,              2121276,,                152752,,                  9036,,              1378218,,                 34841,,                              0,,              1516146,,                440821,,                 59718,              5712808,,,                     24,,                 42550,,                992505,,                              0,,                 59853,                 73751,,                218298,              1386981,              7099789,,,,,                506391,,                    194,,                 16950,,              1148222,,                299901,                 36764,,                113834,,                116252,              2238508,,,                              0,,                 59957,,              1228898,,                 44974,,                  5466,,                 40474,              1379769,              3618277,,,,              2405487,                              0,              2405487,,                548319,,                 96565,                              0,,                135956,                232521,,                 35894,                136540,              3085681,                395831,              3481512,              7099789,              0,      8854000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2014年09月30日,,,,              2061254,,                100712,,                  6698,,              1183296,,                 47640,,                  5518,,              1740135,,                505481,,                  8894,              5659628,,,                      6,,                 45350,,                982008,,                              0,,                 61688,                 98898,,                352683,              1540633,              7200261,,,,,              1369193,,                              0,,                  6888,,              1202465,,                267287,                 40566,,                 60657,,                317430,              3264486,,,                              0,,                 59698,,                307714,,                 60127,,                  1507,,                 53810,                482856,              3747342,,,,              2404049,                  1438,              2405487,,                503627,,                 96565,                              0,,                112011,                208576,,                 21369,                              0,              3139059,                313860,              3452919,              7200261,        143834,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2014年06月30日,,,,              1992863,,                 97314,,                  7878,,                807999,,                  6551,,                              0,,              1575236,,                380582,,                 17374,              4885797,,,                    346,,                 45350,,                974064,,                              0,,                 54701,                 91595,,                261621,              1427677,              6313474,,,,,                811913,,                  8247,,                  5824,,              1024847,,                435524,                 44251,,                 88892,,                 58784,              2478282,,,                              0,,                 61495,,                265793,,                 74282,,                    130,,                 53475,                455175,              2933457,,,,              2457507,                 41812,              2499319,,                566203,,                 96565,                              0,,                 80000,                176565,,                  4119,                180629,              3065577,                314440,              3380017,              6313474,      4181175,      9527000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2014年03月31日,,,,              2085348,,                119576,,                 15970,,              1063368,,                  4507,,                              0,,              1423110,,                326521,,                 15660,              5054060,,,                              0,,                 45350,,              1003774,,                              0,,                 54212,                 92941,,                263615,              1459892,              6513952,,,,,                985861,,                  2297,,                  2902,,              1001530,,                265151,                 70577,,                 93436,,                 99146,              2520900,,,                     97,,                139478,,                286397,,                 76051,,                  3441,,                 51132,                556596,              3077496,,,,              2192790,                254669,              2447459,,                609773,,                 92606,                  6566,,                 88061,                187233,,                  8954,                180629,              3072790,                363666,              3436456,              6513952,     25505283,      9527000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2013年12月31日,,,,,,                118777,,                  7711,,              1544598,,                  6711,,,,              1356658,,                298913,,                 67839,              5185747,,,                              0,,                 45350,,                835732,,                 18756,,                 25640,                 98253,,                391298,              1415029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        932514,      9527000,              0,              1784540,                              0,              6600776,,,,              1006138,,                  2527,,                  3480,,              1221290,,                510201,                 64362,,                 11581,,                 58647,              2878226,,,                  1899,,                489309,,                149100,,                  4049,,                 52869,                697226,              3575452,,,,              2192790,                  9144,              2201934,,                501523,,                 92606,                  6566,,                 39592,                138764,,                 14618,                180629,              2676210,                349114,              3025324
2419,2013年09月30日,,,,,,                140154,,                  1327,,              1202418,,                  4737,,,,              1583287,,                313434,,                 69056,              5041949,,,                              0,,                 45350,,                850712,,                 19036,,                 25363,                 59945,,                312321,              1312727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      2282759,      9527000,              0,              1721354,                  6182,              6354676,,,,                777849,,                  4572,,                  4419,,              1459159,,                238703,                  3719,,                              0,,                141576,              2629997,,,                  2434,,                495913,,                148075,,                    262,,                 59043,                705727,              3335724,,,,              2169455,                 22646,              2192101,,                501385,,                 92606,                  6566,,                 96255,                195427,,                  6616,                180629,              2714900,                304052,              3018952
2419,2013年06月30日,,,,,,                 98555,,                  5159,,              1683777,,                  6173,,,,              1063857,,                339961,,                 97086,              5501813,,,                              0,,                 45350,,                857820,,                 19317,,                 24886,                 59024,,                309429,              1315826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        861152,      9527000,              0,              2207116,                    129,              6817639,,,,                622323,,                    412,,                  5647,,              1847855,,                551647,                 37555,,                              0,,                181480,              3246919,,,                  2434,,                508493,,                              0,,                    201,,                 58714,                569842,              3816761,,,,              2147020,                 30889,              2177909,,                500720,,                 92606,                  6566,,                121524,                220696,,                 -8899,                180629,              2709797,                291081,              3000878
