證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商標權淨額,　　　　　 商標權淨額,　　　　 專利權淨額,　　　　　 專利權淨額,　　　　 特許權淨額,　　　　　 特許權淨額,　　　　 著作權淨額,　　　　　 著作權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 專門技術淨額,　　　　　 專門技術淨額,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　　 其他應付款－其他,　　　　　 其他非流動負債－其他,　　　　 庫存現金,　　　　 無活絡市場之債券債務工具投資-流動,　　　　 應收票據,　　　　 應收帳款,　　　　 其他應收款－其他,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　　 其他無形資產,　　　　 短期借款,　　　　　 短期借款合計,　　　　　 應付票據,　　　　　 應付帳款,　　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 其他長期借款,　　　　 負債準備-非流動,　　　　　 其他長期負債準備,　　　　　 負債準備－非流動合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 庫藏股票,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 其他長期負債準備,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待出售非流動資產,　　　　 銀行長期借款,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
2443,2015年09月30日,,,,                679892,,                296329,,                 59423,,                  7226,,                 78730,,                  7159,,                 82761,,                 11340,                197813,                209153,,                112237,              1532910,,,                 33449,,                356060,,                111390,,,                              0,,                              0,,                              0,,                              0,,                              0,                  5860,,                              0,,                  2238,                  8098,,                215522,                 77683,,                 17061,                310266,                819263,              2352173,,,,,                  2103,,                 54973,,                122389,                     12,,,                 10139,                 10076,                 20215,                199692,,,                 17336,,                 82300,                 99636,                299328,,,,              1456870,              1456870,,                134042,                    169,                134211,,                 62193,,                241975,                304168,,                 93992,              1989241,                              0,                 63604,              2052845,              2352173,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2015年06月30日,,,,                834789,,                194524,,                 58049,,                  8800,,                 35284,,                 14774,,                145660,,                 11326,                203757,                215083,,                 71609,              1578572,,,                 34403,,                396049,,                110611,,,,,,,,,,,,                  5860,,,,                  2782,                  8642,,                167062,                 80432,,                 15688,                263182,                812887,              2391459,,,,,                  1508,,                  5565,,                121535,                     10,,,                 10139,                 59017,                 69156,                197774,,,                 19871,,                 77275,                 97146,                294920,,,,              1456870,              1456870,,                134042,                    169,                134211,,                 62193,,                314475,                376668,,                 64977,              2032726,,                 63813,              2096539,              2391459,              0,              0,,                              0,                121535,                 77275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2015年03月31日,,,,                905692,,                233538,,                 58603,,                  2391,,                 28631,,                  8890,,                192217,,                 11332,,                 11332,,                304026,              1745320,,,                 36002,,                409492,,                113478,,,,,,,,,,,,                  5860,,,,                  2915,                  8775,,                101960,                 83481,,                 14178,                199619,                767366,              2512686,,,,,                  3870,,                  2598,,                125635,                 58005,,,                 10139,                 62666,                 72805,                262913,,,                 22405,,                 78125,                100530,                363443,,,,              1456870,              1456870,,                134042,                    169,                134211,,                 62193,,                357189,                419382,,                 73080,              2083543,                              0,                 65700,              2149243,              2512686,              0,              0,,,                125635,                 78125,                905692,                 58603,                  2391,                 28631,                  8890,,                192217,                  2915,,                              0,                  3870,                  2598,                 10139,                 22405,,                              0,                              0,,                 73080,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2014年12月31日,,,,              1412194,,                185750,,                 59483,,                    305,,                 26478,,                  3673,,                109902,,                 11341,                  8162,                 19503,,                 72911,              1890199,,,                 35052,,                444013,,                117022,,,                              0,,                              0,,                              0,,                              0,,                              0,                  5860,,                              0,,                  3196,                  9056,,                 56208,                 86746,,                 13992,                156946,                762089,              2652288,,,,,                    173,,                  6855,,                136022,                 59833,,,                 10139,                 63599,                 73738,                276621,,,                 24940,,                 79250,                104190,                380811,,,,              1456870,              1456870,,                134042,                    169,                134211,,                 62193,,                434841,                497034,,                114014,              2202129,                              0,                 69348,              2271477,              2652288,              0,              0,,                              0,                136022,                 79250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2014年09月30日,,,,              1373918,,                 27564,,                 51916,,                    227,,                 49795,,                  3773,,                 80412,,                 11314,                226727,                238041,,                 85896,              1911542,,,                 34791,,                450126,,                113621,,,                              0,,                              0,,                              0,,                              0,,                              0,                  5860,,                              0,,                  3297,                  9157,,                 23317,                 88586,,                 13445,                125348,                733043,              2644585,,,,,                  4685,,                  3031,,                 97918,                 60275,,,                 10139,                 49323,                 59462,                225371,,,                 27475,,                114263,                141738,                367109,,,,              1456870,              1456870,,                134042,                    169,                134211,,                 62193,,                448803,                510996,,                 83846,              2185923,                              0,                 91553,              2277476,              2644585,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2014年06月30日,,,,              1540633,,                 32442,,                 50966,,                     97,,                 66551,,                  4097,,                 23052,,                    564,                 23385,                 23949,,                 67632,              2008020,,,                 36355,,                400343,,                113269,,,,,,,,,,,,                              0,,,,                  1516,                  1516,,                 43321,                 20143,,                  5970,                 69434,                620917,              2628937,,,,,                  5442,,                 13005,,                126073,                 58462,,,                              0,                    163,                    163,                203145,,,                              0,,                112714,                112714,                315859,,,,              1456870,              1456870,,                134041,                    169,                134210,,                 62193,,                476926,                539119,,                 89176,              2219375,,                 93703,              2313078,              2628937,              0,              0,,                198601,                126073,                112714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2014年03月31日,,,,              1720450,,                 34962,,                 86826,,                    305,,                 48123,,                  2999,,                 17935,,                    575,,                    575,,                 78555,              1990730,,,                 35067,,                619799,,                117338,,,,,,,,,,,,                              0,,,,                    863,                    863,,                    113,                 21389,,                  3712,                 25214,                798281,              2789011,,,,,                  5260,,                  7869,,                105020,                 11912,,,                              0,                  4049,                  4049,                134110,,,                              0,,                116983,                116983,                251093,,,,              1456870,              1456870,,                 10265,                    169,                 10434,,                              0,,                611787,                611787,,                102112,              2181203,                              0,                356715,              2537918,              2789011,              0,              0,,,                105020,                116983,              1720450,                 86826,                    305,                 48123,                  2999,,                 17935,                    863,,                              0,                  5260,                  7869,                              0,                              0,,                              0,                              0,,                102112,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2013年12月31日,,,,,,                              0,,,,                    305,,                 50007,,                190181,,                 18053,,                    550,,                    550,,                 73412,              1943152,,,                 34546,,                619877,,                117555,,,,,,,,,,,,                              0,,,,                    873,                    873,,                  2092,                 22221,,                 41178,                 65491,                838342,,,,,                    444,,                 11249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              1524943,,                    305,                 50007,                190181,,                 18053,                    873,,,,,,,,,,,,,              0,              1524943,                 85701,                 85701,              2781494,,,,                              0,,                    444,,                 11249,,                132680,                132680,                 13092,,,                              0,                              0,                  3990,                  3990,                161455,,,                              0,                              0,,                              0,                              0,,                107160,                107160,                107160,                268615,,,,              1456870,              1456870,,                 10265,                    169,                 10434,,                              0,,                621926,                621926,,,                 76285,                 76285,                              0,              2165515,                347364,              2512879,,,,
2443,2013年09月30日,,,,,,                              0,,,,                    297,,                116099,,                  4181,,                 41572,,                  1135,,                  1135,,                 89814,              1709482,,,                 32804,,                593099,,                117371,,,                              0,,,,,,,,,                              0,,,,                    778,                    778,,,                 22065,,                 42811,                 64876,                808928,,,,,                  4539,,                 20766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                234285,,,              1083204,,                    297,                116099,                  4181,,                 41572,                    778,,,,,,,,,,,,,              0,              1083204,                138895,                138895,              2518410,,,,,,                  4539,,                 20766,,                 66238,                 66238,                     91,,,                 18000,                 18000,                270157,                288157,                379791,,,,                 25500,,                448368,                448368,,                              0,                              0,                473868,                853659,,,,              1456870,              1456870,,                              0,                    169,                 10434,,                              0,,                -64048,                -64048,,,                 44803,                 44803,                              0,              1448059,                216692,              1664751,                234285,                 25500,                 10265,
2443,2013年06月30日,,,,,,                  1732,,,,                              0,,                 96008,,                 24304,,                 37154,,                  1141,,                  1141,,                121412,              1288601,,,                 30807,,                764776,,                120210,,,,,,,,,,,,,,,,,                    812,,,                 44799,,                 35538,                 80337,                996942,,,,,                  1172,,                 19465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,,,                762222,,                              0,                 96008,                 24304,,                 37154,,,,,,,,,,,,,,              0,                762222,                244628,                244628,              2285543,,,,                              0,,                  1172,,                 19465,,                109191,                109191,                     24,,,,                 18000,                    439,                 18439,                148291,,,,                 31500,,                456760,                456760,,                     10,                     10,                488270,                636561,,,,              3540370,              3540370,,                              0,                    169,                 10434,,                              0,,             -2152394,             -2152394,,,                 40362,                 40362,                              0,              1438772,                210210,              1648982,,                 31500,                 10265,
