證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 非控制權益,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　　 存出保證金,　　　　 預付投資款,　　　　 長期預付租金,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
6117,2015年09月30日,,,,                492155,,                100077,,                     50,,                369306,,                 54477,,                  6143,,                594529,,                 44531,,                  5662,              1666930,,,                 24254,,              1464715,,                  5699,                 77585,,                 46698,              1618951,              3285881,,,,,                824441,,                179720,,                321727,,                147894,                              0,,                 11379,              1485161,,,                  2392,,                 37543,                  2544,                              0,                 40087,                 42479,              1527640,,,,                886500,                886500,,                560689,,                223090,,                 44997,                268087,,                 42965,                              0,              1758241,              1758241,              3285881,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117,2015年06月30日,,,,                491381,,                 38578,,                  1523,,                350105,,                 34352,,                      7,,                517451,,                 50296,,                 11683,              1495376,,,                 23468,,              1479216,,                  6202,                 71819,,                 49774,              1630479,              3125855,,,,,                827769,,                120922,,                189924,,                164411,                    748,,                  7168,              1310942,,,                  1724,,                 38981,                  2488,                     25,                 41494,                 43218,              1354160,,,,                886500,                886500,,                560689,,                223090,,                 88449,                311539,,                 12967,                              0,              1771695,              1771695,              3125855,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117,2015年03月31日,,,,                580607,,                 38662,,                  3058,,                384970,,                 21810,,,,                579319,,                 41934,,                 14396,              1664756,,,                 50910,,              1510325,,                  6836,                 53165,,                 43489,              1664725,              3329481,,,,,                910776,,                138221,,                200212,,                118831,                  6636,,                  6780,              1381456,,,                  1416,,                 40346,                  2511,                      8,                 42865,                 44281,              1425737,,,,                886500,                886500,,                560689,,                219292,,                193193,                412485,,                 44070,,              1903744,              1903744,              3329481,              0,              0,              0,,,                 43489,,                              0,                  6780,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117,2014年12月31日,,,,                701448,,                              0,,                  4062,,                422515,,                 17413,,                              0,,                584088,,                 62402,,                  5418,              1797346,,,                 50910,,              1542873,,                  7097,                 48355,,                 45345,              1694580,              3491926,,,,,                881685,,                170159,,                251723,,                152854,                  6638,,                  6751,              1469810,,,                    476,,                 41412,                  2547,                  1238,                 45197,                 45673,              1515483,,,,                886500,                886500,,                560689,,                219292,,                246405,                465697,,                 63557,                              0,              1976443,              1976443,              3491926,              0,              0,              0,                              0,,                 45345,,                              0,                  6751,                              0,                701448,              3491926,,,,                881685,,                170159,,                251723,,                152854,                  6638,,,                              0,                  6751,                  6751,              1469810,,,                              0,,                    476,,                 41412,                  2547,                  1238,                 45197,                 45673,              1515483,,,,                886500,                886500,,                560689,,                219292,                              0,,                246405,                465697,,                 63557,                              0,              1976443,                              0,              1976443,,,,,,,,,
6117,2014年09月30日,,,,                730330,,                              0,,                  2232,,                535870,,                 31142,,                              0,,                637723,,                 29310,,                  5110,              1971717,,,                 50910,,              1536997,,                  7559,                 46824,,                 44740,              1687030,              3658747,,,,,                852470,,                187559,,                423449,,                176335,                  5001,,                 13412,              1658226,,,                    599,,                 42437,                  2439,                    964,                 45840,                 46439,              1704665,,,,                886500,                886500,,                560689,,                219292,,                267374,                486666,,                 20227,                              0,              1954082,              1954082,              3658747,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117,2014年06月30日,,,,                846628,,                              0,,                  4957,,                620539,,                 35278,,                              0,,                642041,,                 26195,,                  5282,              2180920,,,                 29720,,              1531136,,                  8300,                 45885,,                 45252,              1660293,              3841213,,,,,                839296,,                242677,,                548916,,                185087,                 15008,,                 10860,              1841844,,,                     70,,                 43355,                    197,                    874,                 44426,                 44496,              1886340,,,,                886500,                886500,,                560689,,                219292,,                284078,                503370,,                  4314,                              0,              1954873,              1954873,              3841213,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117,2014年03月31日,,,,                770879,,                              0,,                    603,,                618202,,                 35493,,,,                588943,,                 57817,,                  5672,              2077609,,,                 29720,,              1573760,,                  8704,                 48408,,                 52480,              1713072,              3790681,,,,,                853665,,                213787,,                509782,,                148631,                 19530,,                 43196,              1788591,,,                    408,,                 44365,                    199,                  1003,                 45567,                 45975,              1834566,,,,                886500,                886500,,                560689,,                217245,,                100827,                483584,,                 25342,,              1956115,              1956115,              3790681,              0,              0,              0,,,                 52480,,                 35750,                  7446,                165512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6117,2013年12月31日,,,,,,,,                    563,,                525423,,                 22899,,,,                556913,,                 80189,,                  5597,              1978402,,,                 29720,,              1586276,,                  9198,                 49062,,                 50044,              1724300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 50044,,,,,                786818,              3702702,,,,                837789,,                216942,,                471421,,                162166,                 11465,,,                 35750,                  4849,                 40599,              1740382,,,                  8938,,                    319,,                 45327,                    198,                    392,                 45917,                 55174,              1795556,,,,                886500,                886500,,                560689,,                217245,                165512,,                 67021,                449778,,                 10179,                              0,              1907146,                              0,              1907146,,                              0,,,,,,,
6117,2013年09月30日,,,,,,                    325,,                    563,,                489953,,                 33465,,,,                583498,,                 47809,,                  5424,              1822678,,,                 29720,,              1599348,,                 10502,                 57343,,                 44461,              1741374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 44461,,,,,                661641,              3564052,,,,                832478,,                169378,,                382544,,                180709,                  8820,,,                 35750,                 10505,                 46255,              1620184,,,                 17875,,                     59,,                 58458,                    912,                    306,                 59676,                 77610,              1697794,,,,                886500,                886500,,                560689,,                217245,                165512,,                 41999,                424756,,                 -5687,                              0,              1866258,,              1866258,,,,,,,,,
6117,2013年06月30日,,,,,,                     27,,                  1236,,                569058,,                 33725,,,,                642601,,                 48564,,                  4087,              2029558,,,                 29720,,              1640002,,                 11613,                 57788,,                 43019,              1782142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,                730260,              3811700,,,,                822287,,                255856,,                507010,,                187978,                  7978,,,                 35750,                  7351,                 43101,              1824210,,,                 26813,,                    303,,                 58458,                  1048,                    332,                 59838,                 86954,              1911164,,,,                886500,                886500,,                560689,,                217245,                165512,,                 67521,                450278,,                  3069,                              0,              1900536,                              0,              1900536,,,,,,,,,
