證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
2349,2015年09月30日,,,,              2429836,,                115928,,                  9800,,                249742,,                 41922,,              2200094,,                  3414,,              3420962,,                 10500,,              1057932,              9540130,,,                548222,,                392958,,                 31000,,                182746,,             18787992,,                548515,,              1099264,              1240944,,,                    189,,                470932,                471121,             23302762,             32842892,,,,,              2522499,,                 13498,,                  2985,,                157254,,                 26446,,              1224729,,                 17341,,                624223,                 11866,,,              2544046,                304923,              2848969,              7449810,,,              3816600,,                  5450,,                193346,                 92573,                285919,              4107969,             11557779,,,,             26129274,             26129274,,                666189,,,             -7583643,             -7583643,,                -14542,              2588828,             16608450,              4676663,             21285113,             32842892,              0,              0,     42957903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2015年06月30日,,,,              2632713,,                135356,,                 10140,,                308474,,                 31906,,              2090512,,                  7900,,              3330287,,                 13800,,              1336002,              9897090,,,                643847,,                392958,,                 31000,,                186263,,             18888366,,                551949,,              1120470,              1280099,,,                    189,,                476984,                477173,             23572125,             33469215,,,,,              2629046,,                 17480,,                  1503,,                182535,,                 31309,,              1225793,,                  9970,,                597317,,,,              2857904,                241841,              3099745,              7794698,,,              3775421,,                    741,,                194753,                 92429,                287182,              4063344,             11858042,,,,             26129274,             26129274,,                653555,,,             -6989592,             -6989592,,               -338979,              2588828,             16865430,              4745743,             21611173,             33469215,              0,              0,     42957903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2015年03月31日,,,,              2453978,,                 81922,,                 10500,,                330207,,                 37748,,              2359516,,                     80,,              3476915,,                 13800,,                725557,              9490223,,,                895723,,                409743,,                 31000,,                238809,,             20443037,,                329219,,              1141372,              1306330,,,                    189,,                496279,                496468,             25291701,             34781924,,,,,              3291540,,                 61981,,                              0,,                181729,,                 32310,,              1381145,,                 14761,,                638929,,,,              2446307,                278103,              2724410,              8326805,,,              4491669,,                    330,,                196280,                 89341,                285621,              4777620,             13104425,,,,             26129274,             26129274,,                708363,,,             -7149622,             -7149622,,               -238109,              2588828,             16861078,              4816421,             21677499,             34781924,              0,              0,     42957903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2014年12月31日,,,,              2452018,,                 79501,,                 10200,,                279788,,                 47381,,              2383879,,                 63819,,              3748854,,                              0,,                620587,              9686027,,,              1017957,,                409743,,                 31000,,                250569,,             21015739,,                332908,,              1171978,              1359070,,,                    189,,                525379,                525568,             26114532,             35800559,,,,,              3508217,,                 79994,,                              0,,                205627,,                 33761,,              1396763,,                 18209,,                839898,                              0,,,              2465083,                188381,              2653464,              8735933,,,              4327239,,                 15517,,                197919,                 73249,                271168,              4613924,             13349857,,,,             26129274,             26129274,,                702648,,,             -6425930,             -6425930,,               -179779,              2588828,             17637385,              4813317,             22450702,             35800559,              0,              0,     42957903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2014年09月30日,,,,              2742301,,                142630,,                 10300,,                251333,,                 21369,,              2025789,,                  1003,,              3975633,,                              0,,                847738,             10018096,,,              1063986,,                433009,,                 31000,,                275298,,             21595177,,                336461,,              1193318,              1490058,,,                    189,,                410074,                410263,             26828570,             36846666,,,,,              3583040,,                 79795,,                    341,,                193641,,                 39277,,              1396056,,                  9812,,                639047,                              0,,,                938643,                162825,              1101468,              7042477,,,              6203314,,                  1234,,                188204,                 29743,                217947,              6422495,             13464972,,,,             26154274,             26154274,,                676232,,,             -5500559,             -5500559,,               -387515,              2597373,             18345059,              5036635,             23381694,             36846666,              0,              0,     45457903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2014年06月30日,,,,              2962218,,                240161,,                 10380,,                251463,,                 26319,,              1848915,,                  3185,,              3658394,,                143275,,                657534,              9801844,,,              1159087,,                418354,,                 31000,,                254522,,             22043819,,                340929,,              1221559,              1533250,,,                    189,,                427101,                427290,             27429810,             37231654,,,,,              3389602,,                 79841,,                  1121,,                217743,,                 40490,,              1356730,,                  8800,,                680785,,,,              1084107,                230681,              1314788,              7089900,,,              5955772,,                    681,,                189206,                 29486,                218692,              6175145,             13265045,,,,             26154274,             26154274,,                673210,,,             -4886204,             -4886204,,               -512839,              2597373,             18831068,              5135541,             23966609,             37231654,              0,              0,     45457903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2014年03月31日,,,,              3417985,,                 73860,,                 10500,,                263170,,                 14350,,              2173970,,                  4383,,              3709460,,                143275,,                658506,             10469459,,,              1319685,,                418354,,                 31000,,                266115,,             22807989,,                344477,,              1239019,              1590714,,,                    189,,                486965,                487154,             28504507,             38973966,,,,,              3575959,,                 79886,,                  5422,,                266730,,                 22151,,              1411395,,                 27173,,                668089,,,,              1086227,                212428,              1298655,              7355460,,,              6047587,,                  1591,,                189324,                 23488,                212812,              6261990,             13617450,,,,             26154274,             26154274,,              1810507,,,             -5088224,             -5088224,,               -252313,              2597373,             20026871,              5329645,             25356516,             38973966,              0,              0,     45457903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2013年12月31日,,,,,,                196445,,                 10425,,,,                 35340,,              2386519,,                  6422,,              4068678,,                143275,,                619314,             11266702,,,                780907,,                420886,,,,                272220,,             23553120,,                346936,,              1273507,              1620387,,,                    189,,                529809,                529998,             28828961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     45457903,              3582012,                218272,                 31000,             40095663,,,,              3819489,,                 79818,,                 11610,,                283397,,                 41299,,              1478594,,                 16847,,                845298,                     29,,,              1697533,                338530,              2036063,              8612444,,,              5163879,,                    650,,                187817,                 37299,                225116,              5389645,             14002089,,,,             26154274,             26154274,,              1804423,,,             -4234065,             -4234065,,               -378129,              2597373,             20749130,              5344444,             26093574
2349,2013年09月30日,,,,,,                223303,,                              0,,,,                 43344,,              2511950,,                  7016,,              4567284,,                              0,,                746941,             11615575,,,                509261,,                385348,,,,                283848,,             24089252,,                350632,,              1295201,              1825868,,,                    189,,                469340,                469529,             29241939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     45457903,              3315365,                200372,                 33000,             40857514,,,,              4138215,,                279716,,                    166,,                345961,,                 51982,,              1585533,,                 14847,,                665308,                  1127,,,              1836963,                263047,              2100010,              9182865,,,              4691780,,                  2982,,                170715,                 34189,                204904,              4899666,             14082531,,,,             26154274,             26154274,,              1818845,,,             -2964941,             -2964941,,               -829668,              2597373,             21581137,              5193846,             26774983
2349,2013年06月30日,,,,,,                288784,,                              0,,,,                 57282,,              2690786,,                  6627,,              4765827,,                              0,,                799191,             12489628,,,                593628,,                355373,,,,                290585,,             24756954,,                354536,,              1321177,              1824771,,,                    189,,                526436,                526625,             30059149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     45457903,              3680166,                200965,                 35500,             42548777,,,,              4424260,,                289777,,                  1366,,                267435,,                 73330,,              1614144,,                 15646,,                915034,                 20435,,,              2003035,                131339,              2134374,              9755801,,,              4977583,,                  1375,,                172354,                 41455,                213809,              5192767,             14948568,,,,             26154274,             26154274,,              1801136,,,             -2389008,             -2389008,,               -651397,              2597373,             22317632,              5282577,             27600209
