證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 本期所得稅負債,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
5521,2015年09月30日,,,,                915637,,                              0,,              1663074,              2084699,,                 84537,,                 12436,,                908592,,                312352,,              1156462,              7137789,,,                 82383,,                 43309,,                883707,,                189707,                 44676,,                228183,              1471965,              8609754,,,,,              1433898,,                              0,,                503996,,              1211846,                153634,,                 15527,,                 10011,,                869747,              4198659,,,                121803,,                 45497,,                 21697,,                102378,                291375,              4490034,,,,              3475274,              3475274,,,                310362,                310362,,                218565,                  1872,,                  2442,                222879,,,                 39346,,                 24154,                 63500,              4072015,                 47705,              4119720,              8609754,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,2015年06月30日,,,,              1687507,,                              0,,              1253596,              1660069,,                 99819,,                 12357,,                860958,,                326314,,              1455097,              7355717,,,                 82383,,                 41770,,                900758,,                190300,                 37656,,                200150,              1453017,              8808734,,,,,              1596288,,                              0,,                453187,,              1248435,                156510,,                 17767,,                  1082,,                969201,              4442470,,,                 63641,,                 54454,,                 21821,,                101887,                241803,              4684273,,,,              3475274,              3475274,,,                310362,                310362,,                218565,                  1872,,                 36008,                256445,,,                 10217,,                 24154,                 34371,              4076452,                 48009,              4124461,              8808734,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,2014年12月31日,,,,              1495854,,                 40735,,              1296061,              1509792,,                 88401,,                 11767,,                795972,,                403797,,              1665821,              7308200,,,                 96055,,                 43139,,                941509,,                191501,                 55507,,                515869,              1843580,              9151780,,,,,                989538,,                228674,,                937429,,              1116968,                342383,,                 26298,,                  3541,,              1052720,              4697551,,,                216879,,                 54460,,                 21704,,                 98428,                391471,              5089022,,,,              3475274,              3475274,,,                310362,                310362,,                218565,                  1872,,                -53735,                166702,,,                 23345,,                 37826,                 61171,              4013509,                 49249,              4062758,              9151780,              0,              0,              0,                              0,              1495854,                 11767,              9151780,,,,                989538,,                228674,,                937429,,              1116968,                342383,,                 26298,                              0,,                  3541,,              1052720,              4697551,,,                216879,,                 54460,,                 21704,,                 98428,                391471,              5089022,,,,              3475274,              3475274,,,                310362,                310362,,                218565,                  1872,,                -53735,                166702,,,                 23345,,                 37826,                 61171,              4013509,                 49249,              4062758,,,
5521,2014年09月30日,,,,                943616,,                              0,,              2018670,              1468623,,                181774,,                 11663,,                713695,,                424379,,              2188460,              7950880,,,                103621,,                 42033,,                750717,,                199016,                 59650,,                521909,              1676946,              9627826,,,,,                959100,,                228657,,                492578,,              1550127,                501616,,                265983,,                  2459,,              1004350,              5004870,,,                428276,,                 54492,,                 23092,,                 76670,                582530,              5587400,,,,              3475274,              3475274,,,                310362,                310362,,                218565,                  1872,,                -65549,                154888,,,                  4304,,                 45392,                 49696,              3990220,                 50206,              4040426,              9627826,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,2014年06月30日,,,,                727504,,                              0,,              2113961,              1838008,,                177229,,                              0,,                696575,,                447921,,              2058608,              8059806,,,                127081,,                 40914,,                657795,,                199624,                 55135,,                444859,              1525408,              9585214,,,,,              1259100,,                228668,,                368342,,              1562190,                522873,,                397812,,                  2459,,                945750,              5289625,,,                118710,,                 54521,,                 23492,,                 72105,                268828,              5558453,,,,              3475274,              3475274,,,                310362,                310362,,                218565,                  1872,,                -51807,                168630,,,                 -6927,,                 48852,                 41925,              3996191,                 30570,              4026761,              9585214,              0,              0,              0,                  2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,2014年03月31日,,,,,,,,              1829627,              1624740,,                174496,,,,                689856,,                461132,,              2295204,              7928055,,,                121299,,                 41734,,                668618,,                200232,                 21296,,                454035,              1507214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                853000,,              9435269,,,,              1259100,,                228574,,                338153,,              1429462,                522104,,                 25717,                 15803,,                  2459,,                607247,              4428619,,,                551327,,                 62270,,                 23188,,                 70906,                707691,              5136310,,,,              3475274,              3475274,,,                310362,                310362,,                209008,                  4079,,                222934,                436021,,,                  3006,,                 43070,                 46076,              4267733,                 31226,              4298959,,                              0,                              0
5521,2013年12月31日,,,,,,                              0,,              1518516,              1653516,,                182532,,,,                690994,,                485480,,              2148087,              7824811,,,                121299,,                 41999,,                681956,,                200839,                 21344,,                359171,              1426608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1145686,                              0,              9251419,,,,              1179100,,                228602,,                809492,,              1167954,                528729,,                 32054,                 15881,,                  2459,,                709472,              4673743,,,                148175,,                 62275,,                 21313,,                 71829,                303592,              4977335,,,,              3475274,              3475274,,,                310362,                310362,,                209008,                  4079,,                203622,                416709,,,                 -2911,,                 43070,                 40159,              4242504,                 31580,              4274084,,                              0,                              0
5521,2013年09月30日,,,,,,,,              1421702,              1505915,,                183713,,,,                698553,,                506023,,              2390993,              7565101,,,                 97905,,                 43110,,                698676,,                205801,                 19403,,                340825,              1405720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                858032,                              0,              8970821,,,,              1179100,,                228664,,                375610,,              1283340,                575596,,                 78352,                  1632,,                              0,,                688618,              4410912,,,                222573,,                 54686,,                 14758,,                 75389,                367406,              4778318,,,,              3475274,              3475274,,,                310362,                310362,,                209008,                  4079,,                144953,                358040,,,                 -6450,,                 19676,                 13226,              4156902,                 35601,              4192503,,                    170,
5521,2013年06月30日,,,,,,,,              1314367,              1362503,,                184033,,,,                695796,,                504525,,              2310552,              7498977,,,                 97905,,                              0,,                699423,,                206410,                 19507,,                325848,              1349093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1127031,,              8848070,,,,              1129100,,                228664,,                181169,,              1260467,                667737,,                134088,                  5766,,                              0,,                581980,              4188971,,,                331950,,                 54686,,                 16702,,                 73878,                477216,              4666187,,,,              3475274,              3475274,,,                310362,                310362,,                209008,                  4079,,                126367,                339454,,,                     22,,                 19676,                 19698,              4144788,                 37095,              4181883,,                    170,
5521,2013年03月31日,,,,,,,,              1341166,              1197463,,                183068,,,,                702212,,                543210,,              2314793,              7535055,,,                115925,,                              0,,                601219,,                207018,                 19403,,                408509,              1352074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1252973,,              8887129,,,,              1129100,,                228630,,                191121,,              1259739,                660996,,                 27726,                  9937,,                              0,,                439398,              3946647,,,                474522,,                 56783,,                 17045,,                 94689,                643039,              4589686,,,,              3475274,              3475274,,,                310362,                310362,,                196105,                  1872,,                242819,                440796,,,                 -4313,,                 37696,                 33383,              4259815,                 37628,              4297443,,                    170,                              0
