證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 模具設備淨額,　　　　　 模具設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 員工福利負債準備－非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 非控制權益,　　 待註銷股本股數,　　　　 淨確定福利資產-非流動,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 員工福利負債準備－非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 預付投資款,　　　　 存入保證金,　　　　 預收股本,　　　　 資本公積－其他,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　 非控制權益,　　 共同控制下前手權益,　　　　 辦公設備淨額,　　　　　 辦公設備淨額
4935,2015年09月30日,,,,              2537120,,                 82572,,              2064397,,                129936,,                 12382,,                              0,,                598329,,                104843,,                366656,                  1402,                368058,              5897637,,,                225464,,,                167176,,                791726,,                873599,,                     59,,                132864,,                 36737,                534747,              2536908,                 53414,,                  2439,                  8703,,                 11604,                 11604,                 60387,,                  6709,                  6709,                 89842,              2905628,              8803265,,,,,                824451,,                      6,,              1290484,,                131539,,                315117,                  9844,                 41883,,                 24803,,                  8975,                  8975,              2647102,,,                  4561,                  4561,,                    692,,                103553,                              0,                103553,                108806,              2755908,,,,              1396501,                              0,              1396501,,              2534763,,,              2028925,              2028925,,,                417680,                417680,                417680,                330512,              6047357,              6047357,              8803265,              0,     10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,2015年06月30日,,,,              2321679,,                149898,,              1842596,,                139838,,                 12655,,                  9178,,                731952,,                103962,,                512349,                  3512,                515861,              5827619,,,                220276,,,                167173,,                790111,,                886095,,                    109,,                131155,,                 34381,                223456,              2232480,                 51485,,                              0,                  6200,,                 11604,                 11604,                 59369,,                  3873,                  3873,                 81046,              2585287,              8412906,,,,,                678920,,,,              1300044,,                124807,,                510773,                  1957,                 35753,,                 21808,,                 33043,                 33043,              2707105,,,                  4403,                  4403,,                    658,,                102467,,                102467,                107528,              2814633,,,,              1395751,,              1395751,,              2533613,,,              1707645,              1707645,,,,                291776,                291776,                330512,              5598273,              5598273,              8412906,              0,     10000000,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,2015年03月31日,,,,              2203484,,                138116,,              1701444,,                 78146,,                 12189,,,,                705971,,                 99067,,                481562,                  2011,                483573,              5421990,,,                228581,,,,,,,,,,,,,,,              2179504,                 50884,,                 24055,                  6204,,                 11604,                 11604,                 60316,,,,                105847,              2564816,              7986806,,,,,                563400,,,,              1160890,,                122960,,                220877,                  5824,                 35069,,                 20541,,                  8905,                  8905,              2138466,,,                  4245,                  4245,,                    623,,                104763,,                104763,                109631,              2248097,,,,              1395751,,              1395751,,              2533466,,,              1810930,              1810930,,,,                329074,                329074,                330512,              5738709,              5738709,              7986806,              0,     10000000,                              0,              0,                  3668,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,2014年12月31日,,,,              1986042,,                 65734,,              1970092,,                  3417,,                120577,,                              0,,                695120,,                157257,,                261206,                    415,                261621,              5259860,,,                225838,,,                167178,,                824436,,              1001504,,                    338,,                135387,,                 38454,                102416,              2269713,                 59032,,                  3571,                  6208,,                 20304,                 20304,                 61608,,                  3451,                  3451,                 95142,              2649725,              7909585,,,,,                427275,,                              0,,              1260683,,                135962,,                250407,                  5794,                 43374,,                 23978,,                 10102,                 10102,              2157575,,,                  4086,                  4086,,                    587,,                107675,                              0,                107675,                112348,              2269923,,,,              1394251,                              0,              1394251,,              2530522,,,              1667485,              1667485,,,                377916,                377916,                377916,                330512,              5639662,              5639662,              7909585,              0,     10000000,                              0,              0,                  3451,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,2014年09月30日,,,,              1711124,,                 66960,,              1831876,,                  2855,,                 93945,,                  6608,,                713130,,                168293,,                160691,                     83,                160774,              4755565,,,                223614,,,                167175,,                810914,,              1028022,,                    726,,                130110,,                 39613,                 88501,              2265061,                 62904,,                  3003,                  7696,,                 11604,                 11604,                 59261,,                  4888,                  4888,                 86452,              2638031,              7393596,,,,,                453258,,                              0,,              1066203,,                137775,,                258190,                  7668,                 25197,,                 19127,,                  8769,                  8769,              1976187,,,                  4810,                  4810,,                  1367,,                104207,                    609,                104816,                110993,              2087180,,,,              1387521,                    614,              1388135,,              2518755,,,              1510408,              1510408,,,                219630,                219630,                219630,                330512,              5306416,              5306416,              7393596,         61400,     10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,2014年06月30日,,,,              1692588,,                 76674,,              1616413,,                 36071,,                100071,,                              0,,                692913,,                194246,,                242695,                    281,                242976,              4651952,,,                216351,,,                167175,,                808342,,                878357,,                    848,,                129099,,                 42633,                251795,              2278249,                 69015,,                  2824,                  7669,,                 11539,                 11539,                 58540,,                  4981,                  4981,                 85553,              2649168,              7301120,,,,,                552503,,,,              1070746,,                102844,,                336652,                  7349,                 25498,,                 15516,,                 17720,                 17720,              2128828,,,                  4631,                  4631,,                    786,,                103557,,                103557,                108974,              2237802,,,,              1387331,,              1387331,,              2518022,,,              1331287,              1331287,,,,                157190,                157190,                330512,              5063318,              5063318,              7301120,              0,     10000000,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,2014年03月31日,,,,              1568967,,                 32239,,              1579739,,                 86651,,                 88595,,,,                765592,,                154260,,                311808,                    254,                312062,              4588105,,,                220558,,,,,,,,,,,,,,,              2345467,                 57541,,                 10246,                  5705,,                 11534,                 11534,                 60103,,,,                 92012,              2715578,              7303683,,,,,                441815,,,,              1094140,,                119700,,                241365,                  5691,                 30679,,                 14695,,                 15385,                 32052,              1980137,,,                  4452,                  4452,,                    595,,                106949,,                106949,                170328,              2150465,,,,              1387331,,              1387331,,              2517466,,,              1355146,              1355146,,,,                223787,                223787,                330512,              5153218,              5153218,              7303683,              0,     10000000,                              0,              0,                  4424,,                 16667,,                 58332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,2013年12月31日,,,,,,                 19842,,              1503509,,                 63894,,                 83371,,,,                711398,,                137829,,                318843,                    650,                319493,              4345164,,,                216785,,,                167173,,                832596,,                888702,,                    507,,                130363,,                 44306,                288221,              2351868,                 36489,,                 12026,                  6089,,                  2834,                  2834,                 59689,,                  4045,                  4045,                 84683,              2689825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5614000,,              0,,,,,,              1505828,              7034989,,,,                312953,,                938342,,                 94030,,                324316,                  6148,                 24078,,                 19706,,,                 16667,                 14417,                 31084,              1750657,,,                 62498,,                  4273,                  4273,,                  1660,,                106828,                106828,                175259,              1925916,,,,              1387331,              1387331,,              2516463,,,              1215195,              1215195,,,                176026,                176026,                176026,                185942,              5109073,              5109073,,,,,,,,,,,,,,
4935,2013年09月30日,,,,,,                  1080,,              1506537,,                 75711,,                 75605,,                              0,,                744340,,                173179,,                247700,                    213,                247913,              4733798,,,                117098,,,                167175,,                834284,,                917496,,                    665,,                129028,,                 44681,                182441,              2275770,                 39676,,                 17374,                  6092,,                 12834,                 12834,                 59086,,                  4982,                  4982,                208168,              2640712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,,,,,              1909433,              7374510,,,,                630432,,                984828,,                101548,,                201341,                  5371,                 23602,,                 22473,,,                 16667,                 19524,                 36191,              2005786,,,                 66666,,                  5255,                  5255,,                  1640,,                106350,                106350,                179911,              2185697,,,,              1387331,              1387331,,              2514934,,,              1160613,              1160613,,,                125935,                125935,                125935,                              0,              5188813,              5188813,                107800,                              0,                              0,              2514934,,,,,,,,,,
4935,2013年06月30日,,,,,,                  2001,,              1372166,,                 63214,,                 77031,,,,                697422,,                142679,,                162655,                    337,                162992,              4237305,,,                107627,,,                167173,,                851071,,                961108,,                  1586,,                131166,,                 48068,                 88671,              2248843,                 38649,,                105550,                  5236,,                 12834,                 12834,                 60009,,                  4673,                  4673,                296102,              2691221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,,,,,              1719800,              6928526,,,,                450000,,                597060,,                 72931,,                372518,                 10990,                 24782,,                 18071,,,                 31666,                 13488,                 45154,              1591506,,,                 70832,,,                  5030,,                  1968,,                108617,                108617,                186447,              1777953,,,,              1387331,              1387331,,              2513948,,,              1087549,              1087549,,,,                161745,                161745,                              0,              5150573,              5150573,                107800,,,,,                              0,,                              0,                              0,                              0,                              0,,,
