證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 長期借款,　　　　　 長期借款合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3032,2015年09月30日,,,,                391996,,                              0,,                 69746,,                  3657,,              1041341,,                 65311,,                601829,,                227576,,                 92201,                  3878,                 96079,              2497535,,,                 68041,,                              0,,,                509811,                509811,,                 60314,,                 13366,                 17120,,                 28455,                  3872,,                  8435,                 40762,                709414,              3206949,,,,,                185000,,                100000,,                  1851,,                    851,,                731137,,                199897,                199897,                 16908,,                  2225,,,                              0,                              0,                124629,                124629,              1362498,,,                  7708,,                 17330,                  2149,                 19479,                 27187,              1389685,,,,              1032856,              1032856,,                139493,,                225433,                103094,,                238455,                566982,,                 63708,                              0,              1803039,                 14225,              1817264,              3206949,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,2015年06月30日,,,,                349787,,                    660,,                 89544,,                  3562,,                757848,,                 82760,,                604742,,                177234,,                 82421,                  5400,                 87821,              2153958,,,                 63880,,                              0,,,                507014,                507014,,                 60541,,                 14009,                 17409,,                 29081,                  3806,,                  7646,                 40533,                703386,              2857344,,,,,                 95000,,,,                              0,,                  1454,,                514729,,                389539,                389539,                 24506,,                  2136,,,                              0,                              0,                110843,                110843,              1138207,,,                  5759,,                 17330,                  2049,                 19379,                 25138,              1163345,,,,              1032856,              1032856,,                139493,,                225433,                103094,,                151813,                480340,,                 28262,                              0,              1680951,                 13048,              1693999,              2857344,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,2014年12月31日,,,,                385218,,                              0,,                 95537,,                  1230,,                872933,,                 89512,,                572142,,                109589,,                 73856,                  4553,                 78409,              2204570,,,                 65516,,                              0,,,                528178,                528178,,                 60994,,                 15410,                 16391,,                 30926,                  5096,,                  5810,                 41832,                728321,              2932891,,,,,                 70000,,                              0,,                  1964,,                    584,,                621411,,                184525,                184525,                 42555,,                  5903,,,                  4166,                  4166,                115778,                119944,              1046886,,,                  5156,,                 17296,                  2014,                 19310,                 24466,              1071352,,,,              1032856,              1032856,,                139493,,                204113,                103094,,                291160,                598367,,                 76101,                              0,              1846817,                 14722,              1861539,              2932891,              0,              0,              0,,                              0,,                              0,                385218,              2932891,,,,                 70000,,                  1964,,                    584,,                621411,,                184525,                184525,                 42555,,                  5903,,,                  4166,                  4166,                115778,                119944,              1046886,,,                              0,,                  5156,,                 17296,                  2014,                 19310,                 24466,              1071352,,,,              1032856,              1032856,,                139493,,                204113,                103094,,                291160,                598367,,                 76101,                              0,              1846817,                 14722,              1861539
3032,2014年09月30日,,,,                342449,,                  1266,,                 94447,,                  6367,,                777189,,                 39543,,                573829,,                 88530,,                 69120,                 11871,                 80991,              2004611,,,                              0,,                 62970,,,                513511,                513511,,                 61221,,                 16028,                 16222,,                 38442,                  5140,,                  8188,                 51770,                721722,              2726333,,,,,                 70000,,                              0,,                    308,,                  1723,,                525869,,                181860,                181860,                 28512,,                  3543,,,                 33333,                 33333,                 96755,                130088,                941903,,,                 11105,,                 17559,                  1879,                 19438,                 30543,                972446,,,,              1032856,              1032856,,                139493,,                204113,                103094,,                241274,                548481,,                  9281,                              0,              1730111,                 23776,              1753887,              2726333,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,2014年06月30日,,,,                403253,,                              0,,                 89390,,                  1821,,                697309,,                 71507,,                611247,,                164654,,                 63185,                  5424,                 68609,              2107790,,,                              0,,                 66455,,,                495751,                495751,,                 61448,,                 15717,                 16276,,                 18726,                  5009,,                  7999,                 31734,                687381,              2795171,,,,,                 40000,,,,                    165,,                  2150,,                635884,,                219202,                219202,                 27652,,                  3497,,,                 57500,                 57500,                 90618,                148118,              1076668,,,                 11364,,                 17463,                  1796,                 19259,                 30623,              1107291,,,,              1032856,              1032856,,                139493,,                204113,                103094,,                201068,                508275,,                -17663,                              0,              1662961,                 24919,              1687880,              2795171,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,2014年03月31日,,,,,,                              0,,                 91349,,                  1961,,                657749,,                 55974,,                576291,,                159690,,                 92887,                  2882,                 95769,              2034814,,,,,                 70307,,,                508564,                508564,,                 61674,,                 16389,                 16070,,                  8807,                  4793,,                  8130,                 21730,                694734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                396031,              2729548,,,,                 40000,,                  5202,,                  2036,,                592891,,                137365,                137365,                 24557,,                  3446,,,                 81667,                 81667,                106303,                187970,                993467,,,                              0,,                 10267,,                 17367,                  1827,                 19194,                 29461,              1022928,,,,              1032856,              1032856,,                139493,,                199106,                103094,,                193558,                495758,,                 13659,                              0,              1681766,                 24854,              1706620
3032,2013年12月31日,,,,,,                    957,,                 96157,,                  1078,,                551434,,                 44434,,                550790,,                 83423,,                 71502,                 10758,                 82260,              1817854,,,                              0,,                 66696,,,                522465,                522465,,                 61901,,                 17004,                 15956,,                  7233,                  5046,,                  6618,                 18897,                702919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                407321,              2520773,,,,                 40000,,                    340,,                  1359,,                507097,,                118960,                118960,                 12720,,                  3666,,,                101667,                101667,                 71498,                173165,                857307,,,                  4166,,                  9658,,                 17271,                  1734,                 19005,                 32829,                890136,,,,              1032856,              1032856,,                139493,,                199106,                103094,,                135400,                437600,,                 -5247,                              0,              1604702,                 25935,              1630637
3032,2013年09月30日,,,,,,                    389,,                 92418,,                    547,,                502013,,                 52942,,                492005,,                 78671,,                 57188,                  9528,                 66716,              1777740,,,,,                              0,,,                521075,                521075,,                 62128,,                 16152,                 18525,,                 13439,                  7027,,                  6918,                 27384,                645264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                492039,              2423004,,,,                 40000,,                              0,,                  1034,,                380374,,                132531,                132531,                  9145,,                  1029,,,                 96667,                 96667,                 82914,                179581,                743694,,,                 33333,,                 10717,,                 18606,                  1646,                 20252,                 64302,                807996,,,,              1032856,              1032856,,                139493,,                199106,                103094,,                132844,                435044,,                -23522,                              0,              1583871,                 31137,              1615008
3032,2013年06月30日,,,,,,                              0,,                 86566,,                    383,,                532160,,                 65410,,                498283,,                 97327,,                 31868,                  2819,                 34687,              1704625,,,,,                              0,,,                540729,                540729,,                 62354,,                 16383,                 23508,,                 12963,                  7020,,                  5379,                 25362,                668336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,,                389809,              2372961,,,,                 40000,,                              0,,                  1512,,                326373,,                140901,                140901,                  9160,,                  1398,,,                 96667,                 96667,                 72953,                169620,                688964,,,                 57500,,                  9867,,                 18515,                  1750,                 20265,                 87632,                776596,,,,              1032856,              1032856,,                139493,,                199106,                103094,,                105894,                408094,,                -16250,                              0,              1564193,                 32172,              1596365
3032,2013年03月31日,,,,,,                              0,,                 91855,,                    376,,                522004,,                 25352,,                528370,,                133365,,                 31965,                  4786,                 36751,              1781085,,,,,                              0,,,                546038,                546038,,                 62581,,                 16944,                 20935,,                  9239,                  9582,,                 10057,                 28878,                675376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                443012,              2456461,,,,                 80000,,                              0,,                  1492,,                356930,,                109111,                109111,                 10274,,                  1943,,,                120667,                120667,                 63101,                183768,                743518,,,                 81667,,                  9309,,                 18425,                  2118,                 20543,                111519,                855037,,,,              1032856,              1032856,,                139493,,                198457,                103094,,                126356,                427907,,                -32489,                              0,              1567767,                 33657,              1601424
