證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 應收票據,　　　　 現金及約當現金合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 避險之衍生金融資產－流動,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 應付股利,　　　　 待分配股票股利,　　　 庫藏股票
1708,2015年09月30日,,,,                758402,,                              0,,                177448,,                610859,,                456522,,                 11665,                 92874,                104539,              2107770,,,                 13114,,                258721,,              5132008,                  2929,,              1466920,                 11969,,                  1505,                  1505,              1480394,              6887166,              8994936,,,,,                820826,,                 35497,,                192637,,                204566,                204566,                 96947,,,                294352,                294352,                 21440,                315792,              1666265,,,              1598874,,                488428,,                 16785,                 16785,              2104087,              3770352,,,,              1827191,              1827191,,                 10674,,                752119,                132128,,              2166851,              3051098,,,                209805,,                     60,                209865,              5098828,                125756,              5224584,              8994936,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,2015年06月30日,,,,                894668,,                              0,,                155949,,                600271,,                565006,,                 11637,                 97975,                109612,              2325506,,,                    106,,                255062,,              4995310,                  2929,,              1307926,                  9080,,                    974,                    974,              1317980,              6571387,              8896893,,,,,                712866,,                 20724,,                414829,,                176645,                437672,                110683,,,                263849,                263849,                 33520,                297369,              1994143,,,              1567803,,                488428,,                 17444,                 17444,              2073675,              4067818,,,,              1740182,              1827191,,                 10549,,                752119,                132128,,              1945569,              2829816,,,                 46134,,                     12,                 46146,              4713702,                115373,              4829075,              8896893,              0,              0,                261027,                 87009,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,2015年03月31日,,,,                953332,,                  5062,,                154727,,                599118,,                658269,,                 18723,                 80064,                 98787,              2469295,,,                    106,,                258898,,              5111315,                  2929,,              1103017,                  8504,,                  1043,                  1043,              1112564,              6485812,              8955107,,,,,                622870,,                 19087,,                558051,,                195138,                195138,                165392,,,                251699,                251699,                 39205,                290904,              1851442,,,              1661037,,                488428,,                 18151,                 18151,              2167616,              4019058,,,,              1740182,              1740182,,                 10424,,                687141,                132128,,              2174618,              2993887,,,                 80109,,                     12,                 80121,              4824614,                111435,              4936049,              8955107,              0,              0,,,              0,                154727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,2014年12月31日,,,,              1006196,,                  5005,,                147299,,                552604,,                539124,,                 19592,                 62968,                 82560,              2332788,,,                    106,,                260616,,              5183272,                  2929,,                854232,                  8498,,                  1112,                  1112,                863842,              6310765,              8643553,,,,,                591855,,                 23871,,                399323,,                203009,                203009,                119757,,,                238422,                238422,                 49640,                288062,              1625877,,,              1767110,,                488428,,                 18909,                 18909,              2274447,              3900324,,,,              1740182,              1740182,,                 10300,,                687141,                132128,,              1963749,              2783018,,,                106240,,                     12,                106252,              4639752,                103477,              4743229,              8643553,              0,              0,                              0,                              0,              0,                147299,              1006196,,                              0,                              0,              8643553,,,,                591855,,                 23871,,                399323,,                203009,                203009,                119757,,,                238422,                238422,                 49640,                288062,              1625877,,,              1767110,,                488428,,                 18909,                 18909,              2274447,              3900324,,,,              1740182,              1740182,,                 10300,,                687141,                132128,,              1963749,              2783018,,,                106240,,                     12,                106252,              4639752,                103477,              4743229,,,,,,
1708,2014年09月30日,,,,                973548,,                  9940,,                151884,,                483203,,                650134,,                 20187,                 96459,                116646,              2385355,,,                    153,,                254580,,              5028798,                  3252,,                759346,                  7300,,                  1834,                  1834,                768480,              6055263,              8440618,,,,,                647946,,                 19838,,                384916,,                174584,                174584,                108928,,,                213692,                213692,                 40355,                254047,              1590259,,,              1843374,,                450892,,                  4513,                  4513,              2298779,              3889038,,,,              1740182,              1740182,,                 10055,,                687142,                132202,,              1830840,              2650184,,,                 23085,,                     43,                 23128,              4423549,                128031,              4551580,              8440618,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,2014年06月30日,,,,                965688,,                              0,,                139682,,                469921,,                507108,,                 12070,                 79980,                 92050,              2174449,,,                    153,,                254352,,              5017755,                  3252,,                713402,                  7103,,                  1086,                  1086,                721591,              5997103,              8171552,,,,,                595757,,                 15609,,                281477,,                150162,                233028,                 95016,,,                209828,                209828,                 81089,                290917,              1511804,,,              1862502,,                450892,,                  4513,                  4513,              2317907,              3829711,,,,              1657316,              1740182,,                  9810,,                687142,                132202,,              1661572,              2480916,,,                -14816,,                     43,                -14773,              4216135,                125706,              4341841,              8171552,              0,              0,                 82866,                 82866,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,2014年03月31日,,,,              1312986,,                              0,,                116335,,                394308,,                471463,,                 21110,                 65896,                 87006,              2382098,,,                     85,,                258963,,              5125825,                  3252,,                427183,                  3865,,                    437,                    437,                431485,              5819610,              8201708,,,,,                607419,,                 14745,,                373704,,                146546,                146546,                 87025,,,                214044,                214044,                 35749,                249793,              1479232,,,              1953424,,                450892,,                  4513,                  4513,              2408829,              3888061,,,,              1657316,              1657316,,                  9564,,                643703,                132202,,              1716104,              2492009,,,                 24073,,                     -1,                 24072,              4182961,                130686,              4313647,              8201708,              0,              0,,,              0,                116335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,2013年12月31日,,,,,,                  9874,,                135295,,                466855,,                485029,,                 14655,                 54240,                 68895,              2111890,,,                     85,,                181627,,              5121007,                  3252,,                202517,                  2284,,                    100,                    100,                204901,              5510872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,,                914069,,                 31873,                 31873,              7622762,,,,                336555,,                 17019,,                283688,,                152360,                152360,                 51851,,,                201216,                201216,                 45963,                247179,              1088652,,,              1963464,,                450892,,                  4978,                  4978,              2419334,              3507986,,,,              1657316,              1657316,,                  9319,,                643703,                132202,,              1540226,              2316131,,,                -15039,,                 18363,                  3324,              3986090,                128686,              4114776,                              0,,                              0,                              0,                              0,
1708,2013年09月30日,,,,,,                  9760,,                119453,,                390451,,                687087,,                 13527,                 79582,                 93109,              1998125,,,                              0,,                180450,,              4328129,                  5080,,                459712,                  2281,,                              0,                              0,                461993,              4975652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,,                660828,,                 29190,                 29190,              6973777,,,,                354840,,                 13004,,                314059,,                144823,                144823,                 74555,,,                178855,                178855,                 37605,                216460,              1117741,,,              1446627,,                404641,,                  7604,                  7604,              1858872,              2976613,,,,              1657316,              1657316,,                  9015,,                643703,                132276,,              1429448,              2205427,,,                -28729,,                 15681,                 -4801,              3866957,                130207,              3997164,                  8247,,                  8247,,,
1708,2013年06月30日,,,,,,                  9574,,                139663,,                424287,,                585764,,                 12148,                 71725,                 83873,              2046700,,,                              0,,                152559,,              4422910,                  5080,,                384268,                  2282,,                 29210,                 29210,                415760,              4996309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,,                775210,,                 28329,                 28329,              7043009,,,,                300000,,                 19507,,                410881,,                146568,                225487,                 72952,,,                160411,                160411,                 35618,                196029,              1224856,,,              1490350,,                404641,,                  8253,                  8253,              1903244,              3128100,,,,              1578397,              1657316,,                  8710,,                643703,                132276,,              1334498,              2110477,,,                 -5269,,                 14820,                  9551,              3786054,                128855,              3914909,,,,                 78919,                 78919,
