證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產－建築物,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商標權淨額,　　　　　 商標權,　　　　　 商標權淨額,　　　　 專利權淨額,　　　　　 專利權,　　　　　 專利權淨額,　　　　 著作權淨額,　　　　　 著作權,　　　　　 著作權淨額,　　　　 商譽,　　　　 專門技術淨額,　　　　　 專門技術,　　　　　 專門技術淨額,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付薪資,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票,　　　 預付款項,　　　　 預付款項合計
4915,2015年09月30日,,,,              7949345,,                193053,,             13681614,,                 53196,,                489888,,              7294433,,                458937,             30120466,,,                319061,,,                197155,,              1567825,,              2621046,,                214909,,                 -3977,              1532307,              6129265,,                128071,                131528,                259599,,,                 10404,                 10404,,                  3846,                  3846,,                 18537,                 18537,              2101996,,                484289,                484289,,                852760,                852760,              3471832,                137449,,                356185,,                165927,                522112,             10839318,             40959784,,,,,              4086918,,                140024,,             16452740,             16452740,,              1075675,              3270329,              4346004,,,                679709,                679709,                349896,              1029605,             26055291,,,              1056574,              1056574,,              1034576,                 59003,                110534,                352158,              1556271,              2612845,             28668136,,,,              4412137,                  3406,              4415543,,                780058,,                611322,                 97300,,              3455346,              4163968,,,                506108,,                 29391,,               -102568,               -102568,                432931,              9792500,              2499148,             12291648,             40959784,              0,        164000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4915,2015年06月30日,,,,              6871180,,                372885,,             11450469,,                 68914,,                452896,,              5755602,,                507467,             25479413,,,                315185,,,                197155,,              1570590,,              2084664,,                221598,,                 -4618,              1513723,              5583112,,                128071,                132418,                260489,,,                 11040,                 11040,,                  4802,                  4802,,                 19051,                 19051,              2101996,,                498434,                498434,,,                877611,              3512934,                146976,,                330385,,                199020,                529405,             10348101,             35827514,,,,,              4369069,,                 29517,,             12106191,             12106191,,                759563,              3368746,              4128309,,,                625544,                625544,                234837,                860381,             21493467,,,              1317562,              1317562,,                963905,                 59003,                140574,                356283,              1519765,              2837327,             24330794,,,,              4395287,                              0,              4395287,,                728845,,                611322,                 97300,,              2954052,              3662674,,,                307821,,                 23916,,                -49368,                -49368,                282369,              9069175,              2427545,             11496720,             35827514,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4915,2015年03月31日,,,,              6863699,,                440720,,             10298766,,                 20786,,                532408,,              5534217,,                510127,             24200723,,,                315807,,,                127382,,              1682687,,              1781579,,                245613,,                 -5384,              1184233,              5016110,,                128071,                133308,                261379,,,                 11685,                 11685,,                  5812,                  5812,,                 19567,                 19567,              2281384,,                367902,                367902,,                862137,                862137,              3548487,                149359,,,,                427088,                427088,              9718230,             33918953,,,,,              4208913,,                  5867,,             11706582,             11706582,,                656051,              2592514,              3248565,,,                603943,                603943,                159344,                763287,             19933214,,,              1327572,              1327572,,,                 57679,                200706,                464909,                723294,              2050866,             21984080,,,,              4386487,                 14093,              4400580,,                727165,,                456853,                 97300,,              3500711,              4054864,,,                352383,,                 23598,,                -67376,                -67376,                308605,              9491214,              2443659,             11934873,             33918953,              0,        880030,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4915,2014年12月31日,,,,              6814023,,                 96285,,             10453148,,                 60581,,                370254,,              4810978,,                473067,             23078336,,,                292916,,,                 22879,,              1418282,,              1526873,,                194269,,                 -6187,                779029,              3935145,,                128071,                134198,                262269,,,                 12332,                 12332,,                  6845,                  6845,,                 20041,                 20041,              1850383,,                378384,                378384,,                648659,                648659,              2916644,                154691,,                198151,,                185621,                383772,              7945437,             31023773,,,,,              2148800,,                 80590,,             12613211,             12613211,,              1055208,              2628533,              3683741,,,                600000,                600000,                128415,                728415,             19254757,,,                900000,                900000,,                130840,                 57679,                161894,                209856,                560269,              1460269,             20715026,,,,              4346578,                 38903,              4385481,,                673543,,                456853,                 97300,,              3132488,              3686641,,,                422382,,                    707,,                -18241,                -18241,                404848,              9150513,              1158234,             10308747,             31023773,              0,      2765853,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4915,2014年09月30日,,,,              6779377,,                 86494,,             10245303,,                 36373,,                286419,,              4666739,,                547520,             22648225,,,                 46676,,,                 22879,,              1404742,,              1484531,,                194772,,                 -6643,                237712,              3337993,,                128071,                135088,                263159,,,                 12842,                 12842,,                  7769,                  7769,,                 20555,                 20555,              1850383,,                388867,                388867,,                666629,                666629,              2947045,                160096,,                125593,,                140353,                265946,              7020915,             29669140,,,,,              3207954,,                 42633,,             11503295,             11503295,,                804669,              2332876,              3137545,,,                600000,                600000,                230630,                830630,             18722057,,,                900000,                900000,,                 33761,                 60998,                149580,                169434,                413773,              1313773,             20035830,,,,              4340513,                  8659,              4349172,,                665297,,                456853,                 97300,,              2797272,              3351425,,,                149595,,                  4201,,                -23820,                -23820,                129976,              8495870,              1137440,              9633310,             29669140,              0,        758273,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4915,2014年06月30日,,,,              6458486,,                 10570,,              9122036,,                 54617,,                380077,,              4691883,,                537257,             21254926,,,                 46389,,,                 22879,,              1417450,,              1524501,,                199713,,                 -7233,                153578,              3310888,,                128071,                135978,                264049,,,                 13482,                 13482,,                  8753,                  8753,,                 21069,                 21069,              1850383,,                399349,                399349,,,                684599,              2977635,                172502,,                124262,,                148043,                272305,              7043768,             28298694,,,,,              3159024,,                  4370,,             10648639,             10648639,,                739272,              2438108,              3177380,,,                600000,                600000,                199449,                799449,             17788862,,,              1200000,              1200000,,                              0,                 60998,                 69155,                171609,                301762,              1501762,             19290624,,,,              4338313,                              0,              4338313,,                655420,,                456853,                 97300,,              2319726,              2873879,,,                 43532,,                  3914,,                -19869,                -19869,                 27577,              7895189,              1112881,              9008070,             28298694,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4915,2014年03月31日,,,,              6264198,,                 14842,,              7681644,,                 23984,,                326505,,              4412923,,                547970,             19272066,,,                 50699,,,                 22879,,              1507500,,              1577930,,                219002,,                 -8096,                159964,              3479179,,                128071,                136868,                264939,,,                 14125,                 14125,,                  9757,                  9757,,                 21582,                 21582,              1850383,,                409832,                409832,,                702569,                702569,              3008248,                182648,,,,                287782,                287782,              7273495,             26545561,,,,,              2925909,,                109725,,              9687112,              9687112,,                467194,              2097754,              2564948,,,                600000,                600000,                102647,                702647,             15990341,,,              1200000,              1200000,,,                 60998,                 85460,                176937,                323395,              1523395,             17513736,,,,              4339813,                    571,              4340384,,                651955,,                389998,                138192,,              2280313,              2808503,,,                154131,,                    108,,                -27060,                -27060,                127179,              7928021,              1103804,              9031825,             26545561,        150000,         50000,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4915,2013年12月31日,,,,,,                 34855,,              7824854,,                              0,,                349163,,              4161107,,                228576,             17385420,,,                 54883,,,                 22879,,              1522901,,              1535730,,                164915,,                 -8730,                151353,              3389048,,                128071,                137758,                265829,,,                 14711,                 14711,,                  9672,                  9672,,                 22096,                 22096,                              0,,                              0,                              0,,                              0,                              0,                 46479,                152932,,,,,                296331,              4205502,,,,,,,,,             10446627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        273000,              0,,              4786865,             21590922,,,,                658900,,                 37981,,             10446627,,                659589,              1931680,              2591269,,,                              0,                              0,                 93998,                 93998,             13828775,,,                              0,                              0,,                 61146,                 87463,                 71971,                220580,                220580,             14049355,,,,              4335733,                  3796,              4339529,,                648747,,                389998,                138192,,              1957522,              2485712,,,                100137,,                   -238,,                -32320,                -32320,                 67579,              7541567,                              0,              7541567,,,
4915,2013年09月30日,,,,,,                 49297,,              7434414,,                              0,,                388271,,              4439037,,                293981,             17531690,,,                 54687,,,                 22879,,              1546441,,              1616482,,                176776,,                 -9274,                159044,              3512348,,                128071,                138648,                266719,,,                 15350,                 15350,,                 10639,                 10639,,                 22610,                 22610,                              0,,                              0,                              0,,                              0,                              0,                 48599,                103588,,,,,                303387,              4289328,,,,,,,,,              8862637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        591624,              0,,              4926690,             21821018,,,,              2610960,,                 36244,,              8862637,,                749664,              1773862,              2523526,,,                              0,                              0,                134439,                134439,             14167806,,,                              0,                              0,,                 62590,,                129305,                191895,                191895,             14359701,,,,              4313457,                  6756,              4320213,,                623285,,                389998,                138192,,              1975031,              2503221,,,                 15032,,                   -434,,                              0,                              0,                 14598,              7461317,                              0,              7461317,,,
4915,2013年06月30日,,,,,,                 70519,,              7546979,,,,                326224,,              4328274,,                309815,             16927480,,,                 55002,,,                 22879,,              1625401,,              1790819,,                192682,,                 -5200,                133112,              3759693,,                128071,                139538,                267609,,,                 15990,                 15990,,                 11606,                 11606,,                 23124,                 23124,                              0,,,,,,                              0,                 50720,                120508,,,,,                313263,              4566795,,,,,,,,,              8802416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              4345669,             21494275,,,,              1746960,,                 62018,,              8802416,,                613235,              2438690,              3051925,,,                              0,                              0,                356541,                356541,             14019860,,,                              0,                              0,,                 66421,,                109660,                176081,                176081,             14195941,,,,              4313457,                              0,              4313457,,                625188,,                389998,                138192,,              1773026,              2301216,,,                 57795,,                   -119,,                              0,                              0,                 57676,              7297537,                    797,              7298334,,,
