證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　　　 資本公積－其他,　　　　 現金及約當現金合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付票據,　　　　 應付票據合計,　　　　 資本公積－限制員工權利股票,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　 庫藏股票
3046,2015年09月30日,,,,                780568,,                228558,,                  7372,,                 21961,,                  3261,,                204615,,                 84972,              1331307,,,                396314,,                 63778,,                  2335,                 41435,,                 11000,,                    588,                    588,                 11588,                515450,              1846757,,,,,                426086,,                              0,,                216412,,                 15678,,                110266,                  2396,                  3770,,                 31433,,                 26764,                832805,,,                 56034,,                 24302,                  2396,                 26698,                 82732,                915537,,,,              1186276,              1186276,,,                    128,                    128,                              0,                -45936,                -45808,,                              0,,               -472074,               -472074,,,                 -3743,,                266020,,                 -2160,                 -2160,                260117,                928511,                  2709,                931220,              1846757,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,2015年06月30日,,,,                710884,,                200663,,                    709,,                 20047,,                  3136,,                212986,,                 84557,              1232982,,,                382177,,                 71152,,                    996,                 44672,,                 10689,,,                    136,                 10825,                509822,              1742804,,,,,                381401,,                              0,,                196019,,                     15,,                103816,                  1978,                  1480,,                 29486,,                 15186,                729381,,,                 56022,,                 23964,                  2310,                 26274,                 82296,                811677,,,,              1186276,              1186276,,,,                    128,                -45936,,                -45808,,                              0,,               -459090,               -459090,,,                   -739,,                251882,,                 -2856,                 -2856,                248287,                929665,                  1462,                931127,              1742804,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,2015年03月31日,,,,                743035,,                212990,,                              0,,                 21890,,                  2710,,                191079,,                 79406,              1251110,,,                427174,,                 81388,,                    613,                 48416,,                 10977,,,                    136,                 11113,                568704,              1819814,,,,,                368603,,                              0,,                179127,,                    106,,                100669,                  1366,                  2505,,                 29598,,                  6813,                688787,,,                 56027,,                 24095,                  2344,                 26439,                 82466,                771253,,,,              1186276,              1186276,,,                    128,                    128,                              0,                -45936,                -45808,,                              0,,               -390392,               -390392,,,                  3145,,                296878,,                 -3552,                 -3552,                296471,              1046547,                  2014,              1048561,              1819814,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,2014年12月31日,,,,                856794,,                200823,,                              0,,                 23198,,                  2647,,                191365,,                 84500,              1359327,,,                408110,,                 92456,,                  1453,                 54117,,                 11251,,                    136,                    136,                 11387,                567523,              1926850,,,,,                391719,,                              0,,                196058,,                     29,,                107935,                  2458,                  1703,,                 32488,,                 20427,                752817,,,                 56029,,                 24371,                  2381,                 26752,                 82781,                835598,,,,              1205092,              1205092,,,                    128,                    128,                              0,                -69041,                -68913,,                              0,,               -318129,               -318129,,,                   -447,,                277815,,                 -6173,                 -6173,                271195,              1089245,                  2007,              1091252,              1926850,              0,              0,              0,,,,                              0,                856794,,                              0,                  2647,              1926850,,,,                391719,,                196058,,                     29,,                107935,                  2458,                  1703,,                 32488,,                 20427,                752817,,,                 56029,,                 24371,                  2381,                 26752,                 82781,                835598,,,,              1205092,              1205092,,,                    128,                    128,                -69041,                -68913,,                              0,                              0,,               -318129,               -318129,,,                   -447,,                277815,,                 -6173,                 -6173,                271195,              1089245,                  2007,              1091252,,,,,,
3046,2014年09月30日,,,,                911912,,                154996,,                     99,,                 20455,,                  1989,,                199115,,                 83727,              1372293,,,                364075,,                 96529,,                  2433,                 81669,,                 11028,,                    136,                    136,                 11164,                555870,              1928163,,,,,                352732,,                              0,,                170473,,                     65,,                121959,                  3364,                    929,,                 47816,,                  7439,                704777,,,                 54228,,                 24407,                  2444,                 26851,                 81079,                785856,,,,              1205092,              1205092,,,                    128,                    128,                              0,                -63552,                -63424,,                              0,,               -224794,               -224794,,,                 -2122,,                233780,,                 -8192,                 -8192,                223466,              1140340,                  1967,              1142307,              1928163,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,2014年06月30日,,,,                888227,,                114888,,                              0,,                 24151,,                  1825,,                183268,,                 76530,              1388889,,,                271655,,                 88876,,                  1589,                 93152,,                 11210,,,                  2412,                 13622,                468894,              1857783,,,,,                322374,,                              0,,                161336,,                      6,,                106959,                  2144,                    875,,                 45624,,                  9907,                649225,,,                 56602,,                 24577,                  2526,                 27103,                 83705,                732930,,,,              1716490,              1716490,,,,                    128,                -63552,,                -63424,,                              0,,               -650487,               -650487,,,                -10275,,                141359,,                -10669,                -10669,                120415,              1122994,                  1859,              1124853,              1857783,              0,              0,              0,,                100000,                100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,2014年03月31日,,,,              1059669,,                133540,,                              0,,                 24718,,                  3042,,                150412,,                 74944,              1446325,,,                259741,,                 77606,,                  1135,                 98914,,                 11042,,,                 11542,                 22584,                459980,              1906305,,,,,                312620,,                              0,,                144711,,                    366,,                 95489,                  1167,                  2995,,                 45531,,                 14119,                616998,,,                 59907,,                 24531,                  2531,                 27062,                 86969,                703967,,,,              1716490,              1716490,,,                    128,                    128,                              0,                -63552,                -63424,,                              0,,               -559809,               -559809,,,                 -8443,,                129446,,                -13146,                -13146,                107857,              1201114,                  1224,              1202338,              1906305,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,2013年12月31日,,,,,,                129946,,                              0,,                 27421,,,,                175929,,                 72487,              1564844,,,                263796,,                 81805,,                  1931,                 98113,,                 11592,,,                  2374,                 13966,                459611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1144760,,                 10853,                  3448,              2024455,,,,                275913,,                199895,,                    715,,                129899,                  2041,                  2147,,                 50088,,                 14110,                674808,,,                 61100,,                 24352,                  1199,                 25551,                 86651,                761459,,,,              1716490,              1716490,,,                    128,                    128,                -63552,                -63424,,                              0,                              0,,               -511398,               -511398,,,                 -3651,,                139399,,                -15622,                -15622,                120126,              1261794,                  1202,              1262996,,                              0,                -63552,,,
3046,2013年09月30日,,,,,,                117989,,                              0,,                 24993,,,,                152176,,                 69764,              1553584,,,                285159,,                 57358,,                  2726,                104220,,                 15827,,,                  2373,                 18200,                467663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1150682,,                 35223,                  2757,              2021247,,,,                232858,,                169838,,                  1235,,                116254,                  3381,                  1057,,                 51819,,                 17846,                594288,,,                 64882,,                 27189,                  1423,                 28612,                 93494,                687782,,,,              1636490,              1636490,,,,                    128,,                    128,,                              0,,,               -470338,               -470338,,,,,,,,,                167185,              1333465,                              0,              1333465,,                              0,                              0,,,
3046,2013年06月30日,,,,,,                186655,,                     26,,                 24377,,,,                142560,,                 68715,              1644621,,,                267409,,                 58895,,                  1631,                104800,,                 14604,,,                  1415,                 16019,                448754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,                              0,,              1220579,,                              0,                  1709,              2093375,,,,                262665,,                207728,,                  1389,,                111443,                  3156,                    770,,                 47908,,                 16569,                651628,,,                 67996,,                 27670,                  1432,                 29102,                 97098,                748726,,,,              1636490,              1636490,,,,                    128,,                    128,,                              0,,,               -409175,               -409175,,,,,,,,,                117206,              1344649,                              0,              1344649,,                              0,                              0,,,
