證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　　 特別股負債－非流動,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　　 一年或一營業週期內到期長期借款
2401,2015年09月30日,,,,              3960051,,                 25595,,                859509,,                 15389,,              1905769,,                 57613,,              1317590,,                373104,              8514620,,,              1586319,,                626503,,                400576,,              3572802,,                270909,,                212411,                 46766,,,                158831,                158831,              6875117,             15389737,,,,,                844475,,                765285,                 40377,,                 16190,,,                  2806,                  2806,,                899595,                651027,              1553428,              3219755,,,              1063054,,                 80683,                 93676,                206760,                  1909,                383028,              1446082,              4665837,,,,              5919949,              5919949,,                896627,,              1831596,                 17833,,                371930,              2221359,,                117903,                 63401,              9092437,              1631463,             10723900,             15389737,              0,      3559996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,2015年06月30日,,,,              3613048,,                 22942,,                985194,,                 15313,,              1747820,,                457772,,              1426940,,                196738,              8465767,,,              2277796,,                331076,,                385556,,              3501095,,                265530,,                220685,                 46520,,,                233885,                233885,              7262143,             15727910,,,,,                742701,,              1000627,                 39954,,                 15467,,,                  2732,                  2732,,                684988,              1286276,              1973996,              3772745,,,                633819,,                 78086,                 94060,                204649,                  2319,                379114,              1012933,              4785678,,,,              5919949,              5919949,,                894476,,              1831596,                 17833,,                670345,              2519774,,                135541,                 63401,              9406339,              1535893,             10942232,             15727910,              0,      3559996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,2015年03月31日,,,,              3794642,,                 14911,,                836874,,                 14903,,              1523886,,                468234,,              1292726,,                218257,              8164433,,,              2460389,,                260905,,                413096,,              3453733,,                274651,,                213176,                 52450,,,                237523,                237523,              7365923,             15530356,,,,,                557144,,                881572,                 41920,,                 17788,,,                  2758,                  2758,,                660369,                795007,              1458134,              2956558,,,                746442,,                 79618,                 94407,                208090,                  2319,                384434,              1130876,              4087434,,,,              5919949,              5919949,,                894446,,              1790538,                 22639,,                968265,              2781442,,                294084,                 63401,              9826520,              1616402,             11442922,             15530356,              0,      3559996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,2014年12月31日,,,,              3576732,,                 14830,,                984307,,                 14903,,              1729796,,                144819,,              1347742,,                224598,              8037727,,,                731787,,                241005,,              1409239,,              3490672,,                282663,,                278188,                 42126,,,                306037,                306037,              6781717,             14819444,,,,,                304085,,                728569,                 26005,,                 21849,,,                  3375,                  3375,,                905296,                836995,              1745666,              2826174,,,                657082,,                 81311,                108105,                221747,                  2319,                413482,              1070564,              3896738,,,,              5919949,              5919949,,                936051,,              1790538,                 22639,,                408610,              2221787,,                309932,                 63401,              9324318,              1598388,             10922706,             14819444,              0,      3559996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,2014年09月30日,,,,              3541829,,                 17853,,              1114127,,                 14903,,              1989764,,                114744,,              1278700,,                291673,              8363593,,,                694553,,                249812,,              1459508,,              2235239,,                279123,,                297258,                 48376,,,              1415193,              1415193,              6679062,             15042655,,,,,                497324,,              1000636,                 13813,,                 26261,,,                  3319,                  3319,,                715657,                746639,              1465615,              3003649,,,                908078,,                 79494,                117701,                212783,                  1299,                411277,              1319355,              4323004,,,,              5919949,              5919949,,                919909,,              1790538,                 22639,,                369907,              2183084,,                225765,                 63401,              9185306,              1534345,             10719651,             15042655,              0,      3559996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,2014年06月30日,,,,              3326890,,                 12852,,              1506078,,                 14903,,              1925868,,                237175,,              1231012,,                264346,              8519124,,,                781649,,                248888,,              1470465,,              2181735,,                276968,,                326613,                 49772,,,              1297355,              1297355,              6633445,             15152569,,,,,                744725,,                974564,                 17533,,                 21587,,,                  3273,                  3273,,                926634,                776645,              1706552,              3464961,,,                758814,,                 78188,                117989,                205292,                  1299,                402768,              1161582,              4626543,,,,              5919949,              5919949,,                931514,,              1790538,                 22639,,                206834,              2020011,,                234692,                 63401,              9042765,              1483261,             10526026,             15152569,              0,      3559996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,2014年03月31日,,,,              3402456,,                  8027,,              1166560,,                 14903,,              1355492,,                161873,,              1241031,,                244411,              7594753,,,              1181764,,                308432,,              1203367,,              2123072,,                287253,,                358435,                 49080,,,              1365029,              1365029,              6876432,             14471185,,,,,                164513,,              1015873,                 48571,,                 25299,,,                  3307,                  3307,,                861716,                516927,              1381950,              2636206,,,                831569,,                 80162,                118270,                210979,                  1299,                410710,              1242279,              3878485,,,,              5919949,              5919949,,                912528,,              1909685,                 30755,,               -120768,              1819672,,                430555,                 63401,              9019303,              1573397,             10592700,             14471185,              0,      3559996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,2013年12月31日,,,,,,                  7994,,              1150505,,,,              1536101,,                 94128,,                922217,,                232700,              8275040,,,              1018727,,                311448,,              1161455,,              2154641,,                293069,,                335098,                 54625,,,                597509,                597509,              5926572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      8474996,              4331395,                              0,             14201612,,,,                165151,,                823034,                 51781,,                 23915,,,                  3314,                  3314,,                938447,                704035,              1645796,              2709677,,,                704616,,                 81056,                116289,                223573,                    889,                421807,              1126423,              3836100,,,,              5969099,              5969099,,                950179,,              1909685,                 30755,,               -127263,              1813177,,                199670,                155236,              8776889,                              0,              1588623,             10365512,              0,,                              0,                 81056,,,
2401,2013年09月30日,,,,,,                 15194,,              1131315,,,,              1760354,,                 63338,,              1080860,,                275528,              8388728,,,              1046158,,                256788,,              1193002,,              2160199,,                293150,,                361179,                 56216,,,                559912,                559912,              5926604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      8474996,              4047619,                 14520,             14315332,,,,                206034,,                757932,                 41916,,                 17732,,,                 95964,                 95964,,                590556,                733590,              1420110,              2443724,,,              1084151,,                 80298,                163097,                223014,                    889,                467298,              1551449,              3995173,,,,              5969099,              5969099,,                954158,,              1909685,                 30756,,               -142533,              1797908,,                156801,                155236,              8722730,,              1597429,             10320159,              0,,,,,,
2401,2013年06月30日,,,,,,                 14001,,              1288146,,,,              1710615,,                130180,,              1290902,,                305138,              8981703,,,              1114492,,                249022,,              1171719,,              2184945,,                301865,,                395019,                 57197,,,                268531,                268531,              5742790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      8474996,              4202550,                 14520,             14724493,,,,                236309,,                919886,                 25469,,                 16768,,,,                 21394,,                653056,                855181,              1529631,              2728063,,,              1291177,,,                163499,                221302,                  1079,                390196,              1681373,              4409436,,,,              5969099,              5969099,,                963014,,              1909685,                 30756,,               -180088,              1760353,,                228921,                155236,              8766151,,              1548906,             10315057,              0,,                 25651,                  4316,,,
