證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 礦產資源淨額,　　　　 礦產資源淨額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 避險之衍生金融資產－流動,　　　　 應收票據,　　　　　 製成品,　　　　　 副產品,　　　　　 半成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 銀行長期借款,　　　　 現金及約當現金合計,　　　 天然資源淨額,　　　　 天然資源淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 無形探勘及評估資產淨額,　　　　　 無形探勘及評估資產淨額,　　　　 預付投資款,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　　 無形探勘及評估資產成本
2006,2015年09月30日,,,,              2124779,              2124779,,                288604,,                387051,,              3218382,              3218382,              1329035,,                120603,                120603,,,              7109190,              7109190,,                219398,,                              0,,                 78200,             14875242,,,                891287,,                320897,,              1479265,,             15586569,,                 87636,,              1647318,                224833,,              1133555,                274036,,                 84300,              1491891,             21729696,             36604938,,,,,              3250975,,              1008894,,                 83250,                              0,,                131095,,              1109440,                387418,,              1376803,                 42698,,,                463330,,              2435603,                114925,              2550528,                  1171,              3015029,             10405602,,,                              0,,                              0,,              2458183,,                186811,,                736534,                 13800,                750334,              3395328,             13800930,,,,              9982215,              9982215,,              6225993,,              3083412,                149309,,              3075733,              6308454,,                197141,                              0,             22713803,                              0,                 90205,             22804008,             36604938,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2015年06月30日,,,,              2678540,              2678540,,                227712,,                474483,,              3489486,              3489486,              1332874,,                101898,                101898,,,              7964990,              7964990,,                286116,,                              0,,                 61351,             16617450,,,                963967,,                328622,,              1579589,,             15737614,,                 83434,,              1648623,                215809,,              1129063,                284072,,                 89717,              1502852,             22060510,             38677960,,,,,              3705167,,                854194,,                 63018,                              0,,                166547,,              1622865,                289848,,              2700010,                142254,,,                415558,,              2427875,                114925,              2542800,                    440,              2958798,             12502701,,,                              0,,                              0,,              2576222,,                188057,,                736114,                 12679,                748793,              3513072,             16015773,,,,              9982215,              9982215,,              6225993,,              3083412,                149309,,              2923806,              6156527,,                199065,                              0,             22563800,                              0,                 98387,             22662187,             38677960,              0,              0,              0,                              0,                474483,              1736588,                              0,              1705416,                              0,              3487051,              1035935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2015年03月31日,,,,,              1644233,,                260060,,                345860,,,              3749783,              1100920,,,                 91028,,,              8009367,              8009367,,                337868,,                              0,,                 36367,             15575486,,,                983483,,                342885,,              1566979,,             15889636,,                 85797,,              1650197,                211746,,              1043308,                282472,,                 94559,              1420339,             22151062,             37726548,,,,,              3316556,,                639330,,                 47748,                 19970,,                106882,,              1495701,                349963,,              1470609,                131681,,,                196556,,              2420147,                114925,              2535072,                 65646,              2797274,             10375714,,,                              0,,                              0,,              2765645,,                191046,,                735252,                 13942,                749194,              3705885,             14081599,,,,              9982215,              9982215,,              6225993,,              2977253,                285140,,              3829750,              7092143,,                239698,                              0,             23540049,                              0,                104900,             23644949,             37726548,              0,              0,              0,,,,,,,,,              2765645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2014年12月31日,,,,              1910409,              1910409,,                335490,,                393013,,              3566722,              3566722,              1019094,,                 65376,                 65376,,,              8558912,              8558912,,                242637,,                 20640,,                 54666,             16166959,,,                872398,,                343099,,              1560248,,             15916706,,                 87944,,              1651800,                202598,,              1163674,                283417,,                100228,              1547319,             22182112,             38349071,,,,,              4027187,,                464714,,                 40000,                  5698,,                120088,,              1725494,                149699,,              1485350,                 78301,,,                331711,,              2412420,                114925,              2527345,                  1258,              2860314,             10956845,,,                              0,,                              0,,              3283685,,                194346,,                734627,                 11949,                746576,              4224607,             15181452,,,,              9982215,              9982215,,              6225993,,              2977253,                285140,,              3427579,              6689972,,                160468,                              0,             23058648,                              0,                108971,             23167619,             38349071,              0,              0,              0,                              0,                393013,              1915444,                              0,              2026691,                              0,              3627926,                988851,              3283685,              1910409,,                 87944,             38349071,,,,              4027187,,                464714,,                 40000,                  5698,,                120088,,              1725494,                149699,,              1485350,                 78301,,,                331711,,              2412420,                114925,              2527345,                              0,                  1258,              2860314,             10956845,,,                              0,,                              0,,              3283685,                              0,              3283685,,                194346,,                782250,                 11949,                794199,              4272230,             15229075,,,,              9982215,              9982215,,              6225993,,              2977253,                285140,,              3379956,              6642349,,                160468,                              0,             23011025,                              0,                108971,             23119996,,,,,,,
2006,2014年09月30日,,,,              1177951,              1177951,,                215465,,                353623,,              3460355,              3460355,                885883,,                101912,                101912,,,              8896077,              8896077,,                317334,,                              0,,                 12230,             15420830,,,                918925,,                351624,,              1554488,,             16038936,,                 85666,,              1635650,                179245,,              1164393,                292751,,                106012,              1563156,             22327690,             37748520,,,,,              3570829,,                539656,,                              0,                  5662,,                 91535,,              1988758,                269337,,              1432048,                 24475,,,                349962,,                              0,                113494,                113494,                  3724,                467180,              8389480,,,                 45250,,              2404692,,              3323108,,                182037,,                693265,                 16013,                709278,              6664365,             15053845,,,,              9982215,              9982215,,              6225993,,              2977253,                285140,,              3547801,              6810194,,               -431064,                              0,             22587338,                              0,                107337,             22694675,             37748520,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2014年06月30日,,,,              3609819,              3609819,,                302496,,                425750,,              3634432,              3634432,                999738,,                 70835,                 70835,,,              8201220,              8201220,,                340165,,                              0,,                 22540,             17607561,,,                939502,,                355281,,              1481815,,             16195618,,                 85224,,              1636745,                178483,,              1117993,                283023,,                113770,              1514786,             22387454,             39995015,,,,,              3673448,,                726256,,                 27918,                              0,,                 90445,,              1620991,                132084,,              3058686,                142043,,,                418986,,                893157,                112063,              1005220,                  3591,              1427797,             10899668,,,                 44250,,              2396964,,              3341147,,                179044,,                720597,                 13746,                734343,              6695748,             17595416,,,,              9982021,              9982021,,              6225686,,              2977253,                285140,,              3260433,              6522826,,               -440424,                              0,             22290109,                              0,                109490,             22399599,             39995015,              0,              0,              0,                    566,                425750,              1797152,                              0,              1968741,                              0,              3403109,              1032218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2014年03月31日,,,,,              2121695,,                417778,,                286972,,,              3334826,              1063085,,,                 58695,,,              9190702,              9190702,,                297653,,                              0,,                 37606,             16809012,,,                974088,,                422488,,              1485354,,             16128939,,                 88093,,              1637840,                167923,,                958054,                282321,,                123596,              1363971,             22268696,             39077708,,,,,              3531305,,                391622,,                 14127,                              0,,                 81378,,              1599501,                  4005,,              1479020,                223791,,,                380848,,                888915,                110632,                999547,                  8855,              1389250,              8713999,,,                 42250,,              2389237,,              3380570,,                174480,,                719744,                 15579,                735323,              6721860,             15435859,,,,              9982021,              9982021,,              6225686,,              2765546,                149309,,              4783436,              7698291,,               -377437,                              0,             23528561,                              0,                113288,             23641849,             39077708,              0,              0,              0,,,,,,,,,              3380570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2013年12月31日,,,,,,,                482143,,                451023,,,              3653746,                860357,,,                 46354,,,              9968365,              9968365,,                270138,,                              0,,                 46183,             17555853,,,              1064358,,                421995,,              1456000,,             16257059,,,,              1638935,                163342,,                861520,                282854,,                135414,              1279788,             22368780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,              1777544,,                 87303,             39924633,,,,              4206822,,                436828,,                 42380,                              0,,                106191,,              1846273,                 41208,,              1622418,                161763,,,                385272,,                884672,                109201,                993873,                              0,                  1723,              1380868,              9844751,,,                 40250,,              2381509,,              3398610,                 49882,              3448492,,                170006,,                771097,                 14182,                785279,              6825536,             16670287,,,,              9982021,              9982021,,              6225686,,              2765546,                149309,,              4301006,              7215861,,               -285139,                              0,             23138429,                              0,                115917,             23254346,,,,,,,
2006,2013年09月30日,,,,,,,                466264,,                298121,,,              2993339,                757565,,,                 62093,,,             10678853,             10678853,,                324171,,,,                 42348,             16255540,,,              1077905,,                439167,,              1302239,,             16433402,,,,              1612800,                185364,,                888855,                285659,,                129513,              1304027,             22442613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,                632786,,                 87709,             38698153,,,,              4009028,,                286897,,                 83829,                              0,,                 87444,,              1623236,                125259,,              1465122,                 89491,,,                392556,,                880430,                114201,                994631,                  1932,                 50641,              1439760,              9210066,,,                 40500,,              2373781,,              3486512,                              0,              3486512,,                189416,,                800284,                 12183,                812467,              6902676,             16112742,,,,              9982021,              9982021,,              6225686,,              2765546,                149309,,              3692499,              6607354,,               -346605,                              0,             22468456,                              0,                116955,             22585411,,,,,,,
2006,2013年06月30日,,,,,,,                422934,,                340525,,,              2974642,                739955,,,                122883,,,             10152822,             10152822,,                265766,,,,                 40982,             15850555,,,              1018451,,                442875,,              1306640,,             16493865,,,,              1682277,                185096,,                828260,                287532,,                138897,              1344689,             22473893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,,,,,,,,                790046,,                              0,             38324448,,,,              2351392,,                546783,,                 35955,,,                113518,,              1490227,                125439,,              2809539,                194081,,,                342286,,                885301,                119801,              1005102,                  7650,                    533,              1355571,              9022505,,,                 40750,,              2366054,,              3853210,                              0,              3853210,,                184062,,                800780,                 12870,                813650,              7257726,             16280231,,,,              9982021,              9982021,,              6225686,,              2765546,                149309,,              3184831,              6099686,,               -384310,                              0,             21923083,                              0,                121134,             22044217,,                 90000,,,,,
