證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　 待分配股票股利,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　 庫藏股票,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額
3022,2015年09月30日,,,,              3318849,,              1409331,,                893355,,                 62037,,                  3142,,                947732,,              2725348,                253447,              2978795,              9613241,,,                 11257,,                 49376,,              1906924,,              1345946,,                 62524,,,                 21573,                 21573,                 59391,,,                166745,,                291976,                458721,              3915712,             13528953,,,,,              3279043,,                    734,,              1165433,,                124457,,                              0,                777656,                777656,                  2060,                144627,,                149906,                149906,              5643916,,,                              0,,                462962,,                  3683,                 61353,                 65036,                527998,              6171914,,,,              3283144,                              0,              3283144,,,                194145,                730821,                924966,                 31094,                  1601,                 14840,                972501,,              1063022,                134467,,              1644086,              2841575,,                259819,              7357039,                              0,              7357039,             13528953,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,2015年06月30日,,,,              3496118,,              3276461,,                808426,,                 70548,,                 83779,,                917135,,              1997091,                177212,              2174303,             10826770,,,                 14207,,                 73376,,              1834654,,              1341068,,                 62648,,,                 26109,                 26109,                 71198,,,              1016856,,                218389,              1235245,              4658505,             15485275,,,,,              4228013,,,,              1338354,,                190336,,                820786,                807478,              1628264,                    551,                178399,,                129314,                129314,              7693231,,,                308600,,                459685,,                  3977,                 61497,                 65474,                833759,              8526990,,,,              3283144,                              0,              3283144,,,                194145,                730821,                924966,                 31094,,                 14840,                970900,,              1063022,                134467,,              1355196,              2552685,,                151556,              6958285,                              0,              6958285,             15485275,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,2015年03月31日,,,,              3276288,,              2860080,,                761287,,                 42052,,                  1014,,              1219595,,              2468879,                414442,              2883321,             11043637,,,                 20393,,                 73376,,              1866546,,              1402861,,                 12171,,,                 25692,                 25692,                 60004,,,              1023256,,                209824,              1233080,              4694123,             15737760,,,,,              3868099,,                    392,,              1696162,,                139834,,,                785868,                785868,                390562,                127975,,                416029,                416029,              7424921,,,                313000,,                429623,,                  4251,                 61738,                 65989,                808612,              8233533,,,,              3283144,,              3283144,,,                194145,                730821,                924966,                 31094,,                 14840,                970900,,                914946,                134467,,              1999338,              3048751,,                201432,              7504227,                              0,              7504227,             15737760,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,2014年12月31日,,,,              3007440,,              3059306,,                708309,,                 45326,,                  2723,,                963034,,              2875665,                224727,              3100392,             10886530,,,                 23044,,                 73376,,              1771115,,              1430103,,                 12611,,,                 14744,                 14744,                 73512,,,              1057655,,                198951,              1256606,              4655111,             15541641,,,,,              4519173,,                              0,,              1293131,,                174663,,                              0,                799022,                799022,                387225,                106671,,                228861,                228861,              7508746,,,                316500,,                418872,,                  4523,                 61775,                 66298,                801670,              8310416,,,,              3283144,                              0,              3283144,,,                194145,                730821,                924966,                 31094,                              0,                 14840,                970900,,                914946,                134467,,              1664477,              2713890,,                263291,              7231225,                              0,              7231225,             15541641,              0,              0,              0,,                              0,              3007440,             15541641,,,,              4519173,,              1293131,,                174663,,                799022,                799022,                387225,                106671,,                228861,                228861,              7508746,,,                316500,,                418872,,                  4523,                 61775,                 66298,                801670,              8310416,,,,              3283144,              3283144,,,                194145,                730821,                924966,                 31094,                 14840,                970900,,                914946,                134467,,              1664477,              2713890,,                263291,              7231225,                              0,              7231225,,,,,,,
3022,2014年09月30日,,,,              4401415,,              2635123,,                876282,,                 57755,,                    967,,                953976,,              2882322,                421394,              3303716,             12229234,,,                 23656,,                 97540,,              1680134,,              1402596,,                 12302,,,                 14454,                 14454,                 66376,,,                823083,,                178515,              1001598,              4298656,             16527890,,,,,              4301549,,                              0,,              1558552,,                178906,,              1486707,                857320,              2344027,                401248,                 60182,,                301294,                301294,              9145758,,,                304200,,                365699,,                  7820,                 62533,                 70353,                740252,              9886010,,,,              3097306,                185838,              3283144,,,                194145,                730821,                924966,                 31094,                              0,                 14840,                970900,,                914946,                134467,,              1251817,              2301230,,                 86606,              6641880,                              0,              6641880,             16527890,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,2014年06月30日,,,,              4958830,,              1295489,,                793909,,                 31727,,                  1315,,              1017050,,              2935883,                202609,              3138492,             11236812,,,                 31553,,                 97540,,              1544002,,              1386110,,                 12319,,,                 17543,                 17543,                 66177,,,                808027,,                160287,                968314,              4123558,             15360370,,,,,              3307128,,,,              1880019,,                123372,,              1486707,                981008,              2467715,                400986,                 57434,,                212841,                212841,              8449495,,,                298650,,                339713,,                  7730,                 63088,                 70818,                709181,              9158676,,,,              3097306,                185838,              3283144,,,                194145,                730821,                924966,                 31094,,                 14840,                970900,,                914946,                134467,,                878201,              1927614,,                 20036,              6201694,                              0,              6201694,             15360370,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,2014年03月31日,,,,              3740619,,              2171031,,              1067511,,                 38392,,                 89464,,                885914,,              7975517,                324877,              8300394,             16299372,,,                 31423,,                100379,,              1698625,,              1328193,,                 82597,,,                 19913,                 19913,                 71320,,,                824489,,                118139,                942628,              4275078,             20574450,,,,,              8781247,,                              0,,              1278925,,                 49972,,,                988001,                988001,                404297,                 76010,,                849998,                849998,             12428450,,,                304700,,                338503,,                  7639,                 64022,                 71661,                714864,             13143314,,,,              3097306,,              3097306,,,                194145,                730821,                924966,                 31094,,                 14840,                970900,,                802861,                134467,,              2345142,              3282470,,                 80460,              7431136,                              0,              7431136,             20574450,              0,              0,              0,,                  6047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,2013年12月31日,,,,,,              2153141,,                796195,,                 34190,,                  1755,,                868124,,              6662346,                288578,              6950924,             13074810,,,                 21165,,                 92879,,              1550182,,              1558662,,                 82827,,,                 25025,                 25025,                 70227,,,                337310,,                115026,                452336,              3853303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  5864,              2264617,             16928113,,,,              6027722,,              1216756,,                 69516,,                952116,                952116,                409617,                 55877,,                521636,                521636,              9253240,,,                298050,,                325124,,                  7548,                 25884,                 33432,                656606,              9909846,,,,              3097306,              3097306,,,                194145,                730821,                924966,                 31094,                 14840,                970900,,                802861,                134467,,              1973142,              2910470,,                 20363,              6999039,                 19228,              7018267,                              0,                              0,                              0,,,,
3022,2013年09月30日,,,,,,              1035617,,                677440,,                 22418,,                  1023,,                852212,,              3083083,                145741,              3228824,              9460691,,,                 22269,,                 92879,,              1429230,,              1570258,,                 83011,,,                 28030,                 28030,                 66121,,,                361929,,                 76959,                438888,              3730686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 14759,              3628398,             13191377,,,,              2685556,,              1534912,,                 67425,,                840625,              1283097,                403413,                 55368,,                155838,                155838,              6185609,,,                              0,,                287831,,                  9315,                 26656,                 35971,                323802,              6509411,,,,              2949816,              3097306,,,                194145,                730821,                924966,                 31094,                 14840,                971691,,                802861,                134467,,              1691715,              2629043,,                -37085,              6660955,                 21011,              6681966,                442472,                147490,                    791,,,,
3022,2013年06月30日,,,,              3156510,,                319539,,                703893,,                 19886,,                    235,,                775257,,              3422469,                 92408,              3514877,              8505021,,,                 25061,,                 68715,,              1337306,,              1562819,,                 83528,,,                 28983,                 28983,                 78394,,,                394500,,                 89775,                484275,              3669081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 14824,,             12174102,,,,              2247514,,              1242378,,                102470,,                844610,              1287082,                397711,                 43960,,                179478,                179478,              5500593,,,,,                249399,,                  9398,                 26812,                 36210,                285609,              5786202,,,,              2949816,              3097306,,,                194145,                730821,                924966,                 31094,                 14840,                971691,,                802861,                134467,,              1362638,              2299966,,                 -3539,              6365424,                 22476,              6387900,                442472,                147490,                    791,                              0,                              0,,                              0
3022,2013年03月31日,,,,,,                106275,,                717273,,                 15410,,                 19975,,                830180,,              3150739,                 95720,              3246459,              7508650,,,                 28502,,                 68715,,              1360223,,              1575262,,                 83649,,,                 28287,                 28287,                113088,,,                360389,,                 42776,                403165,              3660891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,              2573078,             11169541,,,,              1765176,,              1147703,,                 80581,,                782838,                782838,                315349,                 67556,,                210015,                210015,              4369218,,,                              0,,                232228,,                  9577,                 27491,                 37068,                269296,              4638514,,,,              2949816,              2949816,,,                194145,                730821,                924966,                 31094,                 14840,                970900,,                701351,                134467,,              1825244,              2661062,,                -50751,              6531027,                              0,              6531027,,,,,,,
3022,2012年12月31日,,,,              2096167,,                102564,,                675067,,                 20876,,                    374,,                886287,,              2978124,                101926,              3080050,              6869660,,,                 27009,,                 68715,,              1222433,,              1452500,,                 83649,,,                 31291,                 31291,                118106,,,                              0,,                176200,                176200,              3179903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  8275,,             10049563,,,,              1173467,,              1109772,,                 85734,,                695323,                695323,                307638,                 53352,,                209126,                209126,              3634412,,,                              0,,                213569,,                  9762,                 27680,                 37442,                251011,              3885423,,,,              2949816,              2949816,,,                194145,                730821,                924966,                 31094,                 14840,                970900,,                701351,                              0,,              1676604,              2377955,,               -134531,              6164140,                              0,              6164140,,,,                              0,                              0,,
3022,2012年09月30日,,,,              4021766,,                              0,,                681124,,                 23978,,                  1300,,              1122488,,              1261589,                 81348,              1342937,              7535183,,,                 34800,,                 69375,,              1145225,,              1468935,,                 84030,,,                 16331,                 16331,                102874,,,                              0,,                 54120,                 54120,              2975690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                295391,,             10510873,,,,                294841,,              1480746,,                100947,,              1368845,              2049572,                  3943,                 73837,,                220008,                220008,              4223894,,,,,                219124,,                  9758,                 28609,                 38367,                257491,              4481385,,,,              2269089,              2949816,,,                194145,                730821,                924966,                 31094,                 14840,                970900,,                701351,                              0,,              1530346,              2231697,,               -122925,              6029488,                              0,              6029488,                680727,                680727,                              0,                              0,                              0,,                 46199
3022,2012年06月30日,,,,              3002901,,                              0,,                632063,,                 20249,,                  1201,,              1166620,,              1401597,                 87134,              1488731,              6653645,,,                 34311,,                  7495,,              1027566,,              1506511,,                 84719,,,                  6513,                  6513,                102375,,,                              0,,                 44169,                 44169,              2813659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                294638,,              9467304,,,,                241103,,              1468400,,                137389,,                670685,              1351412,                    463,                 51468,,                197270,                197270,              3447505,,,,,                205591,,                  9945,                 27757,                 37702,                243293,              3690798,,,,              2269089,              2949816,,,                194145,                730821,                924966,                 31094,                 14840,                970900,,                701351,                              0,,              1220954,              1922305,,                -66515,              5776506,                              0,              5776506,                680727,                680727,                              0,                              0,                              0,,                 47242
3022,2012年03月31日,,,,              2390178,,                              0,,                556776,,                 24461,,                  1459,,                931971,,              1462358,                 69605,              1531963,              6445936,,,                 49812,,                 54379,,              1053231,,              1514844,,                 85000,,,                  7642,                  7642,                105570,,,                              0,,                 64670,                 64670,              2935148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        173000,,                287119,,              9381084,,,,                715798,,              1244557,,                 90692,,                633755,                633755,                  5012,                 92218,,                206273,                206273,              2988305,,,,,                212868,,                 10367,                 29833,                 40200,                253068,              3241373,,,,              2269089,              2269089,,,                194145,                730821,                924966,                 29377,                              0,                969183,,                563883,                 61088,,              2361874,              2986845,,                -80113,              6139711,,              6139711,,,,                 14840,                  5293,,                722009
3022,2012年01月01日,,,,              2414219,,              1531904,,                505435,,                 56546,,                  1470,,                809012,,              1701387,                 59390,              1760777,              7397948,,,                 46871,,                 55544,,                962035,,              1559754,,                 85739,,,                  9536,                  9536,                 98703,,,                              0,,                 39858,                 39858,              2858040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        173000,,                318585,,             10255988,,,,              1867861,,              1329496,,                 79167,,                604035,                604035,                  1071,                 85040,,                 96713,                 96713,              4063383,,,                              0,,                200954,,                 10341,                 22766,                 33107,                234061,              4297444,,,,              2269089,              2269089,,,                194145,                730821,                924966,                 29377,                              0,                969183,,                563883,                 61088,,              2114303,              2739274,,                -13709,              5958544,                              0,              5958544,,,,                 14840,                  5293,,
