證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他非流動資產－其他,　　　　 短期借款,　　　　　 短期借款合計,　　　　　 其他應付款－其他,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動合計,　　　　　 應付帳款,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 其他應付款－其他,　　　 避險之衍生金融負債－非流動,　　　 按攤銷後成本衡量之金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 庫藏股票,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 按攤銷後成本衡量之金融資產－非流動,　　　　 按攤銷後成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 試驗設備淨額,　　　　　 試驗設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 遊樂設備淨額,　　　　　 遊樂設備淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　 無形資產,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　　 特別股股本,　　　　 債券換股權利證書,　　　　 預收股本,　　　　 待分配股票股利,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計
3040,2015年09月30日,,,,                298505,                298505,,                354034,,                  1187,,                117131,,,                 13138,                 13138,                 13138,,                371215,,                 29149,              1184359,,,                134810,,                              0,,                178677,,                 17273,,                158856,                  9384,,                131225,,                    560,                131785,                630785,              1815144,,,,,                  5860,,                 47931,                 47044,,,                 16276,                 16276,                  5565,                 21841,                122676,,,                    343,,                 45129,                 45129,                 45472,                168148,,,,                630000,                630000,,                 12232,,                258054,                 58136,,                505316,                821506,,                183258,              1646996,                              0,              1646996,              1815144,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2015年06月30日,,,,,                377660,,                324764,,                  2473,,                 66264,,,,                 10362,                 10362,,                454129,,                 42278,              1277930,,,                176030,,                              0,,                193050,,                 17794,,                158536,                  9655,,                129654,,                    599,                130253,                685318,              1963248,,,,,                  2778,,                228216,                 51575,,,                 17374,                 17374,                  9097,                 26471,                309040,,,                    820,,                 42754,                 42754,                 43574,                352614,,,,                630000,                630000,,                 12232,,                258054,                 58136,,                451361,                767551,,                200851,              1610634,                              0,              1610634,              1963248,              0,              0,              0,                    599,,                              0,                228216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2015年03月31日,,,,                343956,                343956,,                274548,,                  4940,,                 69557,,,                  9691,                  9691,                  9691,,                454919,,                 30545,              1188156,,,                143205,,                              0,,                190300,,                 18781,,                162748,                  9579,,                134217,,                    605,                134822,                659435,              1847591,,,,,                  2078,,                 46954,                  3000,,,                 21674,                 21674,                  9420,                 31094,                 83126,,,                  1112,,                 43352,                 43352,                 44464,                127590,,,,                630000,                630000,,                  9118,,                201687,                 58136,,                644940,                904763,,                176382,              1720263,                   -262,              1720001,              1847591,              0,              0,              0,                    605,,                              0,,,                              0,,                              0,                  2078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2014年12月31日,,,,                582286,                582286,,                277897,,                  2904,,                  9173,,,                  8826,                  8826,                  8826,,                456176,,                 35058,              1372320,,,                136120,,                              0,,                188917,,                 19237,,                236201,                 10156,,                139609,,                    614,                140223,                730854,              2103174,,,,,                  5617,,                318015,                  5148,,,                 17493,                 17493,                  2689,                 20182,                348962,,,                  1517,,                 42579,                 42579,                 44096,                393058,,,,                630000,                630000,,                 11521,,                201687,                 58136,,                630100,                889923,,                180965,              1712409,                 -2293,              1710116,              2103174,              0,              0,              0,                    614,,                              0,                318015,,                              0,,                              0,                  5617,                582286,                277897,                              0,              2103174,,,,                              0,,                  5617,,                318015,                  5148,,,                 17493,                 17493,                  2689,                 20182,                348962,,,                  1517,,                 42579,                 42579,                 44096,                393058,,,,                630000,                630000,,                 11521,,                201687,                 58136,,                630100,                889923,,                180965,              1712409,                 -2293,              1710116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2014年09月30日,,,,                468033,                468033,,                393935,,                  5220,,                 24590,,,                 12777,                 12777,                 12777,,                              0,,                 32471,                937026,,,                136061,,                     25,,                120047,,                 58104,,                629090,                 10037,,                153813,,                    590,                154403,              1107767,              2044793,,,,,                  4172,,                 59798,                  1978,,,                 15061,                 15061,                  3460,                 18521,                 84469,,,                              0,,                 39906,                 39906,                 39906,                124375,,,,                900000,                900000,,                 11521,,                201687,                 58136,,                604546,                864369,,                147509,              1923399,                 -2981,              1920418,              2044793,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2014年06月30日,,,,,                323313,,                  4854,,                 11403,,                 40480,,,,                 19941,                 19941,,                174891,,                 31965,                606847,,,                127564,,                     24,,                118399,,                 58222,,                629547,                 25855,,                154266,,                    636,                154902,              1114513,              1721360,,,,,                  3686,,                134510,                  1767,,,                 15032,                 15032,                  2368,                 17400,                277363,,,                              0,,                 41873,                 41873,                 41873,                319236,,,,                900000,                900000,,                 11521,,                201687,                 58136,,                108850,                368673,,                125966,              1406160,                 -4036,              1402124,              1721360,              0,              0,              0,                    636,,                120000,                134510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2014年03月31日,,,,                279318,                279318,,                  4953,,                 12202,,                  6141,,,                 26287,                 26287,                 26287,,                              0,,                 36209,                365110,,,                137585,,                     25,,                117059,,                 64413,,                813393,                 25934,,                160741,,                    657,                161398,              1319807,              1684917,,,,,                  5740,,                 40705,                  7029,,,                 18439,                 18439,                  4234,                 22673,                161147,,,                              0,,                 39541,                 39541,                 39541,                200688,,,,                900000,                900000,,                 11521,,                198572,                 58136,,                169297,                426005,,                149796,              1487322,                 -3093,              1484229,              1684917,              0,              0,              0,                    657,,                 85000,,,                              0,,                              0,                  5740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2013年12月31日,,,,                257479,,,,,                 11960,,                  8117,,,                 26181,                 26181,                 26181,,                              0,,                 33786,                342411,,,                124463,,                     24,,                115296,,                 64853,,                815006,                 26447,,                161946,,                  4474,                166420,              1312509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,                257479,                  4888,                              0,              1654920,,,,                 85000,,                  6556,,                 41311,                  2744,,,                 24388,                 24388,                  2468,                 26856,                162467,,,                              0,,                 37288,                 37288,                 37288,                199755,,,,                900000,                900000,,                 11521,,                198572,                 58136,,                163570,                420278,,                125708,              1457507,                 -2342,              1455165,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2013年09月30日,,,,                391292,,,,,                  8514,,                  4382,,,                 20702,                 20702,                 20702,,,,                 30821,                460521,,,                127365,,                     24,,                114249,,                 65058,,                815856,                 25603,,                162570,,                  4440,                167010,              1315165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,                391292,                  4810,,              1775686,,,,                 85000,,                  5701,,                179036,                  4679,,,                 11842,                 11842,                  8939,                 20781,                295197,,,,,                 33836,                 33836,                 33836,                329033,,,,                900000,                900000,,                 11521,,                198572,                 58136,,                161116,                417824,,                118268,              1447613,                   -960,              1446653,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,2013年06月30日,,,,,,,,,                 11508,,                  4970,,,,                 15407,                 15407,,                              0,,                 27156,                504058,,,                 79435,,                     24,,                113323,,                 65005,,                821845,                 24777,,                167381,,                  4836,                172217,              1276626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                  4836,,,,,,,,,                353024,                 56000,                              0,              1780684,,,,                 85000,,                  4324,,                 61574,                  5436,,,                 18509,                 18509,                  2550,                 21059,                177393,,,                              0,,                 32666,                 32666,                 32666,                210059,,,,              1038659,              1038659,,                  9118,,                198572,                 58136,,                155561,                412269,,                110579,              1570625,                              0,              1570625,,                 35993,                 61574,                              0,                              0,,                              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
