證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 持有供交易之金融資產－流動,　　　　 以成本衡量之金融資產－非流動,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 應收帳款－關係人,　　　　 待分配股票股利
1709,2015年09月30日,,,,                925395,,                180339,,                 40043,                 40043,,                169100,,                747863,,                              0,,                 53711,,                  2987,,                    618,,,              2893063,              2893063,,                 61438,,                  2771,              5077328,,,                447818,,                              0,,                209013,                209013,,              2712113,,                  4750,,                 92804,                 75493,,              1174133,              4716124,              9793452,,,,,                650000,,                    630,,                 10590,,                232118,,                485793,                 18415,                 90747,,                 25792,,                241282,              1755367,,,                654999,,                237707,,                167991,,                113754,              1174451,              2929818,,,,              4299329,              4299329,,                245847,,                654236,                251175,,                889426,              1794837,,                144614,              6484627,                379007,              6863634,              9793452,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,2015年06月30日,,,,                934459,,                220450,,                 15505,                 15505,,                227379,,                938291,,                 22466,,                 50009,,                  2755,,                    618,,,              2705274,              2705274,,                 25160,,                  3427,              5145793,,,                425112,,                              0,,                202855,                202855,,              2752095,,                  4783,,                 92934,                 71612,,              1062357,              4611748,              9757541,,,,,                580000,,                  3920,,                  7013,,                387113,,                640836,                 18902,                 58798,,                 25529,,                344954,              2067065,,,                651822,,                185546,,                165250,,                117127,              1119745,              3186810,,,,              4299329,              4299329,,                245847,,                654236,                251175,,                636875,              1542286,,                131610,              6219072,                351659,              6570731,              9757541,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,2015年03月31日,,,,              1033681,,                280390,,                 13250,                 13250,,                273696,,                906020,,                              0,,                 47957,,                  2677,,                  3420,,,              2835719,              2835719,,                 44160,,                  5308,              5446278,,,                242013,,                              0,,                209124,                209124,,              2801421,,                  4816,,                 93146,                 85007,,              1006949,              4442476,              9888754,,,,,                830000,,                  6580,,                  6191,,                419753,,                313790,                 19192,                 41728,,                 25091,,                454644,              2116969,,,                648661,,                224134,,                173091,,                121616,              1167502,              3284471,,,,              4299329,              4299329,,                245847,,                635562,                251175,,                692482,              1579219,,                137594,              6261989,                342294,              6604283,              9888754,              0,              0,              0,                280390,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,2014年12月31日,,,,              1057969,,                              0,,                 49257,                 49257,,                 93631,,                976400,,                    393,,                 63377,,                  3695,,                  3428,,,              3559553,              3559553,,                 34301,,                  1643,              5843647,,,                243176,,                              0,,                214017,                214017,,              2845834,,                  4849,,                 93527,                 82568,,                850428,              4334399,             10178046,,,,,              1182000,,                  8330,,                  7654,,                394466,,                427798,                 19580,                 25602,,                 25387,,                350301,              2441118,,,                645515,,                268442,,                171346,,                123395,              1208698,              3649816,,,,              4299329,              4299329,,                245847,,                635562,                251175,,                622553,              1509290,,                142148,              6196614,                331616,              6528230,             10178046,              0,              0,              0,                              0,                              0,                              0,              1057969,                  3428,             10178046,,,,              1182000,,                  8330,,                  7654,,                394466,,                427798,                 19580,                 25602,,                 25387,,                350301,              2441118,,,                645515,,                268442,,                171346,,                123395,              1208698,              3649816,,,,              4299329,              4299329,,                245847,,                635562,                251175,,                622553,              1509290,,                142148,              6196614,                331616,              6528230,,,,
1709,2014年09月30日,,,,                529375,,                546757,,                 47945,                 47945,,                129079,,              1130274,,                    377,,                 97927,,                  3294,,                  3399,,,              4056900,              4056900,,                 60349,,                  7139,              6612815,,,                260423,,                  2559,,                213689,                213689,,              2835682,,                  4882,,                 93527,                104599,,                619776,              4135137,             10747952,,,,,              1494000,,                  5810,,                 17177,,                646033,,                337582,                 20468,                 17981,,                 25783,,                374819,              2939653,,,                642384,,                330380,,                196903,,                143801,              1313468,              4253121,,,,              4299329,              4299329,,                245850,,                635562,                251175,,                586155,              1472892,,                146906,              6164977,                329854,              6494831,             10747952,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,2014年06月30日,,,,                932738,,                646334,,                 11642,                 11642,,                195719,,              1078144,,                    370,,                 72647,,                  3073,,                  3399,,,              3800957,              3800957,,                 12671,,                  5411,              6763105,,,                256773,,                  7059,,                123296,                123296,,              2875563,,                  4916,,                 93890,                 93978,,                528378,              3983853,             10746958,,,,,                973000,,                  5110,,                  6718,,                768743,,                650875,                 20857,                 39868,,                 24313,,                408066,              2897550,,,                639268,,                407132,,                185574,,                146590,              1378564,              4276114,,,,              4299329,              4299329,,                245852,,                635562,                251175,,                565429,              1452166,,                140427,              6137774,                333070,              6470844,             10746958,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,2014年03月31日,,,,                877890,,                609579,,                 87500,                 87500,,                168997,,              1293860,,                  1134,,                123901,,                     75,,                  3399,,,              3772500,              3772500,,                 37988,,                  5824,              6982647,,,                258672,,                  8559,,                128260,                128260,,              2907202,,                  4949,,                 94310,                 91045,,                433046,              3926043,             10908690,,,,,              1337000,,                  4830,,                  5707,,                570455,,                274289,                 21245,                 70928,,                 22230,,                447709,              2754393,,,                636168,,                488583,,                186496,,                149224,              1460471,              4214864,,,,              4299329,              4299329,,                245850,,                605884,                251175,,                806857,              1663916,,                147104,              6356199,                337627,              6693826,             10908690,              0,              0,              0,                609579,                  8559,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,2013年12月31日,,,,,,,,                 99679,                 99679,,                 93910,,                879840,,                  1109,,                117035,,                     74,,,,,              4000893,              4000893,,                 27017,,                  2516,              6069785,,,                259236,,                  8559,,                124936,                124936,,              2964383,,                  4982,,                 94181,                 93079,,                320620,              3869976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  8559,,                844304,                  3408,              9939761,,,,                968833,,                              0,,                  5777,,                718593,,                355734,                 11440,                 48182,,                 21589,,                397009,              2527157,,,                              0,,                588124,,                185649,,                152715,                926488,              3453645,,,,              4299329,              4299329,,                191248,,                605884,                251175,,                708992,              1566051,,                143232,              6199860,                286256,              6486116,,,,
1709,2013年09月30日,,,,,,                              0,,                 74474,                 74474,,                 98008,,                762506,,                  1100,,                 99316,,                              0,,,,,              3804269,              3804269,,                 50892,,                  8269,              5871151,,,                231736,,                  8559,,                124634,                124634,,              2988934,,                  5016,,                 94627,                 70111,,                230784,              3754401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                971736,                    581,              9625552,,,,                816000,,                              0,,                  7486,,                603439,,                276180,                 11250,                 43100,,                 25429,,                447102,              2229986,,,                              0,,                679412,,                163569,,                165839,              1008820,              3238806,,,,              4299329,              4299329,,                191176,,                605884,                251175,,                640538,              1497597,,                117822,              6105924,                280822,              6386746,,,,
1709,2013年06月30日,,,,,,                303078,,                 57122,                 57122,,                140429,,              1225243,,                              0,,                129685,,                              0,,,,,              3590370,              3590370,,                 15490,,                  7697,              5961033,,,                233247,,                  8559,,                131692,                131692,,              2962559,,                  5051,,                 94697,                 71865,,                191365,              3699035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                491339,                    580,              9660068,,,,                246000,,                              0,,                  5760,,                533769,,                470429,                  9720,                 60683,,                 22984,,                573056,              1922401,,,                              0,,              1170774,,                162051,,                167734,              1500559,              3422960,,,,              4299329,              4299329,,                189549,,                605884,                251175,,                586546,              1443605,,                119981,              6052464,                184644,              6237108,,,,
1709,2013年03月31日,,,,,,                205775,,                 84792,                 84792,,                107192,,              1433132,,                              0,,                 58319,,                              0,,,,,              3707218,              3707218,,                 50298,,                 19638,              6066627,,,                230994,,                 61134,,                134059,                134059,,              2974059,,                  5086,,                 94200,                 73774,,                120638,              3693944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                205775,                 61134,,                400263,                              0,              9760571,,,,                366000,,                              0,,                  5383,,                760348,,                243042,                  4900,                 39901,,                 20644,,                535689,              1975907,,,                              0,,              1142833,,                165331,,                167760,              1475924,              3451831,,,,              4299329,              4299329,,                189549,,                565072,                251175,,                689828,              1506075,,                118658,              6113611,                195129,              6308740,                              0,,,
1709,2012年12月31日,,,,                345827,,                682283,,                 84708,                 84708,,                 75193,,                825748,,                              0,,                 59559,,                              0,,,,,              3567470,              3567470,,                 36811,,                  1686,              5679866,,,                224975,,                 61134,,                129389,                129389,,              3012709,,                  5121,,                 93709,                 77733,,                115258,              3720028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 61134,,,                    581,              9399894,,,,                330000,,,,                  8068,,                516580,,                342063,                              0,                 20936,,                 22136,,                449045,              1688828,,,,,              1201750,,                160314,,                170068,              1532132,              3220960,,,,              4299329,              4299329,,                189549,,                565072,                251175,,                577260,              1393507,,                109661,              5992046,                186888,              6178934,,                682283,,
1709,2012年09月30日,,,,                645029,,                252700,,                114364,                114364,,                112005,,                945806,,                              0,,                 77816,,,,,,,              3518457,              3518457,,                 62392,,                 24293,              5752862,,,                233378,,                 87225,,                129339,                129339,,              2937406,,                  4173,,                 97368,                 71340,,                209966,              3770195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 87225,,,                              0,              9523057,,,,                346000,,,,                  5351,,                523297,,                647048,                              0,                 38396,,                 10290,,                362866,              1933248,,,,,              1101833,,                169785,,                115997,              1387615,              3320863,,,,              4299329,              4299329,,                182096,,                565072,                251175,,                619042,              1435289,,                117906,              6034620,                167574,              6202194,,                252700,                              0,
1709,2012年06月30日,,,,                298058,,                231127,,                 70455,                 70455,,                116143,,              1115909,,,,                 74337,,,,,,,              3860571,              3860571,,                 26542,,                 21941,              5815083,,,                233930,,                 87225,,                129350,                129350,,              2977342,,                  4207,,                 95162,                 91337,,                194794,              3813347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 87225,,,                              0,              9628430,,,,                507000,,,,                  4842,,                778038,,                656470,                              0,                 74247,,                  8145,,                420558,              2449300,,,,,                784250,,                190863,,                117682,              1092795,              3542095,,,,              3908481,              4299329,,                150028,,                565072,                251175,,                490062,              1306309,,                117567,              5873233,                213102,              6086335,                              0,                231127,,                390848
1709,2012年03月31日,,,,                308827,,                216484,,                115077,                115077,,                115869,,              1100685,,,,                 69336,,,,,,,              3123740,              3123740,,                 86019,,                  4145,              5140182,,,                231048,,                 87225,,                134504,                134504,,              2702035,,                  4242,,                 95583,                 57901,,                519667,              3832205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 87225,,,                              0,              8972387,,,,                421569,,,,                  4810,,                576416,,                307392,                              0,                160873,,                  7490,,                442021,              1920571,,,,,                492000,,                164168,,                118939,                775107,              2695678,,,,              3908481,              3908481,,                150028,,                480251,                251175,,              1146907,              1878333,,                115672,              6052514,                224195,              6276709,                              0,                216484,,
