證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 營建用地,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 遞延所得稅資產,　　　　 短期借款,　　　　　 短期借款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　　 淨確定福利負債-非流動,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　　 現金及約當現金合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應計退休金負債（應付退休金費用）,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 應收建造合約款,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 庫藏股票
2491,2015年09月30日,,,,                  6174,,                              0,,                    227,,                 29463,,                 83381,,                  2916,,                      4,,,                 92303,,                415969,                415969,                508272,,                 14025,,                  1370,                  1355,                  2725,                647187,,,                              0,,              1537256,,                    340,,                 62487,,                  1060,,                     84,,                    222,                 63853,              1601449,              2248636,,,,,                 10036,,                116310,,                 80798,                 10500,                              0,,,                  8535,,              1242048,                  5000,              1255583,              1473227,,,                  4788,                185921,                190709,                190709,              1663936,,,,                645500,                645500,,                 46196,,                  1733,                      5,,               -305454,               -303716,,                              0,                387980,                196720,                584700,              2248636,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2015年06月30日,,,,                 12662,,                  2307,,                    227,,                 32527,,                 87515,,                  5858,,                      3,,,                 90724,,,                415969,                506693,,                 20086,,,,                  2623,                670506,,,                              0,,              1542097,,                    413,,                 62487,,                  1060,,                    114,,                  1117,                 64778,              1607288,              2277794,,,,,                 18702,,                105584,,                 79751,                  8000,                              0,,,                  8896,,              1257308,                  4904,              1271108,              1483145,,,                  2588,                185921,                188509,                188509,              1671654,,,,                645500,                645500,,                 46196,,                  1733,                      5,,               -292179,               -290441,,                              0,                401255,                204885,                606140,              2277794,              0,              0,              0,,                      5,                              0,,                              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2015年03月31日,,,,                 44835,,,,                  1917,,                 32395,,                 81474,,                     37,,                      4,,,                 76795,,,                415969,                492764,,                 16261,,,,                  1443,                681841,,,                  4263,,              1548950,,                    498,,                 62487,,                  1060,,                     75,,                    478,                 64100,              1617811,              2299652,,,,,                 14537,,                 79832,,                 80947,                  8000,                    751,,,                 11196,,              1274440,                  5013,              1290649,              1474716,,,                  1074,                193371,                194445,                194445,              1669161,,,,                645500,                645500,,                 46196,,                  1733,                      5,,               -278405,               -276667,,                              0,                415029,                215462,                630491,              2299652,              0,              0,              0,,,,,,,,,,,,                 10711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2014年12月31日,,,,                 22842,,                 15031,,                  1917,,                 43590,,                114480,,                 23179,,                      4,,,                 86965,,                415969,                415969,                502934,,                 11179,,                    215,                    311,                    526,                735682,,,                  4263,,              1556558,,                    588,,                 65997,,                  1060,,                    241,,                    610,                 67908,              1629317,              2364999,,,,,                 22358,,                 98126,,                 93113,                  8500,                    751,,,                 15110,,              1284926,                  4977,              1305013,              1527861,,,                  1074,                204381,                205455,                205455,              1733316,,,,                630000,                630000,,                 41546,,                  1733,                      5,,               -266305,               -264567,,                              0,                406979,                224704,                631683,              2364999,              0,              0,              0,,                              0,                              0,,                              0,,                              0,,                              0,                              0,,                 15031,                 22842,,                              0,                      4,              2364999,,,,                 22358,,                 98126,,                 93113,                  8500,                    751,,,                 15110,,              1284926,                  4977,              1305013,              1527861,,,                              0,,                  1074,                204381,                205455,                205455,              1733316,,,,                630000,                630000,,                 41546,,                  1733,                      5,,               -266305,               -264567,,                              0,                406979,                224704,                631683,,,,,,,,,,,,,,,,,,
2491,2014年09月30日,,,,                 26910,,                 19011,,                  1917,,                 42939,,                113042,,                    102,,                      5,,,                110605,,                415969,                415969,                526574,,                 28986,,                    215,                    444,                    659,                760145,,,                  4263,,              1619746,,                    679,,                 66187,,                  1060,,                    576,,                    753,                 68576,              1693264,              2453409,,,,,                 18657,,                 95603,,                 97537,                  1200,                    774,,,                 15722,,              1296747,                  5131,              1317600,              1531371,,,                  1074,                208731,                209805,                209805,              1741176,,,,                630000,                630000,,                 41546,,                  1733,                      5,,               -225410,               -223672,,                              0,                447874,                264359,                712233,              2453409,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2014年06月30日,,,,                 26828,,                 33437,,                  2786,,                 37939,,                133450,,                  1837,,                      5,,,                110275,,,                415969,                526244,,                 27577,,,,                  1068,                791171,,,                  5948,,              1631842,,                    769,,                 66357,,                  1060,,                    311,,                    937,                 68665,              1707224,              2498395,,,,,                 18626,,                100373,,                 99341,                 33540,                    633,,,                 12740,,              1308137,                  5025,              1325902,              1578415,,,                    320,                221561,                221881,                221881,              1800296,,,,                630000,                630000,,                 29341,,                  1733,                      5,,               -221145,               -219407,,                              0,                439934,                258165,                698099,              2498395,              0,              0,              0,,                              0,                              0,,                              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2014年03月31日,,,,                 44901,,,,                  4032,,                 61979,,                129235,,                    317,,                      3,,,                109909,,,                415969,                525878,,                 26731,,,,                 32003,                877287,,,                  5948,,              1763136,,                    860,,                 67727,,                  1060,,                    497,,                  1133,                 70417,              1840361,              2717648,,,,,                 21955,,                117490,,                114563,                 29440,                    796,,,                 18211,,              1380918,                236888,              1636017,              1920261,,,                    320,                243371,                243691,                243691,              2163952,,,,                630000,                630000,,                 29341,,                  1733,                      5,,               -439550,               -437812,,                              0,                221529,                332167,                553696,              2717648,              0,              0,              0,,,,,,,,,,,,                 52208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2013年12月31日,,,,,,                204201,,                  4032,,                 41038,,                155066,,                    374,,,,,                125835,,,                415969,                541804,,                 23150,,,,                  3373,              1003414,,,                  5948,,              1781756,,                    953,,                 67897,,                  1060,,                    451,,                  1331,                 70739,              1859396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,,,                 29298,,                  1075,                      3,              2862810,,,,                 18134,,                128831,,                112948,                128700,                    101,,,                  8350,,              1521195,                237011,              1766556,              2155270,,,                  3723,,                    320,                258851,                259171,                262894,              2418164,,,,                630000,                630000,,                 29341,,                  1733,                      5,,               -491124,               -489386,,                              0,                169955,                274691,                444646,,,,,,,,,,,,,,,,,,
2491,2013年09月30日,,,,,,                207449,,                  3725,,                 39559,,                130663,,                  2173,,,,,                119409,,                415969,                415969,                535378,,                 33687,,                    215,                    301,                    516,                985643,,,                  6384,,              1801238,,                  1053,,                 68347,,                  1060,,                    315,,                  2280,                 72002,              1880677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,,,                 32456,,                              0,                     37,              2866320,,,,                 24397,,                 82455,,                126947,                128700,                              0,,,                  4900,,              1460676,                236934,              1702510,              2065009,,,                  9258,,                     19,                384263,                384284,                393542,              2458551,,,,                630000,                630000,,                 29341,,                  1733,                      5,,               -545297,               -543559,,                              0,                115782,                291987,                407769,                      2,,,,,,,,,,,,,,,,,
2491,2013年06月30日,,,,,,,,                  4330,,                 46289,,                182895,,                  6417,,,,,                186895,,,                415969,                602864,,                 51744,,,,                 23996,              1005008,,,                  7459,,              2859846,,                  1541,,                 77030,,                  1060,,                    525,,                  2755,                 81370,              2984539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 10905,                 34323,,,,,,,,,                              0,                 57123,,                  3658,                     43,              3989547,,,,                 30414,,                123583,,                161360,                132700,                              0,,,                 15359,,              1489141,                240767,              1745267,              2329928,,,                298810,,                 23250,                418262,                441568,                740378,              3070306,,,,                630000,                630000,,                 22710,,                  1733,                      5,,               -541465,               -539727,,                    -10,                112973,                806268,                919241,                     56,,                 14744,,                 96000,,                  9320,                  1483,,                 29801,,,,,,,,
