證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 避險之衍生金融資產－流動,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 避險之衍生金融資產－非流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 按攤銷後成本衡量之金融負債－非流動,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 其他流動資產－其他,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 按攤銷後成本衡量之金融負債－非流動,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 避險之衍生金融負債－流動,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計
1519,2015年09月30日,,,,                 90886,,                 16647,                  1854,,                 12451,,                 20406,,              2153236,,                 24176,                631145,,                              0,,              2289973,,                100409,,                 58226,              5399409,,,                  7637,,                 64225,,                 27000,,                513855,,              1454912,,                 15913,                 62290,,                    821,                  4870,                 28235,                 33926,              2179758,              7579167,,,,,                638804,,                    891,                              0,,              1975810,                  4030,,                187307,                  7879,,,                503852,                 53883,                557735,              3372456,,,                    219,,                741800,,                 66092,,                272082,                  1902,                273984,              1082095,              4454551,,,,              2610585,              2610585,,                  1033,,                297468,                              0,,                222911,                520379,,,                 19645,,                -35175,,                  1854,                -13676,              3118321,                  6295,              3124616,              7579167,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,2015年06月30日,,,,                209091,,                  2759,                              0,,                 12451,,                 12109,,              2063019,,                 32593,                491861,,                              0,,              1788558,,                 97264,,                 28728,              4738433,,,                    700,,                 77100,,                 27000,,                521238,,              1475187,,                 15646,                 62422,,                              0,                  7589,                 27774,                 35363,              2214656,              6953089,,,,,                275136,,                  1622,                    100,,              1661981,                 26543,,                295727,                 27652,,,                600227,                 45554,                645781,              2934542,,,                  4194,,                591800,,                 61858,,                272034,                  1901,                273935,                931787,              3866329,,,,              2610585,              2610585,,                  1033,,                297468,                              0,,                181564,                479032,,,                 11933,,                -22300,,                    368,                 -9999,              3080651,                  6109,              3086760,              6953089,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,2015年03月31日,,,,                136163,,                  7197,                    212,,                 12451,,                 19524,,              2052304,,                152917,                305570,,                  5782,,              1527084,,                 91793,,                 34084,              4345081,,,                    752,,                 83350,,                 27000,,                532044,,              1482078,,                 15031,                 62404,,                    317,                  1072,                 28233,                 29622,              2232281,              6577362,,,,,                375420,,                  1447,,,              1318356,                 10649,,                142713,                 43826,,,                558715,                 58314,                617029,              2509440,,,,,                591800,,                 59339,,,,                273926,                927720,              3437160,,,,              2610585,              2610585,,                  1033,,                271477,                  2118,,                249804,                523399,,,,,,,,                   -964,              3134053,                  6149,              3140202,              6577362,              0,              0,                              0,,                              0,                  2655,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,2014年12月31日,,,,                406531,,                 10758,                    366,,                 12451,,                 19196,,              1999102,,                 76908,                269342,,                  8410,,              1469972,,                106094,,                 54483,              4433613,,,                    882,,                 82825,,                 27000,,                540884,,              1488148,,                 11217,                 62536,,                  1000,                  4505,                 28853,                 34358,              2247850,              6681463,,,,,                473312,,                  5803,                              0,,              1226336,                  8908,,                216847,                 41505,,,                533691,                 96640,                630331,              2603042,,,                  3186,,                591800,,                 56459,,                271864,                  3624,                275488,                926933,              3529975,,,,              2610585,              2610585,,                  1033,,                271477,                  2118,,                252774,                526369,,,                 23533,,                -16575,,                    366,                  7324,              3145311,                  6177,              3151488,              6681463,              0,              0,                              0,,                              0,                  3186,              0,                406531,                 12451,                  8410,                 54483,              6681463,,,,                473312,,                  5803,,                              0,,              1226336,                  8908,,                216847,                216847,                 41505,,,                533691,                 96640,                630331,              2603042,,                  3186,,                591800,,                 56459,,                271864,                  3624,                275488,                926933,              3529975,,,,              2610585,              2610585,,                  1033,,                271477,                  2118,,                252774,                526369,,,                 23533,,                -16575,,                    366,                  7324,              3145311,                  6177,              3151488,,,
1519,2014年09月30日,,,,                113851,,                  3628,                              0,,                  7886,,                 48023,,              1837374,,                    700,                 93514,,                 18722,,              1727095,,                 93379,,                 36196,              3980368,,,                    623,,                 87150,,                 27000,,                211242,,              1495937,,                  8508,                 57192,,                  1976,                  2052,                 27769,                 31797,              1919449,              5899817,,,,,                461283,,                  6432,                     30,,                981170,                 16027,,                157505,                  9438,,,                602285,                 89635,                691920,              2323805,,,                    343,,                252920,,                 53748,,                257937,                  3629,                261566,                568577,              2892382,,,,              2610585,              2610585,,                  1033,,                271477,                  2118,,                120794,                394389,,,                  7120,,                -12250,,                    -30,                 -5160,              3000847,                  6588,              3007435,              5899817,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,2014年06月30日,,,,                281903,,                              0,                              0,,                  7886,,                 57088,,              1532061,,                    154,                 91755,,                 10523,,              1880593,,                103208,,                 28507,              3993678,,,                              0,,                 89375,,                              0,,                217533,,              1497337,,                  7892,                 58190,,                    488,                  1541,                 27446,                 29475,              1899802,              5893480,,,,,                499634,,                    202,                              0,,              1151621,                 32095,,                212401,                  6628,,,                431465,                 74042,                505507,              2408088,,,                    203,,                225920,,                 52266,,                257636,                  4687,                262323,                540712,              2948800,,,,              2610585,              2610585,,                  1033,,                271477,                  2118,,                 61152,                334747,,,                  2518,,                -10025,,                              0,                 -7507,              2938858,                  5822,              2944680,              5893480,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,2014年03月31日,,,,                323193,,                  2944,                    524,,                  7886,,                 54488,,              1570663,,                              0,                 88936,,                 10523,,              1715005,,                 74884,,                 45349,              3894395,,,                    931,,                 82950,,                              0,,                 82908,,              1466732,,                  7382,                 62974,,                  3001,                  4067,                 28195,                 35263,              1739458,              5633853,,,,,                453097,,                              0,,,                993941,                 30127,,                162750,                 18192,,,                471305,                 69238,                540543,              2199546,,,,,                 84720,,                 51225,,,,                285280,                421225,              2620771,,,,              2610585,              2610585,,                  1033,,                260029,                 46837,,                 97591,                404457,,,,,,,,                 -8264,              3007811,                  5271,              3013082,              5633853,              0,              0,                    318,,                    896,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,2013年12月31日,,,,,,                    363,                              0,,,,                 33506,,              1509850,,                     11,                 80310,,,,              1521766,,                 99297,,                 71102,              3837662,,,                              0,,                 93025,,                              0,,                 84720,,              1479672,,                  5497,                 62842,,                  2728,                  3717,                 28013,                 34458,              1760214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              0,                503048,                  7886,                 10523,                 71102,              5597876,,,,                408426,,                              0,,                  6739,,              1032513,                 17241,,                141918,                141918,                 10228,,,                510313,                 74709,                585022,              2202087,,                    348,,                 84720,,                 49724,,                256997,                 27949,                284946,                419738,              2621825,,,,              2610585,              2610585,,                  1033,,                260029,                 46837,,                 54443,                361309,,,                  4255,,                 -6375,,                              0,                 -2120,              2970807,                  5244,              2976051,,,
1519,2013年09月30日,,,,,,                              0,,,,,                 29756,,              1660112,,,                173285,,,,              1684558,,                 76420,,                 58744,              3823138,,,                              0,,                 99050,,                              0,,                              0,,              1497079,,                  4825,                 64140,,                  3103,                  9241,                 27745,                 40089,              1705183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              0,                115402,                  7676,                 17185,                 58744,              5528321,,,,                750659,,                    805,,                 13990,,                964796,                              0,,                110128,                110128,                 11734,,,                326880,                 64100,                390980,              2243092,,                    807,,                              0,,                 48636,,                267362,                 27950,                295312,                344755,              2587847,,,,              2610585,              2610585,,                  1033,,                260029,                 46837,,                 17075,                323941,,,                    548,,                   -350,,                              0,                    198,              2935757,                  4717,              2940474,                              0,,
1519,2013年06月30日,,,,,,                    989,,,,,                 50248,,              1496369,,,                161759,,,,              1576711,,                 63004,,                 64209,              3486491,,,,,                 84775,,,,                              0,,              1508405,,                  5267,                 64590,,                  1797,                  9056,                 28193,                 39046,              1702083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              0,                 51699,                  7676,                 13827,                 64209,              5188574,,,,                430014,,                              0,,                 13758,,              1043328,                              0,,                192877,                192877,                  7127,,,                232494,                 56835,                289329,              1976433,,                              0,,                              0,,                 46392,,                267174,                 24752,                291926,                338318,              2314751,,,,              2610585,              2610585,,                  1033,,                260029,                 46837,,                -36437,                270429,,,                  2643,,                -14625,,,                -11982,              2870065,                  3758,              2873823,,,
