證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 存出保證金
3514,2015年09月30日,,,,              3561178,,                              0,,                120542,,              4344491,,                              0,,                160682,,                174449,,                  1417,,              1201015,,              1638519,,                517175,             11719468,,,                 31800,,                587484,,              8167108,,                  6947,                676477,,,                907212,                907212,             10377028,             22096496,,,,,              1528932,,                  6555,,                    229,,              2524931,,                 71566,,              1105578,,,                222155,,              1356910,                 20371,              1599436,              6837227,,,                     34,,                  2810,,              2296000,              2296000,,                  1825,,                    537,,                 11639,                              0,                 11639,              2312845,              9150072,,,,              4495168,                              0,              4495168,,              8947782,,,               -489423,               -489423,,                 -7103,             12946424,             12946424,             22096496,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514,2015年06月30日,,,,              3042815,,                              0,,                152152,,              3148111,,                  7159,,                 11658,,                 29000,,                  1932,,              1168733,,              1710852,,                606070,              9878482,,,                 31800,,                591785,,              8585922,,                  8260,                680411,,,                843599,                843599,             10741777,             20620259,,,,,              1226791,,                  4706,,                              0,,              2063623,,                 92508,,                457181,,,                 20139,,              1507420,                  8938,              1536497,              5381306,,,                  6162,,                622763,,,              2485000,,                  1825,,                    537,,                  2243,                              0,                  2243,              3118530,              8499836,,,,              4075304,                              0,              4075304,,              8653771,,,               -628022,               -628022,,                 19370,             12120423,             12120423,             20620259,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514,2014年12月31日,,,,              2384333,,                  1755,,                154537,,              3107647,,                  7441,,                  3451,,                 78723,,                  1614,,              1445138,,              1556516,,                711881,              9453036,,,                 31800,,                601389,,              8406499,,                 11641,                680411,,,              1997925,              1997925,             11729665,             21182701,,,,,                869454,,                              0,,                      1,,              1606781,,                 13967,,                475880,,,                 29003,,              1605000,                  8035,              1642038,              4608121,,,                  6195,,                614141,,              3208190,              3208190,,                  1825,,                    298,,                  2540,                              0,                  2540,              3833189,              8441310,,,,              4076190,                              0,              4076190,,              9136712,,,               -486762,               -486762,,                 15251,             12741391,             12741391,             21182701,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514,2014年09月30日,,,,              2435513,,                              0,,                157774,,              2768869,,                              0,,                233523,,                 32525,,                  1415,,              1958560,,              1370659,,                779310,              9738148,,,                 31800,,                629267,,              8745728,,                 11986,                649825,,,              2228262,              2228262,             12296868,             22035016,,,,,                981398,,                  7868,,                              0,,              1512650,,                 75173,,                475934,,,                 22486,,              1605000,                 12402,              1639888,              4692911,,,                  4670,,                609875,,              3780900,              3780900,,                  1825,,                              0,,                  2227,                  1401,                  3628,              4400898,              9093809,,,,              4077095,                              0,              4077095,,              9134019,,,               -279795,               -279795,,                  9888,             12941207,             12941207,             22035016,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514,2014年06月30日,,,,              2277274,,                              0,,                157398,,              2356562,,                     77,,                 18165,,                223768,,                  1315,,              1690066,,              1338652,,                836910,              8900187,,,                 31800,,                702043,,              9080502,,                 13841,                598880,,,              2113186,              2113186,             12540252,             21440439,,,,,              1089773,,                  4824,,                              0,,              1550231,,                 26424,,                499554,,,                 21653,,              1416000,                 11246,              1448899,              4619705,,,                  2326,,                605639,,,              2839972,,                  1825,,                              0,,                  2227,                  1508,                  3735,              3453497,              8073202,,,,              4074425,                  3330,              4077755,,              9129422,,,                157553,                157553,,                  2507,             13367237,             13367237,             21440439,        332952,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514,2013年12月31日,,,,              2881447,,                              0,,                146854,,              2992293,,                              0,,                  5205,,                178454,,,,              1259476,,              1607745,,                744578,              9817047,,,                 31800,,                362974,,              9895253,,                 11887,                661346,,,              1571190,              1571190,             12534450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     10710947,              0,,                              0,                    995,             22351497,,,,                569554,,                              0,,              1826225,,                175117,,                551739,                              0,,,                 11617,,              1038000,                  7028,              1056645,              4179280,,,                  2690,,                715064,,              4390954,,                  1825,,                  2197,                              0,                  2197,              5112730,              9292010,,,,              3922069,                107110,              4029179,,              9645359,,                              0,                              0,,               -593294,               -593294,,                -21757,             13059487,             13059487,,,,,
3514,2013年09月30日,,,,              2538167,,                              0,,                145158,,              2709752,,                      9,,                178063,,                 20033,,,,              1435622,,              1225599,,                817441,              9070631,,,                 31800,,                405001,,             10302680,,                 15246,                713075,,,,              1707546,             13175348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,                    787,             22245979,,,,              1007373,,                              0,,              1639923,,                196583,,                461215,                              0,,,                 14866,,                849000,                  7517,                871383,              4180018,,,                  8729,,                963730,,              4537230,,                  1825,,                  1960,                  1840,                  3800,              5515314,              9695332,,,,              3902069,,              3902069,,              9464863,,                              0,                              0,,               -836662,               -836662,,                 20377,             12550647,             12550647,,                  3541,,                              0,
3514,2013年06月30日,,,,              2612265,,                  6658,,                165615,,              2354831,,                 29203,,                210291,,                 20033,,,,              1050298,,              1424180,,                251051,              8125172,,,                 31800,,                433991,,             10528412,,                 18002,                772262,,,              1457795,              3255484,             15039951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,                    747,             23165123,,,,              1506703,,                    125,,              1810412,,                              0,,                474382,                              0,,,                 46503,,                849000,                  7789,                903292,              4694914,,,                  7392,,                510657,,              6123271,,                  1825,,                  2019,                    240,                  2259,              6646536,             11341450,,,,              3402069,,              3402069,,              8764209,,                              0,                              0,,               -384066,               -384066,,                 41461,             11823673,             11823673,,,,                  1132,              1797689
3514,2013年03月31日,,,,              2674087,,                  7122,,                177112,,              1449446,,                              0,,                253686,,                 20873,,,,              1284790,,              1668934,,                256580,              7793260,,,                 31800,,                443804,,             10865906,,                 15085,                801931,,,              1762945,              3619375,             15777901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1355224,              0,,                              0,                    630,             23571161,,,,              2086523,,                    125,,              1198488,,                              0,,                530540,                  3805,,,                 10331,,              1063520,                  7760,              1081611,              4901092,,,                  9818,,                506982,,              6376010,,                  1825,,                 46567,                  8532,                 55099,              6950945,             11852037,,,,              3388517,                 13552,              3402069,,              8843281,,                677064,                              0,,             -1255068,               -578004,,                 51778,             11719124,             11719124,,,,                  1211,              1856430
3514,2012年12月31日,,,,              2646413,,                    287,,                171067,,              2003652,,                    174,,                 35503,,                 20103,,,,              1333999,,              1439183,,                289058,              7940038,,,                 31800,,                493703,,             10948567,,                 17979,                712480,,,              3798310,              3798310,             16002839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,                    599,             23942877,,,,              1933022,,                    125,,              1100490,,                              0,,                557355,                              0,,,                 13550,,                849000,                  6497,                869047,              4460039,,,                 10354,,                540710,,              6717450,,                  1825,,                 47970,                    167,                 48137,              7318476,             11778515,,,,              3388517,                              0,              3388517,,              8814729,,                677064,                              0,,               -762553,                -85489,,                 46605,             12164362,             12164362,,                              0,,                              0,
