證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 庫藏股票
2431,2015年09月30日,,,,                511468,,                              0,,                756617,,                  1651,,                 12312,,                601773,,                 16483,,                    140,              1900444,,,                139318,,                416496,,                172078,,                  8596,                 22012,,                 10423,                768923,              2669367,,,,,                              0,,                              0,,                772985,,                160583,                  2068,,                  2334,                937970,,,                 34526,,                  6476,                 41002,                978972,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                178390,                129285,,                 53961,                361636,,,                 20060,,                 12359,                 32419,              1690395,              1690395,              2669367,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,2015年06月30日,,,,                379584,,                              0,,                706889,,                 14411,,                 72124,,                720695,,                 13028,,                    711,              1907442,,,                134206,,                406996,,                172652,,                  9016,                 20261,,                 10156,                753287,              2660729,,,,,                 77150,,                              0,,                728382,,                174770,                  2349,,                  2307,                984958,,,                 26658,,                  6476,                 33134,              1018092,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                178390,                129285,,                 36938,                344613,,,                 -5563,,                  7247,                  1684,              1642637,              1642637,              2660729,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,2015年03月31日,,,,                362040,,                              0,,                958364,,                 32412,,                 67178,,                942407,,                 16666,,                    571,              2379638,,,                164926,,                425788,,                173226,,                  9364,                 20475,,                 10329,                804108,              3183746,,,,,                              0,,                  1593,,              1270033,,                168042,                  8290,,                  2465,              1450423,,,                 26910,,                  6476,                 33386,              1483809,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,                 56121,                361550,,,                  4080,,                 37967,                 42047,              1699937,              1699937,              3183746,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,2014年12月31日,,,,                394135,,                              0,,                928235,,                  6515,,                 73532,,              1112904,,                 20715,,                  1441,              2537477,,,                167451,,                409481,,                173799,,                 10031,                 22558,,                 10469,                793789,              3331266,,,,,                 93474,,                  1593,,              1293500,,                222249,                  4988,,                  2436,              1618240,,,                 32049,,                  6487,                 38536,              1656776,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,                 22463,                327892,,,                  9766,,                 40492,                 50258,              1674490,              1674490,              3331266,              0,              0,              0,                394135,              3331266,,,,                 93474,,                  1593,,              1293500,,                222249,                  4988,,                  2436,              1618240,,,                 32049,,                  6487,                 38536,              1656776,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,                 22463,                327892,,,                  9766,,                 40492,                 50258,              1674490,              1674490,,,,,
2431,2014年09月30日,,,,                251527,,                  6428,,              1117030,,                  3819,,                 56153,,                911545,,                 20469,,                  7067,              2374038,,,                171875,,                377810,,                174374,,                 10440,                 18960,,                 10720,                764179,              3138217,,,,,                181390,,                              0,,              1106360,,                156143,                  6406,,                  3050,              1453349,,,                 26677,,                  2507,                 29184,              1482533,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,                 16795,                322224,,,                 -7795,,                 44915,                 37120,              1655684,              1655684,              3138217,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,2014年06月30日,,,,                272362,,                 14413,,                822607,,                 11808,,                 69964,,              1174001,,                 14390,,                  8566,              2388111,,,                192832,,                368829,,                174948,,                 10647,                 16521,,                 12222,                775999,              3164110,,,,,                              0,,                  1600,,              1403543,,                146186,                  5175,,                  3071,              1559575,,,                 22106,,                  2518,                 24624,              1584199,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,                -65556,                239873,,,                -22175,,                 65873,                 43698,              1579911,              1579911,              3164110,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,2014年03月31日,,,,                382949,,                 44373,,                772331,,                  2314,,                 34412,,                750523,,                  5863,,                 11761,              2004526,,,                182853,,                330677,,                175522,,                  8971,                 17297,,                 12429,                727749,              2732275,,,,,                              0,,                  3247,,              1011533,,                128344,                  4854,,                  3078,              1151056,,,                 24386,,                 10590,                 34976,              1186032,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,                -99692,                205737,,,                -11728,,                 55894,                 44166,              1546243,              1546243,              2732275,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,2013年12月31日,,,,,,                 23280,,                575411,,                  2611,,                 18590,,                665045,,                  6246,,                  4734,              1847704,,,                181624,,                355827,,                163155,,                  8696,                 17024,,                 12526,                738852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                551787,              2586556,,,,                              0,,                  3247,,                865050,,                140553,                  2204,,                  2974,              1014028,,,                 24968,,                 18014,                 42982,              1057010,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,               -117379,                188050,,,                 -9509,,                 54665,                 45156,              1529546,              1529546,,                              0,,                              0,
2431,2013年09月30日,,,,,,                 55344,,                704352,,                  4643,,                  5724,,                625836,,                 21944,,                  5893,              1763893,,,                160138,,                354791,,                163658,,                  7502,                 17913,,                 12241,                716243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                340157,              2480136,,,,                              0,,                  1600,,                834279,,                116671,                              0,,                  4703,                957253,,,                 23255,,                 19110,                 42365,                999618,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,               -136496,                168933,,,                -17934,,                 33179,                 15245,              1480518,              1480518,,                              0,,                              0,
2431,2013年06月30日,,,,,,                 76224,,                485432,,                  9488,,                 12641,,                553172,,                  6956,,                  3818,              1549628,,,                163005,,                358971,,                173627,,                  7146,                 23130,,                 10585,                736464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                384719,              2286092,,,,                 90603,,                    446,,                599809,,                 85282,                              0,,                  4441,                780581,,,                 23765,,                 34280,                 58045,                838626,,,,              1109270,              1109270,,,                121884,                 65186,                187070,,                176144,                129285,,               -168971,                136458,,,                -12537,,                 27205,                 14668,              1447466,              1447466,,                     21,,                 17157,
