證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計
1727,2015年09月30日,,,,                 46260,,                202193,,                404184,,                 16048,,                 12289,,                              0,,                370997,,                 30083,,                     27,              1082081,,,              1089222,,                 16460,,                  1615,                  6295,,                 39862,              1153454,              2235535,,,,,                227083,,                279746,,                  6842,,                177181,,                100492,                  6489,,                              0,,                  4181,                802014,,,                 12908,,                 12128,                    224,                 12352,                 25260,                827274,,,,              1102500,                              0,              1102500,,                  9324,,                156445,                 10103,,                115432,                281980,,,                  3797,                  3797,                              0,              1397601,                 10660,              1408261,              2235535,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2015年06月30日,,,,                 77993,,                206241,,                394025,,                 14179,,                  8383,,                              0,,                345203,,                 27419,,                    426,              1073869,,,              1007102,,                 16487,,                  1728,                  6425,,                105181,              1136923,              2210792,,,,,                293311,,                189975,,                  7967,,                115293,,                187085,                 10744,,                              0,,                  2416,                806791,,,                 12697,,                 12639,                    224,                 12863,                 25560,                832351,,,,              1050000,                 52500,              1102500,,                  9324,,                156445,                 10103,,                 87919,                254467,,,                  1233,                  1233,                              0,              1367524,                 10917,              1378441,              2210792,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2015年03月31日,,,,                 55655,,                226542,,                433420,,,,                  6973,,                              0,,                373538,,                 43955,,                    279,              1140362,,,              1004248,,                 16514,,                  1840,                  6607,,                 80598,              1109807,              2250169,,,,,                245864,,                239852,,                  6697,,                190983,,                113459,                 13185,,                  4571,,                  2595,                817206,,,                 12793,,                 12748,                    224,                 12972,                 25765,                842971,,,,              1050000,,              1050000,,                  9324,,                145402,                 10103,,                180629,                336134,,,                  1701,                  1701,                              0,              1397159,                 10039,              1407198,              2250169,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2014年12月31日,,,,                 55380,,                247238,,                427975,,                              0,,                  8689,,                              0,,                357189,,                 16192,,                  1462,              1114125,,,                982308,,                 16541,,                  1953,                  6436,,                 88674,              1095912,              2210037,,,,,                264280,,                239852,,                  6843,,                120450,,                149070,                 15096,,                              0,,                  2164,                797755,,,                 12953,,                 12869,                    224,                 13093,                 26046,                823801,,,,              1050000,                              0,              1050000,,                  9324,,                145402,                 10103,,                158855,                314360,,,                  2481,                  2481,                              0,              1376165,                 10071,              1386236,              2210037,              0,              0,              0,                 55380,              2210037,,,,                264280,,                239852,,                  6843,,                120450,,                145493,                 15096,,                  3577,,                  2164,                797755,,,                 12953,,                 12869,                    224,                 13093,                 26046,                823801,,,,              1050000,              1050000,,                  9324,,                145402,                 10103,,                158855,                314360,,,                  2481,                  2481,                              0,              1376165,                              0,                 10071,              1386236,,,
1727,2014年09月30日,,,,                 72645,,                169811,,                492277,,                              0,,                  3665,,                              0,,                336710,,                 28561,,                  9255,              1112924,,,                957107,,                 16568,,                  2066,                  7176,,                 61701,              1044618,              2157542,,,,,                244369,,                229852,,                 36325,,                133758,,                126571,                  9110,,                              0,,                  4363,                784348,,,                 12619,,                 12833,                    408,                 13241,                 25860,                810208,,,,              1050000,                              0,              1050000,,                  9324,,                145402,                 10103,,                122438,                277943,,,                    852,                    852,                              0,              1338119,                  9215,              1347334,              2157542,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2014年06月30日,,,,                 58138,,                161292,,                463288,,                              0,,                  2023,,                              0,,                292343,,                 34996,,                  3434,              1015514,,,                944404,,                 16595,,                              0,                  7356,,                 64090,              1032445,              2047959,,,,,                209565,,                149851,,                  4778,,                144923,,                166657,                 16364,,                              0,,                  4190,                696328,,,                 12360,,                 12948,                    184,                 13132,                 25492,                721820,,,,              1000000,                 50000,              1050000,,                  9324,,                145402,                 10103,,                103139,                258644,,,                   -413,                   -413,                              0,              1317555,                  8584,              1326139,              2047959,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2014年03月31日,,,,                 46288,,                184739,,                355264,,,,                  1758,,                              0,,                283576,,                 36774,,                  3480,                911879,,,                934448,,                 16623,,                              0,                  7780,,                 61458,              1020309,              1932188,,,,,                139356,,                149916,,                 41976,,                 99553,,                105604,                 18143,,                  3679,,                  4053,                562280,,,                 12498,,                 13067,                    184,                 13251,                 25749,                588029,,,,              1000000,,              1000000,,                  9324,,                134489,                 10103,,                184459,                329051,,,                    258,                    258,                              0,              1338633,                  5526,              1344159,              1932188,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2013年12月31日,,,,,,                172354,,                383522,,,,                  2386,,                              0,,                260397,,                 30196,,                    937,                894853,,,                935364,,                 16650,,                              0,                  7629,,                 66797,              1026440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 45061,              1921293,,,,                168607,,                149859,,                 13297,,                 90059,,                129674,                 16658,,                    868,,                  4144,                573166,,,                 12532,,                 13187,                    184,                 13371,                 25903,                599069,,,,              1000000,              1000000,,                  9324,,                134489,                 10103,,                162487,                307079,,,                    426,                    426,                              0,              1316829,                              0,                  5395,              1322224,                              0,,
1727,2013年09月30日,,,,,,                185286,,                364818,,,,                  3452,,                              0,,                246668,,                 30868,,                    847,                878212,,,                903216,,                 16677,,                              0,                  8379,,                 58451,                986723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 46273,              1864935,,,,                171577,,                139903,,                  7213,,                104685,,                103189,                  7318,,                  1358,,                 12724,                547967,,,                 12436,,                 13152,                    184,                 13336,                 25772,                573739,,,,              1000000,              1000000,,                  9324,,                134489,                 10103,,                131840,                276432,,,                    -41,                    -41,                              0,              1285715,,                  5481,              1291196,,,
1727,2013年06月30日,,,,,,                237823,,                373066,,,,                    816,,,,                288457,,                 19684,,                  1986,                968796,,,                896515,,                 16704,,,                  8185,,                 67280,                988684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 46964,              1957480,,,,                204118,,                169914,,                 17101,,                118721,,                132905,                 15728,,                  1966,,                 13413,                673866,,,                 12444,,                 13256,                    270,                 13526,                 25970,                699836,,,,                935000,              1000000,,                  9324,,                134489,                 10103,,                 97620,                242212,,,,                     -3,                              0,              1251533,,                  6111,              1257644,                 65000,,
1727,2013年03月31日,,,,,,                249277,,                366137,,,,                  1777,,                              0,,                271577,,                 44962,,                  4859,                983210,,,                905598,,                 16731,,,                  6424,,                 53557,                982310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 44621,              1965520,,,,                256028,,                139870,,                 10295,,                130873,,                 92461,                 21041,,                  2704,,                 12061,                665333,,,                 12417,,                 13353,                    270,                 13623,                 26040,                691373,,,,                935000,                935000,,                  9324,,                123207,                 10103,,                190292,                323602,,,                   -134,                   -134,                              0,              1267792,,                  6355,              1274147,,,
1727,2012年12月31日,,,,                 47288,,                251076,,                380989,,,,                  2067,,                              0,,                282417,,                 22924,,                 11428,                998189,,,                908250,,                 16766,,,                  6167,,                 43353,                974536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1972725,,,,                252956,,                159915,,                 10058,,                129137,,                120179,                 15914,,                    858,,                  7352,                696369,,,                 12269,,                 13456,                    270,                 13726,                 25995,                722364,,,,                935000,                935000,,                  9324,,                123207,                              0,,                177388,                300595,,,                   -858,                   -858,                              0,              1244061,,                  6300,              1250361,,,
1727,2012年09月30日,,,,                 44244,,                262147,,                414659,,,,                  3141,,                              0,,                299919,,                 32328,,                  3763,              1060201,,,                879529,,                 16799,,,                  5813,,                 58591,                960732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              2020933,,,,                302361,,                179861,,                 13310,,                155674,,                104927,                 11248,,                  1232,,                  7238,                775851,,,                 12271,,                 11430,                    270,                 11700,                 23971,                799822,,,,                935000,                935000,,                  9324,,                123207,                              0,,                147601,                270808,,,                   -846,                   -846,                              0,              1214286,,                  6825,              1221111,,,
1727,2012年06月30日,,,,                 57495,,                260180,,                402140,,,,                  2973,,                              0,,                297424,,                 35020,,                  4293,              1059525,,,                878433,,                 16833,,,                  4899,,                 56778,                956943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              2016468,,,,                273409,,                189873,,                 14416,,                161529,,                133837,                 12616,,                  1655,,                  7334,                794669,,,                 12303,,                 11554,                    270,                 11824,                 24127,                818796,,,,                860000,                935000,,                  9324,,                123207,                              0,,                123703,                246910,,,                   -692,                   -692,                              0,              1190542,                              0,                  7130,              1197672,                 75000,,                              0
1727,2012年03月31日,,,,                 33572,,                268618,,                368870,,,,                  2600,,                              0,,                285736,,                 26477,,                  3000,                988873,,,                869781,,                 16866,,,                  4907,,                 59445,                950999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1939872,,,,                258159,,                179773,,                 21988,,                123041,,                104827,                 18726,,                  2741,,                  4711,                713966,,,                 12305,,                 11678,                    270,                 11948,                 24253,                738219,,,,                860000,                860000,,                  9324,,                110838,                              0,,                214589,                325427,,,                   -682,                   -682,                              0,              1194069,,                  7584,              1201653,,,
