證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 預付投資款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　　　 預收貨款,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應收款,　　　　 其他應收款淨額,　　　　　 預收收入／遞延收入,　　　　 庫存現金,　　　　 銀行存款,　　　　 約當現金,　　　　 應收票據,　　　　 應收帳款,　　　　 其他應收款－其他,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 原料,　　　　　 在途原物料,　　　　　 存貨－製造業淨額,　　　　 其他預付款,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 採用權益法之投資,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 水電設備淨額,　　　　　 水電設備成本,　　　　　 累計折舊－水電設備,　　　　　 水電設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 營業器具淨額（觀光飯店業適用）,　　　　　 營業器具成本（觀光飯店業適用）,　　　　　 累計折舊－營業器具,　　　　　 營業器具淨額（觀光飯店業適用）,　　　　 租賃改良淨額,　　　　　 租賃改良成本,　　　　　 累計折舊－租賃改良,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 累計減損－電腦軟體,　　　　　 電腦軟體淨額,　　　　 存出保證金,　　　　　 其他非流動資產－其他,　　　　 應付薪資,　　　　 應付租金,　　　　 應付退休金費用,　　　　 其他應付費用,　　　　 應付設備款,　　　　 應付營業稅,　　　　 應付股利,　　　　 其他應付款－其他,　　　　　 其他預收款,　　　　 除役、復原及修復成本之長期負債準備,　　　　 存入保證金,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　　 累積盈虧,　　　　　 本期損益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計
2727,2015年09月30日,,,,              2622278,,                              0,,                140179,,              2122153,,                473061,,                423662,              5781333,,,                171861,,              2938275,,                 21353,                 81832,,                 52850,                 35000,,                377673,                465523,              3678844,              9460177,,,,,                111193,,                 24844,,                350985,,              1547996,                 41749,,,              2401481,                 14905,              2416386,              4493153,,,                 24700,,                118970,                 68237,                187207,                211907,              4705060,,,,                769879,                769879,,              2038109,,                488457,,                229241,                717698,,                 70850,              3596536,              1158581,              4755117,              9460177,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2015年06月30日,,,,              2698115,,                              0,,                132305,,              2209700,,                460061,,                303834,              5804015,,,                184332,,              2864175,,                 16981,                 76813,,                106030,,,                366579,                472609,              3614910,              9418925,,,,,                305133,,                 27700,,                351573,,              1453836,                115712,,,              2316269,                 15496,              2331765,              4585719,,,                 25100,,                118597,                 55315,                173912,                199012,              4784731,,,,                769879,                769879,,              2038109,,                488457,,                232074,                720531,,                 29388,              3557907,              1076287,              4634194,              9418925,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2015年03月31日,,,,              2973676,,                              0,,                115180,,              2215210,,                456583,,                348726,              6109375,,,                200703,,              2895474,,                 11602,                 71978,,                117173,,,                361037,                478210,              3657967,              9767342,,,,,                309813,,                 31540,,                282424,,              1359886,                 93055,,,              2305899,                 16464,              2322363,              4399081,,,                 25600,,                126686,                 47103,                173789,                199389,              4598470,,,,                769879,                769879,,              2038109,,                419226,,                841734,              1260960,,                 43272,              4112220,              1056652,              5168872,              9767342,              0,              0,,              2305899,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2014年12月31日,,,,              2558186,,                     30,,                147254,,              2428853,,                366569,,                407613,              5908505,,,                122964,,              3048473,,                 11585,                 78789,,                 78443,                              0,,                347285,                425728,              3687539,              9596044,,,,,                              0,,                 33637,,                348511,,              1571552,                 78874,,,              2385021,                 17530,              2402551,              4435125,,,                 26000,,                126313,                 52714,                179027,                205027,              4640152,,,,                769879,                769879,,              2038109,,                419226,,                692306,              1111532,,                 53073,              3972593,                983299,              4955892,              9596044,              0,              0,              0,              2385021,                              0,              2558186,              9596044,,,,                 33637,,                348511,,              1571552,                 78874,,,              2385021,              2385021,                 17530,              2402551,              4435125,,,                 26000,,                126313,                 52714,                179027,                205027,              4640152,,,,                769879,                769879,,              2038109,,                419226,                              0,,                692306,              1111532,,                 53073,              3972593,                983299,              4955892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2014年09月30日,,,,              3137196,,                      4,,                132083,,              1862474,,                431173,,                449888,              6012818,,,                 85279,,              2870877,,                 12160,                 72326,,                 75650,                              0,,                337689,                413339,              3453981,              9466799,,,,,                              0,,                 37403,,                323435,,              1435313,                100443,,,              2453660,                119343,              2573003,              4469597,,,                 25850,,                122442,                 18534,                140976,                166826,              4636423,,,,                769879,                769879,,              2038109,,                419226,,                690643,              1109869,,                 27096,              3944953,                885423,              4830376,              9466799,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2014年06月30日,,,,              3145895,,                     11,,                131949,,              1676143,,                450834,,                396507,              5801339,,,                 95185,,              2681928,,                 12514,                 61385,,                141822,,,                314349,                456171,              3307183,              9108522,,,,,                              0,,                 49679,,                312324,,              1383572,                131525,,,              2450400,                 19927,              2470327,              4347427,,,                 25150,,                122069,                 31073,                153142,                178292,              4525719,,,,                769879,                769879,,              2038109,,                419226,,                516211,                935437,,                  9147,              3752572,                830231,              4582803,              9108522,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2014年03月31日,,,,              4043317,,                              0,,                139024,,              1524642,,                459443,,                430080,              6596506,,,                109008,,              2649311,,                 13463,                 57607,,                 70317,,,                300840,                371157,              3200546,              9797052,,,,,                              0,,                 54993,,                320295,,              1213321,                215614,,,              2517717,                 19690,              2537407,              4341630,,,                 24200,,                121696,                 25144,                146840,                171040,              4512670,,,,                747455,                747455,,              2155765,,                329650,,              1194422,              1539781,,                 21670,              4464671,                819711,              5284382,              9797052,              0,              0,,              2517717,                 15709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年12月31日,,,,,,                 22056,,                165756,,              1552661,,                382111,,                255328,              5862683,,,                107892,,              2674606,,                 13957,                 55422,,                 31184,,,                287449,                318633,              3170510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              3484771,              9033193,,,,                 58502,,                391165,,              1359072,                139410,,,              1960219,              1960219,                 20608,              1980827,              3928976,,,                 23850,,                121323,                 13225,                134548,                158398,              4087374,,,,                747455,                747455,,              2155765,,                329650,                 15709,,                895764,              1241123,,                 22680,              4167023,                778796,              4945819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年09月30日,,,,,,                 24965,,                 95368,,              1326141,,                306290,,                532850,              5473759,,,                 50055,,              2282447,,                 14782,                 56281,,                136014,,,                284957,                420971,              2824536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              3188145,              8298295,,,,                 56173,,                343670,,              1158150,                121944,,,              1714112,              1714112,                 19890,              1734002,              3413939,,,                 22600,,                121877,                 10270,                132147,                154747,              3568686,,,,                747455,                747455,,              2155765,,                329650,                 15709,,                747566,              1092925,,                 12923,              4009068,                720541,              4729609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年06月30日,,,,,,                 16592,,                150371,,              1385134,,                258490,,                492545,              5233004,,,                 56241,,              2154767,,                 14556,                 41712,,                107210,,,                274494,                381704,              2648980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              2929872,              7881984,,,,                 56611,,                324891,,              1153758,                157041,,,              1585788,              1585788,                 22024,              1607812,              3300113,,,                 21500,,                121616,                    121,                121737,                143237,              3443350,,,,                747455,                747455,,              2155765,,                329650,                 15709,,                478520,                823879,,                 18349,              3745448,                693186,              4438634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
