證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 其他應付款項－關係人,　　　 長期借款,　　　　 長期借款合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－認股權,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 當期所得稅資產,　　　　 當期所得稅資產合計
3055,2015年03月31日,,,,              1054237,,                946681,,                    388,,                437043,,                 16535,,                 86595,,                 34997,,                  8659,              2585135,,,                101689,,                              0,,                749773,,                 20102,                  5576,,                 18070,                895210,              3480345,,,,,                 34000,,                    888,,                522621,,                121883,                  2000,                 33410,,                 20845,,                119188,                854835,,,                    127,,                 68899,                 69026,                923861,,,,              1321047,              1321047,,,                 38621,                  5128,                 39649,                 78174,                 48834,                210406,,                567108,                 15968,,                453894,              1036970,,,                 24037,,                -25708,                 -1671,                 17830,              2548922,                  7562,              2556484,              3480345,              0,              0,        443582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,2014年12月31日,,,,              1185281,,                801918,,                    244,,                524969,,                 13066,,                 80924,,                 34211,,                  5606,              2646219,,,                102770,,                              0,,                762981,,                 21078,                  5763,,                 16404,                908996,              3555215,,,,,                 25000,,                              0,,                655354,,                144687,                              0,                 28983,,                 23340,,                 81513,                958877,,,                    128,,                 68842,                 68970,              1027847,,,,              1319387,              1319387,,,                 36877,                  5128,                 39649,                 78174,                 49287,                209115,,                567108,                 15968,,                426545,              1009621,,,                 31459,,                -31963,                   -504,                 17830,              2519789,                  7579,              2527368,              3555215,              0,              0,        443582,              1185281,                801918,              3555215,,,,                 25000,,                              0,,                655354,,                144687,                 28983,,                 23340,,                 81513,                958877,,,                    128,,                 68842,                 68970,              1027847,,,,              1319387,              1319387,,,                 36877,                  5128,                 39649,                 78174,                 22587,                 26700,                209115,,                567108,                 15968,,                426545,              1009621,,,                 31459,,                -31963,                   -504,                 17830,              2519789,                  7579,              2527368,,,,,,,,,,,,,,,,,,,
3055,2014年09月30日,,,,,,,,                    230,,                571326,,                 32467,,                 84410,,                 36531,,                  7304,              2730542,,,                111287,,,,                743622,,                 22057,                    456,,                 12172,                889594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        443582,              1592654,                405620,              3620136,,,,                 13000,,                  2174,,                776100,,                132674,                 17864,,                 31753,,                 99731,              1076296,,,                  1084,,                 64807,                 65891,              1142187,,,,              1288637,              1288637,,,                 36025,                  5128,                 39649,                 78174,                 79106,,                238082,,                567108,                 15968,,                409675,                992751,,,                  7041,,                -38218,                -31177,                 17829,              2470464,                  7485,              2477949,,                              0,,                              0,                  3000,,                              0,                              0,                              0,,                              0,,,,,,,,
3055,2014年06月30日,,,,,,,,                    463,,                565485,,                 12461,,                106931,,                 51579,,                  8501,              2456353,,,                121444,,,,                739197,,                 22759,                  1926,,                 12137,                897463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4470582,              1562890,                148043,              3353816,,,,                              0,,                  2664,,                689880,,                155896,                 16035,,                 24333,,                108849,                997657,,,                     60,,                 62897,                 62957,              1060614,,,,              1300108,              1300108,,,                  3549,                 21512,                 39574,                 78174,                 35928,,                178737,,                567108,                 15968,,                306620,                889696,,,                 -7461,,,                 -7461,                 75104,              2285976,                  7226,              2293202,,                              0,,                              0,                              0,,                              0,                              0,,,                              0,,                              0,                              0,,,,,
3055,2014年03月31日,,,,              1502638,,                 37470,,                  2005,,                347914,,                 18727,,                138425,,                 61149,,                  1248,              2109576,,,                123802,,                 33200,,                753269,,                 23919,                  8811,,                 13441,                956442,              3066018,,,,,                              0,,                  3405,,                504831,,                 84679,                  1500,                 19227,,                 23894,,                117127,                754663,,,                     61,,                 65780,                 65841,                820504,,,,              1298587,              1298587,,,                 40818,                 21512,                 39493,                 78174,                 35777,                215774,,                567108,                 45343,,                152819,                765270,,,                  5683,,                              0,                  5683,                 46819,              2238495,                  7019,              2245514,              3066018,              0,              0,      2542582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,2013年12月31日,,,,,,,,                  2047,,                458315,,                 18818,,                108670,,                 76569,,                  4790,              2129320,,,                121210,,,,                768741,,                 25080,                  3795,,                 13029,                931855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1179582,              1460111,                              0,              3061175,,,,                              0,,                    282,,                489071,,                 90663,                 11008,,                 23193,,                125411,                739628,,,                     60,,                 66053,                 66113,                805741,,,,              1305947,              1305947,,,                 41049,                 22415,                 34763,                 78174,                 34977,                              0,                211378,,                567108,                 45343,,                110847,                723298,,,                 -3173,,                              0,                 -3173,                 26324,              2211126,                 44308,              2255434,,                              0,,                              0,                              0,,                              0,                              0,                              0,,                              0,,                              0,                              0,,,,,
3055,2013年09月30日,,,,,,,,                    608,,                577850,,                 12566,,                117096,,                 87933,,                 10090,              2120289,,,                579852,,,,                805823,,                 30735,                 35162,,                 13903,              1465475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        443582,              1284184,                              0,              3585764,,,,                              0,,                  6614,,                518463,,                 71791,                 10515,,                 21434,,                102913,                731730,,,                 53970,,                 51494,                105464,                837194,,,,              1305947,              1305947,,,                 41049,                 22415,                              0,                112970,                 34729,,                211163,,                567108,                 45343,,                595849,              1208300,,,                -12886,,                              0,                -12886,                 17830,              2694694,                 53876,              2748570,,                 29962,,                              0,                              0,,                              0,                              0,                              0,,                              0,,,,,,,,
3055,2013年06月30日,,,,,,,,                  3406,,                635414,,                 12894,,                324810,,                 54978,,                  9165,              2155453,,,                573211,,,,                809513,,                 31472,                 22354,,                 14560,              1466110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        443582,              1080922,                              0,              3621563,,,,                 15000,,                  4489,,                378322,,                151794,                 12488,,                 17252,,                 82492,                664837,,,                 52486,,                 49983,                102469,                767306,,,,              1305947,              1305947,,,                 41049,                 22282,                              0,                115398,                 33532,,                212261,,                567108,                 45343,,                678719,              1291170,,,                  3190,,,                  3190,                 17830,              2794738,                 59519,              2854257,,                 30398,,                              0,                  3000,,                              0,                              0,,,                              0,,                  3466,                 15000,,,,,
3055,2013年03月31日,,,,,,,,                  2448,,                577240,,                 11511,,                307581,,                 86168,,                 13037,              2101145,,,                569897,,,,                830183,,                 30815,                 22887,,                 15108,              1483802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        443582,              1058047,                              0,              3584947,,,,                 44420,,                  3218,,                355101,,                 96670,                 12300,,                 18986,,                 93996,                627691,,,                 52256,,                 51684,                103940,                731631,,,,              1305947,              1305947,,,                 41049,                 22282,                 34257,                 78174,                 33573,,                211238,,                560744,                 22922,,                711837,              1295503,,,                 -4766,,,                 -4766,                 17830,              2790092,                 63224,              2853316,,                 30220,,                              0,                  3000,,                              0,                  1903,,,                              0,,                 14893,                 14912,,,,,
3055,2012年12月31日,,,,              1479410,,,,                  3464,,                539174,,                 16564,,                264718,,                 66399,,                 10388,              2400352,,,                555030,,,,                831994,,                 31560,                 26791,,                 14588,              1460794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        443582,,,              3861146,,,,                 41757,,                    302,,                459782,,                111594,                 34724,,                 26153,,                125095,                802407,,,                 53583,,                 82269,                289608,              1092015,,,,              1305947,              1305947,,,                 41049,                 22282,,                 78174,                 30067,,                171572,,                560744,                 11975,,                708705,              1281424,,,                -33500,,,                -32925,                 17830,              2708188,                 60943,              2769131,,                  6795,,                    831,                  3000,,                153756,                              0,,,                    575,,                 13440,,                              0,,,,
