證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 債券換股權利證書,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
9955,2015年09月30日,,,,                370036,,                  5999,,                  3391,,                 37408,,                  9149,,,              1110352,              1110352,,                  7698,,                  7445,              1551478,,,                  3887,,              2024443,,                     14,                 12277,,                109278,              2149899,              3701377,,,,,                410000,,                 10885,,                 34797,,                 26327,                    631,,,                 73615,                  5353,                 78968,                561608,,,                809769,,                 11773,,                 19054,                840596,              1402204,,,,              1032082,              1032082,,              1109441,,                160216,                 20301,,                -42587,                137930,,                 19467,                              0,              2298920,                    253,              2299173,              3701377,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955,2015年06月30日,,,,                328258,,                  6167,,                              0,,                 40756,,                  9586,,,              1225076,              1225076,,                 11260,,                  2565,              1623668,,,                  3375,,              2017909,,                     16,                 12212,,                106199,              2139711,              3763379,,,,,                410000,,                 22031,,                 50255,,                 32046,                    631,,,,,                 79301,                594264,,,                828173,,                  9622,,                 18922,                856717,              1450981,,,,              1032082,              1032082,,              1109441,,                160216,                 20301,,                -19173,                161344,,                  9278,                              0,              2312145,                    253,              2312398,              3763379,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955,2015年03月31日,,,,                407433,,                  6266,,                  2657,,                 57566,,                  9700,,,              1229787,              1229787,,                 13648,,                 10250,              1737307,,,,,              1942435,,                     18,                  9451,,                108491,              2060395,              3797702,,,,,                400000,,                 16313,,                 30141,,                 32364,                 13546,,,,,                 77923,                570287,,,                846577,,                 10351,,                 18791,                875719,              1446006,,,,              1032082,              1032082,,              1109441,,                159341,                 20301,,                 17437,                197079,,                 12841,                              0,              2351443,                    253,              2351696,              3797702,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955,2014年12月31日,,,,                377325,,                  2801,,                  1313,,                 47649,,                 11703,,,              1261552,              1261552,,                  6999,,                  5800,              1715142,,,                              0,,              1916967,,                     20,                  9494,,                 98359,              2024840,              3739982,,,,,                300000,,                 15346,,                 31373,,                 66318,                 10825,,,                 73615,                  2021,                 75636,                499498,,,                864981,,                 10934,,                 18714,                894629,              1394127,,,,              1032082,              1032082,,              1109441,,                159341,                 20301,,                  8752,                188394,,                 15686,                              0,              2345603,                    252,              2345855,              3739982,              0,              0,              0,                377325,                  2801,              3739982,,,,                300000,,                              0,,                 15346,,                 31373,,                 66318,                 10825,,                 75636,                499498,,,                              0,,                              0,,                864981,,                 10934,,                 18714,                894629,              1394127,,,,              1032082,                              0,              1032082,,              1109441,,                159341,                 20301,,                  8752,                188394,,                 15686,                              0,              2345603,                    252,              2345855
9955,2014年09月30日,,,,                275390,,                 11241,,                  2164,,                 62054,,                 15488,,,              1452077,              1452077,,                  8413,,                  9687,              1836514,,,                              0,,              1825448,,                     22,                 10936,,                 63827,              1900233,              3736747,,,,,                300000,,                 23816,,                 50831,,                 46686,                  8799,,,                 73615,                  2633,                 76248,                506380,,,                883385,,                  9357,,                 18880,                911622,              1418002,,,,              1032082,              1032082,,              1109441,,                159341,                 20301,,                -10662,                168980,,                  7986,                              0,              2318489,                    256,              2318745,              3736747,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955,2014年06月30日,,,,                408194,,                  7557,,                  5153,,                 43439,,                 18731,,,              1189125,              1189125,,                  7402,,                  4890,              1684491,,,                              0,,              1759118,,                     23,                 10903,,                 33599,              1803643,              3488134,,,,,                430000,,                  9292,,                 51145,,                 31827,                  6689,,,,,                 41263,                570216,,,                584936,,                  7856,,                 18553,                611345,              1181561,,,,              1032082,              1032082,,              1109441,,                159341,                 20301,,                -15503,                164139,,                    656,                              0,              2306318,                    255,              2306573,              3488134,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955,2014年03月31日,,,,                353062,,                  1629,,                  5453,,                 45098,,                 13970,,,              1023632,              1023632,,                 41715,,                 11957,              1496516,,,,,              1710292,,                              0,                 10817,,                 29051,              1750160,              3246676,,,,,                300000,,                 10710,,                 26882,,                 60168,                  4699,,,,,                 23874,                426333,,,                483295,,                  8793,,                 18443,                510531,                936864,,,,              1032082,              1032082,,              1109441,,                159341,                 20301,,                -16786,                162856,,                  5175,                              0,              2309554,                    258,              2309812,              3246676,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955,2013年12月31日,,,,,,,,                  3587,,                103345,,                 13514,,,              1190267,              1190267,,                  7086,,                 11737,              1699477,,,,,              1589919,,                              0,                 10904,,                 36846,              1637669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                368287,                  1654,              3337146,,,,                300000,,                              0,,                  5389,,                 82422,,                115543,                              0,,                 14264,                517618,,,                              0,,                              0,,                493026,,                  9065,,                 18320,                520411,              1038029,,,,              1032082,                              0,              1032082,,              1109441,,                159341,                 20301,,                -28864,                150778,,                  6557,                              0,              2298858,                    259,              2299117
9955,2013年09月30日,,,,,,,,                  5460,,                137141,,                 20845,,,              1322573,              1322573,,                  6112,,                 14809,              1969335,,,,,              1416728,,                              0,                  4548,,                 23274,              1444550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                460786,                  1609,              3413885,,,,                300000,,,,                 10256,,                131009,,                 61975,                              0,,                 18116,                521356,,,,,,,                502756,,                 13167,,                 44095,                560018,              1081374,,,,              1031812,                    270,              1032082,,              1109441,,                159341,                 20301,,                  9639,                189281,,                  1472,                              0,              2332276,                    235,              2332511
9955,2013年06月30日,,,,,,,,                  2223,,                225805,,                 18058,,,              1522232,              1522232,,                 17023,,                 15542,              2198873,,,,,              1304997,,                              0,                  5892,,                 33356,              1344245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                396570,                  1420,              3543118,,,,                360000,,,,                 15973,,                216919,,                122517,                  1273,,                 14118,                730800,,,,,,,                506000,,                 14733,,                 43575,                564308,              1295108,,,,              1031812,,              1031812,,              1108617,,                159341,                 20301,,                -77347,                102295,,                  5050,                              0,              2247774,                    236,              2248010
