證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　　 預收股本,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－處分資產增益,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 其他流動負債－其他,　　　　 預收股本,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
1473,2015年09月30日,,,,              1076122,,              1069872,,                  9903,,              1378149,,                 41358,,                              0,,              1350589,,                171188,,                              0,,                 22765,                 22765,              5119946,,,                754280,,                 19522,,                237535,,                    880,,              1243159,,                 73695,,                148402,                 31181,,                 63593,,                 36011,                 36821,,                 19017,                155442,              2664096,              7784042,,,,,              1066166,,                  4628,,                 18266,,                573039,,                510766,                 20236,,,                 31498,,                962040,                              0,                993538,              3186639,,,                              0,,                 79431,,                120024,                 56195,                176219,                255650,              3442289,,,,              1464290,              1464290,,,                756944,                              0,                              0,                 50560,                      3,                              0,                  3516,                 12589,                  9071,                832683,,                709578,,                860789,              1570367,,,                184656,,                 -4809,                179847,                 28064,              4019123,                322630,              4341753,              7784042,              0,              0,      1022000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2015年06月30日,,,,              1014125,,              1449233,,                 17113,,              1244192,,                 37819,,                     78,,              1357889,,                158546,,,,,,              5278995,,,                753815,,                 19602,,                111710,,                  1100,,              1126588,,                 73909,,                 65888,                 33840,,                 95152,,                 39376,                 36202,,                 13438,                184168,              2370620,              7649615,,,,,              1135796,,                              0,,                 24556,,                382231,,                690314,                 56658,,,                 34395,,                921556,,                955951,              3245506,,,                              0,,                 79431,,                119964,                 49001,                168965,                248396,              3493902,,,,              1466450,              1468650,,,                757165,                              0,                              0,                 50560,                      3,                              0,                  3516,                 12518,                  9071,                832833,,                709578,,                812248,              1521826,,,                 58666,,                 -4729,                 53937,                 54898,              3822348,                333365,              4155713,              7649615,              0,         86000,      1902000,,                              0,                  2200,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2015年03月31日,,,,                948378,,              1300508,,                 23284,,              1432822,,                481755,,                 11025,,              1390258,,                165888,,,,,,              5753918,,,                852025,,                 19635,,,,                  3072,,              1154415,,                 74123,,                 69572,                 32109,,                 92966,,                 51679,                 38286,,                 14230,                197161,              2402112,              8156030,,,,,              1451497,,                              0,,                 15331,,                399350,,                483517,                 59544,,,                 52082,,                616162,,                668244,              3077483,,,                314257,,                 79431,,                118751,                 50674,                169425,                563113,              3640596,,,,              1466450,              1466450,,,                832662,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                832662,,                695453,,              1099554,              1795007,,,                 94265,,                 -4696,                 89569,                 54898,              4128790,                386644,              4515434,              8156030,              0,              0,      1902000,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2014年12月31日,,,,              1548577,,                475643,,                 12305,,              1431577,,                457798,,                 11148,,              1723958,,                154618,,                              0,,                              0,                              0,              5815624,,,              1012100,,                 20576,,                              0,,                  3072,,              1127125,,                 74339,,                 71186,                 34541,,                 42854,,                 51739,                 39994,,                 15330,                149917,              2492856,              8308480,,,,,              1440081,,                 12891,,                 24923,,                465938,,                513665,                 29892,,,                 81035,,                200000,                              0,                281035,              2768425,,,                736461,,                 79431,,                117674,                 54887,                172561,                988453,              3756878,,,,              1468590,              1468590,,,                835814,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                835814,,                695453,,              1035347,              1730800,,,                118060,,                 -3755,                114305,                 35214,              4114295,                437307,              4551602,              8308480,              0,              0,      1116000,,                              0,                              0,                              0,              1548577,                 11148,              8308480,,,,              1440081,,                 12891,,                 24923,,                465938,,                513665,                 29892,,,                 81035,,                200000,                281035,              2768425,,,                              0,,                736461,,                 79431,,                117674,                 54887,                172561,                988453,              3756878,,,,              1468590,              1468590,,,                835814,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                835814,,                695453,                              0,,              1035347,              1730800,,,                118060,,                 -3755,                114305,                 35214,              4114295,                437307,              4551602,,,,,
1473,2014年09月30日,,,,              1378411,,                591942,,                  1361,,              1216467,,                126088,,                 10817,,              1686697,,                205274,,                363365,,                              0,                              0,              5580422,,,                654616,,                 28550,,                              0,,                  3072,,              1079364,,                 74553,,                 69582,                 26070,,                 48837,,                              0,                 40286,,                 16671,                105794,              2041601,              7622023,,,,,                831565,,                  7047,,                 24887,,                399792,,                467667,                 22792,,,                 75038,,                              0,                247800,                322838,              2076588,,,                913702,,                 79431,,                100742,                 61503,                162245,              1155378,              3231966,,,,              1468590,              1468590,,,                758270,                  2217,                              0,                 50560,                      3,                              0,                  3516,                 11971,                  9071,                835608,,                695453,,                969932,              1665385,,,                 34244,,                  4219,                 38463,                 35214,              3972832,                417225,              4390057,              7622023,              0,              0,      1116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2014年06月30日,,,,              1292582,,              1245316,,                  2049,,              1159611,,                 23290,,                              0,,              2017844,,                250224,,,,,,              5990916,,,                511817,,                 28531,,                              0,,                  3072,,              1366221,,                 74767,,                 63499,                 25415,,                 47473,,                              0,                 27169,,                 17430,                 92072,              2165394,              8156310,,,,,                969620,,                  5599,,                 21377,,                434451,,                919558,                 61918,,,                 88563,,                173425,,                261988,              2674511,,,                902523,,                 80710,,                102727,                 65161,                167888,              1154508,              3829019,,,,              1468510,              1468750,,,                758110,                  1848,                              0,                 50560,                      3,                              0,                  3516,                 11479,                  9071,                834587,,                695453,,                951867,              1647320,,,                 -6216,,                  4200,                 -2016,                 55030,              3893611,                433680,              4327291,              8156310,              0,          8000,      1814000,,                  3387,                    240,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2014年03月31日,,,,              1243343,,              1833553,,                  7556,,              1399008,,                 25377,,                              0,,              1878357,,                220103,,,,,,              6607297,,,                208492,,                 28628,,,,                  2830,,              1391258,,                 74981,,                 65697,                 27457,,                 47784,,                              0,                 27837,,                 18574,                 94195,              1893538,              8500835,,,,,                982595,,                 10146,,                 33045,,                436674,,                543439,                106796,,,                 79265,,                286316,,                365581,              2478276,,,                914709,,                 76886,,                100989,                 71846,                172835,              1164430,              3642706,,,,              1468510,              1468750,,,                834083,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                834083,,                671918,,              1264574,              2044708,,,                 35062,,                  4297,                 39359,                 55030,              4331870,                526259,              4858129,              8500835,              0,         24000,      1814000,,                              0,                    240,                108216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2013年12月31日,,,,,,              1409558,,                 15714,,              1216908,,                 23727,,,,              2321687,,                210242,,,,,,              6868785,,,                194201,,                 28604,,,,                  6730,,              1364447,,                 75196,,                 64315,                 37951,,                 48518,,                              0,                 28151,,                 19778,                 96447,              1867891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1818000,,,,,              1670949,                              0,              8736676,,,,              1139591,,                 44995,,                 22956,,                563632,,                509066,                 71786,,,                 79294,,                287174,                366468,              2718494,,,                  7341,,                901315,,                 79751,,                 97463,                 78342,                175805,              1164212,              3882706,,,,              1468510,              1468510,,,                833517,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                833517,,                671918,                108216,,              1183841,              1963975,,,                 10527,,                  4273,                 14800,                 36165,              4244637,                609333,              4853970,,,,,
1473,2013年09月30日,,,,,,              1576600,,                 12277,,              1117149,,                 14028,,,,              2048856,,                224104,,                              0,,                              0,                              0,              6200158,,,                179510,,                 28438,,,,                  6730,,              1332874,,                 75410,,                 64716,                 82881,,                 49545,,,                 27798,,                 32455,                109798,              1880357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,          4000,      1214000,,,,,              1207144,                              0,              8080515,,,,                694993,,                 39627,,                 11285,,                616270,,                438535,                 64522,,,                 88023,,                288452,                376475,              2241707,,,                  8117,,                696581,,                 87662,,                159395,                 72568,                231963,              1024323,              3266030,,,,              1468220,              1468340,,,                757530,                  1848,                              0,                 50190,                      3,                              0,                  3516,                  9643,                  9070,                831800,,                671918,                108216,,              1112900,              1893034,,,                -18391,,                  4107,                -14284,                 36165,              4142725,                671760,              4814485,,                              0,                              0,                    120,
1473,2013年06月30日,,,,,,              1560845,,                 27183,,              1407143,,                 25086,,,,              2198637,,                255899,,,,,,              6528508,,,                243608,,                 28455,,,,                  6730,,              1363992,,                 75625,,                 60739,                 71509,,                 50021,,,                 28311,,                 37578,                115910,              1966568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1818000,,,,,              1053715,,              8495076,,,,                914507,,                  5913,,                 19113,,                454167,,                695866,                 80381,,,                 95671,,                114667,                210338,              2380285,,,                              0,,                881253,,                 87663,,                162971,                 76192,                239163,              1208079,              3588364,,,,              1468220,              1468220,,,                757530,                  1848,                              0,                 51669,                              0,                              0,                  3516,                  8823,                  9073,                832459,,                671918,                108216,,              1104764,              1884898,,,                 11690,,                  4124,                 15814,                 58415,              4142976,                763736,              4906712,,,,                              0,
