證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－合併溢額,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－合併溢額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1537,2015年09月30日,,,,                650253,,                              0,,                 31012,,                878491,,              1421963,,                135860,,                 61699,              3179278,,,                 30708,,              1124226,,                 54804,,                  1332,                 13067,,                 71943,              1296080,              4475358,,,,,                265107,,                              0,,                 37122,,                308838,,                223951,                 43454,,                  7805,,                 40115,                926392,,,                299490,,                 20900,                320390,              1246782,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                410224,                              0,,              1105657,              1515881,,,                178391,,                 10708,                189099,              3139643,                 88933,              3228576,              4475358,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2015年06月30日,,,,                754237,,                 39886,,                 38323,,                825583,,              1385881,,                 96087,,                 36713,              3176710,,,                 39700,,              1033150,,                 54914,,                  1694,                 26518,,                 68394,              1224370,              4401080,,,,,                125905,,                              0,,                 11233,,                296029,,                714732,                 71370,,                  8183,,                 44506,              1271958,,,                262377,,                 20697,                283074,              1555032,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                410224,                              0,,                854465,              1264689,,,                 49521,,                 19700,                 69221,              2768573,                 77475,              2846048,              4401080,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2015年03月31日,,,,                838609,,                 40248,,                 28791,,                755072,,              1372092,,                114816,,                 14509,              3164137,,,                 44087,,              1043145,,                 55023,,                  2234,                 18319,,                 74465,              1237273,              4401410,,,,,                250827,,                              0,,                 12280,,                273893,,                168802,                130485,,                  9142,,                 43505,                888934,,,                245788,,                 20606,                266394,              1155328,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                344252,                  1085,,              1291033,              1636370,,,                 79090,,                 24087,                103177,              3174210,                 71872,              3246082,              4401410,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2014年12月31日,,,,                489665,,                 24182,,                 36879,,                798007,,              1543500,,                 99486,,                 37912,              3029631,,,                 38384,,              1039007,,                 55132,,                  1673,                 15391,,                 74091,              1223678,              4253309,,,,,                236593,,                    660,,                 13805,,                260610,,                215799,                105601,,                 11651,,                 50436,                895155,,,                238975,,                 20515,                259490,              1154645,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                344252,                  1085,,              1136469,              1481806,,,                100512,,                 18384,                118896,              3035365,                 63299,              3098664,              4253309,              0,              0,              0,                489665,              4253309,,,,                236593,,                    660,,                 13805,,                260610,,                215799,                105601,,                 11651,,                 50436,                895155,,,                238975,,                 20515,                259490,              1154645,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                344252,                  1085,,              1136469,              1481806,,,                100512,,                 18384,                118896,              3035365,                 63299,              3098664
1537,2014年09月30日,,,,                431740,,                 23517,,                 25547,,                766280,,              1526784,,                100462,,                 25012,              2899342,,,                 41675,,                991120,,                 55241,,                  1993,                 30827,,                 75509,              1196365,              4095707,,,,,                432611,,                  1777,,                 15580,,                216418,,                196439,                 52928,,                 11758,,                 55436,                982947,,,                256536,,                 22173,                278709,              1261656,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                344252,                  1085,,                944604,              1289941,,,                 22637,,                 21675,                 44312,              2768916,                 65135,              2834051,              4095707,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2014年06月30日,,,,                729348,,                 23226,,                 36135,,                723064,,              1391681,,                140610,,                 22688,              3066752,,,                 49351,,                958849,,                 55351,,                  1728,                 39496,,                 73025,              1177800,              4244552,,,,,                379980,,                              0,,                 18175,,                217581,,                615222,                 74230,,                  9626,,                 45106,              1359920,,,                243311,,                 22086,                265397,              1625317,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                344252,                  1085,,                762143,              1107480,,,                -12391,,                 29351,                 16960,              2559103,                 60132,              2619235,              4244552,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2014年03月31日,,,,                641820,,                 17860,,                 37587,,                659080,,              1364728,,                 86532,,                 23847,              2831454,,,                 56370,,                976550,,                 55460,,                  2114,                 31227,,                 88114,              1209835,              4041289,,,,,                273618,,                    627,,                 10090,,                242072,,                165559,                 77980,,                 10551,,                 58979,                839476,,,                227148,,                 19553,                246701,              1086177,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                286961,                179916,,                950369,              1417246,,,                 15469,,                 36370,                 51839,              2903748,                 51364,              2955112,              4041289,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2013年12月31日,,,,,,                  8046,,                 35818,,                687355,,              1334308,,                 99153,,                 31174,              2821232,,,                 39810,,                943879,,                 55569,,                  2386,                 40529,,                 76465,              1158638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                625378,              3979870,,,,                320786,,                  1818,,                 18371,,                353266,,                182423,                 57153,,                 11079,,                 42343,                987239,,,                213750,,                 20919,                234669,              1221908,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                286961,                179916,,                802472,              1269349,,,                -20895,,                 19810,                 -1085,              2702927,                 55035,              2757962
1537,2013年09月30日,,,,                528295,,                  6129,,                 27528,,                652905,,              1375434,,                102719,,                 18641,              2711651,,,                 36301,,                921614,,                 55678,,                  2831,                 44322,,                 79189,              1139935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              3851586,,,,                494792,,                              0,,                  8445,,                264757,,                164210,                 51779,,                 10383,,                 25445,              1019811,,,                201505,,                 20551,                222056,              1241867,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                286961,                179916,,                668574,              1135451,,,                -34219,,                 16301,                -17918,              2552196,                 57523,              2609719
1537,2013年06月30日,,,,,,                  5031,,                 33643,,                582057,,              1381325,,                113972,,                 29112,              2805498,,,                 32024,,                907778,,                 55787,,                  3147,                 40639,,                 80581,              1119956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                660358,              3925454,,,,                389798,,                    784,,                 11083,,                180474,,                522058,                 68033,,                  9881,,                 27374,              1209485,,,                189439,,                 27525,                216964,              1426449,,,,                815854,                815854,,,                592178,                  4485,                 22146,                618809,,                286961,                179916,,                542319,              1009196,,,                -13003,,                 12024,                   -979,              2442880,                 56125,              2499005
